key	text	tooltip
#Loc;1;text/[01]__MTU_generals__Wood_champion.loc		
land_units_onscreen_name_3k_mtu_hero_wood_shen_pei	审配	true
ceo_nodes_title_3k_mtu_ceo_node_career_historical_shen_pei_01	踏实可靠	true
ceo_nodes_description_3k_mtu_ceo_node_career_historical_shen_pei_01	当众人纷纷冲昏了头脑，审配却能继续保持清醒，主持大小事务。	true
custom_battle_loadouts_name_3k_mtu_custom_battle_loadout_shen_pei_01	谋士	true
custom_battle_loadouts_name_3k_mtu_custom_battle_loadout_shen_pei_02	心腹	true
custom_battle_loadouts_name_3k_mtu_custom_battle_loadout_shen_pei_03	冀州别驾	true
land_units_onscreen_name_3k_mtu_hero_wood_lady_lu_ji	吕姬	true
ceo_nodes_title_3k_mtu_ceo_node_career_historical_lady_lu_ji_01	飞将之女	true
ceo_nodes_description_3k_mtu_ceo_node_career_historical_lady_lu_ji_01	虎父无犬女，吕布之女不仅美艳，也是战场豪杰。	true
custom_battle_loadouts_name_3k_mtu_custom_battle_loadout_lady_lu_ji_01	都督	true
custom_battle_loadouts_name_3k_mtu_custom_battle_loadout_lady_lu_ji_02	将领	true
custom_battle_loadouts_name_3k_mtu_custom_battle_loadout_lady_lu_ji_03	飞将之女	true
land_units_onscreen_name_3k_mtu_hero_wood_lady_trieu	赵妪	true
ceo_nodes_title_3k_mtu_ceo_node_career_historical_lady_trieu_01	骆越之光	true
ceo_nodes_description_3k_mtu_ceo_node_career_historical_lady_trieu_01	「横戈当虎易，对面婆王难。」	true
custom_battle_loadouts_name_3k_mtu_custom_battle_loadout_lady_trieu_01	郡女	true
custom_battle_loadouts_name_3k_mtu_custom_battle_loadout_lady_trieu_02	九真盗贼	true
custom_battle_loadouts_name_3k_mtu_custom_battle_loadout_lady_trieu_03	骆越之光	true
land_units_onscreen_name_3k_mtu_hero_wood_luo_jun	骆俊	true
ceo_nodes_title_3k_mtu_ceo_node_career_historical_luo_jun_01	百姓卫士	true
ceo_nodes_description_3k_mtu_ceo_node_career_historical_luo_jun_01	「施压于民，绝无益处。水能载舟，亦能覆舟。」	true
custom_battle_loadouts_name_3k_mtu_custom_battle_loadout_luo_jun_01	都督	true
custom_battle_loadouts_name_3k_mtu_custom_battle_loadout_luo_jun_02	将领	true
custom_battle_loadouts_name_3k_mtu_custom_battle_loadout_luo_jun_03	陈郡守卫	true
ceo_nodes_title_3k_mtu_ceo_node_career_historical_zhu_beng_01	乱臣贼子	true
ceo_nodes_description_3k_mtu_ceo_node_career_historical_zhu_beng_01	「二逆不诛，乱臣贼子，行将接踵于天下矣！」	true
land_units_onscreen_name_3k_mtu_hero_wood_qu_gong	瞿恭	true
ceo_nodes_title_3k_mtu_ceo_node_career_historical_qu_gong_01	独眼山贼	true
ceo_nodes_description_3k_mtu_ceo_node_career_historical_qu_gong_01	只有一只眼睛都可以如此为非作歹，难道还需要另外一只不成？	true
land_units_onscreen_name_3k_mtu_hero_wood_huang_zu	黄祖	true
ceo_nodes_title_3k_mtu_ceo_node_career_historical_huang_zu_01	远射伏虎	true
ceo_nodes_description_3k_mtu_ceo_node_career_historical_huang_zu_01	「祖宿狡猾，为表腹心，出作爪牙，表之鸱张，以祖气息。」	true
land_units_onscreen_name_3k_mtu_hero_wood_chen_jiu	庞德	true
ceo_nodes_title_3k_mtu_ceo_node_career_historical_chen_jiu_01	白马将军	true
ceo_nodes_description_3k_mtu_ceo_node_career_historical_chen_jiu_01	庞德戒昭果毅，敌者必讨	true
ceo_nodes_title_3k_mtu_ceo_node_career_historical_lady_guan_yinping_01	虎女	true
ceo_nodes_description_3k_mtu_ceo_node_career_historical_lady_guan_yinping_01	「虎女安能配犬子乎？」	true
ceo_nodes_title_3k_mtu_ceo_node_career_historical_wu_anguo_01	独臂虎熊	true
ceo_nodes_description_3k_mtu_ceo_node_career_historical_wu_anguo_01	虽然武安国痛失一臂，但却是少数几个与吕布决斗后幸存下来的人之一。	true
