key	text	tooltip
#Loc;1;text/[02]__MTU_items__Armour.loc		
ceo_nodes_title_3k_mtu_ancillary_lady_bian_huilans_armour_unique	杜氏的护甲	true
ceo_nodes_description_3k_mtu_ancillary_lady_bian_huilans_armour_unique	此甲轻重得当，宽紧合身，非名将不可披戴。	true
ceo_nodes_title_3k_mtu_ancillary_lady_lu_zhengs_armour_unique	陆政的护甲	true
ceo_nodes_description_3k_mtu_ancillary_lady_lu_zhengs_armour_unique	此甲轻重得当，宽紧合身，非名将不可披戴。	true
ceo_nodes_title_3k_mtu_ancillary_gao_shuns_armour_unique	张勋的护甲	true
ceo_nodes_description_3k_mtu_ancillary_gao_shuns_armour_unique	此甲轻重得当，宽紧合身，非名将不可披戴。	true
ceo_nodes_title_3k_mtu_ancillary_lady_wang_litings_armour_unique	伊健丽婷的护甲	true
ceo_nodes_description_3k_mtu_ancillary_lady_wang_litings_armour_unique	此甲轻重得当，宽紧合身，非名将不可披戴。	true
ceo_nodes_title_3k_mtu_ancillary_lady_ma_yunlus_armour_unique	马云禄的护甲	true
ceo_nodes_description_3k_mtu_ancillary_lady_ma_yunlus_armour_unique	此甲轻重得当，宽紧合身，非名将不可披戴。	true
ceo_nodes_title_3k_mtu_ancillary_lady_da_qiaos_armour_unique	冯氏的护甲	true
ceo_nodes_description_3k_mtu_ancillary_lady_da_qiaos_armour_unique	此甲轻重得当，宽紧合身，非名将不可披戴。	true
ceo_nodes_title_3k_mtu_ancillary_lady_xiao_qiaos_armour_unique	袁氏的护甲	true
ceo_nodes_description_3k_mtu_ancillary_lady_xiao_qiaos_armour_unique	此甲轻重得当，宽紧合身，非名将不可披戴。	true
ceo_nodes_title_3k_mtu_ancillary_dong_mins_armour_unique	董旻的护甲	true
ceo_nodes_description_3k_mtu_ancillary_dong_mins_armour_unique	此甲轻重得当，宽紧合身，非名将不可披戴。	true
ceo_nodes_title_3k_mtu_ancillary_hua_xins_armour_unique	华歆的护甲	true
ceo_nodes_description_3k_mtu_ancillary_hua_xins_armour_unique	此甲轻重得当，宽紧合身，非名将不可披戴。	true
ceo_nodes_title_3k_mtu_ancillary_lady_wu_minyus_armour_unique	吴氏的护甲	true
ceo_nodes_description_3k_mtu_ancillary_lady_wu_minyus_armour_unique	此甲轻重得当，宽紧合身，非名将不可披戴。	true
ceo_nodes_title_3k_mtu_ancillary_shen_peis_armour_unique	审配的护甲	true
ceo_nodes_description_3k_mtu_ancillary_shen_peis_armour_unique	此甲轻重得当，宽紧合身，非名将不可披戴。	true
ceo_nodes_title_3k_mtu_ancillary_chunyu_qiongs_armour_unique	淳于琼的护甲	true
ceo_nodes_description_3k_mtu_ancillary_chunyu_qiongs_armour_unique	此甲轻重得当，宽紧合身，非名将不可披戴。	true
ceo_nodes_title_3k_mtu_ancillary_lady_ma_lanlis_armour_unique	华氏的护甲	true
ceo_nodes_description_3k_mtu_ancillary_lady_ma_lanlis_armour_unique	此甲轻重得当，宽紧合身，非名将不可披戴。	true
ceo_nodes_title_3k_mtu_ancillary_lady_dong_peishans_armour_unique	董氏的护甲	true
ceo_nodes_description_3k_mtu_ancillary_lady_dong_peishans_armour_unique	此甲轻重得当，宽紧合身，非名将不可披戴。	true
ceo_nodes_title_3k_mtu_ancillary_armour_jian_yongs_armour_unique	简雍的护甲	true
ceo_nodes_description_3k_mtu_ancillary_armour_jian_yongs_armour_unique	此甲轻重得当，宽紧合身，非名将不可披戴。	true
ceo_nodes_title_3k_mtu_ancillary_armour_lady_cai_yans_armour_unique	蔡琰的护甲	true
ceo_nodes_description_3k_mtu_ancillary_armour_lady_cai_yans_armour_unique	此甲轻重得当，宽紧合身，非名将不可披戴。	true
ceo_nodes_title_3k_mtu_ancillary_eminent_calligrapher_armour_water_unique	靛蓝官衣	true
ceo_nodes_description_3k_mtu_ancillary_eminent_calligrapher_armour_water_unique	此袍用料上乘，宽紧合身，非名士不可披戴。	true
ceo_nodes_title_3k_mtu_ancillary_armour_zhao_yuns_armour_unique	虎威将军的护甲	true
