key	text	tooltip
#Loc;1;text/[02]__MTU_items__Weapons.loc		
ceo_nodes_title_3k_mtu_ancillary_weapon_diplomat	使节剑	true
ceo_nodes_description_3k_mtu_ancillary_weapon_diplomat	就算是说客也需要防身之物。	true
ceo_nodes_title_3k_mtu_ancillary_weapon_juque	阙翦剑	true
ceo_nodes_description_3k_mtu_ancillary_weapon_juque	穿铜釜，绝铁砺 ，胥中决如粢米。	true
ceo_nodes_title_3k_mtu_ancillary_weapon_shengxie	辟邪剑	true
ceo_nodes_description_3k_mtu_ancillary_weapon_shengxie	吴主孙权有六剑，三曰辟邪。	true
ceo_nodes_title_3k_mtu_ancillary_hidden_flow	伏波剑	true
ceo_nodes_description_3k_mtu_ancillary_hidden_flow	此剑寒气逼人，可如两股暗流般袭向敌手。	true
ceo_nodes_title_3k_mtu_ancillary_weapon_invincible	亮银枪	true
ceo_nodes_description_3k_mtu_ancillary_weapon_invincible	所向披靡	true
ceo_equipped_set_bonuses_title_3k_mtu_item_set_invincible	虎威	true
ceo_equipped_set_bonuses_description_3k_mtu_item_set_invincible	「子龙一身都是胆也！」	true
ceo_equipped_set_bonuses_title_3k_mtu_item_set_changshan_zhaozilong	单骑救主	true
ceo_equipped_set_bonuses_description_3k_mtu_item_set_changshan_zhaozilong	「阿斗有命矣。」	true
ceo_nodes_title_3k_mtu_ancillary_weapon_comet_spear	长星枪	true
ceo_nodes_description_3k_mtu_ancillary_weapon_comet_spear	此矛锐不可挡，如彗星划过星空一般刺穿敌腹。	true
ceo_nodes_title_3k_mtu_ancillary_line_breaker	破阵戟	true
ceo_nodes_description_3k_mtu_ancillary_line_breaker	此戟的重量与平衡恰到好处，是一把善于瓦解敌阵的利器。	true
ceo_nodes_title_3k_mtu_ancillary_phoenix_beak	凤喙刀	true
ceo_nodes_description_3k_mtu_ancillary_phoenix_beak	这把武器犹如凤喙一般尖锐，锋芒逼人。	true
ceo_nodes_title_3k_mtu_ancillary_weapon_sharp_light	锐光戟	true
ceo_nodes_description_3k_mtu_ancillary_weapon_sharp_light	锐利得发光，此戟不逊于方天画戟。	true
ceo_nodes_title_3k_mtu_ancillary_weapon_young_dragon	雏龙刀	true
ceo_nodes_description_3k_mtu_ancillary_weapon_young_dragon	雏龙虽尚且稚嫩，却也是龙。	true
ceo_nodes_title_3k_mtu_ancillary_weapon_point_piercer	蝰牙矛	true
ceo_nodes_description_3k_mtu_ancillary_weapon_point_piercer	此矛犹如蝰蛇的毒牙一般致命。	true
ceo_nodes_title_3k_mtu_ancillary_weapon_dachui	巨椎	true
ceo_nodes_description_3k_mtu_ancillary_weapon_dachui	重达五十斤的巨椎，据说一击可让人筋骨尽裂。	true
