key	text	tooltip
#Loc;1;text/[03]__MTU_skills__Passive_buff.loc		
effects_description_3k_main_skill_indiscriminate_charge	被动增益	true
unit_ability_types_localised_description_3k_main_ability_indiscriminate_charge	困兽	true
unit_abilities_onscreen_name_3k_main_ability_indiscriminate_charge	困兽	true
special_ability_phases_onscreen_name_3k_main_ability_indiscriminate_charge	困兽	true
character_skills_localised_name_3k_main_skill_special_ability_wood_indiscriminate_charge	困兽	true
unit_ability_types_onscreen_name_3k_main_ability_indiscriminate_charge	被动增益	true
unit_abilities_tooltip_text_3k_main_ability_indiscriminate_charge	独拥残兵守邺城，审配慷慨壮烈。	true
character_skills_localised_description_3k_main_skill_special_ability_wood_indiscriminate_charge	独拥残兵守邺城，审配慷慨壮烈。	true
effects_description_3k_main_skill_chunyu_qiong_frenzy	技能：狂暴	true
unit_ability_types_localised_description_3k_main_ability_chunyu_qiong_frenzy	狂暴	true
unit_abilities_onscreen_name_3k_main_ability_chunyu_qiong_frenzy	狂暴	true
special_ability_phases_onscreen_name_3k_main_ability_chunyu_qiong_frenzy	狂暴	true
character_skills_localised_name_3k_main_skill_special_ability_fire_chunyu_qiong_frenzy	狂暴	true
unit_ability_types_onscreen_name_3k_main_ability_chunyu_qiong_frenzy	被动增益	true
unit_abilities_tooltip_text_3k_main_ability_chunyu_qiong_frenzy	被激怒了的淳于琼，将全力以赴，力战身死。	true
character_skills_localised_description_3k_main_skill_special_ability_fire_chunyu_qiong_frenzy	被激怒了的淳于琼，将全力以赴，力战身死。	true
effects_description_3k_main_skill_cheers_of_encouragement	技能：保帅	true
character_skills_localised_name_3k_main_skill_special_ability_earth_cheers_of_encouragement	保帅	true
special_ability_phases_onscreen_name_3k_main_ability_cheers_of_encouragement	保帅	true
unit_abilities_onscreen_name_3k_main_ability_cheers_of_encouragement	保帅	true
unit_ability_types_localised_description_3k_main_ability_cheers_of_encouragement	保帅	true
unit_ability_types_onscreen_name_3k_main_ability_cheers_of_encouragement	被动增益	true
character_skills_localised_description_3k_main_skill_special_ability_earth_cheers_of_encouragement	将帅之安危岂可不保乎？	true
unit_abilities_tooltip_text_3k_main_ability_cheers_of_encouragement	将帅之安危岂可不保乎？	true
effects_description_3k_main_skill_encouragement_25	技能：金鼓	true
character_skills_localised_name_3k_main_skill_special_ability_earth_encouragement	金鼓	true
special_ability_phases_onscreen_name_3k_main_ability_encouragement_25	金鼓	true
unit_abilities_onscreen_name_3k_main_ability_encouragement_25	金鼓	true
