key	text	tooltip
#Loc;1;text/[03]__MTU_skills___Projectile.loc		
unit_ability_types_onscreen_name_3k_main_ability_marksman_of_taiyuan	远程杀伤	true
unit_ability_types_localised_description_3k_main_ability_marksman_of_taiyuan	神射	true
unit_abilities_tooltip_text_3k_main_ability_marksman_of_taiyuan	陆政的猎物对她来说犹如瓮中捉鳖。	true
unit_abilities_onscreen_name_3k_main_ability_marksman_of_taiyuan	神射	true
special_ability_phases_onscreen_name_3k_main_ability_marksman_of_taiyuan	神射	true
effects_description_3k_main_skill_marksman_of_taiyuan	技能：神射	true
character_skills_localised_name_3k_main_skill_special_ability_water_marksman_of_taiyuan	神射	true
character_skills_localised_description_3k_main_skill_special_ability_water_marksman_of_taiyuan	陆政的猎物对她来说犹如瓮中捉鳖。	true
effects_description_3k_main_skill_suppressive_fire	技能：冷箭	true
character_skills_localised_name_3k_main_skill_special_ability_metal_suppressive_fire	冷箭	true
special_ability_phases_onscreen_name_3k_main_ability_suppressive_fire	冷箭	true
unit_abilities_onscreen_name_3k_main_ability_suppressive_fire	冷箭	true
unit_ability_types_localised_description_3k_main_ability_suppressive_fire	冷箭	true
unit_ability_types_onscreen_name_3k_main_ability_suppressive_fire	远程杀伤	true
character_skills_localised_description_3k_main_skill_special_ability_metal_suppressive_fire	明枪好躲，暗箭难防。	true
unit_abilities_tooltip_text_3k_main_ability_suppressive_fire	明枪好躲，暗箭难防。	true
effects_description_3k_main_skill_shower_of_arrows	技能：飞蝗	true
unit_ability_types_localised_description_3k_main_ability_shower_of_arrows	飞蝗	true
character_skills_localised_name_3k_main_skill_special_ability_metal_shower_of_arrows	飞蝗	true
unit_abilities_onscreen_name_3k_main_ability_shower_of_arrows	飞蝗	true
unit_ability_types_onscreen_name_3k_main_ability_shower_of_arrows	远程杀伤	true
character_skills_localised_description_3k_main_skill_special_ability_metal_shower_of_arrows	华氏射出的飞箭如漫天蝗虫一般袭向敌手，令人变貌失色。	true
unit_abilities_tooltip_text_3k_main_ability_shower_of_arrows	华氏射出的飞箭如漫天蝗虫一般袭向敌手，令人变貌失色。	true
effects_description_3k_main_skill_poison	技能：分坐	true
unit_ability_types_localised_description_3k_main_ability_poison	分坐	true
unit_abilities_onscreen_name_3k_main_ability_poison	分坐	true
special_ability_phases_onscreen_name_3k_main_ability_poison	分坐	true
character_skills_localised_name_3k_main_skill_special_ability_water_poison	分坐	true
unit_ability_types_onscreen_name_3k_main_ability_poison	远程杀伤	true
unit_abilities_tooltip_text_3k_main_ability_poison	我视你为友，你竟然因一片黄金而与我割席而坐。	true
character_skills_localised_description_3k_main_skill_special_ability_water_poison	我视你为友，你竟然因一片黄金而与我割席而坐。	true
effects_description_3k_main_skill_critical_strike	技能：摧心	true
unit_abilities_onscreen_name_3k_main_ability_critical_strike	摧心	true
special_ability_phases_onscreen_name_3k_main_ability_critical_strike	摧心	true
unit_ability_types_localised_description_3k_main_ability_critical_strike	摧心	true
character_skills_localised_name_3k_main_skill_special_ability_metal_critical strike	摧心	true
unit_ability_types_onscreen_name_3k_main_ability_critical_strike	远程杀伤	true
unit_abilities_tooltip_text_3k_main_ability_critical_strike	摧心剖肝，直中要害。	true
character_skills_localised_description_3k_main_skill_special_ability_metal_critical strike	摧心剖肝，直中要害。	true
unit_ability_types_onscreen_name_3k_main_ability_tiger_suppression	远程杀伤	true
unit_ability_types_localised_description_3k_main_ability_tiger_suppression	伏虎	true
unit_abilities_tooltip_text_3k_main_ability_tiger_suppression	黄祖最善于百步之外阴袭敌军。	true
unit_abilities_onscreen_name_3k_main_ability_tiger_suppression	伏虎	true
special_ability_phases_onscreen_name_3k_main_ability_tiger_suppression	伏虎	true
effects_description_3k_main_skill_tiger_suppression	技能：伏虎	true
character_skills_localised_name_3k_main_skill_special_ability_wood_tiger_suppression	伏虎	true
character_skills_localised_description_3k_main_skill_special_ability_wood_tiger_suppression	黄祖最善于百步之外阴袭敌军。	true
