key	text	tooltip
#Loc;1;text/[01]__MTU_generals__Earth_commander.loc		
land_units_onscreen_name_3k_mtu_hero_earth_lady_bian_huilan	杜氏	true
ceo_nodes_title_3k_mtu_ceo_node_career_historical_lady_bian_huilan_01	沛王太妃	true
ceo_nodes_description_3k_mtu_ceo_node_career_historical_lady_bian_huilan_01	「妻无子，下城，乞纳宜禄妻。」	true
custom_battle_loadouts_name_3k_mtu_custom_battle_loadout_lady_du_01	孺人	true
custom_battle_loadouts_name_3k_mtu_custom_battle_loadout_lady_du_02	夫人	true
custom_battle_loadouts_name_3k_mtu_custom_battle_loadout_lady_du_03	沛王太妃	true
land_units_onscreen_name_3k_mtu_hero_earth_dong_min	董旻	true
ceo_nodes_title_3k_mtu_ceo_node_career_historical_dong_min_01	无魇暴君	true
ceo_nodes_description_3k_mtu_ceo_node_career_historical_dong_min_01	贪暴成性，荼毒关中。	true
custom_battle_loadouts_name_3k_mtu_custom_battle_loadout_dong_min_01	都督	true
custom_battle_loadouts_name_3k_mtu_custom_battle_loadout_dong_min_02	将领	true
custom_battle_loadouts_name_3k_mtu_custom_battle_loadout_dong_min_03	暴君	true
land_units_onscreen_name_3k_mtu_hero_earth_lady_wu_minyu	吴氏	true
ceo_nodes_title_3k_mtu_ceo_node_career_historical_lady_wu_minyu_01	武烈皇后	true
ceo_nodes_description_3k_mtu_ceo_node_career_historical_lady_wu_minyu_01	气质高雅，心胸宽广。	true
custom_battle_loadouts_name_3k_mtu_custom_battle_loadout_lady_wu_minyu_01	孺人	true
custom_battle_loadouts_name_3k_mtu_custom_battle_loadout_lady_wu_minyu_02	夫人	true
custom_battle_loadouts_name_3k_mtu_custom_battle_loadout_lady_wu_minyu_03	武烈皇后	true
land_units_onscreen_name_3k_mtu_hero_earth_lady_dong_peishan	董氏	true
ceo_nodes_title_3k_mtu_ceo_node_career_historical_lady_dong_peishan_01	郿侯夫人	true
ceo_nodes_description_3k_mtu_ceo_node_career_historical_lady_dong_peishan_01	董卓发妻，卓封郿侯。不仅生性贪婪，且行事作风十分谨慎狡猾。	true
custom_battle_loadouts_name_3k_mtu_custom_battle_loadout_lady_dong_peishan_01	孺人	true
custom_battle_loadouts_name_3k_mtu_custom_battle_loadout_lady_dong_peishan_02	夫人	true
custom_battle_loadouts_name_3k_mtu_custom_battle_loadout_lady_dong_peishan_03	皇后	true
land_units_onscreen_name_3k_mtu_hero_earth_lady_da_qiao	冯氏	true
ceo_nodes_title_3k_mtu_ceo_node_career_historical_lady_da_qiao_01	涕泣美人	true
ceo_nodes_description_3k_mtu_ceo_node_career_historical_lady_da_qiao_01	冯氏不仅天姿国色，还因胸怀大志而深受袁术宠爱。	true
custom_battle_loadouts_name_3k_mtu_custom_battle_loadout_lady_da_qiao_01	孺人	true
custom_battle_loadouts_name_3k_mtu_custom_battle_loadout_lady_da_qiao_02	夫人	true
custom_battle_loadouts_name_3k_mtu_custom_battle_loadout_lady_da_qiao_03	皇后	true
land_units_onscreen_name_3k_mtu_hero_fire_gao_shun	张勋	true
ceo_nodes_title_3k_mtu_ceo_node_career_historical_gao_shun_01	开国将军	true
ceo_nodes_description_3k_mtu_ceo_node_career_historical_gao_shun_01	仲氏大将军张勋号令三军谁敢不从？	true
custom_battle_loadouts_name_3k_mtu_custom_battle_loadout_zhang_xun_01	都督	true
custom_battle_loadouts_name_3k_mtu_custom_battle_loadout_zhang_xun_02	将领	true
custom_battle_loadouts_name_3k_mtu_custom_battle_loadout_zhang_xun_03	大将军	false
