key	text	tooltip
#Loc;1;text/[02]__MTU_items__Accessory.loc		
ceo_nodes_title_3k_mtu_ancillary_accessory_poem_of_sorrow_and_anger	《悲愤诗》	true
ceo_nodes_description_3k_mtu_ancillary_accessory_poem_of_sorrow_and_anger	字字是血，句句是泪。	true
ceo_equipped_set_bonuses_title_3k_mtu_item_set_sorrow_and_anger	怀古伤今	true
ceo_equipped_set_bonuses_description_3k_mtu_item_set_sorrow_and_anger	「人生几何时，怀忧终年岁。」	true
ceo_nodes_title_3k_mtu_ancillary_accessory_eight_principles_of_yong	《述行赋》	true
ceo_nodes_description_3k_mtu_ancillary_accessory_eight_principles_of_yong	积弊已深，颓势已定。	true
ceo_equipped_set_bonuses_title_3k_mtu_item_set_eight_principle_of_yong	飞白书	true
ceo_equipped_set_bonuses_description_3k_mtu_item_set_eight_principle_of_yong	似鸟头燕尾，又似鸟头凤尾，横竖笔画丝丝露白，飞笔断白，燥润相宜，似枯笔做成。	true
ceo_nodes_title_3k_mtu_ancillary_empty_lunchpail	紫檀食盒	true
ceo_nodes_description_3k_mtu_ancillary_empty_lunchpail	空空如也	true
ceo_nodes_title_3k_mtu_ancillary_mount_lady_trieus_elephant_unique	九真白象	true
ceo_nodes_description_3k_mtu_ancillary_mount_lady_trieus_elephant_unique	赵妪亲手驯服的巨象，来去如响雷地震般惊天动地	true
ceo_equipped_set_bonuses_title_3k_main_item_set_celestial_fury2	天怒将军	true
ceo_equipped_set_bonuses_description_3k_main_item_set_celestial_fury2	不义者天自罚之	true
ceo_equipped_set_bonuses_title_3k_main_item_set_tacticians_design2	龙韬虎略	true
ceo_equipped_set_bonuses_description_3k_main_item_set_tacticians_design2	千百韬略尽见矣	true
