key	text	tooltip
#Loc;1;text/[03]__MTU_skills__Active_buff.loc		
unit_ability_types_onscreen_name_3k_main_ability_order_of_tyrant	主动增益	true
unit_ability_types_localised_description_3k_main_ability_order_of_tyrant	遮天	true
unit_abilities_tooltip_text_3k_main_ability_order_of_tyrant	暴君的怒吼能让最懦弱的士兵也士气高昂，坚如磐石。	true
unit_abilities_onscreen_name_3k_main_ability_order_of_tyrant	遮天	true
special_ability_phases_onscreen_name_3k_main_ability_order_of_tyrant	遮天	true
effects_description_3k_main_skill_order_of_tyrant	技能：遮天	true
character_skills_localised_name_3k_main_skill_special_ability_earth_order_of_tyrant	遮天	true
character_skills_localised_description_3k_main_skill_special_ability_earth_order_of_tyrant	暴君的怒吼能让最懦弱的士兵也士气高昂，坚如磐石。	true
unit_ability_types_onscreen_name_3k_main_ability_battle_stance	主动增益	true
unit_ability_types_localised_description_3k_main_ability_battle_stance	厉兵	true
unit_abilities_tooltip_text_3k_main_ability_battle_stance	知己知彼，百战不殆。	true
unit_abilities_onscreen_name_3k_main_ability_battle_stance	厉兵	true
special_ability_phases_onscreen_name_3k_main_ability_battle_stance	厉兵	true
effects_description_3k_main_skill_battle_stance	技能: 厉兵	true
character_skills_localised_name_3k_main_skill_special_ability_earth_battle_stance	厉兵	true
character_skills_localised_description_3k_main_skill_special_ability_earth_battle_stance	知己知彼，百战不殆。	true
effects_description_3k_main_skill_advance	技能：军令	true
character_skills_localised_name_3k_main_skill_special_ability_earth_advance	军令	true
special_ability_phases_onscreen_name_3k_main_ability_advance	军令	true
unit_abilities_onscreen_name_3k_main_ability_advance	军令	true
unit_ability_types_localised_description_3k_main_ability_advance	军令	true
unit_ability_types_onscreen_name_3k_main_ability_advance	主动增益	true
character_skills_localised_description_3k_main_skill_special_ability_earth_advance	军令如山，不听约束者皆斩之。	true
unit_abilities_tooltip_text_3k_main_ability_advance	军令如山，不听约束者皆斩之。	true
effects_description_3k_main_skill_last_resist	技能：背水	true
character_skills_localised_name_3k_main_skill_special_ability_wood_last_resist	背水	true
special_ability_phases_onscreen_name_3k_main_ability_last_resist	背水	true
unit_abilities_onscreen_name_3k_main_ability_last_resist	背水	true
unit_ability_types_localised_description_3k_main_ability_last_resist	背水	true
unit_ability_types_onscreen_name_3k_main_ability_last_resist	主动增益	true
character_skills_localised_description_3k_main_skill_special_ability_wood_last_resist	就算被围，审配也拒不投降，背水一战。	true
unit_abilities_tooltip_text_3k_main_ability_last_resist	就算被围，审配也拒不投降，背水一战。	true
effects_description_3k_main_skill_lady_dong_cruel_command	技能：强令	true
unit_ability_types_onscreen_name_3k_main_ability_lady_dong_cruel_command	主动增益	true
unit_ability_types_localised_description_3k_main_ability_lady_dong_cruel_command	宁舍尔命，也得保障夫人毫发无伤。	true
unit_abilities_onscreen_name_3k_main_ability_lady_dong_cruel_command	强令	true
special_ability_phases_onscreen_name_3k_main_ability_lady_dong_cruel_command	强令	true
character_skills_localised_name_3k_main_skill_special_ability_earth_lady_dong_cruel_command	强令	true
unit_abilities_tooltip_text_3k_main_ability_lady_dong_cruel_command	宁舍尔命，也得保障夫人毫发无伤。	true
character_skills_localised_description_3k_main_skill_special_ability_earth_lady_dong_cruel_command	宁舍尔命，也得保障夫人毫发无伤。	true
effects_description_3k_main_skill_xianchenying	技能：马首	true
character_skills_localised_name_3k_main_skill_special_ability_fire_xianchenying	马首	true
special_ability_phases_onscreen_name_3k_main_ability_xianchenying	马首	true
unit_abilities_onscreen_name_3k_main_ability_xianchenying	马首	true
unit_ability_types_localised_description_3k_main_ability_xianchenying	马首	true
unit_ability_types_onscreen_name_3k_main_ability_xianchenying	主动增益	true
character_skills_localised_description_3k_main_skill_special_ability_fire_xianchenying	张勋领军，当世无双。	true
unit_abilities_tooltip_text_3k_main_ability_xianchenying	张勋领军，当世无双。	true
effects_description_3k_main_skill_call_of_courage	技能：摆宴	true
character_skills_localised_name_3k_main_skill_special_ability_metal_call_of_courage	摆宴	true
special_ability_phases_onscreen_name_3k_main_ability_call_of_courage	摆宴	true
unit_abilities_onscreen_name_3k_main_ability_call_of_courage	摆宴	true
unit_ability_types_localised_description_3k_main_ability_call_of_courage	摆宴	true
unit_ability_types_onscreen_name_3k_main_ability_call_of_courage	主动增益	true
character_skills_localised_description_3k_main_skill_special_ability_metal_call_of_courage	设下酒宴，待将军得胜归来！	true
unit_abilities_tooltip_text_3k_main_ability_call_of_courage	设下酒宴，待将军得胜归来！	true
effects_description_3k_main_skill_tragic_foresight	技能：止战	true
unit_abilities_onscreen_name_3k_main_ability_tragic_foresight	止战	true
special_ability_phases_onscreen_name_3k_main_ability_tragic_foresight	止战	true
character_skills_localised_name_3k_main_skill_special_ability_water_tragic_foresight	止战	true
unit_ability_types_localised_description_3k_main_ability_tragic_foresight	止战	true
unit_ability_types_onscreen_name_3k_main_ability_tragic_foresight	主动增益	true
unit_abilities_tooltip_text_3k_main_ability_tragic_foresight	为国者以民为基，民以衣食为本。	true
character_skills_localised_description_3k_main_skill_special_ability_water_tragic_foresight	为国者以民为基，民以衣食为本。	true
effects_description_3k_main_skill_distrust_power	技能：藏刀	true
unit_ability_types_localised_description_3k_main_ability_distrust_power	藏刀	true
unit_abilities_onscreen_name_3k_main_ability_distrust_power	藏刀	true
special_ability_phases_onscreen_name_3k_main_ability_distrust_power	藏刀	true
character_skills_localised_name_3k_main_skill_special_ability_wood_distrust_power	藏刀	true
unit_ability_types_onscreen_name_3k_main_ability_distrust_power	主动增益	true
unit_abilities_tooltip_text_3k_main_ability_distrust_power	不臣之士，话里藏刀。	true
character_skills_localised_description_3k_main_skill_special_ability_wood_distrust_power	不臣之士，话里藏刀。	true
effects_description_3k_main_skill_mercy_of_the_forest	技能：琼林	true
character_skills_localised_name_3k_main_skill_special_ability_wood_mercy_of_the_forest	琼林	true
special_ability_phases_onscreen_name_3k_main_ability_mercy_of_the_forest	琼林	true
unit_abilities_onscreen_name_3k_main_ability_mercy_of_the_forest	琼林	true
unit_ability_types_localised_description_3k_main_ability_mercy_of_the_forest	琼林	true
unit_ability_types_onscreen_name_3k_main_ability_mercy_of_the_forest	主动增益	true
character_skills_localised_description_3k_main_skill_special_ability_wood_mercy_of_the_forest	来自于自然的恩惠，可是不可多得的。	true
unit_abilities_tooltip_text_3k_main_ability_mercy_of_the_forest	来自于自然的恩惠，可是不可多得的。	true
effects_description_3k_main_skill_coffin_march	技能：死战	true
character_skills_localised_name_3k_main_skill_special_ability_wood_coffin_march	死战	true
special_ability_phases_onscreen_name_3k_main_ability_coffin_march	死战	true
unit_abilities_onscreen_name_3k_main_ability_coffin_march	死战	true
unit_ability_types_localised_description_3k_main_ability_coffin_march	死战	true
unit_ability_types_onscreen_name_3k_main_ability_coffin_march	主动增益	true
character_skills_localised_description_3k_main_skill_special_ability_wood_coffin_march	庞德要么会取得胜利，要么就是死战入土。	true
unit_abilities_tooltip_text_3k_main_ability_coffin_march	庞德要么会取得胜利，要么就是死战入土。	true
unit_ability_types_onscreen_name_3k_main_ability_martial_prodigy	主动增益	true
unit_ability_types_localised_description_3k_main_ability_martial_prodigy	异禀	true
unit_abilities_tooltip_text_3k_main_ability_martial_prodigy	父为吕奉先，吕姬天赋异禀。	true
unit_abilities_onscreen_name_3k_main_ability_martial_prodigy	异禀	true
special_ability_phases_onscreen_name_3k_main_ability_martial_prodigy	异禀	true
effects_description_3k_main_skill_martial_prodigy	技能：异禀	true
character_skills_localised_name_3k_main_skill_special_ability_wood_martial_prodigy	异禀	true
character_skills_localised_description_3k_main_skill_special_ability_wood_martial_prodigy	父为吕奉先，吕姬天赋异禀。	true
unit_ability_types_onscreen_name_3k_main_ability_hope_of_nam_viet	主动增益	true
unit_ability_types_localised_description_3k_main_ability_hope_of_nam_viet	民意	true
unit_abilities_tooltip_text_3k_main_ability_hope_of_nam_viet	身背骆越人民的希望，赵贞娘绝不会退缩。	true
unit_abilities_onscreen_name_3k_main_ability_hope_of_nam_viet	民意	true
special_ability_phases_onscreen_name_3k_main_ability_hope_of_nam_viet	民意	true
effects_description_3k_main_skill_hope_of_nam_viet	技能：民意	true
character_skills_localised_name_3k_main_skill_special_ability_wood_hope_of_nam_viet	民意	true
character_skills_localised_description_3k_main_skill_special_ability_wood_hope_of_nam_viet	身背骆越人民的希望，赵贞娘绝不会退缩。	true
unit_ability_types_onscreen_name_3k_main_ability_guardian	主公增益	true
unit_ability_types_localised_description_3k_main_ability_guardian	卫足	true
unit_abilities_tooltip_text_3k_main_ability_guardian	百姓卫士，民为其足	true
unit_abilities_onscreen_name_3k_main_ability_guardian	卫足	true
special_ability_phases_onscreen_name_3k_main_ability_guardian	卫足	true
effects_description_3k_main_skill_guardian	技能：卫足	true
character_skills_localised_name_3k_main_skill_special_ability_wood_guardian	卫足	true
character_skills_localised_description_3k_main_skill_special_ability_wood_guardian	百姓卫士，民为其足	true
unit_ability_types_onscreen_name_3k_main_ability_loyal_advice	主动增益	true
unit_ability_types_localised_description_3k_main_ability_loyal_advice	劝谏	true
unit_abilities_tooltip_text_3k_main_ability_loyal_advice	「昔周自后稷至于文王，积德累功，三分天下有其二，犹服事殷。明公虽奕世克昌，未若有周之盛，汉室虽微，未若殷纣之暴也。」	true
unit_abilities_onscreen_name_3k_main_ability_loyal_advice	劝谏	true
special_ability_phases_onscreen_name_3k_main_ability_loyal_advice1	劝谏	true
special_ability_phases_onscreen_name_3k_main_ability_loyal_advice2	劝谏	true
effects_description_3k_main_skill_loyal_advice	技能：劝谏	true
character_skills_localised_name_3k_main_skill_special_ability_water_loyal_advice	劝谏	true
character_skills_localised_description_3k_main_skill_special_ability_water_loyal_advice	「昔周自后稷至于文王，积德累功，三分天下有其二，犹服事殷。明公虽奕世克昌，未若有周之盛，汉室虽微，未若殷纣之暴也。」	true
unit_ability_types_onscreen_name_3k_main_ability_elegant_and_cultured	主动增益	true
unit_ability_types_localised_description_3k_main_ability_elegant_and_cultured	龙韬	true
unit_abilities_tooltip_text_3k_main_ability_elegant_and_cultured	熟读兵书，精通兵法之将领可令千人有万人之威。	true
unit_abilities_onscreen_name_3k_main_ability_elegant_and_cultured	龙韬	true
special_ability_phases_onscreen_name_3k_main_ability_elegant_and_cultured	龙韬	true
effects_description_3k_main_skill_elegant_and_cultured	技能：龙韬	true
character_skills_localised_name_3k_main_skill_special_ability_water_elegant_and_cultured	龙韬	true
character_skills_localised_description_3k_main_skill_special_ability_water_elegant_and_cultured	熟读兵书，精通兵法之将领可令千人有万人之威。	true
unit_ability_types_onscreen_name_3k_main_ability_tantrum	主动增益	true
unit_ability_types_localised_description_3k_main_ability_tantrum	痛斥	true
unit_abilities_tooltip_text_3k_main_ability_tantrum	将士宁可上阵出生入死，也不肯在营中被将军责骂。	true
unit_abilities_onscreen_name_3k_main_ability_tantrum	痛斥	true
