key	text	tooltip
#Loc;1;text/[03]__MTU_skills___Splash_attack.loc		
effects_description_3k_main_skill_thunderous_blow	技能：霆击	true
character_skills_localised_name_3k_main_skill_special_ability_fire_thunderous_blow	霆击	true
special_ability_phases_onscreen_name_3k_main_ability_thunderous_blow	霆击	true
unit_abilities_onscreen_name_3k_main_ability_thunderous_blow	霆击	true
unit_ability_types_localised_description_3k_main_ability_thunderous_blow	霆击	true
unit_ability_types_onscreen_name_3k_main_ability_thunderous_blow	近战攻击	true
character_skills_localised_description_3k_main_skill_special_ability_fire_thunderous_blow	竭尽全力，致命一击。	true
unit_abilities_tooltip_text_3k_main_ability_thunderous_blow	竭尽全力，致命一击。	true
effects_description_3k_main_skill_camp_crushing	技能：捣穴	true
character_skills_localised_name_3k_main_skill_special_ability_fire_camp_crushing	捣穴	true
special_ability_phases_onscreen_name_3k_main_ability_camp_crushing	捣穴	true
unit_abilities_onscreen_name_3k_main_ability_camp_crushing	捣穴	true
unit_ability_types_localised_description_3k_main_ability_camp_crushing	捣穴	true
unit_ability_types_onscreen_name_3k_main_ability_camp_crushing	近战攻击	true
character_skills_localised_description_3k_main_skill_special_ability_fire_camp_crushing	犁庭扫穴，无坚不摧。	true
unit_abilities_tooltip_text_3k_main_ability_camp_crushing	犁庭扫穴，无坚不摧。	true
effects_description_3k_main_skill_double_sword_dance	技能：剑舞	true
character_skills_localised_name_3k_main_skill_special_ability_metal_double_sword_dance	剑舞	true
special_ability_phases_onscreen_name_3k_main_ability_double_sword_dance	剑舞	true
unit_abilities_onscreen_name_3k_main_ability_double_sword_dance	剑舞	true
unit_ability_types_localised_description_3k_main_ability_double_sword_dance	剑舞	true
unit_ability_types_onscreen_name_3k_main_ability_double_sword_dance	近战攻击	true
character_skills_localised_description_3k_main_skill_special_ability_metal_double_sword_dance	舞剑操刀于敌众之间。	true
unit_abilities_tooltip_text_3k_main_ability_double_sword_dance	舞剑操刀于敌众之间。	true
effects_description_3k_main_skill_persistent_attack	技能：不衰	true
