key	text	tooltip
#Loc;1;text/[04]__MTU_events___Cai_family.loc		
dilemmas_localised_title_3k_mtu_global_event_xiong_nu_catches_cai_yan_dilemma_pc	匈奴入侵	true
dilemmas_localised_description_3k_mtu_global_event_xiong_nu_catches_cai_yan_dilemma_pc	匈奴入侵，凡经过之处皆寸草不生。乱军之中一名军士来报：蔡邕的女儿，蔡文姬，被匈奴人俘走了。	true
cdir_events_dilemma_choice_details_localised_choice_label_3k_mtu_global_event_xiong_nu_catches_cai_yan_dilemma_pcFIRST	交付赎金	true
cdir_events_dilemma_choice_details_localised_choice_label_3k_mtu_global_event_xiong_nu_catches_cai_yan_dilemma_pcSECOND	置之不理	true
cdir_events_dilemma_choice_details_localised_choice_title_3k_mtu_global_event_xiong_nu_catches_cai_yan_dilemma_pcFIRST	你派出特使重金将蔡琰赎回，然而如此的特殊待遇难免令他人产生妒忌之心。	true
cdir_events_dilemma_choice_details_localised_choice_title_3k_mtu_global_event_xiong_nu_catches_cai_yan_dilemma_pcSECOND	你无视了那名军士，继续派兵镇压匈奴入侵。	true
incidents_localised_title_3k_mtu_global_event_xiong_nu_kidnaps_cai_yan_incident_pc	匈奴入侵	true
incidents_localised_description_3k_mtu_global_event_xiong_nu_kidnaps_cai_yan_incident_pc	匈奴入侵，凡经过之处皆寸草不生。乱军之中一名军士来报：蔡邕的女儿，蔡文姬，被匈奴人俘走了。	true
dilemmas_localised_title_3k_mtu_global_event_cai_yong_death_dilemma_pc	一代大儒的叹息	true
dilemmas_localised_description_3k_mtu_global_event_cai_yong_death_dilemma_pc	董卓被杀，蔡邕伤感其遇，被王允知悉，而出兵捉拿蔡邕并下令处死。\\n\\n 王允曰：「昔武帝不杀司马迁，使作谤书，流于后世。方今国祚中衰，戎马在郊，不可令佞臣执笔在幼主左右，后令吾徒并受谤议。」	true
cdir_events_dilemma_choice_details_localised_choice_label_3k_mtu_global_event_cai_yong_death_dilemma_pcFIRST	支持王允	true
cdir_events_dilemma_choice_details_localised_choice_label_3k_mtu_global_event_cai_yong_death_dilemma_pcSECOND	阻劝王允	true
