key	text	tooltip
#Loc;1;text/[01]__MTU_generals__Earth_commander.loc		
ceo_nodes_title_3k_mtu_ceo_node_career_historical_lady_bian_huilan_01	沛王太妃	true
ceo_nodes_description_3k_mtu_ceo_node_career_historical_lady_bian_huilan_01	「妻無子，下城，乞納宜祿妻。」	true
custom_battle_loadouts_name_3k_mtu_custom_battle_loadout_lady_du_01	孺人	true
custom_battle_loadouts_name_3k_mtu_custom_battle_loadout_lady_du_02	夫人	true
custom_battle_loadouts_name_3k_mtu_custom_battle_loadout_lady_du_03	沛王太妃	true
land_units_onscreen_name_3k_mtu_hero_earth_dong_min	董旻	true
ceo_nodes_title_3k_mtu_ceo_node_career_historical_dong_min_01	無魘暴君	true
ceo_nodes_description_3k_mtu_ceo_node_career_historical_dong_min_01	貪暴成性，荼毒關中。	true
custom_battle_loadouts_name_3k_mtu_custom_battle_loadout_dong_min_01	都督	true
custom_battle_loadouts_name_3k_mtu_custom_battle_loadout_dong_min_02	將領	true
custom_battle_loadouts_name_3k_mtu_custom_battle_loadout_dong_min_03	暴君	true
land_units_onscreen_name_3k_mtu_hero_earth_lady_wu_minyu	吳氏	true
ceo_nodes_title_3k_mtu_ceo_node_career_historical_lady_wu_minyu_01	武烈皇后	true
ceo_nodes_description_3k_mtu_ceo_node_career_historical_lady_wu_minyu_01	氣質高雅，心胸寬廣。	true
custom_battle_loadouts_name_3k_mtu_custom_battle_loadout_lady_wu_minyu_01	孺人	true
custom_battle_loadouts_name_3k_mtu_custom_battle_loadout_lady_wu_minyu_02	夫人	true
custom_battle_loadouts_name_3k_mtu_custom_battle_loadout_lady_wu_minyu_03	武烈皇后	true
land_units_onscreen_name_3k_mtu_hero_earth_lady_dong_peishan	董氏	true
ceo_nodes_title_3k_mtu_ceo_node_career_historical_lady_dong_peishan_01	郿侯夫人	true
ceo_nodes_description_3k_mtu_ceo_node_career_historical_lady_dong_peishan_01	董卓髮妻，卓封郿侯。不僅生性貪婪，且行事作風十分謹慎狡猾。	true
custom_battle_loadouts_name_3k_mtu_custom_battle_loadout_lady_dong_peishan_01	孺人	true
custom_battle_loadouts_name_3k_mtu_custom_battle_loadout_lady_dong_peishan_02	夫人	true
custom_battle_loadouts_name_3k_mtu_custom_battle_loadout_lady_dong_peishan_03	皇后	true
land_units_onscreen_name_3k_mtu_hero_earth_lady_da_qiao	馮氏	true
ceo_nodes_title_3k_mtu_ceo_node_career_historical_lady_da_qiao_01	涕泣美人	true
ceo_nodes_description_3k_mtu_ceo_node_career_historical_lady_da_qiao_01	馮氏不僅天姿國色，還因胸懷大志而深受袁術寵愛。	true
custom_battle_loadouts_name_3k_mtu_custom_battle_loadout_lady_da_qiao_01	孺人	true
custom_battle_loadouts_name_3k_mtu_custom_battle_loadout_lady_da_qiao_02	夫人	true
custom_battle_loadouts_name_3k_mtu_custom_battle_loadout_lady_da_qiao_03	皇后	true
land_units_onscreen_name_3k_mtu_hero_fire_gao_shun	張勳	true
ceo_nodes_title_3k_mtu_ceo_node_career_historical_gao_shun_01	開國將軍	true
ceo_nodes_description_3k_mtu_ceo_node_career_historical_gao_shun_01	仲氏大將軍張勳號令三軍誰敢不從？	true
custom_battle_loadouts_name_3k_mtu_custom_battle_loadout_zhang_xun_01	都督	true
custom_battle_loadouts_name_3k_mtu_custom_battle_loadout_zhang_xun_02	將領	true
custom_battle_loadouts_name_3k_mtu_custom_battle_loadout_zhang_xun_03	大將軍	true
