key	text	tooltip
#Loc;1;text/[01]__MTU_generals__Water_strategist.loc		
land_units_onscreen_name_3k_mtu_hero_water_lady_lu_zheng	陸政	true
ceo_nodes_title_3k_mtu_ceo_node_career_historical_lady_lu_zheng_01	晉陽女賊	true
ceo_nodes_description_3k_mtu_ceo_node_career_historical_lady_lu_zheng_01	狡黠之徒，矢不虛發，乃魁首之腕。	true
custom_battle_loadouts_name_3k_mtu_custom_battle_loadout_lady_lu_zheng_01	賊徒	true
custom_battle_loadouts_name_3k_mtu_custom_battle_loadout_lady_lu_zheng_02	大將	true
custom_battle_loadouts_name_3k_mtu_custom_battle_loadout_lady_lu_zheng_03	賊首	true
land_units_onscreen_name_3k_mtu_hero_water_hua_xin	華歆	true
ceo_nodes_title_3k_mtu_ceo_node_career_historical_hua_xin_01	名士高風	true
ceo_nodes_description_3k_mtu_ceo_node_career_historical_hua_xin_01	「華歆清純德素，誠一時之俊偉也。」	true
custom_battle_loadouts_name_3k_mtu_custom_battle_loadout_hua_xin_01	舉孝廉	true
custom_battle_loadouts_name_3k_mtu_custom_battle_loadout_hua_xin_02	謀士	true
custom_battle_loadouts_name_3k_mtu_custom_battle_loadout_hua_xin_03	魏氏三公	true
land_units_onscreen_name_3k_mtu_hero_water_cai_yan	蔡琰	true
ceo_nodes_title_3k_dlc04_ceo_node_career_historical_lady_cai_yan_wenji_01	悲憤才女	true
ceo_nodes_title_3k_mtu_ceo_node_career_historical_lady_cai_yan_01	悲憤才女	true
ceo_nodes_description_3k_dlc04_ceo_node_career_historical_lady_cai_yan_wenji_01	「婉娩淑女，與士並列。至柔動剛，彤管煒節。」	true
ceo_nodes_description_3k_mtu_ceo_node_career_historical_lady_cai_yan_01	「婉娩淑女，與士並列。至柔動剛，彤管煒節。」	true
custom_battle_loadouts_name_3k_mtu_custom_battle_loadout_lady_cai_yan_01	俘虜	true
custom_battle_loadouts_name_3k_mtu_custom_battle_loadout_lady_cai_yan_02	才女	true
custom_battle_loadouts_name_3k_mtu_custom_battle_loadout_lady_cai_yan_03	文學家	true
land_units_onscreen_name_3k_mtu_hero_metal_lady_xiao_qiao	袁氏	true
ceo_nodes_title_3k_mtu_ceo_node_career_historical_lady_xiao_qiao_01	仲氏公主	true
ceo_nodes_description_3k_mtu_ceo_node_career_historical_lady_xiao_qiao_01	仲氏公主袁氏的美貌與賢良人盡皆知。	true
custom_battle_loadouts_name_3k_mtu_custom_battle_loadout_lady_xiao_qiao_01	夫人	true
custom_battle_loadouts_name_3k_mtu_custom_battle_loadout_lady_xiao_qiao_02	孺人	true
custom_battle_loadouts_name_3k_mtu_custom_battle_loadout_lady_xiao_qiao_03	仲氏公主	true
land_units_onscreen_name_3k_mtu_hero_water_lady_gongsun_jinting	侯氏	true
ceo_nodes_title_3k_mtu_ceo_node_career_historical_lady_gongsun_jinting_01	賢明母主	true
ceo_nodes_description_3k_mtu_ceo_node_career_historical_lady_gongsun_jinting_01	公孫瓚常年征戰在外，侯氏依靠著她的賢明與機警守護著家族的未來。	true
custom_battle_loadouts_name_3k_mtu_custom_battle_loadout_gongsun_jinting_01	孺人	true
custom_battle_loadouts_name_3k_mtu_custom_battle_loadout_gongsun_jinting_02	夫人	true
custom_battle_loadouts_name_3k_mtu_custom_battle_loadout_gongsun_jinting_03	皇后	true
land_units_onscreen_name_3k_mtu_hero_water_yan_xiang	閻象	true
ceo_nodes_title_3k_mtu_ceo_node_career_historical_yan_xiang_01	賢達哲士	true
ceo_nodes_description_3k_mtu_ceo_node_career_historical_yan_xiang_01	閻象深圖遠慮，總是危機到來之前就做好了準備。	true
custom_battle_loadouts_name_3k_mtu_custom_battle_loadout_yan_xiang_01	謀士	true
custom_battle_loadouts_name_3k_mtu_custom_battle_loadout_yan_xiang_02	主簿	true
custom_battle_loadouts_name_3k_mtu_custom_battle_loadout_yan_xiang_03	賢達哲士	true
land_units_onscreen_name_3k_mtu_hero_water_lady_dong_bai	董白	true
ceo_nodes_title_3k_mtu_ceo_node_career_historical_lady_dong_bai_01	董氏明珠	true
ceo_nodes_description_3k_mtu_ceo_node_career_historical_lady_dong_bai_01	董卓遍封其宗族，董白尚未及笄，便被封為渭陽君，在郿城東起壇。	true
custom_battle_loadouts_name_3k_mtu_custom_battle_loadout_lady_dong_bai_01	孺人	true
custom_battle_loadouts_name_3k_mtu_custom_battle_loadout_lady_dong_bai_02	夫人	true
custom_battle_loadouts_name_3k_mtu_custom_battle_loadout_lady_dong_bai_03	渭陽君	true
land_units_onscreen_name_3k_mtu_hero_water_lady_zou_yuan	鄒氏	true
ceo_nodes_title_3k_mtu_ceo_node_career_historical_lady_zou_yuan_01	妖嬈禍水	true
ceo_nodes_description_3k_mtu_ceo_node_career_historical_lady_zou_yuan_01	「吾為夫人故，特納張繡之降；不然滅族矣。」	true
custom_battle_loadouts_name_3k_mtu_custom_battle_loadout_lady_zou_yuan_01	孺人	true
custom_battle_loadouts_name_3k_mtu_custom_battle_loadout_lady_zou_yuan_02	夫人	true
custom_battle_loadouts_name_3k_mtu_custom_battle_loadout_lady_zou_yuan_03	皇后	true
