key	text	tooltip
#Loc;1;text/[02]__MTU_items__Armour.loc		
ceo_nodes_title_3k_mtu_ancillary_lady_bian_huilans_armour_unique	杜氏的護甲	true
ceo_nodes_description_3k_mtu_ancillary_lady_bian_huilans_armour_unique	此甲輕重得當，寬緊合身，非名將不可披戴。	true
ceo_nodes_title_3k_mtu_ancillary_lady_lu_zhengs_armour_unique	陸政的護甲	true
ceo_nodes_description_3k_mtu_ancillary_lady_lu_zhengs_armour_unique	此甲輕重得當，寬緊合身，非名將不可披戴。	true
ceo_nodes_title_3k_mtu_ancillary_gao_shuns_armour_unique	張勳的護甲	true
ceo_nodes_description_3k_mtu_ancillary_gao_shuns_armour_unique	此甲輕重得當，寬緊合身，非名將不可披戴。	true
ceo_nodes_title_3k_mtu_ancillary_lady_wang_litings_armour_unique	伊健麗婷的護甲	true
ceo_nodes_description_3k_mtu_ancillary_lady_wang_litings_armour_unique	此甲輕重得當，寬緊合身，非名將不可披戴。	true
ceo_nodes_title_3k_mtu_ancillary_lady_ma_yunlus_armour_unique	馬雲祿的護甲	true
ceo_nodes_description_3k_mtu_ancillary_lady_ma_yunlus_armour_unique	此甲輕重得當，寬緊合身，非名將不可披戴。	true
ceo_nodes_title_3k_mtu_ancillary_lady_da_qiaos_armour_unique	馮氏的護甲	true
ceo_nodes_description_3k_mtu_ancillary_lady_da_qiaos_armour_unique	此甲輕重得當，寬緊合身，非名將不可披戴。	true
ceo_nodes_title_3k_mtu_ancillary_lady_xiao_qiaos_armour_unique	袁氏的護甲	true
ceo_nodes_description_3k_mtu_ancillary_lady_xiao_qiaos_armour_unique	此甲輕重得當，寬緊合身，非名將不可披戴。	true
ceo_nodes_title_3k_mtu_ancillary_dong_mins_armour_unique	董旻的護甲	true
ceo_nodes_description_3k_mtu_ancillary_dong_mins_armour_unique	此甲輕重得當，寬緊合身，非名將不可披戴。	true
ceo_nodes_title_3k_mtu_ancillary_hua_xins_armour_unique	華歆的護甲	true
ceo_nodes_description_3k_mtu_ancillary_hua_xins_armour_unique	此甲輕重得當，寬緊合身，非名將不可披戴。	true
ceo_nodes_title_3k_mtu_ancillary_lady_wu_minyus_armour_unique	吳氏的護甲	true
ceo_nodes_description_3k_mtu_ancillary_lady_wu_minyus_armour_unique	此甲輕重得當，寬緊合身，非名將不可披戴。	true
ceo_nodes_title_3k_mtu_ancillary_shen_peis_armour_unique	審配的護甲	true
ceo_nodes_description_3k_mtu_ancillary_shen_peis_armour_unique	此甲輕重得當，寬緊合身，非名將不可披戴。	true
ceo_nodes_title_3k_mtu_ancillary_chunyu_qiongs_armour_unique	淳於瓊的護甲	true
ceo_nodes_description_3k_mtu_ancillary_chunyu_qiongs_armour_unique	此甲輕重得當，寬緊合身，非名將不可披戴。	true
ceo_nodes_title_3k_mtu_ancillary_lady_ma_lanlis_armour_unique	華氏的護甲	true
ceo_nodes_description_3k_mtu_ancillary_lady_ma_lanlis_armour_unique	此甲輕重得當，寬緊合身，非名將不可披戴。	true
ceo_nodes_title_3k_mtu_ancillary_lady_dong_peishans_armour_unique	董氏的護甲	true
ceo_nodes_description_3k_mtu_ancillary_lady_dong_peishans_armour_unique	此甲輕重得當，寬緊合身，非名將不可披戴。	true
ceo_nodes_title_3k_mtu_ancillary_armour_jian_yongs_armour_unique	簡雍的護甲	true
ceo_nodes_description_3k_mtu_ancillary_armour_jian_yongs_armour_unique	此甲輕重得當，寬緊合身，非名將不可披戴。	true
ceo_nodes_title_3k_mtu_ancillary_armour_lady_cai_yans_armour_unique	蔡琰的護甲	true
ceo_nodes_description_3k_mtu_ancillary_armour_lady_cai_yans_armour_unique	此甲輕重得當，寬緊合身，非名將不可披戴。	true
ceo_nodes_title_3k_mtu_ancillary_eminent_calligrapher_armour_water_unique	靛藍官衣	true
ceo_nodes_description_3k_mtu_ancillary_eminent_calligrapher_armour_water_unique	此袍用料上乘，寬緊合身，非名士不可披戴。	true
ceo_nodes_title_3k_mtu_ancillary_armour_zhao_yuns_armour_unique	虎威將軍的護甲	true
ceo_nodes_description_3k_mtu_ancillary_armour_zhao_yuns_armour_unique	此甲輕重得當，寬緊合身，非名將不可披戴。	true
ceo_nodes_title_3k_mtu_ancillary_lady_lu_jis_armour_unique	呂姬的護甲	true
ceo_nodes_description_3k_mtu_ancillary_lady_lu_jis_armour_unique	此甲輕重得當，寬緊合身，非名將不可披戴。	true
ceo_nodes_title_3k_mtu_ancillary_lady_trieus_armour_unique	趙嫗的護甲	true
ceo_nodes_description_3k_mtu_ancillary_lady_trieus_armour_unique	此甲輕重得當，寬緊合身，非名將不可披戴。	true
ceo_nodes_title_3k_mtu_ancillary_yan_xiangs_armour_unique	閻象的護甲	true
ceo_nodes_description_3k_mtu_ancillary_yan_xiangs_armour_unique	此甲輕重得當，寬緊合身，非名將不可披戴。	true
ceo_nodes_title_3k_mtu_ancillary_lady_gongsun_jintings_armour_unique	侯氏的護甲	true
