key	text	tooltip
#Loc;1;text/[02]__MTU_items__Bow.loc		
ceo_nodes_title_3k_mtu_ancillary_weapon_goshawk	蒼鷹弓	true
ceo_nodes_description_3k_mtu_ancillary_weapon_goshawk	此弓僅配鷹覷鶻望之人。	true
ceo_nodes_title_3k_mtu_ancillary_weapon_mothers_bow	家慈弓	true
ceo_nodes_description_3k_mtu_ancillary_weapon_mothers_bow	慈母所贈，豈可不用乎？	true
ceo_nodes_title_3k_mtu_ancillary_weapon_wind_of_taiyuan	太原之風	true
ceo_nodes_description_3k_mtu_ancillary_weapon_wind_of_taiyuan	此弓射出的箭矢風捲殘雲，竟然會發出如同太原狂風一般的聲音。	true
ceo_nodes_title_3k_mtu_ancillary_weapon_hawk	飛隼弓	true
ceo_nodes_description_3k_mtu_ancillary_weapon_hawk	此弓就如飛隼一般，看似小巧，實則力大無窮。	true
ceo_nodes_title_3k_mtu_ancillary_weapon_hometowns_bow	桑梓弓	true
ceo_nodes_description_3k_mtu_ancillary_weapon_hometowns_bow	此弓鑄造的鑄造者與你同鄉，真是令人欣慰。	true
ceo_nodes_title_3k_mtu_ancillary_weapon_wind_of_north	風馳弓	true
ceo_nodes_description_3k_mtu_ancillary_weapon_wind_of_north	此弓射出的箭矢疾如狂風，眨眼間就能破軍殺將。	true
