key	text	tooltip
#Loc;1;text/[03]__MTU_skills__Active_buff.loc		
unit_ability_types_onscreen_name_3k_main_ability_order_of_tyrant	主動增益	true
unit_ability_types_localised_description_3k_main_ability_order_of_tyrant	遮天	true
unit_abilities_tooltip_text_3k_main_ability_order_of_tyrant	暴君的怒吼能讓最懦弱的士兵也士氣高昂，堅如磐石。	true
unit_abilities_onscreen_name_3k_main_ability_order_of_tyrant	遮天	true
special_ability_phases_onscreen_name_3k_main_ability_order_of_tyrant	遮天	true
effects_description_3k_main_skill_order_of_tyrant	技能：遮天	true
character_skills_localised_name_3k_main_skill_special_ability_earth_order_of_tyrant	遮天	true
character_skills_localised_description_3k_main_skill_special_ability_earth_order_of_tyrant	暴君的怒吼能讓最懦弱的士兵也士氣高昂，堅如磐石。	true
unit_ability_types_onscreen_name_3k_main_ability_battle_stance	主動增益	true
unit_ability_types_localised_description_3k_main_ability_battle_stance	厲兵	true
unit_abilities_tooltip_text_3k_main_ability_battle_stance	知己知彼，百戰不殆。	true
unit_abilities_onscreen_name_3k_main_ability_battle_stance	厲兵	true
special_ability_phases_onscreen_name_3k_main_ability_battle_stance	厲兵	true
effects_description_3k_main_skill_battle_stance	技能: 厲兵	true
character_skills_localised_name_3k_main_skill_special_ability_earth_battle_stance	厲兵	true
character_skills_localised_description_3k_main_skill_special_ability_earth_battle_stance	知己知彼，百戰不殆。	true
effects_description_3k_main_skill_advance	技能：軍令	true
character_skills_localised_name_3k_main_skill_special_ability_earth_advance	軍令	true
special_ability_phases_onscreen_name_3k_main_ability_advance	軍令	true
unit_abilities_onscreen_name_3k_main_ability_advance	軍令	true
unit_ability_types_localised_description_3k_main_ability_advance	軍令	true
unit_ability_types_onscreen_name_3k_main_ability_advance	主動增益	true
character_skills_localised_description_3k_main_skill_special_ability_earth_advance	軍令如山，不聽約束者皆斬之。	true
unit_abilities_tooltip_text_3k_main_ability_advance	軍令如山，不聽約束者皆斬之。	true
effects_description_3k_main_skill_last_resist	技能：背水	true
character_skills_localised_name_3k_main_skill_special_ability_wood_last_resist	背水	true
special_ability_phases_onscreen_name_3k_main_ability_last_resist	背水	true
unit_abilities_onscreen_name_3k_main_ability_last_resist	背水	true
unit_ability_types_localised_description_3k_main_ability_last_resist	背水	true
unit_ability_types_onscreen_name_3k_main_ability_last_resist	主動增益	true
character_skills_localised_description_3k_main_skill_special_ability_wood_last_resist	就算被圍，審配也拒不投降，背水一戰。	true
unit_abilities_tooltip_text_3k_main_ability_last_resist	就算被圍，審配也拒不投降，背水一戰。	true
effects_description_3k_main_skill_lady_dong_cruel_command	技能：強令	true
unit_ability_types_onscreen_name_3k_main_ability_lady_dong_cruel_command	主動增益	true
unit_ability_types_localised_description_3k_main_ability_lady_dong_cruel_command	寧舍爾命，也得保障夫人毫髮無傷。	true
unit_abilities_onscreen_name_3k_main_ability_lady_dong_cruel_command	強令	true
special_ability_phases_onscreen_name_3k_main_ability_lady_dong_cruel_command	強令	true
character_skills_localised_name_3k_main_skill_special_ability_earth_lady_dong_cruel_command	強令	true
unit_abilities_tooltip_text_3k_main_ability_lady_dong_cruel_command	寧舍爾命，也得保障夫人毫髮無傷。	true
character_skills_localised_description_3k_main_skill_special_ability_earth_lady_dong_cruel_command	寧舍爾命，也得保障夫人毫髮無傷。	true
effects_description_3k_main_skill_xianchenying	技能：馬首	true
character_skills_localised_name_3k_main_skill_special_ability_fire_xianchenying	馬首	true
special_ability_phases_onscreen_name_3k_main_ability_xianchenying	馬首	true
unit_abilities_onscreen_name_3k_main_ability_xianchenying	馬首	true
unit_ability_types_localised_description_3k_main_ability_xianchenying	馬首	true
unit_ability_types_onscreen_name_3k_main_ability_xianchenying	主動增益	true
character_skills_localised_description_3k_main_skill_special_ability_fire_xianchenying	張勳領軍，當世無雙。	true
unit_abilities_tooltip_text_3k_main_ability_xianchenying	張勳領軍，當世無雙。	true
effects_description_3k_main_skill_call_of_courage	技能：擺宴	true
character_skills_localised_name_3k_main_skill_special_ability_metal_call_of_courage	擺宴	true
special_ability_phases_onscreen_name_3k_main_ability_call_of_courage	擺宴	true
unit_abilities_onscreen_name_3k_main_ability_call_of_courage	擺宴	true
unit_ability_types_localised_description_3k_main_ability_call_of_courage	擺宴	true
unit_ability_types_onscreen_name_3k_main_ability_call_of_courage	主動增益	true
character_skills_localised_description_3k_main_skill_special_ability_metal_call_of_courage	設下酒宴，待將軍得勝歸來！	true
unit_abilities_tooltip_text_3k_main_ability_call_of_courage	設下酒宴，待將軍得勝歸來！	true
effects_description_3k_main_skill_tragic_foresight	技能：止戰	true
unit_abilities_onscreen_name_3k_main_ability_tragic_foresight	止戰	true
special_ability_phases_onscreen_name_3k_main_ability_tragic_foresight	止戰	true
character_skills_localised_name_3k_main_skill_special_ability_water_tragic_foresight	止戰	true
unit_ability_types_localised_description_3k_main_ability_tragic_foresight	止戰	true
unit_ability_types_onscreen_name_3k_main_ability_tragic_foresight	主動增益	true
unit_abilities_tooltip_text_3k_main_ability_tragic_foresight	為國者以民為基，民以衣食為本。	true
character_skills_localised_description_3k_main_skill_special_ability_water_tragic_foresight	為國者以民為基，民以衣食為本。	true
effects_description_3k_main_skill_distrust_power	技能：藏刀	true
unit_ability_types_localised_description_3k_main_ability_distrust_power	藏刀	true
unit_abilities_onscreen_name_3k_main_ability_distrust_power	藏刀	true
special_ability_phases_onscreen_name_3k_main_ability_distrust_power	藏刀	true
character_skills_localised_name_3k_main_skill_special_ability_wood_distrust_power	藏刀	true
unit_ability_types_onscreen_name_3k_main_ability_distrust_power	主動增益	true
unit_abilities_tooltip_text_3k_main_ability_distrust_power	不臣之士，話裡藏刀。	true
character_skills_localised_description_3k_main_skill_special_ability_wood_distrust_power	不臣之士，話裡藏刀。	true
effects_description_3k_main_skill_mercy_of_the_forest	技能：瓊林	true
character_skills_localised_name_3k_main_skill_special_ability_wood_mercy_of_the_forest	瓊林	true
special_ability_phases_onscreen_name_3k_main_ability_mercy_of_the_forest	瓊林	true
unit_abilities_onscreen_name_3k_main_ability_mercy_of_the_forest	瓊林	true
unit_ability_types_localised_description_3k_main_ability_mercy_of_the_forest	瓊林	true
unit_ability_types_onscreen_name_3k_main_ability_mercy_of_the_forest	主動增益	true
character_skills_localised_description_3k_main_skill_special_ability_wood_mercy_of_the_forest	來自于自然的恩惠，可是不可多得的。	true
unit_abilities_tooltip_text_3k_main_ability_mercy_of_the_forest	來自于自然的恩惠，可是不可多得的。	true
effects_description_3k_main_skill_coffin_march	技能：死戰	true
character_skills_localised_name_3k_main_skill_special_ability_wood_coffin_march	死戰	true
special_ability_phases_onscreen_name_3k_main_ability_coffin_march	死戰	true
unit_abilities_onscreen_name_3k_main_ability_coffin_march	死戰	true
unit_ability_types_localised_description_3k_main_ability_coffin_march	死戰	true
unit_ability_types_onscreen_name_3k_main_ability_coffin_march	主動增益	true
character_skills_localised_description_3k_main_skill_special_ability_wood_coffin_march	龐德要麼會取得勝利，要麼就是死戰入土。	true
unit_abilities_tooltip_text_3k_main_ability_coffin_march	龐德要麼會取得勝利，要麼就是死戰入土。	true
unit_ability_types_onscreen_name_3k_main_ability_martial_prodigy	主動增益	true
unit_ability_types_localised_description_3k_main_ability_martial_prodigy	異稟	true
unit_abilities_tooltip_text_3k_main_ability_martial_prodigy	父為呂奉先，呂姬天賦異稟。	true
unit_abilities_onscreen_name_3k_main_ability_martial_prodigy	異稟	true
special_ability_phases_onscreen_name_3k_main_ability_martial_prodigy	異稟	true
effects_description_3k_main_skill_martial_prodigy	技能：異稟	true
