key	text	tooltip
#Loc;1;text/[03]__MTU_skills__Passive_debuff.loc		
effects_description_3k_main_skill_commanding_presence_25	技能：鳳髓	true
character_skills_localised_name_3k_main_skill_special_ability_earth_commanding_presence	鳳髓	true
special_ability_phases_onscreen_name_3k_main_ability_commanding_presence_25	鳳髓	true
unit_abilities_onscreen_name_3k_main_ability_commanding_presence_25	鳳髓	true
unit_ability_types_localised_description_3k_main_ability_commanding_presence_25	鳳髓	true
unit_ability_types_onscreen_name_3k_main_ability_commanding_presence_25	被動減益	true
character_skills_localised_description_3k_main_skill_special_ability_earth_commanding_presence	不可無禮！	true
unit_abilities_tooltip_text_3k_main_ability_commanding_presence_25	不可無禮！	true
effects_description_3k_main_skill_commanding_presence_50	技能：鳳髓	true
special_ability_phases_onscreen_name_3k_main_ability_commanding_presence_50	鳳髓	true
unit_abilities_onscreen_name_3k_main_ability_commanding_presence_50	鳳髓	true
unit_ability_types_localised_description_3k_main_ability_commanding_presence_50	鳳髓	true
unit_ability_types_onscreen_name_3k_main_ability_commanding_presence_50	被動減益	true
unit_abilities_tooltip_text_3k_main_ability_commanding_presence_50	不可無禮！	true
effects_description_3k_main_skill_foul_wits	技能：遠矚	true
unit_abilities_onscreen_name_3k_main_ability_foul_wits	遠矚	true
special_ability_phases_onscreen_name_3k_main_ability_foul_wits	遠矚	true
character_skills_localised_name_3k_main_skill_special_ability_water_foul_wits	遠矚	true
unit_ability_types_localised_description_3k_main_ability_foul_wits	遠矚	true
unit_ability_types_onscreen_name_3k_main_ability_foul_wits	被動減益	true
unit_abilities_tooltip_text_3k_main_ability_foul_wits	高瞻之論還需配上願聽忠言之明主。	true
character_skills_localised_description_3k_main_skill_special_ability_water_foul_wits	高瞻之論還需配上願聽忠言之明主。	true
