key	text	tooltip
#Loc;1;text/[03]__MTU_skills___Projectile.loc		
unit_ability_types_onscreen_name_3k_main_ability_marksman_of_taiyuan	遠程殺傷	true
unit_ability_types_localised_description_3k_main_ability_marksman_of_taiyuan	神射	true
unit_abilities_tooltip_text_3k_main_ability_marksman_of_taiyuan	陸政的獵物對她來說猶如甕中捉鼈。	true
unit_abilities_onscreen_name_3k_main_ability_marksman_of_taiyuan	神射	true
special_ability_phases_onscreen_name_3k_main_ability_marksman_of_taiyuan	神射	true
effects_description_3k_main_skill_marksman_of_taiyuan	技能：神射	true
character_skills_localised_name_3k_main_skill_special_ability_water_marksman_of_taiyuan	神射	true
character_skills_localised_description_3k_main_skill_special_ability_water_marksman_of_taiyuan	陸政的獵物對她來說猶如甕中捉鼈。	true
effects_description_3k_main_skill_suppressive_fire	技能：冷箭	true
character_skills_localised_name_3k_main_skill_special_ability_metal_suppressive_fire	冷箭	true
special_ability_phases_onscreen_name_3k_main_ability_suppressive_fire	冷箭	true
unit_abilities_onscreen_name_3k_main_ability_suppressive_fire	冷箭	true
unit_ability_types_localised_description_3k_main_ability_suppressive_fire	冷箭	true
unit_ability_types_onscreen_name_3k_main_ability_suppressive_fire	遠程殺傷	true
character_skills_localised_description_3k_main_skill_special_ability_metal_suppressive_fire	明槍好躲，暗箭難防。	true
unit_abilities_tooltip_text_3k_main_ability_suppressive_fire	明槍好躲，暗箭難防。	true
effects_description_3k_main_skill_shower_of_arrows	技能：飛蝗	true
unit_ability_types_localised_description_3k_main_ability_shower_of_arrows	飛蝗	true
character_skills_localised_name_3k_main_skill_special_ability_metal_shower_of_arrows	飛蝗	true
unit_abilities_onscreen_name_3k_main_ability_shower_of_arrows	飛蝗	true
unit_ability_types_onscreen_name_3k_main_ability_shower_of_arrows	遠程殺傷	true
character_skills_localised_description_3k_main_skill_special_ability_metal_shower_of_arrows	華氏射出的飛箭如漫天蝗蟲一般襲向敵手，令人變貌失色。	true
unit_abilities_tooltip_text_3k_main_ability_shower_of_arrows	華氏射出的飛箭如漫天蝗蟲一般襲向敵手，令人變貌失色。	true
effects_description_3k_main_skill_poison	技能：分坐	true
unit_ability_types_localised_description_3k_main_ability_poison	分坐	true
unit_abilities_onscreen_name_3k_main_ability_poison	分坐	true
special_ability_phases_onscreen_name_3k_main_ability_poison	分坐	true
character_skills_localised_name_3k_main_skill_special_ability_water_poison	分坐	true
unit_ability_types_onscreen_name_3k_main_ability_poison	遠程殺傷	true
unit_abilities_tooltip_text_3k_main_ability_poison	我視你為友，你竟然因一片黃金而與我割席而坐。	true
character_skills_localised_description_3k_main_skill_special_ability_water_poison	我視你為友，你竟然因一片黃金而與我割席而坐。	true
effects_description_3k_main_skill_critical_strike	技能：摧心	true
unit_abilities_onscreen_name_3k_main_ability_critical_strike	摧心	true
special_ability_phases_onscreen_name_3k_main_ability_critical_strike	摧心	true
unit_ability_types_localised_description_3k_main_ability_critical_strike	摧心	true
character_skills_localised_name_3k_main_skill_special_ability_metal_critical strike	摧心	true
unit_ability_types_onscreen_name_3k_main_ability_critical_strike	遠程殺傷	true
unit_abilities_tooltip_text_3k_main_ability_critical_strike	摧心剖肝，直中要害。	true
character_skills_localised_description_3k_main_skill_special_ability_metal_critical strike	摧心剖肝，直中要害。	true
unit_ability_types_onscreen_name_3k_main_ability_tiger_suppression	遠程殺傷	true
unit_ability_types_localised_description_3k_main_ability_tiger_suppression	伏虎	true
unit_abilities_tooltip_text_3k_main_ability_tiger_suppression	黃祖最善於百步之外陰襲敵軍。	true
unit_abilities_onscreen_name_3k_main_ability_tiger_suppression	伏虎	true
special_ability_phases_onscreen_name_3k_main_ability_tiger_suppression	伏虎	true
effects_description_3k_main_skill_tiger_suppression	技能：伏虎	true
character_skills_localised_name_3k_main_skill_special_ability_wood_tiger_suppression	伏虎	true
character_skills_localised_description_3k_main_skill_special_ability_wood_tiger_suppression	黃祖最善於百步之外陰襲敵軍。	true
