key	text	tooltip
#Loc;1;text/[03]__MTU_skills___Splash_attack.loc		
effects_description_3k_main_skill_thunderous_blow	技能：霆擊	true
character_skills_localised_name_3k_main_skill_special_ability_fire_thunderous_blow	霆擊	true
special_ability_phases_onscreen_name_3k_main_ability_thunderous_blow	霆擊	true
unit_abilities_onscreen_name_3k_main_ability_thunderous_blow	霆擊	true
unit_ability_types_localised_description_3k_main_ability_thunderous_blow	霆擊	true
unit_ability_types_onscreen_name_3k_main_ability_thunderous_blow	近戰攻擊	true
character_skills_localised_description_3k_main_skill_special_ability_fire_thunderous_blow	竭盡全力，致命一擊。	true
unit_abilities_tooltip_text_3k_main_ability_thunderous_blow	竭盡全力，致命一擊。	true
effects_description_3k_main_skill_camp_crushing	技能：搗穴	true
character_skills_localised_name_3k_main_skill_special_ability_fire_camp_crushing	搗穴	true
special_ability_phases_onscreen_name_3k_main_ability_camp_crushing	搗穴	true
unit_abilities_onscreen_name_3k_main_ability_camp_crushing	搗穴	true
unit_ability_types_localised_description_3k_main_ability_camp_crushing	搗穴	true
unit_ability_types_onscreen_name_3k_main_ability_camp_crushing	近戰攻擊	true
character_skills_localised_description_3k_main_skill_special_ability_fire_camp_crushing	犁庭掃穴，無堅不摧。	true
unit_abilities_tooltip_text_3k_main_ability_camp_crushing	犁庭掃穴，無堅不摧。	true
effects_description_3k_main_skill_double_sword_dance	技能：劍舞	true
character_skills_localised_name_3k_main_skill_special_ability_metal_double_sword_dance	劍舞	true
special_ability_phases_onscreen_name_3k_main_ability_double_sword_dance	劍舞	true
unit_abilities_onscreen_name_3k_main_ability_double_sword_dance	劍舞	true
unit_ability_types_localised_description_3k_main_ability_double_sword_dance	劍舞	true
unit_ability_types_onscreen_name_3k_main_ability_double_sword_dance	近戰攻擊	true
character_skills_localised_description_3k_main_skill_special_ability_metal_double_sword_dance	舞劍操刀於敵眾之間。	true
unit_abilities_tooltip_text_3k_main_ability_double_sword_dance	舞劍操刀於敵眾之間。	true
effects_description_3k_main_skill_persistent_attack	技能：不衰	true
unit_abilities_onscreen_name_3k_main_ability_persistent_attack	不衰	true
special_ability_phases_onscreen_name_3k_main_ability_persistent_attack	不衰	true
character_skills_localised_name_3k_main_skill_special_ability_metal_persistent_attack	不衰	true
unit_ability_types_localised_description_3k_main_ability_persistent_attack	不衰	true
unit_ability_types_onscreen_name_3k_main_ability_persistent_attack	近戰攻擊	true
unit_abilities_tooltip_text_3k_main_ability_persistent_attack	持久且不衰，伊健麗婷永不放棄。	true
character_skills_localised_description_3k_main_skill_special_ability_metal_persistent_attack	持久且不衰，伊健麗婷永不放棄。	true
effects_description_3k_main_skill_brawn_of_yangan	技能：鬥牛	true
character_skills_localised_name_3k_main_skill_special_ability_wood_brawn_of_yangan	鬥牛	true
special_ability_phases_onscreen_name_3k_main_ability_brawn_of_yangan	鬥牛	true
unit_abilities_onscreen_name_3k_main_ability_brawn_of_yangan	鬥牛	true
unit_ability_types_localised_description_3k_main_ability_brawn_of_yangan	鬥牛	true
unit_ability_types_onscreen_name_3k_main_ability_brawn_of_yangan	近戰攻擊	true
character_skills_localised_description_3k_main_skill_special_ability_wood_brawn_of_yangan	有傳言說有一人可以徒手馴服一頭暴怒的公牛。	true
unit_abilities_tooltip_text_3k_main_ability_brawn_of_yangan	有傳言說有一人可以徒手馴服一頭暴怒的公牛。	true
effects_description_3k_main_skill_champion_of_xiliang	技能：斷蛟	true
character_skills_localised_name_3k_main_skill_special_ability_wood_champion_of_xiliang	斷蛟	true
special_ability_phases_onscreen_name_3k_main_ability_champion_of_xiliang	斷蛟	true
unit_abilities_onscreen_name_3k_main_ability_champion_of_xiliang	斷蛟	true
unit_ability_types_localised_description_3k_main_ability_champion_of_xiliang	斷蛟	true
unit_ability_types_onscreen_name_3k_main_ability_champion_of_xiliang	近戰攻擊	true
character_skills_localised_description_3k_main_skill_special_ability_wood_champion_of_xiliang	龐德既能與關公死戰，那也必能匹敵馬超。	true
unit_abilities_tooltip_text_3k_main_ability_champion_of_xiliang	龐德既能與關公死戰，那也必能匹敵馬超。	true
effects_description_3k_main_skill_demigod_of_war	技能：箕裘	true
character_skills_localised_name_3k_main_skill_special_ability_wood_demigod_of_war	箕裘	true
special_ability_phases_onscreen_name_3k_main_ability_demigod_of_war	箕裘	true
unit_abilities_onscreen_name_3k_main_ability_demigod_of_war	箕裘	true
unit_ability_types_localised_description_3k_main_ability_demigod_of_war	箕裘	true
unit_ability_types_onscreen_name_3k_main_ability_demigod_of_war	近戰攻擊	true
character_skills_localised_description_3k_main_skill_special_ability_wood_demigod_of_war	一脈相承，不愧為武聖之女！	true
unit_abilities_tooltip_text_3k_main_ability_demigod_of_war	一脈相承，不愧為武聖之女！	true
effects_description_3k_main_skill_avenge	技能：夙仇	true
character_skills_localised_name_3k_main_skill_special_ability_wood_avenge	逐北	true
special_ability_phases_onscreen_name_3k_main_ability_avenge	逐北	true
unit_abilities_onscreen_name_3k_main_ability_avenge	逐北	true
unit_ability_types_localised_description_3k_main_ability_avenge	逐北	true
unit_ability_types_onscreen_name_3k_main_ability_avenge	近戰攻擊	true
character_skills_localised_description_3k_main_skill_special_ability_wood_avenge	敵軍勢窮，怎可不乘勝追擊？	true
unit_abilities_tooltip_text_3k_main_ability_avenge	敵軍勢窮，怎可不乘勝追擊？	true
effects_description_3k_main_skill_concentrated_strikes	技能：猛蛇	true
character_skills_localised_name_3k_main_skill_special_ability_fire_concentrated_strikes	猛蛇	true
special_ability_phases_onscreen_name_3k_main_ability_concentrated_strikes	猛蛇	true
unit_abilities_onscreen_name_3k_main_ability_concentrated_strikes	猛蛇	true
unit_ability_types_localised_description_3k_main_ability_concentrated_strikes	猛蛇	true
unit_ability_types_onscreen_name_3k_main_ability_concentrated_strikes	近戰攻擊	true
character_skills_localised_description_3k_main_skill_special_ability_fire_concentrated_strikes	毒蛇出擊，一擊致命。	true
unit_abilities_tooltip_text_3k_main_ability_concentrated_strikes	毒蛇出擊，一擊致命。	true
		true
unit_ability_types_onscreen_name_3k_main_ability_rage_of_lu_ji	近戰攻擊	true
unit_ability_types_localised_description_3k_main_ability_rage_of_lu_ji	無雙	true
unit_abilities_tooltip_text_3k_main_ability_rage_of_lu_ji	愈戰愈勇，佛擋殺佛。	true
unit_abilities_onscreen_name_3k_main_ability_rage_of_lu_ji	無雙	true
special_ability_phases_onscreen_name_3k_main_ability_rage_of_lu_ji	無雙	true
effects_description_3k_main_skill_rage_of_lu_ji	技能：無雙	true
