key	text	tooltip
#Loc;1;text/[04]__MTU_events__Born.loc		
incidents_localised_title_mtu_historical_male_born_incident	弄璋之喜	true
incidents_localised_title_mtu_historical_female_born_incident	弄瓦之喜	true
incidents_localised_description_mtu_historical_male_born_incident	喜報！宗族已喜得貴子，此子將正式成為主公宗親，但同儕兄弟的勾心鬥角，怕是在所難免…	true
incidents_localised_description_mtu_historical_female_born_incident	喜報！宗族已喜得千金，此女將正式成為主公宗親，但同儕兄弟的勾心鬥角，怕是在所難免…	true
campaign_payload_ui_details_description_mtu_born_dummy_liu_shan	人物出生：劉禪	true
campaign_payload_ui_details_description_mtu_born_dummy_guan_yinping	人物出生：關嫣	true
campaign_payload_ui_details_description_mtu_born_dummy_guan_xing	人物出生：關興	true
campaign_payload_ui_details_description_mtu_born_dummy_zhang_xingcai	人物出生：張氏	true
campaign_payload_ui_details_description_mtu_born_dummy_zhang_bao	人物出生：張苞	true
incidents_localised_title_mtu_historical_liu_shan_born_incident	劉備喜得貴子	true
incidents_localised_title_mtu_historical_guan_yinping_born_incident	關羽喜得千金	true
incidents_localised_title_mtu_historical_guan_xing_born_incident	關羽喜得貴子	true
incidents_localised_title_mtu_historical_zhang_xingcai_born_incident	張飛喜得千金	true
incidents_localised_title_mtu_historical_zhang_bao_born_incident	張飛喜得貴子	true
incidents_localised_description_mtu_historical_liu_shan_born_incident	恭賀主公麟兒入拿，喜得貴子！此孩兒蘊藏的勇武英氣與其主公相比也不遑多讓。主公真有福氣！	true
incidents_localised_description_mtu_historical_guan_yinping_born_incident	恭賀關將軍明珠入拿，喜得千金！此孩兒雖為女兒身，其蘊藏的勇武英氣與其兄相比卻也不遑多讓。關將軍真有福氣！	true
incidents_localised_description_mtu_historical_guan_xing_born_incident	恭賀關將軍麟兒入拿，喜得貴子！此孩兒蘊藏的勇武英氣與其關將軍相比也不遑多讓。關將軍真有福氣！	true
incidents_localised_description_mtu_historical_zhang_xingcai_born_incident	恭賀張將軍明珠入拿，喜得千金！此孩兒雖為女兒身，其蘊藏的勇武英氣與其兄相比卻也不遑多讓。張將軍真有福氣！	true
incidents_localised_description_mtu_historical_zhang_bao_born_incident	恭賀張將軍麟兒入拿，喜得貴子！此孩兒蘊藏的勇武英氣與其關將軍相比也不遑多讓。張將軍真有福氣！	true
