key	text	tooltip
#Loc;1;text/[04]__MTU_events___Cai_family.loc		
dilemmas_localised_title_3k_mtu_global_event_xiong_nu_catches_cai_yan_dilemma_pc	匈奴入侵	true
dilemmas_localised_description_3k_mtu_global_event_xiong_nu_catches_cai_yan_dilemma_pc	匈奴入侵，凡經過之處皆寸草不生。亂軍之中一名軍士來報：蔡邕的女兒，蔡文姬，被匈奴人俘走了。	true
cdir_events_dilemma_choice_details_localised_choice_label_3k_mtu_global_event_xiong_nu_catches_cai_yan_dilemma_pcFIRST	交付贖金	true
cdir_events_dilemma_choice_details_localised_choice_label_3k_mtu_global_event_xiong_nu_catches_cai_yan_dilemma_pcSECOND	置之不理	true
cdir_events_dilemma_choice_details_localised_choice_title_3k_mtu_global_event_xiong_nu_catches_cai_yan_dilemma_pcFIRST	你派出特使重金將蔡琰贖回，然而如此的特殊待遇難免令他人產生妒忌之心。	true
cdir_events_dilemma_choice_details_localised_choice_title_3k_mtu_global_event_xiong_nu_catches_cai_yan_dilemma_pcSECOND	你無視了那名軍士，繼續派兵鎮壓匈奴入侵。	true
incidents_localised_title_3k_mtu_global_event_xiong_nu_kidnaps_cai_yan_incident_pc	匈奴入侵	true
incidents_localised_description_3k_mtu_global_event_xiong_nu_kidnaps_cai_yan_incident_pc	匈奴入侵，凡經過之處皆寸草不生。亂軍之中一名軍士來報：蔡邕的女兒，蔡文姬，被匈奴人俘走了。	true
dilemmas_localised_title_3k_mtu_global_event_cai_yong_death_dilemma_pc	一代大儒的歎息	true
dilemmas_localised_description_3k_mtu_global_event_cai_yong_death_dilemma_pc	董卓被殺，蔡邕傷感其遇，被王允知悉，而出兵捉拿蔡邕並下令處死。\\n\\n 王允曰：「昔武帝不殺司馬遷，使作謗書，流於後世。方今國祚中衰，戎馬在郊，不可令佞臣執筆在幼主左右，後令吾徒並受謗議。」	true
cdir_events_dilemma_choice_details_localised_choice_label_3k_mtu_global_event_cai_yong_death_dilemma_pcFIRST	支持王允	true
cdir_events_dilemma_choice_details_localised_choice_label_3k_mtu_global_event_cai_yong_death_dilemma_pcSECOND	阻勸王允	true
