key	text	tooltip
#Loc;1;text/[05]__MTU_sys__Frontend_ui_description.loc		
frontend_characters_optional_name_override_3k_mtu_template_historical_lady_lu_zheng_hero_water_190		true
frontend_faction_leader_unique_characters_localised_description_3k_mtu_template_historical_lady_lu_zheng_hero_water_190	[[b]]陸政[[/b]]\\n晉陽女賊\\n\\n將領類型：{{tr:3k_general_type_water}}\\n\\n[[col:flavour]][[i]]狡黠之徒，矢不虛發，乃魁首之腕。[[/col]][[/i]]	true
frontend_characters_optional_name_override_3k_mtu_template_historical_lady_lu_zheng_hero_water_194		true
frontend_faction_leader_unique_characters_localised_description_3k_mtu_template_historical_lady_lu_zheng_hero_water_194	[[b]]陸政[[/b]]\\n晉陽女賊\\n\\n將領類型：{{tr:3k_general_type_water}}\\n\\n[[col:flavour]][[i]]狡黠之徒，矢不虛發，乃魁首之腕。[[/col]][[/i]]	true
		true
frontend_characters_optional_name_override_3k_mtu_template_historical_dong_min_hero_earth_182		true
frontend_faction_leader_unique_characters_localised_description_3k_mtu_template_historical_dong_min_hero_earth_182	[[b]]董旻[[/b]]\\n無魘暴君\\n\\n將領類型：{{tr:3k_general_type_earth}}\\n\\n[[col:flavour]][[i]]貪暴成性，荼毒關中。[[/col]][[/i]]	true
		true
frontend_characters_optional_name_override_3k_mtu_template_historical_lady_dong_peishan_hero_earth_182		true
frontend_faction_leader_unique_characters_localised_description_3k_mtu_template_historical_lady_dong_peishan_hero_earth_182	[[b]]董氏[[/b]]\\n郿侯夫人\\n\\n將領類型：{{tr:3k_general_type_earth}}\\n\\n[[col:flavour]][[i]]董卓髮妻，卓封郿侯。不僅生性貪婪，且行事作風十分謹慎狡猾。[[/col]][[/i]]	true
		true
frontend_characters_optional_name_override_3k_mtu_template_historical_lady_wu_minyu_hero_earth_182		true
frontend_faction_leader_unique_characters_localised_description_3k_mtu_template_historical_lady_wu_minyu_hero_earth_182	[[b]]吳氏[[/b]]\\n武烈皇后\\n\\n將領類：{{tr:3k_general_type_earth}}\\n\\n[[col:flavour]][[i]]氣質高雅，心胸寬廣。[[/col]][[/i]]	true
		true
