key	text	tooltip
#Loc;1;text/!@hv_TEXT_SKILLSETS_ABILITY_earth.loc		
character_skills_localised_description_hv_skill_ability_flower_of_battlefield	此处不宜美人久留。	true
character_skills_localised_name_hv_skill_ability_flower_of_battlefield	战场之花	true
effects_description_hv_effect_unlock_flower_of_battlefield	技能：战场之花	true
special_ability_phases_onscreen_name_hv_ability_flower_of_battlefield	战场之花	true
unit_abilities_onscreen_name_hv_ability_flower_of_battlefield	战场之花	true
unit_abilities_tooltip_text_hv_ability_flower_of_battlefield	此处不宜美人久留。	true
unit_ability_types_localised_description_hv_ability_flower_of_battlefield	战场之花	true
unit_ability_types_onscreen_name_hv_ability_flower_of_battlefield	主动增益	true
character_skills_localised_description_hv_skill_ability_imperious_presence	曹操的威势会激励周围所有部队，从而增强其战斗效率	true
character_skills_localised_name_hv_skill_ability_imperious_presence	跋扈	true
effects_description_hv_effect_unlock_imperious_presence	技能：跋扈	true
special_ability_phases_onscreen_name_hv_ability_imperious_presence	跋扈	true
unit_abilities_onscreen_name_hv_ability_imperious_presence	跋扈	true
unit_abilities_tooltip_text_hv_ability_imperious_presence	曹操的威势会激励周围所有部队，从而增强其战斗效率	true
unit_ability_types_localised_description_hv_ability_imperious_presence	跋扈	true
unit_ability_types_onscreen_name_hv_ability_imperious_presence	被动增益	true
character_skills_localised_description_hv_skill_ability_inspiring_words	刘备的话语可以促使麾下将士拼死效命	true
character_skills_localised_name_hv_skill_ability_inspiring_words	鼓舞	true
effects_description_hv_effect_unlock_inspiring_words	技能：鼓舞	true
special_ability_phases_onscreen_name_hv_ability_inspiring_words	鼓舞	true
unit_abilities_onscreen_name_hv_ability_inspiring_words	鼓舞	true
unit_abilities_tooltip_text_hv_ability_inspiring_words	刘备的话语可以促使麾下将士拼死效命	true
unit_ability_types_localised_description_hv_ability_inspiring_words	鼓舞	true
unit_ability_types_onscreen_name_hv_ability_inspiring_words	主动增益	true
character_skills_localised_description_hv_skill_ability_royal_blood	如果以弓箭射伤此人，弓箭手将遭受全中国的谴责。	true
character_skills_localised_name_hv_skill_ability_royal_blood	皇室贵胄	true
effects_description_hv_effect_unlock_royal_blood	技能：皇室贵胄	true
special_ability_phases_onscreen_name_hv_ability_royal_blood	皇室贵胄	true
unit_abilities_onscreen_name_hv_ability_royal_blood	皇室贵胄	true
unit_abilities_tooltip_text_hv_ability_royal_blood	如果以弓箭射伤此人，弓箭手将遭受全中国的谴责。	true
unit_ability_types_localised_description_hv_ability_royal_blood	皇室贵胄	true
unit_ability_types_onscreen_name_hv_ability_royal_blood	被动增益	true
character_skills_localised_description_hv_skill_ability_distant_courage	此人会在…安全距离指挥激励部队	true
character_skills_localised_name_hv_skill_ability_distant_courage	坚毅	true
effects_description_hv_effect_unlock_distant_courage	技能：坚毅	true
special_ability_phases_onscreen_name_hv_ability_distant_courage	坚毅	true
unit_abilities_onscreen_name_hv_ability_distant_courage	坚毅	true
unit_abilities_tooltip_text_hv_ability_distant_courage	此人会在…安全距离指挥激励部队	true
unit_ability_types_localised_description_hv_ability_distant_courage	坚毅	true
unit_ability_types_onscreen_name_hv_ability_distant_courage	被动增益	true
character_skills_localised_description_hv_skill_ability_order_of_tyrant	傲慢即信心所在	true
character_skills_localised_name_hv_skill_ability_order_of_tyrant	棈神抖擞	true
effects_description_hv_effect_unlock_order_of_tyrant	技能：棈神抖擞	true
special_ability_phases_onscreen_name_hv_ability_order_of_tyrant	棈神抖擞	true
unit_abilities_onscreen_name_hv_ability_order_of_tyrant	棈神抖擞	true
unit_abilities_tooltip_text_hv_ability_order_of_tyrant	傲慢即信心所在	true
unit_ability_types_localised_description_hv_ability_order_of_tyrant	棈神抖擞	true
unit_ability_types_onscreen_name_hv_ability_order_of_tyrant	被动增益	true
character_skills_localised_description_hv_skill_ability_cruel_lord	命令不易实行但也不可不从。	true
character_skills_localised_name_hv_skill_ability_cruel_lord	酷令	true
effects_description_hv_effect_unlock_cruel_lord	技能：酷令	true
special_ability_phases_onscreen_name_hv_ability_cruel_lord_1	酷令	true
special_ability_phases_onscreen_name_hv_ability_cruel_lord_2	酷令 (疲劳)	true
unit_abilities_onscreen_name_hv_ability_cruel_lord	酷令	true
unit_abilities_tooltip_text_hv_ability_cruel_lord	命令不易实行但也不可不从。	true
unit_ability_types_localised_description_hv_ability_cruel_lord	酷令	true
unit_ability_types_onscreen_name_hv_ability_cruel_lord	主动增益	true
character_skills_localised_description_hv_skill_ability_defence_mastery	组成无隙可乘的防御阵行。	true
character_skills_localised_name_hv_skill_ability_defence_mastery	山阵	true
effects_description_hv_effect_unlock_defence_mastery	技能：山阵	true
special_ability_phases_onscreen_name_hv_ability_defence_mastery	山阵	true
unit_abilities_onscreen_name_hv_ability_defence_mastery	山阵	true
unit_abilities_tooltip_text_hv_ability_defence_mastery	组成无隙可乘的防御阵行。	true
unit_ability_types_localised_description_hv_ability_defence_mastery	山阵	true
unit_ability_types_onscreen_name_hv_ability_defence_mastery	主动增益	true
character_skills_localised_description_hv_skill_ability_show_of_force	远程范围目标减益降低敌对单位士气。	true
character_skills_localised_name_hv_skill_ability_show_of_force	耀武	true
effects_description_hv_effect_unlock_show_of_force	技能：耀武	true
special_ability_phases_onscreen_name_hv_ability_show_of_force	耀武	true
unit_abilities_onscreen_name_hv_ability_show_of_force	耀武	true
unit_abilities_tooltip_text_hv_ability_show_of_force	远程范围目标减益降低敌对单位士气。	true
unit_ability_types_localised_description_hv_ability_show_of_force	耀武	true
unit_ability_types_onscreen_name_hv_ability_show_of_force	远程攻击	true
character_skills_localised_description_hv_skill_ability_nature_s_ally	敬爱森林者，森林将为其提供据点与前路	true
character_skills_localised_name_hv_skill_ability_nature_s_ally	天侣	true
effects_description_hv_effect_unlock_nature_s_ally	技能：天侣	true
special_ability_phases_onscreen_name_hv_ability_nature_s_ally	天侣	true
unit_abilities_onscreen_name_hv_ability_nature_s_ally	天侣	true
unit_abilities_tooltip_text_hv_ability_nature_s_ally	敬爱森林者，森林将为其提供据点与前路	true
unit_ability_types_localised_description_hv_ability_nature_s_ally	天侣	true
unit_ability_types_onscreen_name_hv_ability_nature_s_ally	被动增益	true
character_skills_localised_description_hv_skill_ability_the_weight_on_the_shoulders	总有人要付诸行动，就算没有人愿意处理。	true
character_skills_localised_name_hv_skill_ability_the_weight_on_the_shoulders	身负重担	true
effects_description_hv_effect_unlock_the_weight_on_the_shoulders	技能：身负重担	true
special_ability_phases_onscreen_name_hv_ability_the_weight_on_the_shoulders	身负重担	true
unit_abilities_onscreen_name_hv_ability_the_weight_on_the_shoulders	身负重担	true
unit_abilities_tooltip_text_hv_ability_the_weight_on_the_shoulders	总有人要付诸行动，就算没有人愿意处理。	true
unit_ability_types_localised_description_hv_ability_the_weight_on_the_shoulders	身负重担	true
unit_ability_types_onscreen_name_hv_ability_the_weight_on_the_shoulders	被动增益	true
character_skills_localised_description_hv_skill_ability_burn_their_bridge	兵士将会尽其所能图其存亡。	true
character_skills_localised_name_hv_skill_ability_burn_their_bridge	拆桥	true
effects_description_hv_effect_unlock_burn_their_bridge	技能：拆桥	true
special_ability_phases_onscreen_name_hv_ability_burn_their_bridge	拆桥	true
unit_abilities_onscreen_name_hv_ability_burn_their_bridge	拆桥	true
unit_abilities_tooltip_text_hv_ability_burn_their_bridge	兵士将会尽其所能图其存亡。	true
unit_ability_types_localised_description_hv_ability_burn_their_bridge	被动增益	true
unit_ability_types_onscreen_name_hv_ability_burn_their_bridge	被动增益	true
character_skills_localised_description_hv_skill_ability_stone_bulwark	大地的坚甲会弹开箭矢，令其无法造成伤害	true
character_skills_localised_name_hv_skill_ability_stone_bulwark	磐石	true
effects_description_hv_effect_unlock_stone_bulwark	技能：磐石	true
special_ability_phases_onscreen_name_hv_ability_stone_bulwark	磐石	true
unit_abilities_onscreen_name_hv_ability_stone_bulwark	磐石	true
unit_abilities_tooltip_text_hv_ability_stone_bulwark	大地的坚甲会弹开箭矢，令其无法造成伤害	true
unit_ability_types_localised_description_hv_ability_stone_bulwark	磐石	true
unit_ability_types_onscreen_name_hv_ability_stone_bulwark	主动增益	true
character_skills_localised_description_hv_skill_ability_unyielding_earth	大自然以自身的力量为勇士提供了一道盾牌	true
character_skills_localised_name_hv_skill_ability_unyielding_earth	坚土	true
effects_description_hv_effect_unlock_unyielding_earth	技能：坚土	true
special_ability_phases_onscreen_name_hv_ability_unyielding_earth	坚土	true
unit_abilities_onscreen_name_hv_ability_unyielding_earth	坚土	true
unit_abilities_tooltip_text_hv_ability_unyielding_earth	大自然以自身的力量为勇士提供了一道盾牌	true
unit_ability_types_localised_description_hv_ability_unyielding_earth	坚土	true
unit_ability_types_onscreen_name_hv_ability_unyielding_earth	主动增益	true
character_skills_localised_description_hv_skill_ability_storm_of_swords	这是场冲突。	true
character_skills_localised_name_hv_skill_ability_storm_of_swords	剑风暴	true
effects_description_hv_effect_unlock_storm_of_swords	技能：剑风暴	true
special_ability_phases_onscreen_name_hv_ability_storm_of_swords_1	剑风暴	true
special_ability_phases_onscreen_name_hv_ability_storm_of_swords_2	剑风暴 (疲劳)	true
unit_abilities_onscreen_name_hv_ability_storm_of_swords	剑风暴	true
unit_abilities_tooltip_text_hv_ability_storm_of_swords	这是场冲突。	true
unit_ability_types_localised_description_hv_ability_storm_of_swords	剑风暴	true
unit_ability_types_onscreen_name_hv_ability_storm_of_swords	主动增益	true
character_skills_localised_description_hv_skill_ability_mission	虽使部队犯险，但乃要紧任务。	true
character_skills_localised_name_hv_skill_ability_mission	强袭任务	true
effects_description_hv_effect_unlock_mission	技能：强袭任务	true
special_ability_phases_onscreen_name_hv_ability_mission	强袭任务	true
unit_abilities_onscreen_name_hv_ability_mission	强袭任务	true
unit_abilities_tooltip_text_hv_ability_mission	虽使部队犯险，但乃要紧任务。	true
unit_ability_types_localised_description_hv_ability_mission	强袭任务	true
unit_ability_types_onscreen_name_hv_ability_mission	主动增益	true
character_skills_localised_description_hv_skill_ability_lead_the_way	为将者率先士卒，其兵士行动莫不迟疑。	true
character_skills_localised_name_hv_skill_ability_lead_the_way	开道	true
effects_description_hv_effect_unlock_lead_the_way	技能：开道	true
special_ability_phases_onscreen_name_hv_ability_lead_the_way	开道	true
unit_abilities_onscreen_name_hv_ability_lead_the_way	开道	true
unit_abilities_tooltip_text_hv_ability_lead_the_way	为将者率先士卒，其兵士行动莫不迟疑。	true
unit_ability_types_localised_description_hv_ability_lead_the_way	开道	true
