key	text	tooltip
#Loc;1;text/!@hv_TEXT_SKILLSETS_ABILITY_fire.loc		
character_skills_localised_description_hv_skill_ability_rage_of_lu_bu	画戟猛烈地横扫，打击吕布周围的所有敌人	true
character_skills_localised_name_hv_skill_ability_rage_of_lu_bu	人中吕布	true
effects_description_hv_effect_unlock_rage_of_lu_bu	技能：人中吕布	true
special_ability_phases_onscreen_name_hv_ability_rage_of_lu_bu	人中吕布	true
unit_abilities_onscreen_name_hv_ability_rage_of_lu_bu	人中吕布	true
unit_abilities_tooltip_text_hv_ability_rage_of_lu_bu	画戟猛烈地横扫，打击吕布周围的所有敌人	true
unit_ability_types_localised_description_hv_ability_rage_of_lu_bu	人中吕布	true
unit_ability_types_onscreen_name_hv_ability_rage_of_lu_bu	近战杀伤	true
character_skills_localised_description_hv_skill_ability_smouldering_fury	敌人越多，吕布就会越强大！	true
character_skills_localised_name_hv_skill_ability_smouldering_fury	愤懑	true
effects_description_hv_effect_unlock_smouldering_fury	技能：愤懑	true
special_ability_phases_onscreen_name_hv_ability_smouldering_fury_1	愤懑	true
special_ability_phases_onscreen_name_hv_ability_smouldering_fury_2	愤懑	true
special_ability_phases_onscreen_name_hv_ability_smouldering_fury_3	愤懑	true
special_ability_phases_onscreen_name_hv_ability_smouldering_fury_4	愤懑	true
special_ability_phases_onscreen_name_hv_ability_smouldering_fury_5	愤懑	true
unit_abilities_onscreen_name_hv_ability_smouldering_fury	愤懑	true
unit_abilities_tooltip_text_hv_ability_smouldering_fury	敌人越多，吕布就会越强大！	true
unit_ability_types_localised_description_hv_ability_smouldering_fury	愤懑	true
unit_ability_types_onscreen_name_hv_ability_smouldering_fury	被动增益	true
character_skills_localised_description_hv_skill_ability_the_dragon_s_gaze	吕布的狂怒凝视，足以让所有人都畏缩不前！	true
character_skills_localised_name_hv_skill_ability_the_dragon_s_gaze	龙视	true
effects_description_hv_effect_unlock_the_dragon_s_gaze	技能：龙视	true
special_ability_phases_onscreen_name_hv_ability_the_dragon_s_gaze	龙视	true
unit_abilities_onscreen_name_hv_ability_the_dragon_s_gaze	龙视	true
unit_abilities_tooltip_text_hv_ability_the_dragon_s_gaze	吕布的狂怒凝视，足以让所有人都畏缩不前！	true
unit_ability_types_localised_description_hv_ability_the_dragon_s_gaze	龙视	true
unit_ability_types_onscreen_name_hv_ability_the_dragon_s_gaze	主动减益	true
character_skills_localised_description_hv_skill_ability_reign_of_terror	暴君震怒，属下瑟瑟发抖	true
character_skills_localised_name_hv_skill_ability_reign_of_terror	怖惧	true
effects_description_hv_effect_unlock_reign_of_terror	技能：怖惧	true
special_ability_phases_onscreen_name_hv_ability_reign_of_terror	怖惧	true
unit_abilities_onscreen_name_hv_ability_reign_of_terror	怖惧	true
unit_abilities_tooltip_text_hv_ability_reign_of_terror	暴君震怒，属下瑟瑟发抖	true
unit_ability_types_localised_description_hv_ability_reign_of_terror	怖惧	true
unit_ability_types_onscreen_name_hv_ability_reign_of_terror	被动增益	true
character_skills_localised_description_hv_skill_ability_dong_command	严苛高压的命令。	true
character_skills_localised_name_hv_skill_ability_dong_command	董卓之令	true
effects_description_hv_effect_unlock_dong_command	技能：董卓之令	true
special_ability_phases_onscreen_name_hv_ability_dong_command_1	董卓之令	true
special_ability_phases_onscreen_name_hv_ability_dong_command_2	董卓之令	true
unit_abilities_onscreen_name_hv_ability_dong_command	董卓之令	true
unit_abilities_tooltip_text_hv_ability_dong_command	严苛高压的命令。	true
unit_ability_types_localised_description_hv_ability_dong_command	董卓之令	true
unit_ability_types_onscreen_name_hv_ability_dong_command	主动增益	true
character_skills_localised_description_hv_skill_ability_blade_breaker	望着刀刃徒劳地划过铠甲，暴君不禁朗声大笑	true
character_skills_localised_name_hv_skill_ability_blade_breaker	断刃	true
effects_description_hv_effect_unlock_blade_breaker	技能：断刃	true
special_ability_phases_onscreen_name_hv_ability_blade_breaker	断刃	true
unit_abilities_onscreen_name_hv_ability_blade_breaker	断刃	true
unit_abilities_tooltip_text_hv_ability_blade_breaker	望着刀刃徒劳地划过铠甲，暴君不禁朗声大笑	true
unit_ability_types_localised_description_hv_ability_blade_breaker	断刃	true
unit_ability_types_onscreen_name_hv_ability_blade_breaker	被动增益	true
character_skills_localised_description_hv_skill_ability_blood_fury	孙策的力量增强，同时其自控力也在减弱…	true
character_skills_localised_name_hv_skill_ability_blood_fury	血怒	true
effects_description_hv_effect_unlock_blood_fury	技能：血怒	true
special_ability_phases_onscreen_name_hv_ability_blood_fury	血怒	true
unit_abilities_onscreen_name_hv_ability_blood_fury	血怒	true
unit_abilities_tooltip_text_hv_ability_blood_fury	孙策的力量增强，同时其自控力也在减弱…	true
unit_ability_types_localised_description_hv_ability_blood_fury	血怒	true
unit_ability_types_onscreen_name_hv_ability_blood_fury	被动增益	true
character_skills_localised_description_hv_skill_ability_devastating_roar	以愤怒的怒吼压制敌人士气！	true
character_skills_localised_name_hv_skill_ability_devastating_roar	狂号	true
effects_description_hv_effect_unlock_devastating_roar	技能：狂号	true
special_ability_phases_onscreen_name_hv_ability_devastating_roar	狂号	true
unit_abilities_onscreen_name_hv_ability_devastating_roar	狂号	true
unit_abilities_tooltip_text_hv_ability_devastating_roar	以愤怒的怒吼压制敌人士气！	true
unit_ability_types_localised_description_hv_ability_devastating_roar	狂号	true
unit_ability_types_onscreen_name_hv_ability_devastating_roar	主动减益	true
character_skills_localised_description_hv_skill_ability_heart_seeker	孙仁仅需一击便可致敌于死地	true
character_skills_localised_name_hv_skill_ability_heart_seeker	觅心	true
effects_description_hv_effect_unlock_heart_seeker	技能：觅心	true
special_ability_phases_onscreen_name_hv_ability_heart_seeker	觅心	true
unit_abilities_onscreen_name_hv_ability_heart_seeker	觅心	true
unit_abilities_tooltip_text_hv_ability_heart_seeker	孙仁仅需一击便可致敌于死地	true
unit_ability_types_localised_description_hv_ability_heart_seeker	觅心	true
unit_ability_types_onscreen_name_hv_ability_heart_seeker	远程杀伤	true
character_skills_localised_description_hv_skill_ability_sundering_strike	张飞奋力一击，敌军防御土崩瓦解	true
character_skills_localised_name_hv_skill_ability_sundering_strike	裂斩	true
effects_description_hv_effect_unlock_sundering_strike	技能：	true
special_ability_phases_onscreen_name_hv_ability_sundering_strike	裂斩	true
unit_abilities_onscreen_name_hv_ability_sundering_strike	裂斩	true
unit_abilities_tooltip_text_hv_ability_sundering_strike	张飞奋力一击，敌军防御土崩瓦解	true
unit_ability_types_localised_description_hv_ability_sundering_strike	裂斩	true
unit_ability_types_onscreen_name_hv_ability_sundering_strike	远程杀伤	true
character_skills_localised_description_hv_skill_ability_blazing_roar	张飞仰天怒吼，敌军士气溃散！	true
character_skills_localised_name_hv_skill_ability_blazing_roar	怒吼	true
