key	text	tooltip
#Loc;1;text/!@hv_TEXT_SKILLSETS_ABILITY_metal.loc		
character_skills_localised_description_hv_skill_ability_impetuous_charge	鲁莽的冲锋，虽可振奋人心却也很令人疲惫！	true
character_skills_localised_name_hv_skill_ability_impetuous_charge	横冲	true
effects_description_hv_effect_unlock_impetuous_charge	技能：横冲	true
special_ability_phases_onscreen_name_hv_ability_impetuous_charge	横冲	true
unit_abilities_onscreen_name_hv_ability_impetuous_charge	横冲	true
unit_abilities_tooltip_text_hv_ability_impetuous_charge	鲁莽的冲锋，虽可振奋人心却也很令人疲惫！	true
unit_ability_types_localised_description_hv_ability_impetuous_charge	横冲	true
unit_ability_types_onscreen_name_hv_ability_impetuous_charge	主动增益	true
character_skills_localised_description_hv_skill_ability_claws_of_tiger	孙坚曾在战场上击杀无数的敌人。	true
character_skills_localised_name_hv_skill_ability_claws_of_tiger	猛虎之爪	true
effects_description_hv_effect_unlock_claws_of_tiger	技能：猛虎之爪	true
special_ability_phases_onscreen_name_hv_ability_claws_of_tiger	猛虎之爪	true
unit_abilities_onscreen_name_hv_ability_claws_of_tiger	猛虎之爪	true
unit_abilities_tooltip_text_hv_ability_claws_of_tiger	孙坚曾在战场上击杀无数的敌人。	true
unit_ability_types_localised_description_hv_ability_claws_of_tiger	猛虎之爪	true
unit_ability_types_onscreen_name_hv_ability_claws_of_tiger	被动增益	true
character_skills_localised_description_hv_skill_ability_inward_focus	专注于形则可避敌锋芒	true
character_skills_localised_name_hv_skill_ability_inward_focus	内凝	true
effects_description_hv_effect_unlock_inward_focus	技能：内凝	true
special_ability_phases_onscreen_name_hv_ability_inward_focus	内凝	true
unit_abilities_onscreen_name_hv_ability_inward_focus	内凝	true
unit_abilities_tooltip_text_hv_ability_inward_focus	专注于形则可避敌锋芒	true
unit_ability_types_localised_description_hv_ability_inward_focus	内凝	true
unit_ability_types_onscreen_name_hv_ability_inward_focus	被动增益	true
character_skills_localised_description_hv_skill_ability_fleet_footed	此人相信只有先擒拿敌人方可将之铲除	true
character_skills_localised_name_hv_skill_ability_fleet_footed	疾行	true
effects_description_hv_effect_unlock_fleet_footed	技能：疾行	true
special_ability_phases_onscreen_name_hv_ability_fleet_footed	疾行	true
unit_abilities_onscreen_name_hv_ability_fleet_footed	疾行	true
unit_abilities_tooltip_text_hv_ability_fleet_footed	此人相信只有先擒拿敌人方可将之铲除	true
unit_ability_types_localised_description_hv_ability_fleet_footed	疾行	true
unit_ability_types_onscreen_name_hv_ability_fleet_footed	主动增益	true
character_skills_localised_description_hv_skill_ability_resolve_of_the_righteous	以寡击众，则士卒必效死：所谓兵不在多，而在其用	true
character_skills_localised_name_hv_skill_ability_resolve_of_the_righteous	贞义	true
effects_description_hv_effect_unlock_resolve_of_the_righteous	技能：贞义	true
special_ability_phases_onscreen_name_hv_ability_resolve_of_the_righteous	贞义	true
unit_abilities_onscreen_name_hv_ability_resolve_of_the_righteous	贞义	true
unit_abilities_tooltip_text_hv_ability_resolve_of_the_righteous	以寡击众，则士卒必效死：所谓兵不在多，而在其用	true
unit_ability_types_localised_description_hv_ability_resolve_of_the_righteous	贞义	true
unit_ability_types_onscreen_name_hv_ability_resolve_of_the_righteous	被动增益	true
character_skills_localised_description_hv_skill_ability_elemental_vigour	赵云，愈战愈勇！	true
character_skills_localised_name_hv_skill_ability_elemental_vigour	龙胆	true
effects_description_hv_effect_unlock_elemental_vigour	技能：龙胆	true
special_ability_phases_onscreen_name_hv_ability_elemental_vigour_1	龙胆	true
special_ability_phases_onscreen_name_hv_ability_elemental_vigour_2	龙胆	true
special_ability_phases_onscreen_name_hv_ability_elemental_vigour_3	龙胆	true
special_ability_phases_onscreen_name_hv_ability_elemental_vigour_4	龙胆	true
special_ability_phases_onscreen_name_hv_ability_elemental_vigour_5	龙胆	true
unit_abilities_onscreen_name_hv_ability_elemental_vigour	龙胆	true
unit_abilities_tooltip_text_hv_ability_elemental_vigour	赵云，愈战愈勇！	true
unit_ability_types_localised_description_hv_ability_elemental_vigour	龙胆	true
unit_ability_types_onscreen_name_hv_ability_elemental_vigour	被动增益	true
character_skills_localised_description_hv_skill_ability_hail_of_arrows	瓢泼箭雨阻碍了敌人的前进	true
character_skills_localised_name_hv_skill_ability_hail_of_arrows	箭雨	true
effects_description_hv_effect_unlock_hail_of_arrows	技能：箭雨	true
special_ability_phases_onscreen_name_hv_ability_hail_of_arrows	箭雨	true
unit_abilities_onscreen_name_hv_ability_hail_of_arrows	箭雨	true
unit_abilities_tooltip_text_hv_ability_hail_of_arrows	瓢泼箭雨阻碍了敌人的前进	true
unit_ability_types_localised_description_hv_ability_hail_of_arrows	箭雨	true
unit_ability_types_onscreen_name_hv_ability_hail_of_arrows	远程杀伤	true
character_skills_localised_description_hv_skill_ability_warning_shot	「这下一箭，射的就是汝之心窝！」	true
character_skills_localised_name_hv_skill_ability_warning_shot	射缨	true
effects_description_hv_effect_unlock_warning_shot	技能：射缨	true
special_ability_phases_onscreen_name_hv_ability_warning_shot	射缨	true
unit_abilities_onscreen_name_hv_ability_warning_shot	射缨	true
unit_abilities_tooltip_text_hv_ability_warning_shot	「这下一箭，射的就是汝之心窝！」	true
unit_ability_types_localised_description_hv_ability_warning_shot	射缨	true
unit_ability_types_onscreen_name_hv_ability_warning_shot	远程杀伤	true
character_skills_localised_description_hv_skill_ability_ghost_of_forest	此人知晓如何于林中震摄敌军。	true
character_skills_localised_name_hv_skill_ability_ghost_of_forest	林中之鬼	true
effects_description_hv_effect_unlock_ghost_of_forest	技能：林中之鬼	true
special_ability_phases_onscreen_name_hv_ability_ghost_of_forest	林中之鬼	true
unit_abilities_onscreen_name_hv_ability_ghost_of_forest	林中之鬼	true
unit_abilities_tooltip_text_hv_ability_ghost_of_forest	此人知晓如何于林中震摄敌军。	true
unit_ability_types_localised_description_hv_ability_ghost_of_forest	林中之鬼	true
unit_ability_types_onscreen_name_hv_ability_ghost_of_forest	被动减益	true
character_skills_localised_description_hv_skill_ability_swift_fingers	凭借训练留下的感觉，将军能以脱兔之迅重新弯弓搭箭	true
character_skills_localised_name_hv_skill_ability_swift_fingers	妙手	true
effects_description_hv_effect_unlock_swift_fingers	技能：妙手	true
special_ability_phases_onscreen_name_hv_ability_swift_fingers	妙手	true
unit_abilities_onscreen_name_hv_ability_swift_fingers	妙手	true
unit_abilities_tooltip_text_hv_ability_swift_fingers	凭借训练留下的感觉，将军能以脱兔之迅重新弯弓搭箭	true
unit_ability_types_localised_description_hv_ability_swift_fingers	妙手	true
unit_ability_types_onscreen_name_hv_ability_swift_fingers	被动增益	true
character_skills_localised_description_hv_skill_ability_tenacity_of_steel	此人战斗得越久，就越强大！	true
character_skills_localised_name_hv_skill_ability_tenacity_of_steel	刚韧	true
effects_description_hv_effect_unlock_tenacity_of_steel	技能：刚韧	true
special_ability_phases_onscreen_name_hv_ability_tenacity_of_steel_1	刚韧	true
special_ability_phases_onscreen_name_hv_ability_tenacity_of_steel_2	刚韧	true
special_ability_phases_onscreen_name_hv_ability_tenacity_of_steel_3	刚韧	true
special_ability_phases_onscreen_name_hv_ability_tenacity_of_steel_4	刚韧	true
special_ability_phases_onscreen_name_hv_ability_tenacity_of_steel_5	刚韧	true
unit_abilities_onscreen_name_hv_ability_tenacity_of_steel	刚韧	true
unit_abilities_tooltip_text_hv_ability_tenacity_of_steel	此人战斗得越久，就越强大！	true
unit_ability_types_localised_description_hv_ability_tenacity_of_steel	刚韧	true
unit_ability_types_onscreen_name_hv_ability_tenacity_of_steel	被动增益	true
character_skills_localised_description_hv_skill_ability_adamant_resolve	决心与勇气可以弹开所有的攻击	true
character_skills_localised_name_hv_skill_ability_adamant_resolve	不屈	true
effects_description_hv_effect_unlock_adamant_resolve	技能：不屈	true
special_ability_phases_onscreen_name_hv_ability_adamant_resolve	不屈	true
unit_abilities_onscreen_name_hv_ability_adamant_resolve	不屈	true
unit_abilities_tooltip_text_hv_ability_adamant_resolve	决心与勇气可以弹开所有的攻击	true
unit_ability_types_localised_description_hv_ability_adamant_resolve	不屈	true
unit_ability_types_onscreen_name_hv_ability_adamant_resolve	主动增益	true
character_skills_localised_description_hv_skill_ability_tempered_deflection	如钢铁般的冷静沉着，可以更好地抵御攻击	true
character_skills_localised_name_hv_skill_ability_tempered_deflection	固守	true
effects_description_hv_effect_unlock_tempered_deflection	技能：固守	true
special_ability_phases_onscreen_name_hv_ability_tempered_deflection	固守	true
unit_abilities_onscreen_name_hv_ability_tempered_deflection	固守	true
unit_abilities_tooltip_text_hv_ability_tempered_deflection	如钢铁般的冷静沉着，可以更好地抵御攻击	true
unit_ability_types_localised_description_hv_ability_tempered_deflection	固守	true
unit_ability_types_onscreen_name_hv_ability_tempered_deflection	被动减益	true
character_skills_localised_description_hv_skill_ability_assemble	兵士们集结于此英雄的麾下。	true
character_skills_localised_name_hv_skill_ability_assemble	集结	true
effects_description_hv_effect_unlock_assemble	技能：集结	true
special_ability_phases_onscreen_name_hv_ability_assemble	集结	true
unit_abilities_onscreen_name_hv_ability_assemble	集结	true
unit_abilities_tooltip_text_hv_ability_assemble	兵士们集结于此英雄的麾下。	true
