key	text	tooltip
#Loc;1;text/!@hv_TEXT_SKILLSETS_ABILITY_water.loc		
character_skills_localised_description_hv_skill_ability_foresight	郭嘉可以看透过去与未来之事。	true
character_skills_localised_name_hv_skill_ability_foresight	远见	true
effects_description_hv_effect_unlock_foresight	技能：远见	true
special_ability_phases_onscreen_name_hv_ability_foresight	远见	true
unit_abilities_onscreen_name_hv_ability_foresight	远见	true
unit_abilities_tooltip_text_hv_ability_foresight	郭嘉可以看透过去与未来之事。	true
unit_ability_types_localised_description_hv_ability_foresight	远见	true
unit_ability_types_onscreen_name_hv_ability_foresight	被动增益	true
character_skills_localised_description_hv_skill_ability_kingmaker	荀彧是位有能辅佐帝王之士，没有人会怀疑这一点。	true
character_skills_localised_name_hv_skill_ability_kingmaker	王佐	true
effects_description_hv_effect_unlock_kingmaker	技能：王佐	true
special_ability_phases_onscreen_name_hv_ability_kingmaker	王佐	true
unit_abilities_onscreen_name_hv_ability_kingmaker	王佐	true
unit_abilities_tooltip_text_hv_ability_kingmaker	荀彧是位有能辅佐帝王之士，没有人会怀疑这一点。	true
unit_ability_types_localised_description_hv_ability_kingmaker	王佐	true
unit_ability_types_onscreen_name_hv_ability_kingmaker	被动增益	true
character_skills_localised_description_hv_skill_ability_whitewater	此等神迹足以令敌人停下脚步	true
character_skills_localised_name_hv_skill_ability_whitewater	湍流	true
effects_description_hv_effect_unlock_whitewater	技能：湍流	true
special_ability_phases_onscreen_name_hv_ability_whitewater	湍流	true
unit_abilities_onscreen_name_hv_ability_whitewater	湍流	true
unit_abilities_tooltip_text_hv_ability_whitewater	此等神迹足以令敌人停下脚步	true
unit_ability_types_localised_description_hv_ability_whitewater	湍流	true
unit_ability_types_onscreen_name_hv_ability_whitewater	被动减益	true
character_skills_localised_description_hv_skill_ability_sight_of_the_dragon	敌人已经暴露，他们岂能逃脱大地的掌控！	true
character_skills_localised_name_hv_skill_ability_sight_of_the_dragon	龙睛	true
effects_description_hv_effect_unlock_sight_of_the_dragon	技能：龙睛	true
special_ability_phases_onscreen_name_hv_ability_sight_of_the_dragon	龙睛	true
unit_abilities_onscreen_name_hv_ability_sight_of_the_dragon	龙睛	true
unit_abilities_tooltip_text_hv_ability_sight_of_the_dragon	敌人已经暴露，他们岂能逃脱大地的掌控！	true
unit_ability_types_localised_description_hv_ability_sight_of_the_dragon	龙睛	true
unit_ability_types_onscreen_name_hv_ability_sight_of_the_dragon	被动增益	true
character_skills_localised_description_hv_skill_ability_way_of_the_wind	诸葛亮精通天文地理，故而可以预测风的来临	true
character_skills_localised_name_hv_skill_ability_way_of_the_wind	风道	true
effects_description_hv_effect_unlock_way_of_the_wind	技能：风道	true
special_ability_phases_onscreen_name_hv_ability_way_of_the_wind	风道	true
unit_abilities_onscreen_name_hv_ability_way_of_the_wind	风道	true
unit_abilities_tooltip_text_hv_ability_way_of_the_wind	诸葛亮精通天文地理，故而可以预测风的来临	true
unit_ability_types_localised_description_hv_ability_way_of_the_wind	风道	true
