key	text	tooltip
#Loc;1;text/!@hv_TEXT_SKILLSETS_ABILITY_ytr.loc		
character_skills_localised_description_hv_skill_ability_commanding_shout	同袍兄弟，狂呼迎战	true
character_skills_localised_name_hv_skill_ability_commanding_shout	训令	true
effects_description_hv_effect_unlock_commanding_shout	技能：训令	true
special_ability_phases_onscreen_name_hv_ability_commanding_shout	训令	true
unit_abilities_onscreen_name_hv_ability_commanding_shout	训令	true
unit_abilities_tooltip_text_hv_ability_commanding_shout	同袍兄弟，狂呼迎战	true
unit_ability_types_localised_description_hv_ability_commanding_shout	训令	true
unit_ability_types_onscreen_name_hv_ability_commanding_shout	主动增益	true
character_skills_localised_description_hv_skill_ability_condemn	闻此詈语，无不羞愧。	true
character_skills_localised_name_hv_skill_ability_condemn	声讨	true
effects_description_hv_effect_unlock_condemn	技能：声讨	true
special_ability_phases_onscreen_name_hv_ability_condemn	声讨	true
unit_abilities_onscreen_name_hv_ability_condemn	声讨	true
unit_abilities_tooltip_text_hv_ability_condemn	闻此詈语，无不羞愧。	true
unit_ability_types_localised_description_hv_ability_condemn	声讨	true
unit_ability_types_onscreen_name_hv_ability_condemn	近战杀伤	true
character_skills_localised_description_hv_skill_ability_desperate_cry	驱人者非令，道也	true
character_skills_localised_name_hv_skill_ability_desperate_cry	绝号	true
effects_description_hv_effect_unlock_desperate_cry	技能：绝号	true
special_ability_phases_onscreen_name_hv_ability_desperate_cry	绝号	true
unit_abilities_onscreen_name_hv_ability_desperate_cry	绝号	true
unit_abilities_tooltip_text_hv_ability_desperate_cry	驱人者非令，道也	true
unit_ability_types_localised_description_hv_ability_desperate_cry	绝号	true
unit_ability_types_onscreen_name_hv_ability_desperate_cry	主动增益	true
character_skills_localised_description_hv_skill_ability_disorientate	坚忍之士亦为所惑	true
character_skills_localised_name_hv_skill_ability_disorientate	蛊惑	true
effects_description_hv_effect_unlock_disorientate	技能：蛊惑	true
special_ability_phases_onscreen_name_hv_ability_disorientate	蛊惑	true
unit_abilities_onscreen_name_hv_ability_disorientate	蛊惑	true
