key	text	tooltip
#Loc;1;text/!@hv_TEXT_TECH.loc		
technologies_onscreen_name_3k_main_tech_wood_tier0_provincial_iron_tool_forges	{{tr:3k_main_text_replacement_tech_fire_tier1_military_markets_name_key}}	true
technologies_onscreen_name_3k_main_tech_wood_tier0_resettlement_incentives	{{tr:3k_main_text_replacement_tech_wood_tier0_resettlement_incentives_name_key}}	true
technologies_onscreen_name_3k_main_tech_wood_tier1_agricultural_tax_relief	{{tr:3k_main_text_replacement_tech_wood_tier1_agricultural_tax_relief_name_key}}	true
technologies_onscreen_name_3k_main_tech_wood_tier1_government_tool_distribution	{{tr:3k_main_text_replacement_tech_fire_tier1_garrison_conscripts_name_key}}	true
technologies_onscreen_name_3k_main_tech_wood_tier1_transverse_bulkheads	{{tr:3k_main_text_replacement_tech_fire_tier0_regional_commissioners_name_key}}	true
technologies_onscreen_name_3k_main_tech_wood_tier1_winnowing_machines	{{tr:3k_main_text_replacement_tech_water_tier0_foreign_envoys_name_key}}	true
technologies_onscreen_name_3k_main_tech_wood_tier2_disaster_relief_systems	{{tr:3k_main_text_replacement_tech_wood_tier2_government_controlled_granaries_name_key}}	true
technologies_onscreen_name_3k_main_tech_wood_tier2_government_controlled_granaries	{{tr:3k_main_text_replacement_tech_wood_tier2_permission_to_forage_name_key}}	true
technologies_onscreen_name_3k_main_tech_wood_tier2_irrigation_systems	{{tr:3k_main_text_replacement_tech_metal_tier1_pottery_bricks_name_key}}	true
technologies_onscreen_name_3k_main_tech_wood_tier2_junks	{{tr:3k_main_text_replacement_tech_wood_tier2_sharecropping_name_key}}	true
technologies_onscreen_name_3k_main_tech_wood_tier2_manual_of_farming_techniques	{{tr:3k_main_text_replacement_tech_wood_tier1_winnowing_machines_name_key}}	true
technologies_onscreen_name_3k_main_tech_wood_tier2_permission_to_forage	{{tr:3k_main_text_replacement_tech_water_tier0_private_tutors_name_key}}	true
technologies_onscreen_name_3k_main_tech_wood_tier2_sharecropping	地方军 1	true
technologies_onscreen_name_3k_main_tech_wood_tier3_agricultural_garrisons	地方军 2	true
technologies_onscreen_name_3k_main_tech_wood_tier3_facilitation_of_landlord_exploitation	{{tr:3k_main_text_replacement_tech_fire_tier2_convict_drafts_name_key}}	true
technologies_onscreen_name_3k_main_tech_wood_tier3_intensive_cultivation_techniques	{{tr:3k_main_text_replacement_tech_earth_tier1_civil_service_recommendations_name_key}}	true
technologies_short_description_3k_main_tech_wood_tier0_provincial_iron_tool_forges	{{tr:3k_main_text_replacement_tech_fire_tier1_military_markets_short_description_key}}	true
technologies_short_description_3k_main_tech_wood_tier0_resettlement_incentives	{{tr:3k_main_text_replacement_tech_wood_tier0_resettlement_incentives_short_description_key}}	true
technologies_short_description_3k_main_tech_wood_tier1_agricultural_tax_relief	{{tr:3k_main_text_replacement_tech_wood_tier1_agricultural_tax_relief_short_description_key}}	true
technologies_short_description_3k_main_tech_wood_tier1_government_tool_distribution	{{tr:3k_main_text_replacement_tech_fire_tier1_garrison_conscripts_short_description_key}}	true
technologies_short_description_3k_main_tech_wood_tier1_transverse_bulkheads	{{tr:3k_main_text_replacement_tech_fire_tier0_regional_commissioners_short_description_key}}	true
technologies_short_description_3k_main_tech_wood_tier1_winnowing_machines	{{tr:3k_main_text_replacement_tech_water_tier0_foreign_envoys_short_description_key}}	true
technologies_short_description_3k_main_tech_wood_tier2_disaster_relief_systems	{{tr:3k_main_text_replacement_tech_wood_tier2_government_controlled_granaries_short_description_key}}	true
technologies_short_description_3k_main_tech_wood_tier2_government_controlled_granaries	{{tr:3k_main_text_replacement_tech_wood_tier2_permission_to_forage_short_description_key}}	true
technologies_short_description_3k_main_tech_wood_tier2_irrigation_systems	{{tr:3k_main_text_replacement_tech_metal_tier1_pottery_bricks_short_description_key}}	true
technologies_short_description_3k_main_tech_wood_tier2_junks	{{tr:3k_main_text_replacement_tech_wood_tier2_sharecropping_short_description_key}}	true
technologies_short_description_3k_main_tech_wood_tier2_manual_of_farming_techniques	{{tr:3k_main_text_replacement_tech_wood_tier1_winnowing_machines_short_description_key}}	true
technologies_short_description_3k_main_tech_wood_tier2_permission_to_forage	{{tr:3k_main_text_replacement_tech_water_tier0_private_tutors_short_description_key}}	true
technologies_short_description_3k_main_tech_wood_tier2_sharecropping	重建军制以训练更专业兵士。	true
technologies_short_description_3k_main_tech_wood_tier3_agricultural_garrisons	重建军制以训练更专业兵士。	true
technologies_short_description_3k_main_tech_wood_tier3_facilitation_of_landlord_exploitation	{{tr:3k_main_text_replacement_tech_fire_tier2_convict_drafts_short_description_key}}	true
technologies_short_description_3k_main_tech_wood_tier3_intensive_cultivation_techniques	{{tr:3k_main_text_replacement_tech_earth_tier1_civil_service_recommendations_short_description_key}}	true
technologies_long_description_3k_main_tech_wood_tier0_provincial_iron_tool_forges	{{tr:3k_main_text_replacement_tech_fire_tier1_military_markets_long_description_key}}	true
technologies_long_description_3k_main_tech_wood_tier0_resettlement_incentives	{{tr:3k_main_text_replacement_tech_wood_tier0_resettlement_incentives_long_description_key}}	true
technologies_long_description_3k_main_tech_wood_tier1_agricultural_tax_relief	{{tr:3k_main_text_replacement_tech_wood_tier1_agricultural_tax_relief_long_description_key}}	true
technologies_long_description_3k_main_tech_wood_tier1_government_tool_distribution	{{tr:3k_main_text_replacement_tech_fire_tier1_garrison_conscripts_long_description_key}}	true
technologies_long_description_3k_main_tech_wood_tier1_transverse_bulkheads	{{tr:3k_main_text_replacement_tech_fire_tier0_regional_commissioners_long_description_key}}	true
technologies_long_description_3k_main_tech_wood_tier1_winnowing_machines	{{tr:3k_main_text_replacement_tech_water_tier0_foreign_envoys_long_description_key}}	true
technologies_long_description_3k_main_tech_wood_tier2_disaster_relief_systems	{{tr:3k_main_text_replacement_tech_wood_tier2_government_controlled_granaries_long_description_key}}	true
technologies_long_description_3k_main_tech_wood_tier2_government_controlled_granaries	{{tr:3k_main_text_replacement_tech_wood_tier2_permission_to_forage_long_description_key}}	true
technologies_long_description_3k_main_tech_wood_tier2_irrigation_systems	{{tr:3k_main_text_replacement_tech_metal_tier1_pottery_bricks_long_description_key}}	true
technologies_long_description_3k_main_tech_wood_tier2_junks	{{tr:3k_main_text_replacement_tech_wood_tier2_sharecropping_long_description_key}}	true
technologies_long_description_3k_main_tech_wood_tier2_manual_of_farming_techniques	{{tr:3k_main_text_replacement_tech_wood_tier1_winnowing_machines_long_description_key}}	true
technologies_long_description_3k_main_tech_wood_tier2_permission_to_forage	{{tr:3k_main_text_replacement_tech_water_tier0_private_tutors_long_description_key}}	true
technologies_long_description_3k_main_tech_wood_tier2_sharecropping	重建军制以训练更专业兵士。	true
technologies_long_description_3k_main_tech_wood_tier3_agricultural_garrisons	重建军制以训练更专业兵士。	true
technologies_long_description_3k_main_tech_wood_tier3_facilitation_of_landlord_exploitation	{{tr:3k_main_text_replacement_tech_fire_tier2_convict_drafts_long_description_key}}	true
technologies_long_description_3k_main_tech_wood_tier3_intensive_cultivation_techniques	{{tr:3k_main_text_replacement_tech_earth_tier1_civil_service_recommendations_long_description_key}}	true
technologies_onscreen_name_3k_main_tech_water_tier0_foreign_envoys	{{tr:3k_main_text_replacement_tech_metal_tier2_shaft_mining_name_key}}	true
technologies_onscreen_name_3k_main_tech_water_tier0_private_tutors	{{tr:3k_main_text_replacement_tech_fire_tier2_supply_canals_name_key}}	true
technologies_onscreen_name_3k_main_tech_water_tier1_annual_proficiency_reports	{{tr:3k_main_text_replacement_tech_wood_tier2_manual_of_farming_techniques_name_key}}	true
technologies_onscreen_name_3k_main_tech_water_tier1_diplomatic_missions	{{tr:3k_main_text_replacement_tech_water_tier1_diplomatic_missions_name_key}}	true
technologies_onscreen_name_3k_main_tech_water_tier1_masterful_disguise_techniques	{{tr:3k_main_text_replacement_tech_wood_tier1_transverse_bulkheads_name_key}}	true
technologies_onscreen_name_3k_main_tech_water_tier2_dedicated_spy_network	{{tr:3k_main_text_replacement_tech_wood_tier2_irrigation_systems_name_key}}	true
technologies_onscreen_name_3k_main_tech_water_tier2_handbook_of_excellence	{{tr:3k_main_text_replacement_tech_metal_tier1_government_enterprises_name_key}}	true
technologies_onscreen_name_3k_main_tech_water_tier2_inns	{{tr:3k_main_text_replacement_tech_earth_tier1_bureau_of_banditry_name_key}}	true
technologies_onscreen_name_3k_main_tech_water_tier2_market_administration	{{tr:3k_main_text_replacement_tech_fire_tier2_regional_levy_name_key}}	true
technologies_onscreen_name_3k_main_tech_water_tier2_sino-roman_embassy	{{tr:3k_main_text_replacement_tech_metal_tier0_currency_based_economy_name_key}}	true
technologies_onscreen_name_3k_main_tech_water_tier3_divine_manipultation_of_threads	{{tr:3k_main_text_replacement_tech_wood_tier3_intensive_cultivation_techniques_name_key}}	true
technologies_onscreen_name_3k_main_tech_water_tier3_hostels	{{tr:3k_main_text_replacement_tech_metal_tier2_corvee_labour_name_key}}	true
technologies_onscreen_name_3k_main_tech_water_tier3_silk_road_expeditions	{{tr:3k_main_text_replacement_tech_water_tier3_silk_road_expeditions_name_key}}	true
technologies_onscreen_name_3k_main_tech_water_tier3_trading	{{tr:3k_main_text_replacement_tech_water_tier2_market_administration_name_key}}	true
technologies_onscreen_name_3k_main_tech_water_tier3_treatise_on_human_beings	攻城器械	true
technologies_onscreen_name_3k_main_tech_water_tier3_way_of_great_peace	市场规范	true
technologies_short_description_3k_main_tech_water_tier0_foreign_envoys	{{tr:3k_main_text_replacement_tech_metal_tier2_shaft_mining_short_description_key}}	true
technologies_short_description_3k_main_tech_water_tier0_private_tutors	{{tr:3k_main_text_replacement_tech_fire_tier2_supply_canals_short_description_key}}	true
technologies_short_description_3k_main_tech_water_tier1_annual_proficiency_reports	{{tr:3k_main_text_replacement_tech_wood_tier2_manual_of_farming_techniques_short_description_key}}	true
technologies_short_description_3k_main_tech_water_tier1_diplomatic_missions	{{tr:3k_main_text_replacement_tech_water_tier1_diplomatic_missions_short_description_key}}	true
technologies_short_description_3k_main_tech_water_tier1_masterful_disguise_techniques	{{tr:3k_main_text_replacement_tech_wood_tier1_transverse_bulkheads_short_description_key}}	true
technologies_short_description_3k_main_tech_water_tier2_dedicated_spy_network	{{tr:3k_main_text_replacement_tech_wood_tier2_irrigation_systems_short_description_key}}	true
technologies_short_description_3k_main_tech_water_tier2_handbook_of_excellence	{{tr:3k_main_text_replacement_tech_metal_tier1_government_enterprises_short_description_key}}	true
technologies_short_description_3k_main_tech_water_tier2_inns	{{tr:3k_main_text_replacement_tech_earth_tier1_bureau_of_banditry_short_description_key}}	true
technologies_short_description_3k_main_tech_water_tier2_market_administration	{{tr:3k_main_text_replacement_tech_fire_tier2_regional_levy_short_description_key}}	true
technologies_short_description_3k_main_tech_water_tier2_sino-roman_embassy	{{tr:3k_main_text_replacement_tech_metal_tier0_currency_based_economy_short_description_key}}	true
technologies_short_description_3k_main_tech_water_tier3_divine_manipultation_of_threads	{{tr:3k_main_text_replacement_tech_wood_tier3_intensive_cultivation_techniques_short_description_key}}	true
technologies_short_description_3k_main_tech_water_tier3_hostels	{{tr:3k_main_text_replacement_tech_metal_tier2_corvee_labour_short_description_key}}	true
