key	text	tooltip
#Loc;1;text/!@hv_TEXT_UNIT_ABILITY.loc		
unit_abilities_onscreen_name_hv_ability_tactical_move	进阶战术	true
unit_ability_types_localised_description_hv_ability_tactical_move	进阶战术	true
unit_ability_types_onscreen_name_hv_ability_tactical_move	被动增益	true
unit_abilities_tooltip_text_hv_ability_tactical_move	移动，沉静迅捷地	true
unit_abilities_onscreen_name_hv_ability_tactical_move	进阶战术	true
unit_ability_types_localised_description_hv_ability_tactical_move	进阶战术	true
unit_abilities_onscreen_name_hv_ability_rapid_fire	速射	true
unit_ability_types_localised_description_hv_ability_rapid_fire	速射	true
unit_ability_types_onscreen_name_hv_ability_rapid_fire	主动增益	true
unit_abilities_tooltip_text_hv_ability_rapid_fire	快速装填可保命。	true
unit_abilities_onscreen_name_hv_ability_rapid_fire	速射	true
unit_ability_types_localised_description_hv_ability_rapid_fire	速射	true
unit_abilities_onscreen_name_hv_ability_enlightenment	启蒙	true
unit_ability_types_localised_description_hv_ability_enlightenment	启蒙	true
unit_ability_types_onscreen_name_hv_ability_enlightenment	被动增益	true
unit_abilities_tooltip_text_hv_ability_enlightenment	军队将跟随你 ... 永远的。	true
special_ability_phases_onscreen_name_hv_ability_enlightenment_1	启蒙	true
special_ability_phases_onscreen_name_hv_ability_enlightenment_2	启蒙	true
special_ability_phases_onscreen_name_hv_ability_enlightenment_3	启蒙	true
unit_abilities_onscreen_name_hv_ability_hero_slayer	英雄杀手	true
unit_ability_types_localised_description_hv_ability_hero_slayer	英雄杀手	true
unit_ability_types_onscreen_name_hv_ability_hero_slayer	被动增益	true
unit_abilities_tooltip_text_hv_ability_hero_slayer	当在战场上与英雄对抗或决斗时，他们会发现自己的技能与战力得到相当程度的增强。	true
unit_abilities_onscreen_name_hv_ability_captain_active	领导一呼	true
unit_ability_types_localised_description_hv_ability_captain_active	领导一呼	true
unit_ability_types_onscreen_name_hv_ability_captain_active	主动增益	true
unit_abilities_tooltip_text_hv_ability_captain_active	鼓舞士兵。	true
unit_abilities_onscreen_name_hv_ability_captain_passive	庶人之勇	true
