key	text	tooltip
#Loc;1;text/!@hv_TEXT_UNIT_CAP.loc		
effects_description_hv_effect_unit_cap_peasant_mob	{{tr:hv_tr_hv_unit_peasant_mob}} for recruitment: %+n	true
effects_description_hv_effect_unit_cap_peasant_spearmen	{{tr:hv_tr_hv_unit_peasant_spearmen}} for recruitment: %+n	true
effects_description_hv_effect_unit_cap_militia_sabre	{{tr:hv_tr_hv_unit_militia_sabre}} for recruitment: %+n	true
effects_description_hv_effect_unit_cap_militia_spearmen	{{tr:hv_tr_hv_unit_militia_spearmen}} for recruitment: %+n	true
effects_description_hv_effect_unit_cap_militia_archers	{{tr:hv_tr_hv_unit_militia_archers}} for recruitment: %+n	true
effects_description_hv_effect_unit_cap_strays_spearmen	{{tr:hv_tr_hv_unit_strays_spearmen}} for recruitment: %+n	true
effects_description_hv_effect_unit_cap_strays_arhcers	{{tr:hv_tr_hv_unit_strays_arhcers}} for recruitment: %+n	true
effects_description_hv_effect_unit_cap_strays_cavalry	{{tr:hv_tr_hv_unit_strays_cavalry}} for recruitment: %+n	true
effects_description_hv_effect_unit_cap_regular_sabre	{{tr:hv_tr_hv_unit_regular_sabre}} for recruitment: %+n	true
effects_description_hv_effect_unit_cap_regular_spearmen	{{tr:hv_tr_hv_unit_regular_spearmen}} for recruitment: %+n	true
effects_description_hv_effect_unit_cap_regular_archers	{{tr:hv_tr_hv_unit_regular_archers}} for recruitment: %+n	true
effects_description_hv_effect_unit_cap_regular_crossbowmen	{{tr:hv_tr_hv_unit_regular_crossbowmen}} for recruitment: %+n	true
effects_description_hv_effect_unit_cap_regular_repeating_crossbowmen	{{tr:hv_tr_hv_unit_regular_repeating_crossbowmen}} for recruitment: %+n	true
effects_description_hv_effect_unit_cap_regular_ji	{{tr:hv_tr_hv_unit_regular_ji}} for recruitment: %+n	true
effects_description_hv_effect_unit_cap_regular_sabre_cavalry	{{tr:hv_tr_hv_unit_regular_sabre_cavalry}} for recruitment: %+n	true
effects_description_hv_effect_unit_cap_regular_lance_cavalry	{{tr:hv_tr_hv_unit_regular_lance_cavalry}} for recruitment: %+n	true
effects_description_hv_effect_unit_cap_beihai_sabre	{{tr:hv_tr_hv_unit_beihai_sabre}} for recruitment: %+n	true
effects_description_hv_effect_unit_cap_beihai_assault_cavalry	{{tr:hv_tr_hv_unit_beihai_assault_cavalry}} for recruitment: %+n	true
effects_description_hv_effect_unit_cap_beihai_spearmen	{{tr:hv_tr_hv_unit_beihai_spearmen}} for recruitment: %+n	true
effects_description_hv_effect_unit_cap_beihai_ji	{{tr:hv_tr_hv_unit_beihai_ji}} for recruitment: %+n	true
effects_description_hv_effect_unit_cap_beihai_crossbowmen	{{tr:hv_tr_hv_unit_beihai_crossbowmen}} for recruitment: %+n	true
effects_description_hv_effect_unit_cap_beihai_repeating_crossbowmen	{{tr:hv_tr_hv_unit_beihai_repeating_crossbowmen}} for recruitment: %+n	true
effects_description_hv_effect_unit_cap_xiliang_repeating_crossbowmen	{{tr:hv_tr_hv_unit_xiliang_repeating_crossbowmen}} for recruitment: %+n	true
effects_description_hv_effect_unit_cap_xiliang_sabre_cavalry	{{tr:hv_tr_hv_unit_xiliang_sabre_cavalry}} for recruitment: %+n	true
effects_description_hv_effect_unit_cap_xiliang_spear_cavalry	{{tr:hv_tr_hv_unit_xiliang_spear_cavalry}} for recruitment: %+n	true
effects_description_hv_effect_unit_cap_xiliang_ji	{{tr:hv_tr_hv_unit_xiliang_ji}} for recruitment: %+n	true
effects_description_hv_effect_unit_cap_xiliang_crossbowmen	{{tr:hv_tr_hv_unit_xiliang_crossbowmen}} for recruitment: %+n	true
effects_description_hv_effect_unit_cap_xiliang_assault	{{tr:hv_tr_hv_unit_xiliang_assault}} for recruitment: %+n	true
effects_description_hv_effect_unit_cap_xiliang_mounted_archers	{{tr:hv_tr_hv_unit_xiliang_mounted_archers}} for recruitment: %+n	true
effects_description_hv_effect_unit_cap_jing_axemen	{{tr:hv_tr_hv_unit_jing_axemen}} for recruitment: %+n	true
effects_description_hv_effect_unit_cap_jing_archers	{{tr:hv_tr_hv_unit_jing_archers}} for recruitment: %+n	true
effects_description_hv_effect_unit_cap_jing_long_swordmen	{{tr:hv_tr_hv_unit_jing_long_swordmen}} for recruitment: %+n	true
effects_description_hv_effect_unit_cap_jing_spearmen	{{tr:hv_tr_hv_unit_jing_spearmen}} for recruitment: %+n	true
effects_description_hv_effect_unit_cap_jing_sabre_cavalry	{{tr:hv_tr_hv_unit_jing_sabre_cavalry}} for recruitment: %+n	true
effects_description_hv_effect_unit_cap_bandit_axemen	{{tr:hv_tr_hv_unit_bandit_axemen}} for recruitment: %+n	true
effects_description_hv_effect_unit_cap_bandit_long_axemen	{{tr:hv_tr_hv_unit_bandit_long_axemen}} for recruitment: %+n	true
effects_description_hv_effect_unit_cap_bandit_long_spearmen	{{tr:hv_tr_hv_unit_bandit_long_spearmen}} for recruitment: %+n	true
effects_description_hv_effect_unit_cap_bandit_archers	{{tr:hv_tr_hv_unit_bandit_archers}} for recruitment: %+n	true
effects_description_hv_effect_unit_cap_warlord_elite_swordsmen	{{tr:hv_tr_hv_unit_warlord_elite_swordsmen}} for recruitment: %+n	true
effects_description_hv_effect_unit_cap_warlord_elite_long_swordsmen	{{tr:hv_tr_hv_unit_warlord_elite_long_swordsmen}} for recruitment: %+n	true
effects_description_hv_effect_unit_cap_warlord_elite_ji	{{tr:hv_tr_hv_unit_warlord_elite_ji}} for recruitment: %+n	true
effects_description_hv_effect_unit_cap_warlord_elite_lance_cavalry	{{tr:hv_tr_hv_unit_warlord_elite_lance_cavalry}} for recruitment: %+n	true
effects_description_hv_effect_unit_cap_beihai_elite_spearmen	{{tr:hv_tr_hv_unit_beihai_elite_spearmen}} for recruitment: %+n	true
effects_description_hv_effect_unit_cap_beihai_elite_halberdiers	{{tr:hv_tr_hv_unit_beihai_elite_halberdiers}} for recruitment: %+n	true
effects_description_hv_effect_unit_cap_beihai_elite_crossobwmen	{{tr:hv_tr_hv_unit_beihai_elite_crossobwmen}} for recruitment: %+n	true
effects_description_hv_effect_unit_cap_beihai_elite_repeating_crossobwmen	{{tr:hv_tr_hv_unit_beihai_elite_repeating_crossobwmen}} for recruitment: %+n	true
effects_description_hv_effect_unit_cap_xiliang_stalwarts_lance_cavalry	{{tr:hv_tr_hv_unit_xiliang_stalwarts_lance_cavalry}} for recruitment: %+n	true
effects_description_hv_effect_unit_cap_xiliang_stalwarts_long_spearmen	{{tr:hv_tr_hv_unit_xiliang_stalwarts_long_spearmen}} for recruitment: %+n	true
effects_description_hv_effect_unit_cap_xiliang_rapid_bear_infantry	{{tr:hv_tr_hv_unit_xiliang_rapid_bear_infantry}} for recruitment: %+n	true
effects_description_hv_effect_unit_cap_xiliang_elite_halberdiers	{{tr:hv_tr_hv_unit_xiliang_elite_halberdiers}} for recruitment: %+n	true
effects_description_hv_effect_unit_cap_xiliang_elite_enforcers	{{tr:hv_tr_hv_unit_xiliang_elite_enforcers}} for recruitment: %+n	true
effects_description_hv_effect_unit_cap_jing_elite_long_axemen	{{tr:hv_tr_hv_unit_jing_elite_long_axemen}} for recruitment: %+n	true
effects_description_hv_effect_unit_cap_jing_elite_spearmen	{{tr:hv_tr_hv_unit_jing_elite_spearmen}} for recruitment: %+n	true
effects_description_hv_effect_unit_cap_jing_elite_heavy_bowmen	{{tr:hv_tr_hv_unit_jing_elite_heavy_bowmen}} for recruitment: %+n	true
effects_description_hv_effect_unit_cap_double_blades	{{tr:hv_tr_hv_unit_double_blades}} for recruitment: %+n	true
effects_description_hv_effect_unit_cap_iron_walls	{{tr:hv_tr_hv_unit_iron_walls}} for recruitment: %+n	true
effects_description_hv_effect_unit_cap_rapid_monkeys	{{tr:hv_tr_hv_unit_rapid_monkeys}} for recruitment: %+n	true
effects_description_hv_effect_unit_cap_imperial_assault_cavalry	{{tr:hv_tr_hv_unit_imperial_assault_cavalry}} for recruitment: %+n	true
effects_description_hv_effect_unit_cap_imperial_swordsmen	{{tr:hv_tr_hv_unit_imperial_swordsmen}} for recruitment: %+n	true
effects_description_hv_effect_unit_cap_imperial_halberdier	{{tr:hv_tr_hv_unit_imperial_halberdier}} for recruitment: %+n	true
effects_description_hv_effect_unit_cap_imperial_firelancer	{{tr:hv_tr_hv_unit_imperial_firelancer}} for recruitment: %+n	true
effects_description_hv_effect_unit_cap_imperial_lance_cavalry	{{tr:hv_tr_hv_unit_imperial_lance_cavalry}} for recruitment: %+n	true
effects_description_hv_effect_unit_cap_yellow_dragons	{{tr:hv_tr_hv_unit_yellow_dragons}} for recruitment: %+n	true
effects_description_hv_effect_unit_cap_azure_dragons	{{tr:hv_tr_hv_unit_azure_dragons}} for recruitment: %+n	true
effects_description_hv_effect_unit_cap_pearl_dragons	{{tr:hv_tr_hv_unit_pearl_dragons}} for recruitment: %+n	true
effects_description_hv_effect_unit_cap_onyx_dragons	{{tr:hv_tr_hv_unit_onyx_dragons}} for recruitment: %+n	true
effects_description_hv_effect_unit_cap_jade_dragons	{{tr:hv_tr_hv_unit_jade_dragons}} for recruitment: %+n	true
effects_description_hv_effect_unit_cap_protectors_of_heaven	{{tr:hv_tr_hv_unit_protectors_of_heaven}} for recruitment: %+n	true
effects_description_hv_effect_unit_cap_defenders_of_earth	{{tr:hv_tr_hv_unit_defenders_of_earth}} for recruitment: %+n	true
effects_description_hv_effect_unit_cap_qiang_axemen	{{tr:hv_tr_hv_unit_qiang_axemen}} for recruitment: %+n	true
