key	text	tooltip
#Loc;1;text/!@hv_TEXT_UNIT_TR.loc		
ui_text_replacements_localised_text_hv_tr_hv_unit_peasant_mob	农民斧兵	true
ui_text_replacements_localised_text_hv_tr_hv_unit_peasant_spearmen	农民矛兵	true
ui_text_replacements_localised_text_hv_tr_hv_unit_militia_sabre	持刀民兵	true
ui_text_replacements_localised_text_hv_tr_hv_unit_militia_spearmen	持矛民兵	true
ui_text_replacements_localised_text_hv_tr_hv_unit_militia_archers	持弓民兵	true
ui_text_replacements_localised_text_hv_tr_hv_unit_strays_spearmen	应征矛兵	true
ui_text_replacements_localised_text_hv_tr_hv_unit_strays_arhcers	应征弓兵	true
ui_text_replacements_localised_text_hv_tr_hv_unit_strays_cavalry	应征骑兵	true
ui_text_replacements_localised_text_hv_tr_hv_unit_regular_sabre	持剑材官	true
ui_text_replacements_localised_text_hv_tr_hv_unit_regular_spearmen	持枪材官	true
ui_text_replacements_localised_text_hv_tr_hv_unit_regular_archers	引强材官	true
ui_text_replacements_localised_text_hv_tr_hv_unit_regular_crossbowmen	积射材官	true
ui_text_replacements_localised_text_hv_tr_hv_unit_regular_repeating_crossbowmen	连弩积射材官	true
ui_text_replacements_localised_text_hv_tr_hv_unit_regular_ji	持戟材官	true
ui_text_replacements_localised_text_hv_tr_hv_unit_regular_sabre_cavalry	佩剑屯骑	true
ui_text_replacements_localised_text_hv_tr_hv_unit_regular_lance_cavalry	持枪骑兵	true
ui_text_replacements_localised_text_hv_tr_hv_unit_beihai_sabre	郡国剑卫	true
ui_text_replacements_localised_text_hv_tr_hv_unit_beihai_assault_cavalry	郡国突击骑兵	true
ui_text_replacements_localised_text_hv_tr_hv_unit_beihai_spearmen	郡国枪兵	true
ui_text_replacements_localised_text_hv_tr_hv_unit_beihai_ji	郡国戟卫	true
ui_text_replacements_localised_text_hv_tr_hv_unit_beihai_crossbowmen	郡国弩兵	true
ui_text_replacements_localised_text_hv_tr_hv_unit_beihai_repeating_crossbowmen	郡国连弩兵	true
ui_text_replacements_localised_text_hv_tr_hv_unit_xiliang_repeating_crossbowmen	西凉连弩兵	true
ui_text_replacements_localised_text_hv_tr_hv_unit_xiliang_sabre_cavalry	西凉马刀骑兵	true
ui_text_replacements_localised_text_hv_tr_hv_unit_xiliang_spear_cavalry	西凉枪骑兵	true
ui_text_replacements_localised_text_hv_tr_hv_unit_xiliang_ji	西凉戟卫	true
ui_text_replacements_localised_text_hv_tr_hv_unit_xiliang_crossbowmen	西凉弩兵	true
ui_text_replacements_localised_text_hv_tr_hv_unit_xiliang_assault	西凉突击步兵	true
ui_text_replacements_localised_text_hv_tr_hv_unit_xiliang_mounted_archers	西凉马弓手	true
ui_text_replacements_localised_text_hv_tr_hv_unit_jing_axemen	荆州斧兵	true
ui_text_replacements_localised_text_hv_tr_hv_unit_jing_archers	荆州弓兵	true
ui_text_replacements_localised_text_hv_tr_hv_unit_jing_long_swordmen	荆州偃月刀手	true
ui_text_replacements_localised_text_hv_tr_hv_unit_jing_spearmen	荆州枪兵	true
ui_text_replacements_localised_text_hv_tr_hv_unit_jing_sabre_cavalry	荆州马刀骑兵	true
ui_text_replacements_localised_text_hv_tr_hv_unit_bandit_axemen	盗匪斧兵	true
ui_text_replacements_localised_text_hv_tr_hv_unit_bandit_long_axemen	盗匪长斧兵	true
ui_text_replacements_localised_text_hv_tr_hv_unit_bandit_long_spearmen	盗匪长枪兵	true
ui_text_replacements_localised_text_hv_tr_hv_unit_bandit_archers	盗匪弓兵	true
ui_text_replacements_localised_text_hv_tr_hv_unit_warlord_elite_swordsmen	州牧精锐剑卫	true
