key	text	tooltip
#Loc;1;text/!@hv_TEXT_UNIT_UI_GROUP_NEW.loc		
ui_unit_groupings_tooltip_3k_main_unit_glaive_infantry_metal	Very assault-oriented unit, but vulnerable to missile attacks.	true
ui_unit_groupings_tooltip_3k_main_unit_polearm_infantry_wood	Excels at attacking unarmoured opponents, but vulnerable to missile attacks.	true
ui_unit_groupings_tooltip_3k_main_unit_glavie_bow_infantry_wood	Excels at holding the line, especially at chokepoints, but has very low damage, and has missile weapons to soften up approaching enemies.	true
ui_unit_groupings_tooltip_3k_main_unit_spear_infantry_wood	Excels at holding the line especially at chokepoints, but has very low damage.	true
ui_unit_groupings_tooltip_3k_main_unit_axe_infantry_metal	Excels at attacking unarmoured opponents, but very vulnerable to cavalry charges.	true
ui_unit_groupings_tooltip_3k_main_unit_crossbow_cavalry_water	Excels at wearing down enemies without shields and keeping distance, but vulnerable in melee.	true
ui_unit_groupings_tooltip_3k_main_unit_polearm_cavalry_fire	Excels at attacking unarmoured opponents, but vulnerable to missile attacks.	true
ui_unit_groupings_tooltip_3k_main_unit_crossbow_infantry_water	Excels at attacking unarmoured opponents, but vulnerable in melee.	true
ui_unit_groupings_onscreen_hv_unit_ui_grouping_rake_infantry_hvt1	铁耙步战	true
ui_unit_groupings_onscreen_hv_unit_ui_grouping_bamboo_infantry_hvt1	竹枪步兵	true
ui_unit_groupings_onscreen_hv_unit_ui_grouping_staff_infantry_hvt1	棍棒步兵	true
ui_unit_groupings_onscreen_hv_unit_ui_grouping_sabre_infantry_hvt1	持刀步兵	true
ui_unit_groupings_onscreen_hv_unit_ui_grouping_sword_infantry_hvt1	持剑步兵	true
ui_unit_groupings_onscreen_hv_unit_ui_grouping_sword_cavalry_hvt1	持刀骑兵	true
ui_unit_groupings_onscreen_hv_unit_ui_grouping_mace_infantry_hvt1	持锤步兵	true
ui_unit_groupings_onscreen_hv_unit_ui_grouping_spear_infantry_hvt1	持矛步兵	true
ui_unit_groupings_onscreen_hv_unit_ui_grouping_hand_ji_infantry_hvt1	手戟步兵	true
ui_unit_groupings_onscreen_hv_unit_ui_grouping_axe_infantry_hvt1	持斧步兵	true
ui_unit_groupings_onscreen_hv_unit_ui_grouping_long_spear_infantry_hvt1	长枪步兵	true
ui_unit_groupings_onscreen_hv_unit_ui_grouping_long_axe_infantry_hvt1	长斧步兵	true
ui_unit_groupings_onscreen_hv_unit_ui_grouping_long_mace_infantry_hvt1	巨锤步兵	true
ui_unit_groupings_onscreen_hv_unit_ui_grouping_trident_infantry_hvt1	三叉戟步兵	true
ui_unit_groupings_onscreen_hv_unit_ui_grouping_ji_infantry_hvt1	持戟步兵	true
ui_unit_groupings_onscreen_hv_unit_ui_grouping_halberd_infantry_hvt1	重戟卫兵	true
ui_unit_groupings_onscreen_hv_unit_ui_grouping_glaive_infantry_hvt1	大刀步兵	true
ui_unit_groupings_onscreen_hv_unit_ui_grouping_anti_horse_sword_infantry_hvt1	斩马刀步兵	true
ui_unit_groupings_onscreen_hv_unit_ui_grouping_long_sword_infantry_hvt1	巨剑步兵	true
ui_unit_groupings_onscreen_hv_unit_ui_grouping_dw_sabre_infantry_hvt1	双刀步兵	true
ui_unit_groupings_onscreen_hv_unit_ui_grouping_dw_axe_infantry_hvt1	双斧步兵	true
ui_unit_groupings_onscreen_hv_unit_ui_grouping_dw_hand_ji_infantry_hvt1	双手戟步兵	true
ui_unit_groupings_onscreen_hv_unit_ui_grouping_dw_sword_infantry_hvt1	双剑步兵	true
ui_unit_groupings_onscreen_hv_unit_ui_grouping_dw_mace_infantry_hvt1	双锤步兵	true
ui_unit_groupings_onscreen_hv_unit_ui_grouping_bow_infantry_hvt1	持弓步兵	true
ui_unit_groupings_onscreen_hv_unit_ui_grouping_heavy_bow_infantry_hvt1	重弓步兵	true
ui_unit_groupings_onscreen_hv_unit_ui_grouping_crossbow_infantry_hvt1	持弩步兵	true
ui_unit_groupings_onscreen_hv_unit_ui_grouping_rep_crossbow_infantry_hvt1	连弩步兵	true
ui_unit_groupings_onscreen_hv_unit_ui_grouping_gunpowder_infantry_hvt1	火器步兵	true
ui_unit_groupings_onscreen_hv_unit_ui_grouping_sabre_cavalry_hvt1	持刀骑兵	true
ui_unit_groupings_onscreen_hv_unit_ui_grouping_mace_cavalry_hvt1	持锤骑兵	true
ui_unit_groupings_onscreen_hv_unit_ui_grouping_spear_cavalry_hvt1	持枪骑兵	true
ui_unit_groupings_onscreen_hv_unit_ui_grouping_hand_ji_cavalry_hvt1	手戟骑兵	true
ui_unit_groupings_onscreen_hv_unit_ui_grouping_axe_cavalry_hvt1	持斧骑兵	true
ui_unit_groupings_onscreen_hv_unit_ui_grouping_long_spear_cavalry_hvt1	长枪骑兵	true
ui_unit_groupings_onscreen_hv_unit_ui_grouping_ji_cavalry_hvt1	持戟骑兵	true
ui_unit_groupings_onscreen_hv_unit_ui_grouping_halberd_cavalry_hvt1	重戟骑兵	true
ui_unit_groupings_onscreen_hv_unit_ui_grouping_glaive_cavalry_hvt1	大刀骑兵	true
ui_unit_groupings_onscreen_hv_unit_ui_grouping_anti_horse_sword_cavalry_hvt1	斩马刀骑兵	true
ui_unit_groupings_onscreen_hv_unit_ui_grouping_long_sword_cavalry_hvt1	巨剑骑兵	true
ui_unit_groupings_onscreen_hv_unit_ui_grouping_dw_sabre_cavalry_hvt1	双刀骑兵	true
ui_unit_groupings_onscreen_hv_unit_ui_grouping_dw_axe_cavalry_hvt1	双斧骑兵	true
ui_unit_groupings_onscreen_hv_unit_ui_grouping_dw_hand_ji_cavalry_hvt1	双手戟骑兵	true
ui_unit_groupings_onscreen_hv_unit_ui_grouping_dw_sword_cavalry_hvt1	双剑骑兵	true
ui_unit_groupings_onscreen_hv_unit_ui_grouping_dw_mace_cavalry_hvt1	双锤骑兵	true
ui_unit_groupings_onscreen_hv_unit_ui_grouping_bow_cavalry_hvt1	持弓骑兵	true
ui_unit_groupings_onscreen_hv_unit_ui_grouping_heavy_bow_cavalry_hvt1	重弓骑兵	true
ui_unit_groupings_onscreen_hv_unit_ui_grouping_crossbow_cavalry_hvt1	持弩骑兵	true
ui_unit_groupings_onscreen_hv_unit_ui_grouping_multiple_crossbow_hvt1	多重弩	true
ui_unit_groupings_onscreen_hv_unit_ui_grouping_trebuchet_hvt1	霹雳车	true
ui_unit_groupings_onscreen_hv_unit_ui_grouping_rake_infantry_hvt3	铁耙步战	true
ui_unit_groupings_onscreen_hv_unit_ui_grouping_bamboo_infantry_hvt3	竹枪步兵	true
ui_unit_groupings_onscreen_hv_unit_ui_grouping_staff_infantry_hvt3	棍棒步兵	true
ui_unit_groupings_onscreen_hv_unit_ui_grouping_sabre_infantry_hvt3	持刀步兵	true
ui_unit_groupings_onscreen_hv_unit_ui_grouping_sword_infantry_hvt3	持剑步兵	true
ui_unit_groupings_onscreen_hv_unit_ui_grouping_sword_cavalry_hvt3	持刀骑兵	true
ui_unit_groupings_onscreen_hv_unit_ui_grouping_mace_infantry_hvt3	持锤步兵	true
ui_unit_groupings_onscreen_hv_unit_ui_grouping_spear_infantry_hvt3	持矛步兵	true
ui_unit_groupings_onscreen_hv_unit_ui_grouping_hand_ji_infantry_hvt3	手戟步兵	true
ui_unit_groupings_onscreen_hv_unit_ui_grouping_axe_infantry_hvt3	持斧步兵	true
ui_unit_groupings_onscreen_hv_unit_ui_grouping_long_spear_infantry_hvt3	长枪步兵	true
ui_unit_groupings_onscreen_hv_unit_ui_grouping_long_axe_infantry_hvt3	长斧步兵	true
ui_unit_groupings_onscreen_hv_unit_ui_grouping_long_mace_infantry_hvt3	巨锤步兵	true
ui_unit_groupings_onscreen_hv_unit_ui_grouping_trident_infantry_hvt3	三叉戟步兵	true
ui_unit_groupings_onscreen_hv_unit_ui_grouping_ji_infantry_hvt3	持戟步兵	true
ui_unit_groupings_onscreen_hv_unit_ui_grouping_halberd_infantry_hvt3	重戟卫兵	true
ui_unit_groupings_onscreen_hv_unit_ui_grouping_glaive_infantry_hvt3	大刀步兵	true
ui_unit_groupings_onscreen_hv_unit_ui_grouping_anti_horse_sword_infantry_hvt3	斩马刀步兵	true
ui_unit_groupings_onscreen_hv_unit_ui_grouping_long_sword_infantry_hvt3	巨剑步兵	true
ui_unit_groupings_onscreen_hv_unit_ui_grouping_dw_sabre_infantry_hvt3	双刀步兵	true
ui_unit_groupings_onscreen_hv_unit_ui_grouping_dw_axe_infantry_hvt3	双斧步兵	true
ui_unit_groupings_onscreen_hv_unit_ui_grouping_dw_hand_ji_infantry_hvt3	双手戟步兵	true
ui_unit_groupings_onscreen_hv_unit_ui_grouping_dw_sword_infantry_hvt3	双剑步兵	true
ui_unit_groupings_onscreen_hv_unit_ui_grouping_dw_mace_infantry_hvt3	双锤步兵	true
ui_unit_groupings_onscreen_hv_unit_ui_grouping_bow_infantry_hvt3	持弓步兵	true
ui_unit_groupings_onscreen_hv_unit_ui_grouping_heavy_bow_infantry_hvt3	重弓步兵	true
ui_unit_groupings_onscreen_hv_unit_ui_grouping_crossbow_infantry_hvt3	持弩步兵	true
ui_unit_groupings_onscreen_hv_unit_ui_grouping_rep_crossbow_infantry_hvt3	连弩步兵	true
ui_unit_groupings_onscreen_hv_unit_ui_grouping_gunpowder_infantry_hvt3	火器步兵	true
ui_unit_groupings_onscreen_hv_unit_ui_grouping_sabre_cavalry_hvt3	持刀骑兵	true
ui_unit_groupings_onscreen_hv_unit_ui_grouping_mace_cavalry_hvt3	持锤骑兵	true
ui_unit_groupings_onscreen_hv_unit_ui_grouping_spear_cavalry_hvt3	持枪骑兵	true
ui_unit_groupings_onscreen_hv_unit_ui_grouping_hand_ji_cavalry_hvt3	手戟骑兵	true
