key	text	tooltip
#Loc;1;text/!@hv_TEXT_UNIT_YTR.loc		
land_units_onscreen_name_3k_ytr_unit_metal_peasant_warriors	农人战士	true
unit_description_short_texts_text_3k_ytr_unit_metal_peasant_warriors	第一阶 - 志愿乡勇	true
unit_description_historical_texts_text_3k_ytr_unit_metal_peasant_warriors		true
land_units_onscreen_name_3k_ytr_unit_wood_peasant_spearmen	农人矛手	true
unit_description_short_texts_text_3k_ytr_unit_wood_peasant_spearmen	第一阶 - 志愿乡勇	true
unit_description_historical_texts_text_3k_ytr_unit_wood_peasant_spearmen		true
land_units_onscreen_name_3k_ytr_unit_water_peasant_archers	农人弓手	true
unit_description_short_texts_text_3k_ytr_unit_water_peasant_archers	第一阶 - 志愿乡勇	true
unit_description_historical_texts_text_3k_ytr_unit_water_peasant_archers		true
land_units_onscreen_name_3k_ytr_unit_wood_militia_of_virtue	贞义兵	true
unit_description_short_texts_text_3k_ytr_unit_wood_militia_of_virtue	第一阶 - 义勇民兵	true
unit_description_historical_texts_text_3k_ytr_unit_wood_militia_of_virtue		true
land_units_onscreen_name_3k_ytr_unit_metal_yellow_sky_heralds	黄天使团	true
unit_description_short_texts_text_3k_ytr_unit_metal_yellow_sky_heralds	第一阶 - 义勇民兵	true
unit_description_historical_texts_text_3k_ytr_unit_metal_yellow_sky_heralds		true
land_units_onscreen_name_3k_ytr_unit_metal_chanters	诵经团	true
unit_description_short_texts_text_3k_ytr_unit_metal_chanters	第一阶 - 义勇民兵	true
unit_description_historical_texts_text_3k_ytr_unit_metal_chanters		true
land_units_onscreen_name_3k_ytr_unit_metal_yellow_turban_warriors	黄巾战士	true
unit_description_short_texts_text_3k_ytr_unit_metal_yellow_turban_warriors	第二阶 - 地方材官	true
unit_description_historical_texts_text_3k_ytr_unit_metal_yellow_turban_warriors		true
land_units_onscreen_name_3k_ytr_unit_wood_yellow_turban_spearmen	黄巾矛兵	true
unit_description_short_texts_text_3k_ytr_unit_wood_yellow_turban_spearmen	第二阶 - 地方材官	true
unit_description_historical_texts_text_3k_ytr_unit_wood_yellow_turban_spearmen		true
land_units_onscreen_name_3k_ytr_unit_water_yellow_turban_archers	黄巾弩手	true
unit_description_short_texts_text_3k_ytr_unit_water_yellow_turban_archers	第二阶 - 地方材官	true
unit_description_historical_texts_text_3k_ytr_unit_water_yellow_turban_archers		true
land_units_onscreen_name_3k_ytr_unit_earth_yellow_turban_horsemen	黄巾骑兵	true
unit_description_short_texts_text_3k_ytr_unit_earth_yellow_turban_horsemen	第二阶 - 地方材官	true
unit_description_historical_texts_text_3k_ytr_unit_earth_yellow_turban_horsemen		true
land_units_onscreen_name_3k_dlc04_unit_wood_gallants_of_the_people	人统雄豪	true
unit_description_short_texts_text_3k_dlc04_unit_wood_gallants_of_the_people	第二阶 - 地方材官	true
unit_description_historical_texts_text_3k_dlc04_unit_wood_gallants_of_the_people		true
land_units_onscreen_name_3k_ytr_unit_metal_peoples_warband	黎首军	true
unit_description_short_texts_text_3k_ytr_unit_metal_peoples_warband	第二阶 - 地方材官	true
unit_description_historical_texts_text_3k_ytr_unit_metal_peoples_warband		true
land_units_onscreen_name_3k_ytr_unit_wood_bringers_of_righteousness	布义军	true
unit_description_short_texts_text_3k_ytr_unit_wood_bringers_of_righteousness	第二阶 - 地方材官	true
unit_description_historical_texts_text_3k_ytr_unit_wood_bringers_of_righteousness		true
land_units_onscreen_name_3k_ytr_unit_water_men_of_the_forest	深林军	true
unit_description_short_texts_text_3k_ytr_unit_water_men_of_the_forest	第二阶 - 地方材官	true
unit_description_historical_texts_text_3k_ytr_unit_water_men_of_the_forest		true
land_units_onscreen_name_3k_ytr_unit_metal_venerable_wu	神巫	true
unit_description_short_texts_text_3k_ytr_unit_metal_venerable_wu	第二阶 - 地方材官	true
unit_description_historical_texts_text_3k_ytr_unit_metal_venerable_wu		true
land_units_onscreen_name_3k_dlc04_unit_metal_huanglao_s_paragons	黄老贤圣	true
unit_description_short_texts_text_3k_dlc04_unit_metal_huanglao_s_paragons	第二阶 - 地方材官	true
unit_description_historical_texts_text_3k_dlc04_unit_metal_huanglao_s_paragons		true
land_units_onscreen_name_3k_dlc04_unit_wood_zealots_of_the_way	崇道狂士	true
unit_description_short_texts_text_3k_dlc04_unit_wood_zealots_of_the_way	第二阶 - 地方材官	true
unit_description_historical_texts_text_3k_dlc04_unit_wood_zealots_of_the_way		true
land_units_onscreen_name_3k_ytr_unit_wood_reclaimers	敛拾队	true
unit_description_short_texts_text_3k_ytr_unit_wood_reclaimers	第二阶 - 地方材官	true
unit_description_historical_texts_text_3k_ytr_unit_wood_reclaimers		true
land_units_onscreen_name_3k_ytr_unit_water_horseback_huntsmen	猎骑兵	true
unit_description_short_texts_text_3k_ytr_unit_water_horseback_huntsmen	第二阶 - 地方材官	true
unit_description_historical_texts_text_3k_ytr_unit_water_horseback_huntsmen		true
land_units_onscreen_name_3k_dlc04_unit_water_poachers	偷猎者	true
unit_description_short_texts_text_3k_dlc04_unit_water_poachers	第二阶 - 地方材官	true
unit_description_historical_texts_text_3k_dlc04_unit_water_poachers		true
land_units_onscreen_name_3k_ytr_unit_metal_youxia	游侠	true
unit_description_short_texts_text_3k_ytr_unit_metal_youxia	第三阶 - 精锐部队	true
unit_description_historical_texts_text_3k_ytr_unit_metal_youxia		true
land_units_onscreen_name_3k_dlc04_unit_fire_righteous_vanguards	义烈先锋	true
unit_description_short_texts_text_3k_dlc04_unit_fire_righteous_vanguards	第三阶 - 精锐部队	true
unit_description_historical_texts_text_3k_dlc04_unit_fire_righteous_vanguards		true
land_units_onscreen_name_3k_dlc04_unit_water_yaoguai_hunters	狩妖奇人	true
unit_description_short_texts_text_3k_dlc04_unit_water_yaoguai_hunters	第三阶 - 精锐部队	true
unit_description_historical_texts_text_3k_dlc04_unit_water_yaoguai_hunters		true
land_units_onscreen_name_3k_ytr_unit_water_archery_masters	神箭团	true
unit_description_short_texts_text_3k_ytr_unit_water_archery_masters	第三阶 - 精锐部队	true
unit_description_historical_texts_text_3k_ytr_unit_water_archery_masters		true
land_units_onscreen_name_3k_dlc04_unit_earth_jaizi_raiders	甲子劫匪	true
unit_description_short_texts_text_3k_dlc04_unit_earth_jaizi_raiders	第三阶 - 精锐部队	true
unit_description_historical_texts_text_3k_dlc04_unit_earth_jaizi_raiders		true
land_units_onscreen_name_3k_dlc04_unit_metal_exemplars_of_the_tao	道一贤人	true
unit_description_short_texts_text_3k_dlc04_unit_metal_exemplars_of_the_tao	第三阶 - 精锐部队	true
