key	text	tooltip
#Loc;1;text/!@hv_TEXT_RESOURCES.loc		
faction_resource_ids_localised_description_3k_main_provincial_resources_jobs_artisans	藝匠	true
faction_resource_ids_localised_description_3k_main_provincial_resources_jobs_industrialists	實業家	true
faction_resource_ids_localised_description_3k_main_provincial_resources_jobs_entrepreneurs	商賈	true
faction_resource_ids_tooltip_3k_main_provincial_resources_jobs_industrialists	實業家\\n\\n [[img:ui/skins/default/3k_main_character_details_attribute_instinct.png]]小型城或更高階可提供優秀的實業家。	true
faction_resource_ids_tooltip_3k_main_provincial_resources_jobs_artisans	藝匠\\n\\n[[img:ui/skins/default/3k_main_character_details_attribute_expertise.png]]小型城或更高階可提供優秀的藝匠。	true
faction_resource_ids_tooltip_3k_main_provincial_resources_jobs_entrepreneurs	商賈\\n\\n [[img:ui/skins/default/3k_main_character_details_attribute_cunning.png]]小型城或更高階可提供優秀的商賈。	true
faction_resource_ids_localised_description_hv_resources_jobs_landlords	地主	true
faction_resource_ids_localised_description_hv_resources_jobs_administrators	官員	true
faction_resource_ids_tooltip_hv_resources_jobs_landlords	地主\\n\\n[[img:ui/skins/default/3k_main_character_details_attribute_resolve.png]]小型城或更高階可提供優秀的地主。	false
faction_resource_ids_tooltip_hv_resources_jobs_administrators	官員\\n\\n[[img:ui/skins/default/3k_main_character_details_attribute_authority.png]]小型城或更高階可提供優秀的官員。	false
