key	text	tooltip
#Loc;1;text/!@hv_TEXT_SKILLSETS_ABILITY_earth.loc		
character_skills_localised_description_hv_skill_ability_flower_of_battlefield	此處不宜美人久留。	true
character_skills_localised_name_hv_skill_ability_flower_of_battlefield	戰場之花	true
effects_description_hv_effect_unlock_flower_of_battlefield	技能：戰場之花	true
special_ability_phases_onscreen_name_hv_ability_flower_of_battlefield	戰場之花	true
unit_abilities_onscreen_name_hv_ability_flower_of_battlefield	戰場之花	true
unit_abilities_tooltip_text_hv_ability_flower_of_battlefield	此處不宜美人久留。	true
unit_ability_types_localised_description_hv_ability_flower_of_battlefield	戰場之花	true
unit_ability_types_onscreen_name_hv_ability_flower_of_battlefield	主動增強效果	true
character_skills_localised_description_hv_skill_ability_imperious_presence	曹操的聰明睿智能使他的部隊行動更有效率！	true
character_skills_localised_name_hv_skill_ability_imperious_presence	霸氣逼人	true
effects_description_hv_effect_unlock_imperious_presence	技能：霸氣逼人	true
special_ability_phases_onscreen_name_hv_ability_imperious_presence	霸氣逼人	true
unit_abilities_onscreen_name_hv_ability_imperious_presence	霸氣逼人	true
unit_abilities_tooltip_text_hv_ability_imperious_presence	曹操的聰明睿智能使他的部隊行動更有效率！	true
unit_ability_types_localised_description_hv_ability_imperious_presence	霸氣逼人	true
unit_ability_types_onscreen_name_hv_ability_imperious_presence	被動增強效果	true
character_skills_localised_description_hv_skill_ability_inspiring_words	劉備的激昂言辭引領他的部下共創偉業！	true
character_skills_localised_name_hv_skill_ability_inspiring_words	慷慨陳詞	true
effects_description_hv_effect_unlock_inspiring_words	技能：慷慨陳詞	true
special_ability_phases_onscreen_name_hv_ability_inspiring_words	慷慨陳詞	true
unit_abilities_onscreen_name_hv_ability_inspiring_words	慷慨陳詞	true
unit_abilities_tooltip_text_hv_ability_inspiring_words	劉備的激昂言辭引領他的部下共創偉業！	true
unit_ability_types_localised_description_hv_ability_inspiring_words	慷慨陳詞	true
unit_ability_types_onscreen_name_hv_ability_inspiring_words	主動增強效果	true
character_skills_localised_description_hv_skill_ability_royal_blood	如果以弓箭射傷此人，弓箭手將受到天下的責難。	true
character_skills_localised_name_hv_skill_ability_royal_blood	皇室貴胄	true
effects_description_hv_effect_unlock_royal_blood	技能：皇室貴胄	true
special_ability_phases_onscreen_name_hv_ability_royal_blood	皇室貴胄	true
unit_abilities_onscreen_name_hv_ability_royal_blood	皇室貴胄	true
unit_abilities_tooltip_text_hv_ability_royal_blood	如果以弓箭射傷此人，弓箭手將受到天下的責難。	true
unit_ability_types_localised_description_hv_ability_royal_blood	皇室貴胄	true
unit_ability_types_onscreen_name_hv_ability_royal_blood	被動增強效果	true
character_skills_localised_description_hv_skill_ability_distant_courage	此人指揮若定，鼓舞部下大顯身手…但他本人並不親赴前線。	true
character_skills_localised_name_hv_skill_ability_distant_courage	千里助勢	true
effects_description_hv_effect_unlock_distant_courage	技能：千里助勢	true
special_ability_phases_onscreen_name_hv_ability_distant_courage	千里助勢	true
