key	text	tooltip
#Loc;1;text/!@hv_TEXT_SKILLSETS_ABILITY_fire.loc		
character_skills_localised_description_hv_skill_ability_rage_of_lu_bu	呂布猛力一擊，徹底掃平周遭一眾敵軍。	true
character_skills_localised_name_hv_skill_ability_rage_of_lu_bu	呂布之怒	true
effects_description_hv_effect_unlock_rage_of_lu_bu	技能：呂布之怒	true
special_ability_phases_onscreen_name_hv_ability_rage_of_lu_bu	呂布之怒	true
unit_abilities_onscreen_name_hv_ability_rage_of_lu_bu	呂布之怒	true
unit_abilities_tooltip_text_hv_ability_rage_of_lu_bu	呂布猛力一擊，徹底掃平周遭一眾敵軍。	true
unit_ability_types_localised_description_hv_ability_rage_of_lu_bu	呂布之怒	true
unit_ability_types_onscreen_name_hv_ability_rage_of_lu_bu	近戰攻擊	true
character_skills_localised_description_hv_skill_ability_smouldering_fury	呂布遭逢越多阻撓，就越是頑強！	true
character_skills_localised_name_hv_skill_ability_smouldering_fury	怒火中燒	true
effects_description_hv_effect_unlock_smouldering_fury	技能：怒火中燒	true
special_ability_phases_onscreen_name_hv_ability_smouldering_fury_1	怒火中燒	true
special_ability_phases_onscreen_name_hv_ability_smouldering_fury_2	怒火中燒	true
special_ability_phases_onscreen_name_hv_ability_smouldering_fury_3	怒火中燒	true
special_ability_phases_onscreen_name_hv_ability_smouldering_fury_4	怒火中燒	true
special_ability_phases_onscreen_name_hv_ability_smouldering_fury_5	怒火中燒	true
unit_abilities_onscreen_name_hv_ability_smouldering_fury	怒火中燒	true
unit_abilities_tooltip_text_hv_ability_smouldering_fury	呂布遭逢越多阻撓，就越是頑強！	true
unit_ability_types_localised_description_hv_ability_smouldering_fury	怒火中燒	true
unit_ability_types_onscreen_name_hv_ability_smouldering_fury	被動增強效果	true
character_skills_localised_description_hv_skill_ability_the_dragon_s_gaze	呂布怒目一瞪，眾兵卒無不驚懼畏怯！	true
character_skills_localised_name_hv_skill_ability_the_dragon_s_gaze	蛟龍怒目	true
effects_description_hv_effect_unlock_the_dragon_s_gaze	技能：蛟龍怒目	true
special_ability_phases_onscreen_name_hv_ability_the_dragon_s_gaze	蛟龍怒目	true
unit_abilities_onscreen_name_hv_ability_the_dragon_s_gaze	蛟龍怒目	true
unit_abilities_tooltip_text_hv_ability_the_dragon_s_gaze	呂布怒目一瞪，眾兵卒無不驚懼畏怯！	true
unit_ability_types_localised_description_hv_ability_the_dragon_s_gaze	蛟龍怒目	true
unit_ability_types_onscreen_name_hv_ability_the_dragon_s_gaze	主動削弱效果	true
character_skills_localised_description_hv_skill_ability_reign_of_terror	暴君盛怒，部下皆心懷恐懼。	true
character_skills_localised_name_hv_skill_ability_reign_of_terror	恐怖統治	true
effects_description_hv_effect_unlock_reign_of_terror	技能：恐怖統治	true
special_ability_phases_onscreen_name_hv_ability_reign_of_terror	恐怖統治	true
unit_abilities_onscreen_name_hv_ability_reign_of_terror	恐怖統治	true
unit_abilities_tooltip_text_hv_ability_reign_of_terror	暴君盛怒，部下皆心懷恐懼。	true
unit_ability_types_localised_description_hv_ability_reign_of_terror	恐怖統治	true
unit_ability_types_onscreen_name_hv_ability_reign_of_terror	被動增強效果	true
character_skills_localised_description_hv_skill_ability_dong_command	嚴苛高壓的命令。	true
character_skills_localised_name_hv_skill_ability_dong_command	董卓之令	true
effects_description_hv_effect_unlock_dong_command	技能：董卓之令	true
special_ability_phases_onscreen_name_hv_ability_dong_command_1	董卓之令	true
special_ability_phases_onscreen_name_hv_ability_dong_command_2	董卓之令	true
unit_abilities_onscreen_name_hv_ability_dong_command	董卓之令	true
unit_abilities_tooltip_text_hv_ability_dong_command	嚴苛高壓的命令。	true
unit_ability_types_localised_description_hv_ability_dong_command	董卓之令	true
unit_ability_types_onscreen_name_hv_ability_dong_command	主動增強效果	true
character_skills_localised_description_hv_skill_ability_blade_breaker	暴君眼見刀刃碰上其護甲瞬被彈開，無法損及分毫，猖狂大笑。	true
character_skills_localised_name_hv_skill_ability_blade_breaker	堅甲破刃	true
effects_description_hv_effect_unlock_blade_breaker	技能：堅甲破刃	true
special_ability_phases_onscreen_name_hv_ability_blade_breaker	堅甲破刃	true
unit_abilities_onscreen_name_hv_ability_blade_breaker	堅甲破刃	true
unit_abilities_tooltip_text_hv_ability_blade_breaker	暴君眼見刀刃碰上其護甲瞬被彈開，無法損及分毫，猖狂大笑。	true
unit_ability_types_localised_description_hv_ability_blade_breaker	堅甲破刃	true
unit_ability_types_onscreen_name_hv_ability_blade_breaker	被動增強效果	true
character_skills_localised_description_hv_skill_ability_blood_fury	孫策戰力漸增，卻也愈加感情用事…	true
character_skills_localised_name_hv_skill_ability_blood_fury	鮮血之怒	true
effects_description_hv_effect_unlock_blood_fury	技能：鮮血之怒	true
special_ability_phases_onscreen_name_hv_ability_blood_fury	鮮血之怒	true
unit_abilities_onscreen_name_hv_ability_blood_fury	鮮血之怒	true
unit_abilities_tooltip_text_hv_ability_blood_fury	孫策戰力漸增，卻也愈加感情用事…	true
unit_ability_types_localised_description_hv_ability_blood_fury	鮮血之怒	true
unit_ability_types_onscreen_name_hv_ability_blood_fury	被動增強效果	true
character_skills_localised_description_hv_skill_ability_devastating_roar	狂怒的吼聲擊潰敵軍士氣！	true
character_skills_localised_name_hv_skill_ability_devastating_roar	毀滅之吼	true
effects_description_hv_effect_unlock_devastating_roar	技能：毀滅之吼	true
special_ability_phases_onscreen_name_hv_ability_devastating_roar	毀滅之吼	true
unit_abilities_onscreen_name_hv_ability_devastating_roar	毀滅之吼	true
unit_abilities_tooltip_text_hv_ability_devastating_roar	狂怒的吼聲擊潰敵軍士氣！	true
unit_ability_types_localised_description_hv_ability_devastating_roar	毀滅之吼	true
unit_ability_types_onscreen_name_hv_ability_devastating_roar	主動削弱效果	true
character_skills_localised_description_hv_skill_ability_heart_seeker	孫仁只消一擊便能取人性命。	true
character_skills_localised_name_hv_skill_ability_heart_seeker	一箭穿心	true
effects_description_hv_effect_unlock_heart_seeker	技能：一箭穿心	true
special_ability_phases_onscreen_name_hv_ability_heart_seeker	一箭穿心	true
unit_abilities_onscreen_name_hv_ability_heart_seeker	一箭穿心	true
unit_abilities_tooltip_text_hv_ability_heart_seeker	孫仁只消一擊便能取人性命。	true
unit_ability_types_localised_description_hv_ability_heart_seeker	一箭穿心	true
unit_ability_types_onscreen_name_hv_ability_heart_seeker	遠程攻擊	true
character_skills_localised_description_hv_skill_ability_sundering_strike	張飛強力劈擊，撕裂敵人的防線。	true
character_skills_localised_name_hv_skill_ability_sundering_strike	開山劈石	true
effects_description_hv_effect_unlock_sundering_strike	技能：	true
special_ability_phases_onscreen_name_hv_ability_sundering_strike	開山劈石	true
unit_abilities_onscreen_name_hv_ability_sundering_strike	開山劈石	true
unit_abilities_tooltip_text_hv_ability_sundering_strike	張飛強力劈擊，撕裂敵人的防線。	true
unit_ability_types_localised_description_hv_ability_sundering_strike	開山劈石	true
unit_ability_types_onscreen_name_hv_ability_sundering_strike	遠程攻擊	true
character_skills_localised_description_hv_skill_ability_blazing_roar	張飛仰天長嘯，使敵軍士氣潰散！	true
character_skills_localised_name_hv_skill_ability_blazing_roar	燃燒之吼	true
effects_description_hv_effect_unlock_blazing_roar	技能：燃燒之吼	true
special_ability_phases_onscreen_name_hv_ability_blazing_roar	燃燒之吼	true
unit_abilities_onscreen_name_hv_ability_blazing_roar	燃燒之吼	true
unit_abilities_tooltip_text_hv_ability_blazing_roar	張飛仰天長嘯，使敵軍士氣潰散！	true
unit_ability_types_localised_description_hv_ability_blazing_roar	燃燒之吼	true
unit_ability_types_onscreen_name_hv_ability_blazing_roar	主動削弱效果	true
character_skills_localised_description_hv_skill_ability_internal_blaze	馬超心中的不滿化作爆發的狂怒，抑制不住地直往敵人轟去！	true
character_skills_localised_name_hv_skill_ability_internal_blaze	心中烈火	true
effects_description_hv_effect_unlock_internal_blaze	技能：心中烈火	true
special_ability_phases_onscreen_name_hv_ability_internal_blaze	心中烈火	true
unit_abilities_onscreen_name_hv_ability_internal_blaze	心中烈火	true
unit_abilities_tooltip_text_hv_ability_internal_blaze	馬超心中的不滿化作爆發的狂怒，抑制不住地直往敵人轟去！	true
unit_ability_types_localised_description_hv_ability_internal_blaze	心中烈火	true
unit_ability_types_onscreen_name_hv_ability_internal_blaze	被動增強效果	true
character_skills_localised_description_hv_skill_ability_blazing_saddles	發動強力的衝鋒，使夏侯淵耗盡專注力。	true
character_skills_localised_name_hv_skill_ability_blazing_saddles	炙熱馬鞍	true
effects_description_hv_effect_unlock_blazing_saddles	技能：炙熱馬鞍	true
special_ability_phases_onscreen_name_hv_ability_blazing_saddles	炙熱馬鞍	true
unit_abilities_onscreen_name_hv_ability_blazing_saddles	炙熱馬鞍	true
unit_abilities_tooltip_text_hv_ability_blazing_saddles	發動強力的衝鋒，使夏侯淵耗盡專注力。	true
unit_ability_types_localised_description_hv_ability_blazing_saddles	炙熱馬鞍	true
unit_ability_types_onscreen_name_hv_ability_blazing_saddles	被動增強效果	true
character_skills_localised_description_hv_skill_ability_wildfire	甘寧有如燎原野火，動作越發迅捷。	true
character_skills_localised_name_hv_skill_ability_wildfire	野火劫匪	true
effects_description_hv_effect_unlock_wildfire	技能：野火劫匪	true
special_ability_phases_onscreen_name_hv_ability_wildfire_1	野火劫匪	true
special_ability_phases_onscreen_name_hv_ability_wildfire_2	野火劫匪	true
special_ability_phases_onscreen_name_hv_ability_wildfire_3	野火劫匪	true
special_ability_phases_onscreen_name_hv_ability_wildfire_4	野火劫匪	true
special_ability_phases_onscreen_name_hv_ability_wildfire_5	野火劫匪	true
unit_abilities_onscreen_name_hv_ability_wildfire	野火劫匪	true
unit_abilities_tooltip_text_hv_ability_wildfire	甘寧有如燎原野火，動作越發迅捷。	true
unit_ability_types_localised_description_hv_ability_wildfire	野火劫匪	true
unit_ability_types_onscreen_name_hv_ability_wildfire	被動增強效果	true
character_skills_localised_description_hv_skill_ability_burning	火勢越猛，持燒之時越短。	true
character_skills_localised_name_hv_skill_ability_burning	燃燒之魂	true
effects_description_hv_effect_unlock_burning	技能：燃燒之魂	true
special_ability_phases_onscreen_name_hv_ability_burning	燃燒之魂	true
unit_abilities_onscreen_name_hv_ability_burning	燃燒之魂	true
unit_abilities_tooltip_text_hv_ability_burning	火勢越猛，持燒之時越短。	true
unit_ability_types_localised_description_hv_ability_burning	燃燒之魂	true
unit_ability_types_onscreen_name_hv_ability_burning	主動增強效果	true
character_skills_localised_description_hv_skill_ability_flames_of_the_phoenix	挾帶竄升烈火之力的毀滅一擊！	true
character_skills_localised_name_hv_skill_ability_flames_of_the_phoenix	鳳凰之火	true
effects_description_hv_effect_unlock_flames_of_the_phoenix	技能：鳳凰之火	true
special_ability_phases_onscreen_name_hv_ability_flames_of_the_phoenix	鳳凰之火	true
unit_abilities_onscreen_name_hv_ability_flames_of_the_phoenix	鳳凰之火	true
