key	text	tooltip
#Loc;1;text/!@hv_TEXT_SKILLSETS_ABILITY_ytr.loc		
character_skills_localised_description_hv_skill_ability_commanding_shout	從一名戰士傳達到另一名戰士的戰鬥口號。	true
character_skills_localised_name_hv_skill_ability_commanding_shout	號令吶喊	true
effects_description_hv_effect_unlock_commanding_shout	技能：號令吶喊	true
special_ability_phases_onscreen_name_hv_ability_commanding_shout	號令吶喊	true
unit_abilities_onscreen_name_hv_ability_commanding_shout	號令吶喊	true
unit_abilities_tooltip_text_hv_ability_commanding_shout	從一名戰士傳達到另一名戰士的戰鬥口號。	true
unit_ability_types_localised_description_hv_ability_commanding_shout	號令吶喊	true
unit_ability_types_onscreen_name_hv_ability_commanding_shout	主動增強效果	true
character_skills_localised_description_hv_skill_ability_condemn	這樣的話語會帶來羞愧與恥辱。	true
character_skills_localised_name_hv_skill_ability_condemn	譴責	true
effects_description_hv_effect_unlock_condemn	技能：譴責	true
special_ability_phases_onscreen_name_hv_ability_condemn	譴責	true
unit_abilities_onscreen_name_hv_ability_condemn	譴責	true
unit_abilities_tooltip_text_hv_ability_condemn	這樣的話語會帶來羞愧與恥辱。	true
unit_ability_types_localised_description_hv_ability_condemn	譴責	true
unit_ability_types_onscreen_name_hv_ability_condemn	近戰攻擊	true
character_skills_localised_description_hv_skill_ability_desperate_cry	能激勵人的不見得是命令的內容，也可能是發號施令的方法。	true
character_skills_localised_name_hv_skill_ability_desperate_cry	慘烈呼喊	true
effects_description_hv_effect_unlock_desperate_cry	技能：慘烈呼喊	true
special_ability_phases_onscreen_name_hv_ability_desperate_cry	慘烈呼喊	true
unit_abilities_onscreen_name_hv_ability_desperate_cry	慘烈呼喊	true
unit_abilities_tooltip_text_hv_ability_desperate_cry	能激勵人的不見得是命令的內容，也可能是發號施令的方法。	true
unit_ability_types_localised_description_hv_ability_desperate_cry	慘烈呼喊	true
unit_ability_types_onscreen_name_hv_ability_desperate_cry	主動增強效果	true
character_skills_localised_description_hv_skill_ability_disorientate	熟知戰場的人即使面對最有把握的士兵，也能動搖他們的自信。	true
character_skills_localised_name_hv_skill_ability_disorientate	打亂方向	true
effects_description_hv_effect_unlock_disorientate	技能：打亂方向	true
special_ability_phases_onscreen_name_hv_ability_disorientate	打亂方向	true
unit_abilities_onscreen_name_hv_ability_disorientate	打亂方向	true
unit_abilities_tooltip_text_hv_ability_disorientate	熟知戰場的人即使面對最有把握的士兵，也能動搖他們的自信。	true
unit_ability_types_localised_description_hv_ability_disorientate	打亂方向	true
unit_ability_types_onscreen_name_hv_ability_disorientate	主動削弱效果	true
character_skills_localised_description_hv_skill_ability_favourable_skies	瞭解最佳的放箭時機，在輪到自己挨箭時便能收到奇效。	true
character_skills_localised_name_hv_skill_ability_favourable_skies	有利天候	true
effects_description_hv_effect_unlock_favourable_skies	技能：有利天候	true
special_ability_phases_onscreen_name_hv_ability_favourable_skies	有利天候	true
unit_abilities_onscreen_name_hv_ability_favourable_skies	有利天候	true
unit_abilities_tooltip_text_hv_ability_favourable_skies	瞭解最佳的放箭時機，在輪到自己挨箭時便能收到奇效。	true
