key	text	tooltip
#Loc;1;text/!@hv_TEXT_UNIT_GROUND_TYPE.loc		
ground_type_stat_effect_groups_onscreen_name_hv_ground_effect_bandit_infantry_heavy	Heavy Bandit Infantry	true
ground_type_stat_effect_groups_onscreen_name_hv_ground_effect_bandit_infantry_light	Light Bandit Infantry	true
ground_type_stat_effect_groups_onscreen_name_hv_ground_effect_bandit_infantry_medium	Medium Bandit Infantry	true
ground_type_stat_effect_groups_onscreen_name_hv_ground_effect_cavalry_barded_heavy	Barded Heavy Cavalry	true
ground_type_stat_effect_groups_onscreen_name_hv_ground_effect_cavalry_heavy	Heavy Cavalry	true
ground_type_stat_effect_groups_onscreen_name_hv_ground_effect_cavalry_light	Light Cavalry	true
ground_type_stat_effect_groups_onscreen_name_hv_ground_effect_cavalry_medium	Medium Cavalry	true
ground_type_stat_effect_groups_onscreen_name_hv_ground_effect_cavalry_wuhuan_barded_heavy	Wuhuan Barded Heavy Cavalry	true
ground_type_stat_effect_groups_onscreen_name_hv_ground_effect_cavalry_wuhuan_medium	Wuhuan Medium Cavalry	true
ground_type_stat_effect_groups_onscreen_name_hv_ground_effect_infantry_heavy	Heavy Infantry	true
ground_type_stat_effect_groups_onscreen_name_hv_ground_effect_infantry_light	Light Infantry	true
ground_type_stat_effect_groups_onscreen_name_hv_ground_effect_infantry_medium	Medium Infantry	true
