key	text	tooltip
#Loc;1;text/!@hv_TEXT_UNIT_UI_GROUP_NEW.loc		
ui_unit_groupings_tooltip_3k_main_unit_glaive_infantry_metal	Very assault-oriented unit, but vulnerable to missile attacks.	true
ui_unit_groupings_tooltip_3k_main_unit_polearm_infantry_wood	Excels at attacking unarmoured opponents, but vulnerable to missile attacks.	true
ui_unit_groupings_tooltip_3k_main_unit_glavie_bow_infantry_wood	Excels at holding the line, especially at chokepoints, but has very low damage, and has missile weapons to soften up approaching enemies.	true
ui_unit_groupings_tooltip_3k_main_unit_spear_infantry_wood	Excels at holding the line especially at chokepoints, but has very low damage.	true
ui_unit_groupings_tooltip_3k_main_unit_axe_infantry_metal	Excels at attacking unarmoured opponents, but very vulnerable to cavalry charges.	true
ui_unit_groupings_tooltip_3k_main_unit_crossbow_cavalry_water	Excels at wearing down enemies without shields and keeping distance, but vulnerable in melee.	true
ui_unit_groupings_tooltip_3k_main_unit_polearm_cavalry_fire	Excels at attacking unarmoured opponents, but vulnerable to missile attacks.	true
ui_unit_groupings_tooltip_3k_main_unit_crossbow_infantry_water	Excels at attacking unarmoured opponents, but vulnerable in melee.	true
ui_unit_groupings_onscreen_hv_unit_ui_grouping_rake_infantry_hvt1	鐵耙步戰	true
ui_unit_groupings_onscreen_hv_unit_ui_grouping_bamboo_infantry_hvt1	竹槍步兵	true
ui_unit_groupings_onscreen_hv_unit_ui_grouping_staff_infantry_hvt1	棍棒步兵	true
ui_unit_groupings_onscreen_hv_unit_ui_grouping_sabre_infantry_hvt1	持刀步兵	true
ui_unit_groupings_onscreen_hv_unit_ui_grouping_sword_infantry_hvt1	持劍步兵	true
ui_unit_groupings_onscreen_hv_unit_ui_grouping_sword_cavalry_hvt1	持刀騎兵	true
ui_unit_groupings_onscreen_hv_unit_ui_grouping_mace_infantry_hvt1	持錘步兵	true
ui_unit_groupings_onscreen_hv_unit_ui_grouping_spear_infantry_hvt1	持槍步兵	true
ui_unit_groupings_onscreen_hv_unit_ui_grouping_hand_ji_infantry_hvt1	手戟步兵	true
ui_unit_groupings_onscreen_hv_unit_ui_grouping_axe_infantry_hvt1	持斧步兵	true
ui_unit_groupings_onscreen_hv_unit_ui_grouping_long_spear_infantry_hvt1	長槍步兵	true
ui_unit_groupings_onscreen_hv_unit_ui_grouping_long_axe_infantry_hvt1	長斧步兵	true
ui_unit_groupings_onscreen_hv_unit_ui_grouping_long_mace_infantry_hvt1	巨錘步兵	true
ui_unit_groupings_onscreen_hv_unit_ui_grouping_trident_infantry_hvt1	三叉戟步兵	true
ui_unit_groupings_onscreen_hv_unit_ui_grouping_ji_infantry_hvt1	持戟步兵	true
ui_unit_groupings_onscreen_hv_unit_ui_grouping_halberd_infantry_hvt1	重戟衛兵	true
ui_unit_groupings_onscreen_hv_unit_ui_grouping_glaive_infantry_hvt1	大刀步兵	true
ui_unit_groupings_onscreen_hv_unit_ui_grouping_anti_horse_sword_infantry_hvt1	斬馬刀步兵	true
ui_unit_groupings_onscreen_hv_unit_ui_grouping_long_sword_infantry_hvt1	巨劍步兵	true
ui_unit_groupings_onscreen_hv_unit_ui_grouping_dw_sabre_infantry_hvt1	雙刀步兵	true
ui_unit_groupings_onscreen_hv_unit_ui_grouping_dw_axe_infantry_hvt1	雙斧步兵	true
ui_unit_groupings_onscreen_hv_unit_ui_grouping_dw_hand_ji_infantry_hvt1	雙手戟步兵	true
ui_unit_groupings_onscreen_hv_unit_ui_grouping_dw_sword_infantry_hvt1	雙劍步兵	true
ui_unit_groupings_onscreen_hv_unit_ui_grouping_dw_mace_infantry_hvt1	雙錘步兵	true
ui_unit_groupings_onscreen_hv_unit_ui_grouping_bow_infantry_hvt1	持弓步兵	true
ui_unit_groupings_onscreen_hv_unit_ui_grouping_heavy_bow_infantry_hvt1	重弓步兵	true
ui_unit_groupings_onscreen_hv_unit_ui_grouping_crossbow_infantry_hvt1	持弩步兵	true
ui_unit_groupings_onscreen_hv_unit_ui_grouping_rep_crossbow_infantry_hvt1	連弩步兵	true
ui_unit_groupings_onscreen_hv_unit_ui_grouping_gunpowder_infantry_hvt1	火器步兵	true
ui_unit_groupings_onscreen_hv_unit_ui_grouping_sabre_cavalry_hvt1	持刀騎兵	true
ui_unit_groupings_onscreen_hv_unit_ui_grouping_mace_cavalry_hvt1	持錘騎兵	true
ui_unit_groupings_onscreen_hv_unit_ui_grouping_spear_cavalry_hvt1	持槍騎兵	true
ui_unit_groupings_onscreen_hv_unit_ui_grouping_hand_ji_cavalry_hvt1	手戟騎兵	true
ui_unit_groupings_onscreen_hv_unit_ui_grouping_axe_cavalry_hvt1	持斧騎兵	true
ui_unit_groupings_onscreen_hv_unit_ui_grouping_long_spear_cavalry_hvt1	長槍騎兵	true
ui_unit_groupings_onscreen_hv_unit_ui_grouping_ji_cavalry_hvt1	持戟騎兵	true
ui_unit_groupings_onscreen_hv_unit_ui_grouping_halberd_cavalry_hvt1	重戟騎兵	true
ui_unit_groupings_onscreen_hv_unit_ui_grouping_glaive_cavalry_hvt1	大刀騎兵	true
ui_unit_groupings_onscreen_hv_unit_ui_grouping_anti_horse_sword_cavalry_hvt1	斬馬刀騎兵	true
ui_unit_groupings_onscreen_hv_unit_ui_grouping_long_sword_cavalry_hvt1	巨劍騎兵	true
ui_unit_groupings_onscreen_hv_unit_ui_grouping_dw_sabre_cavalry_hvt1	雙刀騎兵	true
ui_unit_groupings_onscreen_hv_unit_ui_grouping_dw_axe_cavalry_hvt1	雙斧騎兵	true
ui_unit_groupings_onscreen_hv_unit_ui_grouping_dw_hand_ji_cavalry_hvt1	雙手戟騎兵	true
ui_unit_groupings_onscreen_hv_unit_ui_grouping_dw_sword_cavalry_hvt1	雙劍騎兵	true
ui_unit_groupings_onscreen_hv_unit_ui_grouping_dw_mace_cavalry_hvt1	雙錘騎兵	true
ui_unit_groupings_onscreen_hv_unit_ui_grouping_bow_cavalry_hvt1	持弓騎兵	true
ui_unit_groupings_onscreen_hv_unit_ui_grouping_heavy_bow_cavalry_hvt1	重弓騎兵	true
ui_unit_groupings_onscreen_hv_unit_ui_grouping_crossbow_cavalry_hvt1	持弩騎兵	true
ui_unit_groupings_onscreen_hv_unit_ui_grouping_multiple_crossbow_hvt1	多重弩	true
ui_unit_groupings_onscreen_hv_unit_ui_grouping_trebuchet_hvt1	投石機	true
ui_unit_groupings_onscreen_hv_unit_ui_grouping_rake_infantry_hvt3	鐵耙步戰	true
ui_unit_groupings_onscreen_hv_unit_ui_grouping_bamboo_infantry_hvt3	竹槍步兵	true
ui_unit_groupings_onscreen_hv_unit_ui_grouping_staff_infantry_hvt3	棍棒步兵	true
ui_unit_groupings_onscreen_hv_unit_ui_grouping_sabre_infantry_hvt3	持刀步兵	true
ui_unit_groupings_onscreen_hv_unit_ui_grouping_sword_infantry_hvt3	持劍步兵	true
ui_unit_groupings_onscreen_hv_unit_ui_grouping_sword_cavalry_hvt3	持刀騎兵	true
ui_unit_groupings_onscreen_hv_unit_ui_grouping_mace_infantry_hvt3	持錘步兵	true
ui_unit_groupings_onscreen_hv_unit_ui_grouping_spear_infantry_hvt3	持槍步兵	true
ui_unit_groupings_onscreen_hv_unit_ui_grouping_hand_ji_infantry_hvt3	手戟步兵	true
ui_unit_groupings_onscreen_hv_unit_ui_grouping_axe_infantry_hvt3	持斧步兵	true
ui_unit_groupings_onscreen_hv_unit_ui_grouping_long_spear_infantry_hvt3	長槍步兵	true
ui_unit_groupings_onscreen_hv_unit_ui_grouping_long_axe_infantry_hvt3	長斧步兵	true
ui_unit_groupings_onscreen_hv_unit_ui_grouping_long_mace_infantry_hvt3	巨錘步兵	true
ui_unit_groupings_onscreen_hv_unit_ui_grouping_trident_infantry_hvt3	三叉戟步兵	true
ui_unit_groupings_onscreen_hv_unit_ui_grouping_ji_infantry_hvt3	持戟步兵	true
ui_unit_groupings_onscreen_hv_unit_ui_grouping_halberd_infantry_hvt3	重戟衛兵	true
ui_unit_groupings_onscreen_hv_unit_ui_grouping_glaive_infantry_hvt3	大刀步兵	true
ui_unit_groupings_onscreen_hv_unit_ui_grouping_anti_horse_sword_infantry_hvt3	斬馬刀步兵	true
ui_unit_groupings_onscreen_hv_unit_ui_grouping_long_sword_infantry_hvt3	巨劍步兵	true
ui_unit_groupings_onscreen_hv_unit_ui_grouping_dw_sabre_infantry_hvt3	雙刀步兵	true
ui_unit_groupings_onscreen_hv_unit_ui_grouping_dw_axe_infantry_hvt3	雙斧步兵	true
ui_unit_groupings_onscreen_hv_unit_ui_grouping_dw_hand_ji_infantry_hvt3	雙手戟步兵	true
ui_unit_groupings_onscreen_hv_unit_ui_grouping_dw_sword_infantry_hvt3	雙劍步兵	true
ui_unit_groupings_onscreen_hv_unit_ui_grouping_dw_mace_infantry_hvt3	雙錘步兵	true
ui_unit_groupings_onscreen_hv_unit_ui_grouping_bow_infantry_hvt3	持弓步兵	true
ui_unit_groupings_onscreen_hv_unit_ui_grouping_heavy_bow_infantry_hvt3	重弓步兵	true
ui_unit_groupings_onscreen_hv_unit_ui_grouping_crossbow_infantry_hvt3	持弩步兵	true
ui_unit_groupings_onscreen_hv_unit_ui_grouping_rep_crossbow_infantry_hvt3	連弩步兵	true
ui_unit_groupings_onscreen_hv_unit_ui_grouping_gunpowder_infantry_hvt3	火器步兵	true
ui_unit_groupings_onscreen_hv_unit_ui_grouping_sabre_cavalry_hvt3	持刀騎兵	true
ui_unit_groupings_onscreen_hv_unit_ui_grouping_mace_cavalry_hvt3	持錘騎兵	true
ui_unit_groupings_onscreen_hv_unit_ui_grouping_spear_cavalry_hvt3	持槍騎兵	true
