key	text	tooltip
#Loc;1;text/!@hv_TEXT_UNIT_YTR.loc		
land_units_onscreen_name_3k_ytr_unit_metal_peasant_warriors	農民戰士	true
unit_description_short_texts_text_3k_ytr_unit_metal_peasant_warriors	第一階 - 農民兵	true
unit_description_historical_texts_text_3k_ytr_unit_metal_peasant_warriors		true
land_units_onscreen_name_3k_ytr_unit_wood_peasant_spearmen	農民槍兵	true
unit_description_short_texts_text_3k_ytr_unit_wood_peasant_spearmen	第一階 - 農民兵	true
unit_description_historical_texts_text_3k_ytr_unit_wood_peasant_spearmen		true
land_units_onscreen_name_3k_ytr_unit_water_peasant_archers	農民弓兵	true
unit_description_short_texts_text_3k_ytr_unit_water_peasant_archers	第一階 - 農民兵	true
unit_description_historical_texts_text_3k_ytr_unit_water_peasant_archers		true
land_units_onscreen_name_3k_ytr_unit_wood_militia_of_virtue	修德義勇	true
unit_description_short_texts_text_3k_ytr_unit_wood_militia_of_virtue	第一階 - 民兵	true
unit_description_historical_texts_text_3k_ytr_unit_wood_militia_of_virtue		true
land_units_onscreen_name_3k_ytr_unit_metal_yellow_sky_heralds	黃天開路軍	true
unit_description_short_texts_text_3k_ytr_unit_metal_yellow_sky_heralds	第一階 - 民兵	true
unit_description_historical_texts_text_3k_ytr_unit_metal_yellow_sky_heralds		true
land_units_onscreen_name_3k_ytr_unit_metal_chanters	念咒班	true
unit_description_short_texts_text_3k_ytr_unit_metal_chanters	第一階 - 民兵	true
unit_description_historical_texts_text_3k_ytr_unit_metal_chanters		true
land_units_onscreen_name_3k_ytr_unit_metal_yellow_turban_warriors	黃巾軍戰士	true
unit_description_short_texts_text_3k_ytr_unit_metal_yellow_turban_warriors	第二階 - 正規軍	true
unit_description_historical_texts_text_3k_ytr_unit_metal_yellow_turban_warriors		true
land_units_onscreen_name_3k_ytr_unit_wood_yellow_turban_spearmen	黃巾軍槍兵	true
unit_description_short_texts_text_3k_ytr_unit_wood_yellow_turban_spearmen	第二階 - 正規軍	true
unit_description_historical_texts_text_3k_ytr_unit_wood_yellow_turban_spearmen		true
land_units_onscreen_name_3k_ytr_unit_water_yellow_turban_archers	黃巾軍弩兵	true
unit_description_short_texts_text_3k_ytr_unit_water_yellow_turban_archers	第二階 - 正規軍	true
unit_description_historical_texts_text_3k_ytr_unit_water_yellow_turban_archers		true
land_units_onscreen_name_3k_ytr_unit_earth_yellow_turban_horsemen	黃巾軍騎兵	true
unit_description_short_texts_text_3k_ytr_unit_earth_yellow_turban_horsemen	第二階 - 正規軍	true
unit_description_historical_texts_text_3k_ytr_unit_earth_yellow_turban_horsemen		true
land_units_onscreen_name_3k_dlc04_unit_wood_gallants_of_the_people	護民勇士	true
unit_description_short_texts_text_3k_dlc04_unit_wood_gallants_of_the_people	第二階 - 正規軍	true
unit_description_historical_texts_text_3k_dlc04_unit_wood_gallants_of_the_people		true
land_units_onscreen_name_3k_ytr_unit_metal_peoples_warband	百姓兵團	true
unit_description_short_texts_text_3k_ytr_unit_metal_peoples_warband	第二階 - 正規軍	true
unit_description_historical_texts_text_3k_ytr_unit_metal_peoples_warband		true
land_units_onscreen_name_3k_ytr_unit_wood_bringers_of_righteousness	正道使者	true
unit_description_short_texts_text_3k_ytr_unit_wood_bringers_of_righteousness	第二階 - 正規軍	true
unit_description_historical_texts_text_3k_ytr_unit_wood_bringers_of_righteousness		true
land_units_onscreen_name_3k_ytr_unit_water_men_of_the_forest	森林之師	true
unit_description_short_texts_text_3k_ytr_unit_water_men_of_the_forest	第二階 - 正規軍	true
unit_description_historical_texts_text_3k_ytr_unit_water_men_of_the_forest		true
land_units_onscreen_name_3k_ytr_unit_metal_venerable_wu	聖巫軍	true
unit_description_short_texts_text_3k_ytr_unit_metal_venerable_wu	第二階 - 正規軍	true
unit_description_historical_texts_text_3k_ytr_unit_metal_venerable_wu		true
land_units_onscreen_name_3k_dlc04_unit_metal_huanglao_s_paragons	黃老仙軍	true
unit_description_short_texts_text_3k_dlc04_unit_metal_huanglao_s_paragons	第二階 - 正規軍	true
unit_description_historical_texts_text_3k_dlc04_unit_metal_huanglao_s_paragons		true
land_units_onscreen_name_3k_dlc04_unit_wood_zealots_of_the_way	狂信道士	true
unit_description_short_texts_text_3k_dlc04_unit_wood_zealots_of_the_way	第二階 - 正規軍	true
unit_description_historical_texts_text_3k_dlc04_unit_wood_zealots_of_the_way		true
land_units_onscreen_name_3k_ytr_unit_wood_reclaimers	回收兵	true
unit_description_short_texts_text_3k_ytr_unit_wood_reclaimers	第二階 - 正規軍	true
unit_description_historical_texts_text_3k_ytr_unit_wood_reclaimers		true
land_units_onscreen_name_3k_ytr_unit_water_horseback_huntsmen	馬背獵人	true
unit_description_short_texts_text_3k_ytr_unit_water_horseback_huntsmen	第二階 - 正規軍	true
unit_description_historical_texts_text_3k_ytr_unit_water_horseback_huntsmen		true
land_units_onscreen_name_3k_dlc04_unit_water_poachers	盜獵兵	true
unit_description_short_texts_text_3k_dlc04_unit_water_poachers	第二階 - 正規軍	true
unit_description_historical_texts_text_3k_dlc04_unit_water_poachers		true
land_units_onscreen_name_3k_ytr_unit_metal_youxia	遊俠	true
unit_description_short_texts_text_3k_ytr_unit_metal_youxia	第三階 - 精銳部隊	true
unit_description_historical_texts_text_3k_ytr_unit_metal_youxia		true
land_units_onscreen_name_3k_dlc04_unit_fire_righteous_vanguards	宣義先鋒	true
unit_description_short_texts_text_3k_dlc04_unit_fire_righteous_vanguards	第三階 - 精銳部隊	true
unit_description_historical_texts_text_3k_dlc04_unit_fire_righteous_vanguards		true
land_units_onscreen_name_3k_dlc04_unit_water_yaoguai_hunters	妖魅獵手	true
unit_description_short_texts_text_3k_dlc04_unit_water_yaoguai_hunters	第三階 - 精銳部隊	true
unit_description_historical_texts_text_3k_dlc04_unit_water_yaoguai_hunters		true
land_units_onscreen_name_3k_ytr_unit_water_archery_masters	箭術高手	true
unit_description_short_texts_text_3k_ytr_unit_water_archery_masters	第三階 - 精銳部隊	true
unit_description_historical_texts_text_3k_ytr_unit_water_archery_masters		true
land_units_onscreen_name_3k_dlc04_unit_earth_jaizi_raiders	甲子劫匪	true
unit_description_short_texts_text_3k_dlc04_unit_earth_jaizi_raiders	第三階 - 精銳部隊	true
unit_description_historical_texts_text_3k_dlc04_unit_earth_jaizi_raiders		true
land_units_onscreen_name_3k_dlc04_unit_metal_exemplars_of_the_tao	求道模範	true
unit_description_short_texts_text_3k_dlc04_unit_metal_exemplars_of_the_tao	第三階 - 精銳部隊	true
unit_description_historical_texts_text_3k_dlc04_unit_metal_exemplars_of_the_tao		true
land_units_onscreen_name_3k_ytr_unit_wood_guardians_of_the_land	土地衛士	true
unit_description_short_texts_text_3k_ytr_unit_wood_guardians_of_the_land	第三階 - 精銳部隊	true
unit_description_historical_texts_text_3k_ytr_unit_wood_guardians_of_the_land		true
land_units_onscreen_name_3k_dlc04_unit_water_the_lands_chosen	地傑軍	true
unit_description_short_texts_text_3k_dlc04_unit_water_the_lands_chosen	第三階 - 精銳部隊	true
unit_description_historical_texts_text_3k_dlc04_unit_water_the_lands_chosen		true
land_units_onscreen_name_3k_ytr_unit_metal_arm_of_the_supreme_peace	太平鐵臂軍	true
unit_description_short_texts_text_3k_ytr_unit_metal_arm_of_the_supreme_peace	第四階 - 禁軍	true
unit_description_historical_texts_text_3k_ytr_unit_metal_arm_of_the_supreme_peace		true
land_units_onscreen_name_3k_ytr_unit_metal_scholar_warriors	學究戰士	true
unit_description_short_texts_text_3k_ytr_unit_metal_scholar_warriors	第四階 - 禁軍	true
unit_description_historical_texts_text_3k_ytr_unit_metal_scholar_warriors		true
