key	text	tooltip
#Loc;1;text/!dummy@hv_TEXT_UNIT_UI_GROUP.loc		
ui_unit_groupings_tooltip_3k_main_unit_sword_infantry_metal	Excels at head-on assaults against the enemy frontline, but very vulnerable to cavalry charges.	true
ui_unit_groupings_tooltip_3k_main_unit_ranged_infantry_water	Excels at wearing down enemies without shields, but vulnerable in melee.	true
ui_unit_groupings_tooltip_3k_main_unit_ranged_cavalry_water	Excels at wearing down enemies without shields and keeping distance, but vulnerable in melee.	true
ui_unit_groupings_tooltip_3k_main_unit_crossbow_repeating_infantry_water	Excels at attacking unarmoured opponents, but vulnerable in melee.	true
ui_unit_groupings_tooltip_3k_main_unit_glaive_infantry_wood	Very assault-oriented unit, but vulnerable to missile attacks.	true
ui_unit_groupings_tooltip_3k_main_unit_sword_cavalry_earth	Best used to counter missile units, but vulnerable in melee.	true
ui_unit_groupings_tooltip_3k_dlc04_unit_machine_crossbow_water	Excels at attacking unarmoured opponents, but vulnerable in melee.	true
ui_unit_groupings_tooltip_3k_main_unit_axe_cavalry_earth	Excels at attacking unarmoured opponents, but very vulnerable to cavalry charges.	true
ui_unit_groupings_tooltip_3k_main_unit_artillery_water	Excels at breaking down walls and igniting buildings, but extremely vulnerable against any attacks.	true
ui_unit_groupings_tooltip_3k_main_unit_polearm_infantry_metal	Excels at attacking unarmoured opponents, but vulnerable to missile attacks.	true
ui_unit_groupings_tooltip_3k_main_unit_spear_cavalry_fire	Excels at causing large amounts of damage in a short amount of time, but fragile if they remain in combat for a prolonged period of time.	true
ui_unit_groupings_tooltip_3k_main_unit_glaive_infantry_metal	Very assault-oriented unit, but vulnerable to missile attacks.	true
ui_unit_groupings_tooltip_3k_main_unit_polearm_infantry_wood	Excels at attacking unarmoured opponents, but vulnerable to missile attacks.	true
ui_unit_groupings_tooltip_3k_main_unit_glavie_bow_infantry_wood	Excels at holding the line, especially at chokepoints, but has very low damage, and has missile weapons to soften up approaching enemies.	true
ui_unit_groupings_tooltip_3k_main_unit_spear_infantry_wood	Excels at holding the line especially at chokepoints, but has very low damage.	true
ui_unit_groupings_tooltip_3k_main_unit_axe_infantry_metal	Excels at attacking unarmoured opponents, but very vulnerable to cavalry charges.	true
ui_unit_groupings_tooltip_3k_main_unit_crossbow_cavalry_water	Excels at wearing down enemies without shields and keeping distance, but vulnerable in melee.	true
ui_unit_groupings_tooltip_3k_main_unit_polearm_cavalry_fire	Excels at attacking unarmoured opponents, but vulnerable to missile attacks.	true
ui_unit_groupings_tooltip_3k_main_unit_crossbow_infantry_water	Excels at attacking unarmoured opponents, but vulnerable in melee.	true
ui_unit_groupings_onscreen_hv_unit_ui_grouping_duel_sword_infantry_hvblack	Dual Wield Sword Infantry	false
ui_unit_groupings_onscreen_hv_unit_ui_grouping_duel_sword_infantry_hvmetal	Dual Wield Sword Infantry	false
ui_unit_groupings_onscreen_hv_unit_ui_grouping_duel_sword_infantry_hvwood	Dual Wield Sword Infantry	false
ui_unit_groupings_onscreen_hv_unit_ui_grouping_duel_sword_infantry_hvwater	Dual Wield Sword Infantry	false
ui_unit_groupings_onscreen_hv_unit_ui_grouping_duel_sword_infantry_hvfire	Dual Wield Sword Infantry	false
ui_unit_groupings_onscreen_hv_unit_ui_grouping_duel_sword_infantry_hvearth	Dual Wield Sword Infantry	false
ui_unit_groupings_onscreen_hv_unit_ui_grouping_duel_sword_infantry_hvblackt3	Dual Wield Sword Infantry	false
ui_unit_groupings_onscreen_hv_unit_ui_grouping_duel_sword_infantry_hvmetalt3	Dual Wield Sword Infantry	false
ui_unit_groupings_onscreen_hv_unit_ui_grouping_duel_sword_infantry_hvwoodt3	Dual Wield Sword Infantry	false
ui_unit_groupings_onscreen_hv_unit_ui_grouping_duel_sword_infantry_hvwatert3	Dual Wield Sword Infantry	false
ui_unit_groupings_onscreen_hv_unit_ui_grouping_duel_sword_infantry_hvfiret3	Dual Wield Sword Infantry	false
ui_unit_groupings_onscreen_hv_unit_ui_grouping_duel_sword_infantry_hveartht3	Dual Wield Sword Infantry	false
ui_unit_groupings_onscreen_hv_unit_ui_grouping_duel_sword_infantry_hvblackt4	Dual Wield Sword Infantry	false
ui_unit_groupings_onscreen_hv_unit_ui_grouping_duel_sword_infantry_hvmetalt4	Dual Wield Sword Infantry	false
ui_unit_groupings_onscreen_hv_unit_ui_grouping_duel_sword_infantry_hvwoodt4	Dual Wield Sword Infantry	false
ui_unit_groupings_onscreen_hv_unit_ui_grouping_duel_sword_infantry_hvwatert4	Dual Wield Sword Infantry	false
ui_unit_groupings_onscreen_hv_unit_ui_grouping_duel_sword_infantry_hvfiret4	Dual Wield Sword Infantry	false
ui_unit_groupings_onscreen_hv_unit_ui_grouping_duel_sword_infantry_hveartht4	Dual Wield Sword Infantry	false
ui_unit_groupings_onscreen_hv_unit_ui_grouping_duel_sword_cavalry_hvblack	Dual Wield Sword Cavalry	true
ui_unit_groupings_onscreen_hv_unit_ui_grouping_duel_sword_cavalry_hvblackt3	Dual Wield Sword Cavalry	true
ui_unit_groupings_onscreen_hv_unit_ui_grouping_duel_sword_cavalry_hvblackt4	Dual Wield Sword Cavalry	true
ui_unit_groupings_onscreen_hv_unit_ui_grouping_mace_cavalry_hvearth	Mace Cavalry	false
ui_unit_groupings_onscreen_hv_unit_ui_grouping_mace_cavalry_hveartht3	Mace Cavalry	false
ui_unit_groupings_onscreen_hv_unit_ui_grouping_mace_cavalry_hveartht4	Mace Cavalry	false
ui_unit_groupings_onscreen_hv_unit_ui_grouping_duel_hand_ji_infantry_hvblack	Dual Wield Hand Ji Infantry	true
ui_unit_groupings_onscreen_hv_unit_ui_grouping_duel_hand_ji_infantry_hvblackt3	Dual Wield Hand Ji Infantry	true
ui_unit_groupings_onscreen_hv_unit_ui_grouping_duel_hand_ji_infantry_hvblackt4	Dual Wield Hand Ji Infantry	true
ui_unit_groupings_onscreen_hv_unit_ui_grouping_duel_hand_ji_infantry_hvmetal	Dual Wield Hand Ji Infantry	true
ui_unit_groupings_onscreen_hv_unit_ui_grouping_duel_hand_ji_infantry_hvmetalt3	Dual Wield Hand Ji Infantry	true
ui_unit_groupings_onscreen_hv_unit_ui_grouping_duel_hand_ji_infantry_hvmetalt4	Dual Wield Hand Ji Infantry	true
ui_unit_groupings_onscreen_hv_unit_ui_grouping_artillery_hvblack	Artillery	true
ui_unit_groupings_onscreen_hv_unit_ui_grouping_artillery_crossbow_hvblack	Artillery	true
ui_unit_groupings_onscreen_hv_unit_ui_grouping_axe_cavalry_hvblack	Axe Cavalry	true
ui_unit_groupings_onscreen_hv_unit_ui_grouping_axe_infantry_hvblack	Axe Infantry	true
ui_unit_groupings_onscreen_hv_unit_ui_grouping_bat_infantry_hvblack	Bat Infantry	true
ui_unit_groupings_onscreen_hv_unit_ui_grouping_bow_cavalry_hvblack	Bow Cavalry	true
ui_unit_groupings_onscreen_hv_unit_ui_grouping_bow_infantry_hvblack	Bow Infantry	true
ui_unit_groupings_onscreen_hv_unit_ui_grouping_crossbow_cavalry_hvblack	Crossbow Cavalry	true
ui_unit_groupings_onscreen_hv_unit_ui_grouping_crossbow_infantry_hvblack	Crossbow Infantry	true
ui_unit_groupings_onscreen_hv_unit_ui_grouping_duel_axe_cavalry_hvblack	Dual Wield Axe Cavalry	true
ui_unit_groupings_onscreen_hv_unit_ui_grouping_duel_axe_infantry_hvblack	Dual Wield Axe Infantry	true
ui_unit_groupings_onscreen_hv_unit_ui_grouping_duel_sabre_cavalry_hvblack	Dual Wield Sabre Cavalry	true
ui_unit_groupings_onscreen_hv_unit_ui_grouping_duel_sabre_infantry_hvblack	Dual Wield Sabre Infantry	true
ui_unit_groupings_onscreen_hv_unit_ui_grouping_glaive_and_bow_infantry_hvblack	Glaive & Bow Infantry	true
ui_unit_groupings_onscreen_hv_unit_ui_grouping_glaive_cavalry_hvblack	Glaive Cavalry	true
ui_unit_groupings_onscreen_hv_unit_ui_grouping_glaive_infantry_hvblack	Glaive Infantry	true
ui_unit_groupings_onscreen_hv_unit_ui_grouping_gunpowder_cavalry_hvblack	Gunpowder Cavalry	true
ui_unit_groupings_onscreen_hv_unit_ui_grouping_gunpowder_infantry_hvblack	Gunpowder Infantry	true
ui_unit_groupings_onscreen_hv_unit_ui_grouping_halberd_cavalry_hvblack	Halberd Cavalry	true
ui_unit_groupings_onscreen_hv_unit_ui_grouping_halberd_infantry_hvblack	Halberd Infantry	true
ui_unit_groupings_onscreen_hv_unit_ui_grouping_hand_ji_cavalry_hvblack	Hand Ji Cavalry	true
ui_unit_groupings_onscreen_hv_unit_ui_grouping_hand_ji_infantry_hvblack	Hand Ji Infantry	true
ui_unit_groupings_onscreen_hv_unit_ui_grouping_heavy_bow_cavalry_hvblack	Bow Cavalry	true
ui_unit_groupings_onscreen_hv_unit_ui_grouping_heavy_bow_infantry_hvblack	Bow Infantry	true
ui_unit_groupings_onscreen_hv_unit_ui_grouping_ji_cavalry_hvblack	Ji Cavalry	true
ui_unit_groupings_onscreen_hv_unit_ui_grouping_ji_infantry_hvblack	Ji Infantry	true
