key	text	tooltip
#Loc;1;text/db/!!!!!!warlords_CHINESE_TEXT.loc		
incidents_localised_title_warlords_emperor_description	話說天下大勢，分久必合，合久必分。	true
incidents_localised_description_warlords_emperor_description	偉大的漢王朝分裂，分裂的天下將很快地被新崛起的王朝所統一。\\n最大的諸侯自立為帝，並兼併了那些無力稱霸的諸侯。\\n稱帝的諸侯中，實力最強者將勝出，成為天命所歸之人。\\n\\n如今，天下情勢將如何推展就掌握於您的手中，祝武運昌隆！	true
dilemmas_localised_title_warlords_liu_bei_player_move	劉備的抉擇	true
dilemmas_localised_description_warlords_liu_bei_player_move	你已準備要相助徐州牧陶謙。\\n於準備之時，探子前來報上一則緊急訊息。\\n\\n此訊息表明蜀地正受貪婪的治理者所迫害，人民希冀於您的領導，以抗暴政。\\n\\n按原先的規劃協助陶謙，也可選擇入蜀，相助當地百姓。\\n您的抉擇是？	true
cdir_events_dilemma_choice_details_localised_choice_label_warlords_liu_bei_player_moveFIRST	留在徐州，相助陶謙	true
cdir_events_dilemma_choice_details_localised_choice_title_warlords_liu_bei_player_moveFIRST	無法捨棄陶謙和徐州百姓；他們需要您的幫助以抗野心勃勃的諸侯。\\n徐州將是您在天下大亂之際，將天下重新團結，重現天下大同的根基。	true
cdir_events_dilemma_choice_details_localised_choice_label_warlords_liu_bei_player_moveSECOND	離開此地，入蜀；前去引領蜀地百姓。	true
cdir_events_dilemma_choice_details_localised_choice_title_warlords_liu_bei_player_moveSECOND	如高組劉邦，漢朝始立足於蜀地和關中而崛起。血脈引領你入蜀，追蹤先輩的足跡。如高組劉邦，您將以蜀為根基而征服天下，或將被困於蜀地。如今一切將取決於您的作為。	true
incidents_localised_title_warlords_emperor_description	群雄割據時期結束；三國時代崛起。	true
incidents_localised_description_warlords_emperor_description	漢王朝衰敗，群雄起落。如今割據最大一方的諸侯已自立為帝，並征服了其他無力稱霸的諸侯。\\n現在，群雄割據時代結束，三國時代崛起，三位自立為帝的人將會決定誰才是真正承繼天命的人。\\n\\n [Warlords mod：大諸侯併吞其他無力繼續稱霸的小諸侯。]	true
incidents_localised_title_warlords_caocao_confed_hebei	魏征服河北	true
incidents_localised_description_warlords_caocao_confed_hebei	曹魏在贏得無數的戰爭與精巧的策謀下征服了河北，於河北的諸侯向其臣服。\\n百姓傳言，曹氏家族將一統天下。	true
incidents_localised_title_warlords_gongsunzan_confed_caocao	公孫征服河南	true
incidents_localised_description_warlords_gongsunzan_confed_caocao	公孫氏在贏得無數的戰爭與精巧的策謀下征服了河南，於河南的諸侯向其臣服。\\n百姓傳言，公孫家族將一統天下。	true
incidents_localised_title_warlords_yuanshao_confed_caocao	袁氏征服河南	true
incidents_localised_description_warlords_yuanshao_confed_caocao	袁氏在贏得無數的戰爭與精巧的策謀下征服了河南，於河南的諸侯向其臣服。\\n百姓傳言，袁氏家族將一統天下。	true
dilemmas_localised_title_warlords_endgame_checker	Warlords Mod 終局之戰機制確認	false
dilemmas_localised_description_warlords_endgame_checker	在 Warlords+ mod 中，有一個名為「終局之戰」的機制，當您稱帝之時，此機制將令主要的 AI 派系與同樣稱帝的 AI 派系合邦。\\n如果不想使用此機制，請點擊「不啟用」	false
cdir_events_dilemma_choice_details_localised_choice_label_warlords_endgame_checkerFIRST	啟用	false
cdir_events_dilemma_choice_details_localised_choice_title_warlords_endgame_checkerFIRST	你同意啟用終局之戰機制。此機制將作用於您稱帝之時。	false
cdir_events_dilemma_choice_details_localised_choice_label_warlords_endgame_checkerSECOND	不啟用	false
cdir_events_dilemma_choice_details_localised_choice_title_warlords_endgame_checkerSECOND	你選擇不啟用終局之戰機制。	false
