key	text	tooltip
#Loc;1;text/[03]__MTU_skills__Passive_debuff.loc		
effects_description_3k_main_skill_commanding_presence_25	技能：凤髓	true
character_skills_localised_name_3k_main_skill_special_ability_earth_commanding_presence	凤髓	true
special_ability_phases_onscreen_name_3k_main_ability_commanding_presence_25	凤髓	true
unit_abilities_onscreen_name_3k_main_ability_commanding_presence_25	凤髓	true
unit_ability_types_localised_description_3k_main_ability_commanding_presence_25	凤髓	true
unit_ability_types_onscreen_name_3k_main_ability_commanding_presence_25	被动减益	true
character_skills_localised_description_3k_main_skill_special_ability_earth_commanding_presence	不可无礼！	true
unit_abilities_tooltip_text_3k_main_ability_commanding_presence_25	不可无礼！	true
effects_description_3k_main_skill_commanding_presence_50	技能：凤髓	true
special_ability_phases_onscreen_name_3k_main_ability_commanding_presence_50	凤髓	true
unit_abilities_onscreen_name_3k_main_ability_commanding_presence_50	凤髓	true
unit_ability_types_localised_description_3k_main_ability_commanding_presence_50	凤髓	true
unit_ability_types_onscreen_name_3k_main_ability_commanding_presence_50	被动减益	true
unit_abilities_tooltip_text_3k_main_ability_commanding_presence_50	不可无礼！	true
effects_description_3k_main_skill_foul_wits	技能：远瞩	true
unit_abilities_onscreen_name_3k_main_ability_foul_wits	远瞩	true
special_ability_phases_onscreen_name_3k_main_ability_foul_wits	远瞩	true
character_skills_localised_name_3k_main_skill_special_ability_water_foul_wits	远瞩	true
unit_ability_types_localised_description_3k_main_ability_foul_wits	远瞩	true
unit_ability_types_onscreen_name_3k_main_ability_foul_wits	被动减益	true
unit_abilities_tooltip_text_3k_main_ability_foul_wits	高瞻之论还需配上愿听忠言之明主。	true
character_skills_localised_description_3k_main_skill_special_ability_water_foul_wits	高瞻之论还需配上愿听忠言之明主。	true
