key	text	tooltip
#Loc;1;text/[04]__MTU_events___Concubine.loc		
dilemmas_localised_description_3k_mtu_leader_concubine_diao_chan_dilemma	猛将勇夫不能除一董卓，而貂蝉独能除之。你不仅被貂蝉的美貌所折服，更被其胆识所吸引，于是考虑向其传达纳妾之意。	true
dilemmas_localised_description_3k_mtu_leader_concubine_da_qiao_dilemma	曹操曾在修建铜雀台时写过欲延揽二乔之诗句，今得二乔之一，你感叹大乔果然是倾国美人。你开始思考是否纳她为妾。	true
dilemmas_localised_description_3k_mtu_leader_concubine_xiao_qiao_dilemma	曹操曾在修建铜雀台时写过欲延揽二乔之诗句，今得二乔之一，你感叹小乔果然是倾国美人。你开始思考是否纳她为妾。	true
dilemmas_localised_description_3k_mtu_leader_concubine_lady_wu_dilemma	虎之妻，何不为龙之妻？你考虑将吴氏纳为妾室。	true
dilemmas_localised_description_3k_mtu_leader_concubine_lady_wang_dilemma	此女城府极深，且武艺高强。你在与伊健丽婷长谈后考虑纳她为妾。	true
dilemmas_localised_description_3k_mtu_leader_concubine_lady_sun_dilemma	孙仁桀骜不驯的个性与出色的样貌深深的折服了你，于是你考虑决定将她纳为妾室。	true
dilemmas_localised_description_3k_mtu_leader_concubine_lady_ma_dilemma	听闻华氏武艺高强，常年征战西羌。此次相会，你见华氏虽然历经风霜但却美丽动人。你立马开始思考是否纳她为妾。	true
dilemmas_localised_description_3k_mtu_leader_concubine_lady_dong_dilemma	董贼原配，没想到如此足智多谋。你在见过董氏之后考虑将她纳为妾室。	true
dilemmas_localised_description_3k_mtu_leader_concubine_lady_ma_yunlu_dilemma	你与马云禄彻夜长谈军武，赞扬她的经历所闻。回府期间，你考虑是否传达纳妾之意。	true
dilemmas_localised_description_3k_mtu_leader_concubine_empress_he_dilemma	听说国母何后倾国倾城；母仪天下，如今亲眼所见真是五体投地！你仔细思考将何皇后纳为妾室的利与弊。	true
dilemmas_localised_description_3k_mtu_leader_concubine_lady_zheng_jiang_dilemma	你只身探访郑姜，此前认为她仅仅为狗盗之辈，而当今却被她的气魄与见识所折服，于是你仔细斟酌纳妾之事。	true
dilemmas_localised_description_3k_mtu_leader_concubine_lady_lu_zheng_dilemma	你夜访陆政，作为魁首的左膀右臂陆郑同样见多识广，且深藏不露。你细思是否将她纳为妾室。	true
dilemmas_localised_description_3k_mtu_leader_concubine_lady_cai_yan_dilemma	蔡琰的才华可谓千古难逢，此女不仅有才，且还美艳动人。你在府中吟诵蔡妍所著的诗词，其意深远脱俗，你也陷入了苦思之中。	true
dilemmas_localised_description_3k_mtu_leader_concubine_lady_du_dilemma	刘氏犹如明珠一般美丽动人，如此美貌怎可错过？你有意将刘氏纳为妾室。	true
dilemmas_localised_description_3k_mtu_leader_concubine_lady_feng_dilemma	如此美人，怎可让其日夜哭泣？你考虑将冯氏纳为妾室。	true
dilemmas_localised_description_3k_mtu_leader_concubine_lady_yuan_anyang_dilemma	袁氏为袁氏后代，不仅美貌绝人而且政治经验颇丰。于是你考虑遣人传达纳妾之意。	true
dilemmas_localised_description_3k_mtu_leader_concubine_lady_mi_dilemma	糜氏不仅贤惠美丽，她还是徐州大家糜氏的一员，如纳她为妾可谓一石二鸟。于是你为掂量此事闭门不出。	true
dilemmas_localised_description_3k_mtu_leader_concubine_lady_bian_dilemma	怒不变容，喜不失节，故是最为难。卞氏的气概令你折服，你与卞氏长谈后苦思是否纳她为妾之事。	true
dilemmas_localised_description_3k_mtu_leader_concubine_lu_ji_dilemma	飞将之女吕姬武艺不在其父之下，如能得此猛将霸业必成！你考虑在次日遣人传达纳妾之意。	true
dilemmas_localised_description_3k_mtu_leader_concubine_song_jinting_dilemma	侯氏贤明机警，在公孙瓒常年征战在外的情况下总能稳定后防。你在了解了侯氏的才能后有意纳她为妾。	true
dilemmas_localised_description_3k_mtu_leader_concubine_zhang_xueer_dilemma	很难想象此等花颜月貌竟能在沙场上威震四方，还能在官场上舌战群儒。你在了解了张氏的才能后考虑纳她为妾。	true
dilemmas_localised_description_3k_mtu_leader_concubine_guan_yinping_dilemma	都说虎女焉能嫁犬子，如今你图谋大事，有帝王之志，定能配得上此等女杰。你考虑与此女结下姻缘。	true
dilemmas_localised_description_3k_mtu_leader_concubine_zheng_lan_dilemma	此女曾为黑山母主，一人之下，万人之上。有此人相助，大业必成！你考虑在次日遣人传达纳妾之意。	true
dilemmas_localised_description_3k_mtu_leader_concubine_lady_zhen_dilemma	此女贵乃不可言，你考虑将甄氏纳为妾室。	true
dilemmas_localised_description_3k_mtu_leader_concubine_lady_trieu_dilemma	传说赵妪身长9尺，胸长达3尺，作战时将其胸绑在背上，身穿盔甲，头插金簪，脚穿象牙鞋，骑在象头上冲锋陷阵。得知有此奇女，你仔细斟酌是否传达纳妾之意。	true
