key	text	tooltip
#Loc;1;text/[05]__MTU_sys__Frontend_ui_description.loc		
frontend_characters_optional_name_override_3k_mtu_template_historical_lady_lu_zheng_hero_water_190		true
frontend_faction_leader_unique_characters_localised_description_3k_mtu_template_historical_lady_lu_zheng_hero_water_190	[[b]]陆政[[/b]]\\n晋阳女贼\\n\\n将领类型：{{tr:3k_general_type_water}}\\n\\n[[col:flavour]][[i]]狡黠之徒，矢不虚发，乃魁首之腕。[[/col]][[/i]]	true
frontend_characters_optional_name_override_3k_mtu_template_historical_lady_lu_zheng_hero_water_194		true
frontend_faction_leader_unique_characters_localised_description_3k_mtu_template_historical_lady_lu_zheng_hero_water_194	[[b]]陆政[[/b]]\\n晋阳女贼\\n\\n将领类型：{{tr:3k_general_type_water}}\\n\\n[[col:flavour]][[i]]狡黠之徒，矢不虚发，乃魁首之腕。[[/col]][[/i]]	true
		true
frontend_characters_optional_name_override_3k_mtu_template_historical_dong_min_hero_earth_182		true
frontend_faction_leader_unique_characters_localised_description_3k_mtu_template_historical_dong_min_hero_earth_182	[[b]]董旻[[/b]]\\n无魇暴君\\n\\n将领类型：{{tr:3k_general_type_earth}}\\n\\n[[col:flavour]][[i]]贪暴成性，荼毒关中。[[/col]][[/i]]	true
		true
frontend_characters_optional_name_override_3k_mtu_template_historical_lady_dong_peishan_hero_earth_182		true
frontend_faction_leader_unique_characters_localised_description_3k_mtu_template_historical_lady_dong_peishan_hero_earth_182	[[b]]董氏[[/b]]\\n郿侯夫人\\n\\n将领类型：{{tr:3k_general_type_earth}}\\n\\n[[col:flavour]][[i]]董卓发妻，卓封郿侯。不仅生性贪婪，且行事作风十分谨慎狡猾。[[/col]][[/i]]	true
		true
frontend_characters_optional_name_override_3k_mtu_template_historical_lady_wu_minyu_hero_earth_182		true
frontend_faction_leader_unique_characters_localised_description_3k_mtu_template_historical_lady_wu_minyu_hero_earth_182	[[b]]吴氏[[/b]]\\n武烈皇后\\n\\n将领类：{{tr:3k_general_type_earth}}\\n\\n[[col:flavour]][[i]]气质高雅，心胸宽广。[[/col]][[/i]]	true
		true
