key	text	tooltip
#Loc;1;text/[05]__MTU_sys__Names.loc		
names_alt_name_622849696	氏	true
names_name_622849696	氏	true
names_alt_name_528608323	国达	true
names_name_528608323	国达	true
names_alt_name_785834225	赵妪	true
names_name_785834225	赵妪	true
names_alt_name_1288691848	杜氏	true
names_name_1288691848	杜氏	true
names_alt_name_1770238896	土	true
names_name_1770238896	土	true
names_alt_name_1289534361	崩	true
names_name_1289534361	崩	true
names_alt_name_60007	云禄	true
names_name_60007	云禄	true
names_name_1479868341	氏	true
names_alt_name_1479868341	氏	true
