key	text	tooltip
#Loc;1;text/_hvo/!by_procrastinator.loc		
special_ability_phases_onscreen_name_3k_dlc06_ability_swift_steps	运步	true
effects_description_3k_dlc06_ability_swift_steps	技能：运步	true
unit_abilities_onscreen_name_3k_dlc06_ability_swift_steps	运步	true
unit_ability_types_localised_description_3k_dlc06_ability_swift_steps	运步	true
character_skills_localised_name_3k_dlc06_skill_special_ability_swift_steps	运步	true
		false
special_ability_phases_onscreen_name_3k_dlc04_turning_point	力挽	true
effects_description_3k_dlc04_ability_turning_the_tide	技能：力挽	true
unit_abilities_onscreen_name_3k_dlc04_turning_the_tide	力挽	true
unit_ability_types_localised_description_3k_dlc04_turning_point	力挽	true
character_skills_localised_name_3k_dlc06_skill_special_ability_water_turning_the_tides	力挽	true
		false
unit_abilities_tooltip_text_3k_main_ability_poisioned_blade	毒虽无形，可挫军速、催人命。	true
		false
unit_abilities_tooltip_text_3k_main_ability_blade_breaker	望着刀刃徒劳地划过铠甲，暴君不禁朗声大笑。	true
character_skills_localised_description_3k_main_skill_special_ability_fire_blade_breaker	望着刀刃徒劳地划过铠甲，暴君不禁朗声大笑。	true
		false
unit_ability_types_localised_description_3k_dlc07_ability_misplaced_devotion	错付	true
unit_abilities_onscreen_name_3k_dlc07_ability_misplaced_devotion	错付	true
special_ability_phases_onscreen_name_3k_dlc07_ability_misplaced_devotion	错付	true
		false
land_units_onscreen_name_3k_mtu_hero_water_lady_xiao_qiao	袁氏	false
land_units_onscreen_name_3k_mtu_hero_metal_lady_ma_yunlu	马云禄	true
land_units_onscreen_name_3k_mtu_hero_fire_lady_zhang_xingcai	张氏	true
land_units_onscreen_name_3k_mtu_hero_wood_lady_guan_yinping	关嫣	true
land_units_onscreen_name_3k_mtu_hero_water_lady_zou_yuan	邹氏	true
