key	text	tooltip
#Loc;1;text/_hvo/hv_TEXT_ceo_career.loc		
land_units_onscreen_name_3k_mtu_hero_earth_lady_bian_huilan	刘氏	true
ceo_nodes_title_3k_mtu_ceo_node_career_historical_lady_bian_huilan_01	忌害美妇	true
ceo_nodes_description_3k_mtu_ceo_node_career_historical_lady_bian_huilan_01	「袁尚母刘氏之妒，其酷烈也甚矣。乃城破之后，不能死节，而献甄氏于曹丕，以图苟全，又何其无烈性至此乎！可见妇之贞者必不妒，妇之妒者必不贞。」	true
ceo_nodes_title_hv_ceo_node_career_historical_cao_zhi_01	才高八斗	true
ceo_nodes_description_hv_ceo_node_career_historical_cao_zhi_01	「骨气奇高，词彩华茂。情兼雅怨，体被文质，粲溢今古，卓尔不群。嗟乎！」	true
ceo_nodes_title_hv_ceo_node_career_historical_jiang_qin_01	荡寇虎臣	true
ceo_nodes_description_hv_ceo_node_career_historical_jiang_qin_01	「钦折节好学，以公灭私。」	true
ceo_nodes_title_hv_ceo_node_career_historical_yuan_yao_01	仲氏传人	true
ceo_nodes_description_hv_ceo_node_career_historical_yuan_yao_01	饱读诗书，人见人爱。	true
ceo_nodes_title_ep_ancillary_sima_yue_armour_unique	高干的护甲	true
ceo_nodes_title_ep_ancillary_sima_yong_armour_unique	郭汜的护甲	true
ceo_nodes_title_ep_ancillary_sima_ying_armour_unique	曹植的护甲	true
ceo_nodes_title_ep_ancillary_sima_wei_armour_unique	蒋钦的护甲	true
ceo_nodes_title_ep_ancillary_sima_lun_armour_unique	袁耀的护甲	true
ceo_nodes_title_ep_ancillary_sima_liang_armour_unique	张鲁的护甲	true
ceo_nodes_title_ep_ancillary_sima_jiong_armour_unique	张方的护甲	true
ceo_nodes_title_ep_ancillary_sima_ai_armour_unique	曹昂的护甲	true
