key	text	tooltip
#Loc;1;text/_hvo/hv_TEXT_effects_pooled_resource.loc		
effects_description_hv_effect_dummy_ma_teng_pooled_resource_recurring_cost	每回合骏马 [[b]]%+n[[/b]]	true
effects_description_hv_effect_replenishment_cavalry	骑兵部队补员速率 [[b]]%+n%[[/b]]	true
effects_description_hv_effect_mass_cavalry	骑兵单位质量 [[b]]%+n%[[/b]]	true
effects_description_hv_effect_pooled_resource_ma_teng_decay_rate_1	%-n骏马衰退	true
effects_description_hv_effect_ma_teng_cavalry_unique_ability	解锁骑兵单位独有能力	true
effects_description_hv_effect_pooled_resource_ma_teng_buildings	骏马 [[b]]%+n[[/b]]	true
		false
effects_description_hv_effect_pooled_resource_zhang_yan_from_battles	凝聚 [[b]]%+n[[/b]]	true
effects_description_hv_effect_pooled_resource_zhang_yan_decay_rate_1	%-n凝聚衰退	true
effects_description_hv_effect_black_mountain_upkeep	黑山匪徒部队维持费 [[b]]%+n%[[/b]]	true
effects_description_hv_effect_black_mountain_melee_attack_speed	黑山匪徒近战攻击速率 [[b]]%+n%[[/b]]	true
effects_description_hv_effect_black_mountain_morale	黑山匪徒部队士气 [[b]]%+n[[/b]]	true
effects_description_hv_effect_black_mountain_charge_bonus_mod	黑山匪徒单位冲锋加成 [[b]]%+n%[[/b]]	true
effects_description_hv_effect_black_mountain_replenishment	黑山匪徒部队补员速率 [[b]]%+n%[[/b]]	true
effects_description_hv_effect_black_mountain_unique_ability	解锁黑山匪徒单位独有能力	true
effects_description_hv_effect_pooled_resource_zhang_yan_buildings	凝聚 [[b]]%+n[[/b]]	true
		false
effect_bundles_localised_title_hv_effect_bundle_pooled_reosource_ma_teng_0	骏马：不足	true
effect_bundles_localised_title_hv_effect_bundle_pooled_reosource_ma_teng_1	骏马：普通	true
effect_bundles_localised_title_hv_effect_bundle_pooled_reosource_ma_teng_2	骏马：有余	true
effect_bundles_localised_title_hv_effect_bundle_pooled_reosource_ma_teng_3	骏马：充裕	true
effect_bundles_localised_title_hv_effect_bundle_pooled_reosource_ma_teng_4	骏马：天助	true
effect_bundles_localised_description_hv_effect_bundle_pooled_reosource_ma_teng_0	马匹数量不足！	true
effect_bundles_localised_description_hv_effect_bundle_pooled_reosource_ma_teng_1	现有的马匹勉强能供应我们的骑兵部队。	true
effect_bundles_localised_description_hv_effect_bundle_pooled_reosource_ma_teng_2	现有的马匹足以维持一支可观的骑兵部队。	true
effect_bundles_localised_description_hv_effect_bundle_pooled_reosource_ma_teng_3	好马的数量十分充足。	true
effect_bundles_localised_description_hv_effect_bundle_pooled_reosource_ma_teng_4	战马的数量与质量皆无与伦比！	true
		false
effect_bundles_localised_title_hv_effect_bundle_pooled_reosource_zhang_yan_0	凝聚：四散而逃	true
effect_bundles_localised_title_hv_effect_bundle_pooled_reosource_zhang_yan_1	凝聚：量小力微	true
effect_bundles_localised_title_hv_effect_bundle_pooled_reosource_zhang_yan_2	凝聚：同心协力	true
effect_bundles_localised_title_hv_effect_bundle_pooled_reosource_zhang_yan_3	凝聚：望而生畏	true
effect_bundles_localised_title_hv_effect_bundle_pooled_reosource_zhang_yan_4	凝聚：势不可遏	true
effect_bundles_localised_description_hv_effect_bundle_pooled_reosource_zhang_yan_0	黑山匪徒已作鸟兽散。	true
effect_bundles_localised_description_hv_effect_bundle_pooled_reosource_zhang_yan_1	跟随你的人寥寥无几。	true
effect_bundles_localised_description_hv_effect_bundle_pooled_reosource_zhang_yan_2	起家微薄亦可立业有成。	true
effect_bundles_localised_description_hv_effect_bundle_pooled_reosource_zhang_yan_3	兵多将广，可成大事。	true
effect_bundles_localised_description_hv_effect_bundle_pooled_reosource_zhang_yan_4	四海之内，莫非黑山。	true
		false
effect_bundles_localised_title_hv_effect_bundle_pooled_reosource_gongsun_zan_0	军政：尚未实行	true
effect_bundles_localised_title_hv_effect_bundle_pooled_reosource_gongsun_zan_1	军政：初试锋芒	true
effect_bundles_localised_title_hv_effect_bundle_pooled_reosource_gongsun_zan_2	军政：不可小觑	true
effect_bundles_localised_title_hv_effect_bundle_pooled_reosource_gongsun_zan_3	军政：卓有成效	true
effect_bundles_localised_title_hv_effect_bundle_pooled_reosource_gongsun_zan_4	军政：全权在握	true
effect_bundles_localised_description_hv_effect_bundle_pooled_reosource_gongsun_zan_0	影响力不足。	true
effect_bundles_localised_description_hv_effect_bundle_pooled_reosource_gongsun_zan_1	新政权开始实施。	true
effect_bundles_localised_description_hv_effect_bundle_pooled_reosource_gongsun_zan_2	军事级别的治理。	true
effect_bundles_localised_description_hv_effect_bundle_pooled_reosource_gongsun_zan_3	军事统治已成效斐然。	true
effect_bundles_localised_description_hv_effect_bundle_pooled_reosource_gongsun_zan_4	以军治国，军国一体。	true
		false
effect_bundles_localised_title_hv_effect_bundle_garrison_construction_gongsun_zan	军事控制	false
effect_bundles_localised_description_hv_effect_bundle_garrison_construction_gongsun_zan	驻防军队将会帮助当地郡县的管理。	false
		false
effects_description_hv_effect_pooled_resource_gongsun_zan_decay_rate_1	%-n军政衰退	false
effects_description_hv_effect_pooled_resource_gongsun_zan_buildings	每回合军政 [[b]]%+n[[/b]]	false
effects_description_hv_effect_pooled_resource_gongsun_zan_garrison	每回合军政 [[b]]%+n[[/b]]	false
