key	text	tooltip
#Loc;1;text/_hvo/hv_TEXT_effects_unit_cap.loc		
effects_description_hv_effect_unit_cap_militia_sabre_infantry	{{tr:hv_unit_militia_sabre_infantry}}部署量：%+n	true
effects_description_hv_effect_unit_cap_militia_ji_infantry	{{tr:hv_unit_militia_ji_infantry}}部署量：%+n	true
effects_description_hv_effect_unit_cap_militia_archers	{{tr:hv_unit_militia_archers}}部署量：%+n	true
effects_description_hv_effect_unit_cap_buqu_sabre_infantry	{{tr:hv_unit_buqu_sabre_infantry}}部署量：%+n	true
effects_description_hv_effect_unit_cap_buqu_axemen	{{tr:hv_unit_buqu_axemen}}部署量：%+n	true
effects_description_hv_effect_unit_cap_buqu_2h_axemen	{{tr:hv_unit_buqu_2h_axemen}}部署量：%+n	true
effects_description_hv_effect_unit_cap_buqu_spearmen	{{tr:hv_unit_buqu_spearmen}}部署量：%+n	true
effects_description_hv_effect_unit_cap_buqu_ji_infantry	{{tr:hv_unit_buqu_ji_infantry}}部署量：%+n	true
effects_description_hv_effect_unit_cap_buqu_archers	{{tr:hv_unit_buqu_archers}}部署量：%+n	true
effects_description_hv_effect_unit_cap_buqu_crossbowmen	{{tr:hv_unit_buqu_crossbowmen}}部署量：%+n	true
effects_description_hv_effect_unit_cap_buqu_rep_crossbowmen	{{tr:hv_unit_buqu_rep_crossbowmen}}部署量：%+n	true
effects_description_hv_effect_unit_cap_buqu_2h_spear_cavalry	{{tr:hv_unit_buqu_2h_spear_cavalry}}部署量：%+n	true
effects_description_hv_effect_unit_cap_buqu_sabre_cavalry	{{tr:hv_unit_buqu_sabre_cavalry}}部署量：%+n	true
effects_description_hv_effect_unit_cap_buqu_raid_cavalry	{{tr:hv_unit_buqu_raid_cavalry}}部署量：%+n	true
effects_description_hv_effect_unit_cap_buqu_archer_cavalry	{{tr:hv_unit_buqu_archer_cavalry}}部署量：%+n	true
effects_description_hv_effect_unit_cap_elite_swordsmen	{{tr:hv_unit_elite_swordsmen}}部署量：%+n	true
effects_description_hv_effect_unit_cap_elite_2h_axemen	{{tr:hv_unit_elite_2h_axemen}}部署量：%+n	true
effects_description_hv_effect_unit_cap_elite_2h_swordsmen	{{tr:hv_unit_elite_2h_swordsmen}}部署量：%+n	true
effects_description_hv_effect_unit_cap_elite_spearmen	{{tr:hv_unit_elite_spearmen}}部署量：%+n	true
effects_description_hv_effect_unit_cap_elite_2h_spearmen	{{tr:hv_unit_elite_2h_spearmen}}部署量：%+n	true
effects_description_hv_effect_unit_cap_elite_ji_infantry	{{tr:hv_unit_elite_ji_infantry}}部署量：%+n	true
effects_description_hv_effect_unit_cap_elite_heavy_bow_archers	{{tr:hv_unit_elite_heavy_bow_archers}}部署量：%+n	true
effects_description_hv_effect_unit_cap_elite_crossbowmen	{{tr:hv_unit_elite_crossbowmen}}部署量：%+n	true
effects_description_hv_effect_unit_cap_elite_rep_crossbowmen	{{tr:hv_unit_elite_rep_crossbowmen}}部署量：%+n	true
effects_description_hv_effect_unit_cap_elite_sword_cavalry	{{tr:hv_unit_elite_sword_cavalry}}部署量：%+n	true
effects_description_hv_effect_unit_cap_elite_2h_spear_cavalry	{{tr:hv_unit_elite_2h_spear_cavalry}}部署量：%+n	true
effects_description_hv_effect_unit_cap_elite_barded_2h_spear_cavalry	{{tr:hv_unit_elite_barded_2h_spear_cavalry}}部署量：%+n	true
effects_description_hv_effect_unit_cap_xiliang_buqu_hand_ji_infantry	{{tr:hv_unit_xiliang_buqu_hand_ji_infantry}}部署量：%+n	true
effects_description_hv_effect_unit_cap_xiliang_buqu_spearmen	{{tr:hv_unit_xiliang_buqu_spearmen}}部署量：%+n	true
effects_description_hv_effect_unit_cap_xiliang_buqu_ji_infantry	{{tr:hv_unit_xiliang_buqu_ji_infantry}}部署量：%+n	true
effects_description_hv_effect_unit_cap_xiliang_buqu_crossbowmen	{{tr:hv_unit_xiliang_buqu_crossbowmen}}部署量：%+n	true
effects_description_hv_effect_unit_cap_xiliang_buqu_rep_crossbowmen	{{tr:hv_unit_xiliang_buqu_rep_crossbowmen}}部署量：%+n	true
effects_description_hv_effect_unit_cap_xiliang_buqu_spear_cavalry	{{tr:hv_unit_xiliang_buqu_spear_cavalry}}部署量：%+n	true
effects_description_hv_effect_unit_cap_xiliang_buqu_sabre_cavalry	{{tr:hv_unit_xiliang_buqu_sabre_cavalry}}部署量：%+n	true
effects_description_hv_effect_unit_cap_xiliang_buqu_archer_cavalry	{{tr:hv_unit_xiliang_buqu_archer_cavalry}}部署量：%+n	true
effects_description_hv_effect_unit_cap_xiliang_elite_2h_swordsmen	{{tr:hv_unit_xiliang_elite_2h_swordsmen}}部署量：%+n	true
effects_description_hv_effect_unit_cap_xiliang_elite_spearmen	{{tr:hv_unit_xiliang_elite_spearmen}}部署量：%+n	true
effects_description_hv_effect_unit_cap_xiliang_elite_enforcers	{{tr:hv_unit_xiliang_elite_enforcers}}部署量：%+n	true
effects_description_hv_effect_unit_cap_xiliang_elite_mace_cavalry	{{tr:hv_unit_xiliang_elite_mace_cavalry}}部署量：%+n	true
effects_description_hv_effect_unit_cap_xiliang_elite_barded_2h_spear_cavalry	{{tr:hv_unit_xiliang_elite_barded_2h_spear_cavalry}}部署量：%+n	true
effects_description_hv_effect_unit_cap_xiliang_elite_crossbowmen	{{tr:hv_unit_xiliang_elite_crossbowmen}}部署量：%+n	true
effects_description_hv_effect_unit_cap_xiliang_elite_ji_cavalry	{{tr:hv_unit_xiliang_elite_ji_cavalry}}部署量：%+n	true
effects_description_hv_effect_unit_cap_jingchou_buqu_caltrop_infantry	{{tr:hv_unit_jingchou_buqu_caltrop_infantry}}部署量：%+n	true
effects_description_hv_effect_unit_cap_jingchou_buqu_axemen	{{tr:hv_unit_jingchou_buqu_axemen}}部署量：%+n	true
effects_description_hv_effect_unit_cap_jingchou_buqu_2h_axemen	{{tr:hv_unit_jingchou_buqu_2h_axemen}}部署量：%+n	true
effects_description_hv_effect_unit_cap_jingchou_buqu_2h_spearmen	{{tr:hv_unit_jingchou_buqu_2h_spearmen}}部署量：%+n	true
effects_description_hv_effect_unit_cap_jingchou_buqu_archers	{{tr:hv_unit_jingchou_buqu_archers}}部署量：%+n	true
effects_description_hv_effect_unit_cap_jingchou_buqu_2h_spear_cavalry	{{tr:hv_unit_jingchou_buqu_2h_spear_cavalry}}部署量：%+n	true
effects_description_hv_effect_unit_cap_jingchou_buqu_sabre_cavalry	{{tr:hv_unit_jingchou_buqu_sabre_cavalry}}部署量：%+n	true
effects_description_hv_effect_unit_cap_northern_mace_cavalry	{{tr:hv_unit_northern_mace_cavalry}}部署量：%+n	true
effects_description_hv_effect_unit_cap_northern_spear_cavalry	{{tr:hv_unit_northern_spear_cavalry}}部署量：%+n	true
effects_description_hv_effect_unit_cap_ironfist_barded_2h_spear_cavalry	{{tr:hv_unit_ironfist_barded_2h_spear_cavalry}}部署量：%+n	true
effects_description_hv_effect_unit_cap_chen_peacekeepers_halberd_infantry	{{tr:hv_unit_chen_peacekeepers_halberd_infantry}}部署量：%+n	true
effects_description_hv_effect_unit_cap_chen_peacekeepers_crossbowmen	{{tr:hv_unit_chen_peacekeepers_crossbowmen}}部署量：%+n	true
effects_description_hv_effect_unit_cap_chen_royal_guard_cavalry	{{tr:hv_unit_chen_royal_guard_cavalry}}部署量：%+n	true
effects_description_hv_effect_unit_cap_jei_fan_infantry	{{tr:hv_unit_jei_fan_infantry}}部署量：%+n	true
effects_description_hv_effect_unit_cap_blue_turban_infantry	{{tr:hv_unit_blue_turban_infantry}}部署量：%+n	true
effects_description_hv_effect_unit_cap_yuan_sword_infantry	{{tr:hv_unit_yuan_sword_infantry}}部署量：%+n	true
effects_description_hv_effect_unit_cap_yuan_ji_guards	{{tr:hv_unit_yuan_ji_guards}}部署量：%+n	true
effects_description_hv_effect_unit_cap_militia_scout_cavalry	{{tr:hv_unit_militia_scout_cavalry}}部署量：%+n	true
effects_description_hv_effect_unit_cap_buqu_of_the_left	{{tr:hv_unit_buqu_of_the_left}}部署量：%+n	true
effects_description_hv_effect_unit_cap_militia_black_mountain_outlaws	{{tr:hv_unit_militia_black_mountain_outlaws}}部署量：%+n	true
effects_description_hv_effect_unit_cap_militia_taishan_outlaws	{{tr:hv_unit_militia_taishan_outlaws}}部署量：%+n	true
effects_description_hv_effect_unit_cap_militia_white_tiger_outlaws	{{tr:hv_unit_militia_white_tiger_outlaws}}部署量：%+n	true
effects_description_hv_effect_unit_cap_bandits_axe_infantry	{{tr:hv_unit_bandits_axe_infantry}}部署量：%+n	true
effects_description_hv_effect_unit_cap_bandits_2h_spear_infantry	{{tr:hv_unit_bandits_2h_spear_infantry}}部署量：%+n	true
effects_description_hv_effect_unit_cap_bandits_archers	{{tr:hv_unit_bandits_archers}}部署量：%+n	true
effects_description_hv_effect_unit_cap_bandits_2h_spear_cavalry	{{tr:hv_unit_bandits_2h_spear_cavalry}}部署量：%+n	true
effects_description_hv_effect_unit_cap_bandits_sabre_cavalry	{{tr:hv_unit_bandits_sabre_cavalry}}部署量：%+n	true
effects_description_hv_effect_unit_cap_taishan_phantoms	{{tr:hv_unit_taishan_phantoms}}部署量：%+n	true
effects_description_hv_effect_unit_cap_taishan_poison_wind	{{tr:hv_unit_taishan_poison_wind}}部署量：%+n	true
effects_description_hv_effect_unit_cap_black_mountain_bandits	{{tr:hv_unit_black_mountain_bandits}}部署量：%+n	true
effects_description_hv_effect_unit_cap_white_tiger_bandits	{{tr:hv_unit_white_tiger_bandits}}部署量：%+n	true
effects_description_hv_effect_unit_cap_yue_freemen	{{tr:hv_unit_yue_freemen}}部署量：%+n	true
effects_description_hv_effect_unit_cap_nomad_gang_cavalry	{{tr:hv_unit_nomad_gang_cavalry}}部署量：%+n	true
effects_description_hv_effect_unit_cap_bandits_elite_iron_walls	{{tr:hv_unit_bandits_elite_iron_walls}}部署量：%+n	true
effects_description_hv_effect_unit_cap_bandits_elite_cunning_monkeys	{{tr:hv_unit_bandits_elite_cunning_monkeys}}部署量：%+n	true
effects_description_hv_effect_unit_cap_bandits_elite_two_blades	{{tr:hv_unit_bandits_elite_two_blades}}部署量：%+n	true
effects_description_hv_effect_unit_cap_bandits_elite_jia_long	{{tr:hv_unit_bandits_elite_jia_long}}部署量：%+n	true
effects_description_hv_effect_unit_cap_bandits_elite_blood_seekers	{{tr:hv_unit_bandits_elite_blood_seekers}}部署量：%+n	true
effects_description_hv_effect_unit_cap_bandits_elite_ren_xia	{{tr:hv_unit_bandits_elite_ren_xia}}部署量：%+n	true
effects_description_hv_effect_unit_cap_bandits_elite_you_shi_cavalry	{{tr:hv_unit_bandits_elite_you_shi_cavalry}}部署量：%+n	true
effects_description_hv_effect_unit_cap_swallow_cavalry	{{tr:hv_unit_swallow_cavalry}}部署量：%+n	true
effects_description_hv_effect_unit_cap_iron_fists_of_the_bandit_queen	{{tr:hv_unit_iron_fists_of_the_bandit_queen}}部署量：%+n	true
effects_description_hv_effect_unit_cap_white_tiger_guardsmen	{{tr:hv_unit_white_tiger_guardsmen}}部署量：%+n	true
effects_description_hv_effect_unit_cap_tiger_and_leopard_cavalry	{{tr:hv_unit_tiger_and_leopard_cavalry}}部署量：%+n	true
effects_description_hv_effect_unit_cap_tiger_and_leopard_barded_cavalry	{{tr:hv_unit_tiger_and_leopard_barded_cavalry}}部署量：%+n	true
effects_description_hv_effect_unit_cap_white_feathers	{{tr:hv_unit_white_feathers}}部署量：%+n	true
effects_description_hv_effect_unit_cap_porcupine_crossbowmen	{{tr:hv_unit_porcupine_crossbowmen}}部署量：%+n	true
effects_description_hv_effect_unit_cap_zhong_royal_guard	{{tr:hv_unit_zhong_royal_guard}}部署量：%+n	true
effects_description_hv_effect_unit_cap_jianan_hand_ji_infantry	{{tr:hv_unit_jianan_hand_ji_infantry}}部署量：%+n	true
effects_description_hv_effect_unit_cap_jianan_archers	{{tr:hv_unit_jianan_archers}}部署量：%+n	true
effects_description_hv_effect_unit_cap_stray_artisans	{{tr:hv_unit_stray_artisans}}部署量：%+n	true
effects_description_hv_effect_unit_cap_fellows_of_the_oath	{{tr:hv_unit_fellows_of_the_oath}}部署量：%+n	true
effects_description_hv_effect_unit_cap_handmaid_guard	{{tr:hv_unit_handmaid_guard}}部署量：%+n	true
effects_description_hv_effect_unit_cap_xian_chen_ying	{{tr:hv_unit_xian_chen_ying}}部署量：%+n	true
effects_description_hv_effect_unit_cap_han_volunteer_spearmen	{{tr:hv_unit_han_volunteer_spearmen}}部署量：%+n	true
effects_description_hv_effect_unit_cap_han_volunteer_rep_crossbowmen	{{tr:hv_unit_han_volunteer_rep_crossbowmen}}部署量：%+n	true
effects_description_hv_effect_unit_cap_hidden_assault_infantry	{{tr:hv_unit_hidden_assault_infantry}}部署量：%+n	true
effects_description_hv_effect_unit_cap_qingzhou_hand_ji_infantry	{{tr:hv_unit_qingzhou_hand_ji_infantry}}部署量：%+n	true
effects_description_hv_effect_unit_cap_qingzhou_2h_axe_infantry	{{tr:hv_unit_qingzhou_2h_axe_infantry}}部署量：%+n	true
effects_description_hv_effect_unit_cap_white_horse_fellows	{{tr:hv_unit_white_horse_fellows}}部署量：%+n	true
effects_description_hv_effect_unit_cap_yuan_rong_crossbowmen	{{tr:hv_unit_yuan_rong_crossbowmen}}部署量：%+n	true
effects_description_hv_effect_unit_cap_dan_yang_infantry	{{tr:hv_unit_dan_yang_infantry}}部署量：%+n	true
effects_description_hv_effect_unit_cap_protectors_of_heaven	{{tr:hv_unit_protectors_of_heaven}}部署量：%+n	true
effects_description_hv_effect_unit_cap_defenders_of_earth	{{tr:hv_unit_defenders_of_earth}}部署量：%+n	true
effects_description_hv_effect_unit_cap_protectors_of_heaven_might	{{tr:hv_unit_protectors_of_heaven_might}}部署量：%+n	true
effects_description_hv_effect_unit_cap_defenders_of_earth_might	{{tr:hv_unit_defenders_of_earth_might}}部署量：%+n	true
effects_description_hv_effect_unit_cap_yellow_dragons	{{tr:hv_unit_yellow_dragons}}部署量：%+n	true
effects_description_hv_effect_unit_cap_azure_dragons	{{tr:hv_unit_azure_dragons}}部署量：%+n	true
effects_description_hv_effect_unit_cap_pearl_dragons	{{tr:hv_unit_pearl_dragons}}部署量：%+n	true
effects_description_hv_effect_unit_cap_onyx_dragons	{{tr:hv_unit_onyx_dragons}}部署量：%+n	true
effects_description_hv_effect_unit_cap_jade_dragons	{{tr:hv_unit_jade_dragons}}部署量：%+n	true
effects_description_hv_effect_unit_cap_goshawk_cavalry	{{tr:hv_unit_goshawk_cavalry}}部署量：%+n	true
effects_description_hv_effect_unit_cap_qiang_axemen	{{tr:hv_unit_qiang_axemen}}部署量：%+n	true
effects_description_hv_effect_unit_cap_qiang_archers	{{tr:hv_unit_qiang_archers}}部署量：%+n	true
effects_description_hv_effect_unit_cap_qiang_ji_infantry	{{tr:hv_unit_qiang_ji_infantry}}部署量：%+n	true
effects_description_hv_effect_unit_cap_qiang_spear_cavalry	{{tr:hv_unit_qiang_spear_cavalry}}部署量：%+n	true
effects_description_hv_effect_unit_cap_qiang_elite_warrior_cavalry	{{tr:hv_unit_qiang_elite_warrior_cavalry}}部署量：%+n	true
effects_description_hv_effect_unit_cap_qiang_elite_ranger_cavalry	{{tr:hv_unit_qiang_elite_ranger_cavalry}}部署量：%+n	true
effects_description_hv_effect_unit_cap_wuhuan_cavalry	{{tr:hv_unit_wuhuan_cavalry}}部署量：%+n	true
effects_description_hv_effect_unit_cap_wuhuan_barded_cavalry	{{tr:hv_unit_wuhuan_barded_cavalry}}部署量：%+n	true
effects_description_hv_effect_unit_cap_xiongnu_archer_cavalry	{{tr:hv_unit_xiongnu_archer_cavalry}}部署量：%+n	true
effects_description_hv_effect_unit_cap_xiongnu_barded_cavalry	{{tr:hv_unit_xiongnu_barded_cavalry}}部署量：%+n	true
effects_description_hv_effect_unit_cap_sogd_warriors	{{tr:hv_unit_sogd_warriors}}部署量：%+n	true
effects_description_hv_effect_unit_cap_sogd_barded_cavalry	{{tr:hv_unit_sogd_barded_cavalry}}部署量：%+n	true
effects_description_hv_effect_unit_cap_shanyue_warriors	{{tr:hv_unit_shanyue_warriors}}部署量：%+n	true
effects_description_hv_effect_unit_cap_shanyue_remnants	{{tr:hv_unit_shanyue_remnants}}部署量：%+n	true
effects_description_hv_effect_unit_cap_local_noble_buqu_infantry	{{tr:hv_unit_local_noble_buqu_infantry}}部署量：%+n	true
effects_description_hv_effect_unit_cap_local_noble_buqu_archers	{{tr:hv_unit_local_noble_buqu_archers}}部署量：%+n	true
effects_description_hv_effect_unit_cap_local_noble_buqu_spearmen	{{tr:hv_unit_local_noble_buqu_spearmen}}部署量：%+n	true
effects_description_hv_effect_unit_cap_local_noble_buqu_raider_cavalry	{{tr:hv_unit_local_noble_buqu_raider_cavalry}}部署量：%+n	true
effects_description_hv_effect_unit_cap_local_noble_elite_archers	{{tr:hv_unit_local_noble_elite_archers}}部署量：%+n	true
effects_description_hv_effect_unit_cap_trebuchet	{{tr:hv_unit_trebuchet}}部署量：%+n	true
effects_description_hv_effect_unit_cap_multiple_bolt_crossbow	{{tr:hv_unit_multiple_bolt_crossbow}}部署量：%+n	true
effects_description_hv_effect_unit_cap_jianan_crossbowmen_cavalry	{{tr:hv_unit_jianan_crossbowmen_cavalry}}部署量：%+n	true
effects_description_hv_effect_unit_cap_qingzhou_raider_cavalry	{{tr:hv_unit_qingzhou_raider_cavalry}}部署量：%+n	true
effects_description_hv_effect_unit_cap_dan_yang_spearmen	{{tr:hv_unit_dan_yang_spearmen}}部署量：%+n	true
effects_description_hv_effect_unit_cap_dan_yang_archers	{{tr:hv_unit_dan_yang_archers}}部署量：%+n	true
effects_description_hv_effect_unit_cap_ytr_bringers_of_righteousness	{{tr:hv_unit_ytr_bringers_of_righteousness}}部署量：%+n	true
effects_description_hv_effect_unit_cap_ytr_zealots_of_the_way	{{tr:hv_unit_ytr_zealots_of_the_way}}部署量：%+n	true
effects_description_hv_effect_unit_cap_ytr_venerable_wu	{{tr:hv_unit_ytr_venerable_wu}}部署量：%+n	true
effects_description_hv_effect_unit_cap_ytr_peoples_warband	{{tr:hv_unit_ytr_peoples_warband}}部署量：%+n	true
effects_description_hv_effect_unit_cap_ytr_poachers	{{tr:hv_unit_ytr_poachers}}部署量：%+n	true
effects_description_hv_effect_unit_cap_ytr_white_wave_veterans	{{tr:hv_unit_ytr_white_wave_veterans}}部署量：%+n	true
effects_description_hv_effect_unit_cap_ytr_white_wave_horsemen	{{tr:hv_unit_ytr_white_wave_horsemen}}部署量：%+n	true
effects_description_hv_effect_unit_cap_jianan_crossbowmen	{{tr:hv_unit_jianan_crossbowmen}}部署量：%+n	true
effects_description_hv_effect_unit_cap_jianan_rep_crossbowmen	{{tr:hv_unit_jianan_rep_crossbowmen}}部署量：%+n	true
effects_description_hv_effect_unit_cap_black_mountain_bandits_javelineer	{{tr:hv_unit_black_mountain_bandits_javelineer}}部署量：%+n	true
effects_description_hv_effect_unit_cap_qiang_javelineer	{{tr:hv_unit_qiang_javelineer}}部署量：%+n	true
effects_description_hv_effect_unit_cap_xiongnu_javelineer	{{tr:hv_unit_xiongnu_javelineer}}部署量：%+n	true
effects_description_hv_effect_unit_cap_shanyue_javelineer	{{tr:hv_unit_shanyue_javelineer}}部署量：%+n	true
effects_description_hv_effect_unit_cap_bomb_thrower	{{tr:hv_unit_bomb_thrower}}部署量：%+n	true
effects_description_hv_effect_unit_cap_spice_guard	{{tr:hv_unit_spice_guard}}部署量：%+n	true
effects_description_hv_effect_unit_cap_warrior_monks	{{tr:hv_unit_warrior_monks}}部署量：%+n	true
effects_description_hv_effect_unit_cap_white_tiger_warriors	{{tr:hv_unit_white_tiger_warriors}}部署量：%+n	true
effects_description_hv_effect_unit_cap_mercenary_cavalry	{{tr:hv_unit_mercenary_cavalry}}部署量：%+n	true
effects_description_hv_effect_unit_cap_mercenary_infantry	{{tr:hv_unit_mercenary_infantry}}部署量：%+n	true
effects_description_hv_effect_unit_cap_mercenary_archers	{{tr:hv_unit_mercenary_archers}}部署量：%+n	true
effects_description_hv_effect_unit_cap_juggernaut	{{tr:hv_unit_juggernaut}}部署量：%+n	true
effects_description_hv_effect_unit_cap_hidden_snakes	{{tr:hv_unit_hidden_snakes}}部署量：%+n	true
effects_description_hv_effect_unit_cap_rapid_tigers	{{tr:hv_unit_rapid_tigers}}部署量：%+n	true
effects_description_hv_effect_unit_cap_hebei_spearmen	{{tr:hv_unit_hebei_spearmen}}部署量：%+n	true
effects_description_hv_effect_unit_cap_hebei_sword_cavalry	{{tr:hv_unit_hebei_sword_cavalry}}部署量：%+n	true
effects_description_hv_effect_unit_cap_xianbei_archer_cavalry	{{tr:hv_unit_xianbei_archer_cavalry}}部署量：%+n	true
effects_description_hv_effect_unit_cap_militia_2h_axemen	{{tr:hv_unit_militia_2h_axemen}}部署量：%+n	true
effects_description_hv_effect_unit_cap_hidden_2h_spearmen	{{tr:hv_unit_hidden_2h_spearmen}}部署量：%+n	true
effects_description_hv_effect_unit_cap_nanman_axe_defectors	{{tr:hv_unit_nanman_axe_defectors}}部署量：%+n	true
effects_description_hv_effect_unit_cap_nanman_spear_defectors	{{tr:hv_unit_nanman_spear_defectors}}部署量：%+n	true
effects_description_hv_effect_unit_cap_nanman_crossbow_defectors	{{tr:hv_unit_nanman_crossbow_defectors}}部署量：%+n	true
effects_description_hv_effect_unit_cap_nanman_cavalry_defectors	{{tr:hv_unit_nanman_cavalry_defectors}}部署量：%+n	true
effects_description_hv_effect_unit_cap_nanman_southern_foreign_rangers	{{tr:hv_unit_nanman_southern_foreign_rangers}}部署量：%+n	true
effects_description_hv_effect_unit_cap_nanman_southern_foreign_warriors	{{tr:hv_unit_nanman_southern_foreign_warriors}}部署量：%+n	true
effects_description_hv_effect_unit_cap_nanman_southern_shield_bearers	{{tr:hv_unit_nanman_southern_shield_bearers}}部署量：%+n	true
effects_description_hv_effect_unit_cap_bandits_fanatics	{{tr:hv_unit_bandits_fanatics}}部署量：%+n	true
effects_description_hv_effect_unit_cap_bandits_heroic_outlaws	{{tr:hv_unit_bandits_heroic_outlaws}}部署量：%+n	true
effects_description_hv_effect_unit_cap_bandits_drifting_warmongers	{{tr:hv_unit_bandits_drifting_warmongers}}部署量：%+n	true
effects_description_hv_effect_unit_cap_bandits_children_of_the_forest	{{tr:hv_unit_bandits_children_of_the_forest}}部署量：%+n	true
effects_description_hv_effect_unit_cap_enforcer_archer_cavalry	{{tr:hv_unit_enforcer_archer_cavalry}}部署量：%+n	true
effects_description_hv_effect_unit_cap_chen_peacekeepers	陈郡太平卫士部署量：%+n	true
