key	text	tooltip
#Loc;1;text/_hvo/hv_TEXT_skills_skill_ability__historical.loc		
character_skills_localised_description_hv_historical_skill_ability_earth_01	冲突无法避免。	true
character_skills_localised_name_hv_historical_skill_ability_earth_01	舞爪	true
effects_description_hv_effects_unlock_historical_ability_earth_01	技能：舞爪	true
special_ability_phases_onscreen_name_hv_historical_ability_earth_01	舞爪	true
unit_abilities_onscreen_name_hv_historical_ability_earth_01	舞爪	true
unit_abilities_tooltip_text_hv_historical_ability_earth_01	冲突无法避免。	true
unit_ability_types_localised_description_hv_historical_ability_earth_01	舞爪	true
unit_ability_types_onscreen_name_hv_historical_ability_earth_01	主动增益	true
character_skills_localised_description_hv_historical_skill_ability_earth_02	凭地利，如披坚甲，箭若无物	true
character_skills_localised_name_hv_historical_skill_ability_earth_02	磐石	true
effects_description_hv_effects_unlock_historical_ability_earth_02	技能：磐石	true
special_ability_phases_onscreen_name_hv_historical_ability_earth_02	磐石	true
unit_abilities_onscreen_name_hv_historical_ability_earth_02	磐石	true
unit_abilities_tooltip_text_hv_historical_ability_earth_02	凭地利，如披坚甲，箭若无物	true
unit_ability_types_localised_description_hv_historical_ability_earth_02	磐石	true
unit_ability_types_onscreen_name_hv_historical_ability_earth_02	主动增益	true
character_skills_localised_description_hv_historical_skill_ability_earth_03	英雄大志者必能凝聚人心。	true
character_skills_localised_name_hv_historical_skill_ability_earth_03	齐心	true
effects_description_hv_effects_unlock_historical_ability_earth_03	技能：齐心	true
special_ability_phases_onscreen_name_hv_historical_ability_earth_03	齐心	true
unit_abilities_onscreen_name_hv_historical_ability_earth_03	齐心	true
unit_abilities_tooltip_text_hv_historical_ability_earth_03	英雄大志者必能凝聚人心。	true
unit_ability_types_localised_description_hv_historical_ability_earth_03	齐心	true
unit_ability_types_onscreen_name_hv_historical_ability_earth_03	被动增益	true
character_skills_localised_description_hv_historical_skill_ability_metal_01	同袍兄弟，狂呼迎战	true
character_skills_localised_name_hv_historical_skill_ability_metal_01	战嚎	true
effects_description_hv_effects_unlock_historical_ability_metal_01	技能：战嚎	true
special_ability_phases_onscreen_name_hv_historical_ability_metal_01	战嚎	true
unit_abilities_onscreen_name_hv_historical_ability_metal_01	战嚎	true
unit_abilities_tooltip_text_hv_historical_ability_metal_01	同袍兄弟，狂呼迎战	true
unit_ability_types_localised_description_hv_historical_ability_metal_01	战嚎	true
unit_ability_types_onscreen_name_hv_historical_ability_metal_01	主动增益	true
character_skills_localised_description_hv_historical_skill_ability_metal_02	此人相信，要将敌人除之而后快，就必须先追得上敌人。	true
character_skills_localised_name_hv_historical_skill_ability_metal_02	疾行	true
effects_description_hv_effects_unlock_historical_ability_metal_02	技能：疾行	true
special_ability_phases_onscreen_name_hv_historical_ability_metal_02	疾行	true
unit_abilities_onscreen_name_hv_historical_ability_metal_02	疾行	true
unit_abilities_tooltip_text_hv_historical_ability_metal_02	此人相信，要将敌人除之而后快，就必须先追得上敌人。	true
unit_ability_types_localised_description_hv_historical_ability_metal_02	疾行	true
unit_ability_types_onscreen_name_hv_historical_ability_metal_02	主动增益	true
character_skills_localised_description_hv_historical_skill_ability_metal_03	森林为懂得尊重的人提供了通行路径和更稳固的立足之地。	true
character_skills_localised_name_hv_historical_skill_ability_metal_03	天侣	true
effects_description_hv_effects_unlock_historical_ability_metal_03	技能：天侣	true
special_ability_phases_onscreen_name_hv_historical_ability_metal_03	天侣	true
unit_abilities_onscreen_name_hv_historical_ability_metal_03	天侣	true
unit_abilities_tooltip_text_hv_historical_ability_metal_03	森林为懂得尊重的人提供了通行路径和更稳固的立足之地。	true
unit_ability_types_localised_description_hv_historical_ability_metal_03	天侣	true
unit_ability_types_onscreen_name_hv_historical_ability_metal_03	主动增益	true
character_skills_localised_description_hv_historical_skill_ability_wood_01	任由惊涛拍岸，我自不动如山。	true
character_skills_localised_name_hv_historical_skill_ability_wood_01	壁垒	true
effects_description_hv_effects_unlock_historical_ability_wood_01	技能：壁垒	true
special_ability_phases_onscreen_name_hv_historical_ability_wood_01	壁垒	true
unit_abilities_onscreen_name_hv_historical_ability_wood_01	壁垒	true
unit_abilities_tooltip_text_hv_historical_ability_wood_01	任由惊涛拍岸，我自不动如山。	true
unit_ability_types_localised_description_hv_historical_ability_wood_01	壁垒	true
unit_ability_types_onscreen_name_hv_historical_ability_wood_01	主动增益	true
character_skills_localised_description_hv_historical_skill_ability_wood_02	战之愈久，愈游刃有余！	true
character_skills_localised_name_hv_historical_skill_ability_wood_02	刚韧	true
effects_description_hv_effects_unlock_historical_ability_wood_02	技能：刚韧	true
special_ability_phases_onscreen_name_hv_historical_ability_wood_02_1	刚韧	true
special_ability_phases_onscreen_name_hv_historical_ability_wood_02_2	刚韧	true
special_ability_phases_onscreen_name_hv_historical_ability_wood_02_3	刚韧	true
unit_abilities_onscreen_name_hv_historical_ability_wood_02	刚韧	true
unit_abilities_tooltip_text_hv_historical_ability_wood_02	战之愈久，愈游刃有余！	true
unit_ability_types_localised_description_hv_historical_ability_wood_02	刚韧	true
unit_ability_types_onscreen_name_hv_historical_ability_wood_02	被动增益	true
character_skills_localised_description_hv_historical_skill_ability_wood_03	以战为生的勇士。	true
character_skills_localised_name_hv_historical_skill_ability_wood_03	内力	true
effects_description_hv_effects_unlock_historical_ability_wood_03	技能：内力	true
special_ability_phases_onscreen_name_hv_historical_ability_wood_03	内力	true
unit_abilities_onscreen_name_hv_historical_ability_wood_03	内力	true
unit_abilities_tooltip_text_hv_historical_ability_wood_03	以战为生的勇士。	true
unit_ability_types_localised_description_hv_historical_ability_wood_03	内力	true
unit_ability_types_onscreen_name_hv_historical_ability_wood_03	被动增益	true
character_skills_localised_description_hv_historical_skill_ability_water_01	激流汹涌，鼓舞军心	true
character_skills_localised_name_hv_historical_skill_ability_water_01	激浪	true
effects_description_hv_effects_unlock_historical_ability_water_01	技能：激浪	true
special_ability_phases_onscreen_name_hv_historical_ability_water_01	激浪	true
unit_abilities_onscreen_name_hv_historical_ability_water_01	激浪	true
unit_abilities_tooltip_text_hv_historical_ability_water_01	激流汹涌，鼓舞军心	true
unit_ability_types_localised_description_hv_historical_ability_water_01	激浪	true
unit_ability_types_onscreen_name_hv_historical_ability_water_01	被动增益	true
character_skills_localised_description_hv_historical_skill_ability_water_02	静下心来瞄准方能百发百中。	true
character_skills_localised_name_hv_historical_skill_ability_water_02	穿杨	true
effects_description_hv_effects_unlock_historical_ability_water_02	技能：穿杨	true
special_ability_phases_onscreen_name_hv_historical_ability_water_02	穿杨	true
unit_abilities_onscreen_name_hv_historical_ability_water_02	穿杨	true
unit_abilities_tooltip_text_hv_historical_ability_water_02	静下心来瞄准方能百发百中。	true
unit_ability_types_localised_description_hv_historical_ability_water_02	穿杨	true
unit_ability_types_onscreen_name_hv_historical_ability_water_02	主动增益	true
character_skills_localised_description_hv_historical_skill_ability_water_03	以其人之道，还治其人之身。	true
character_skills_localised_name_hv_historical_skill_ability_water_03	反制	true
effects_description_hv_effects_unlock_historical_ability_water_03	技能：反制	true
special_ability_phases_onscreen_name_hv_historical_ability_water_03	反制	true
unit_abilities_onscreen_name_hv_historical_ability_water_03	反制	true
unit_abilities_tooltip_text_hv_historical_ability_water_03	以其人之道，还治其人之身。	true
unit_ability_types_localised_description_hv_historical_ability_water_03	反制	true
unit_ability_types_onscreen_name_hv_historical_ability_water_03	被动增益	true
character_skills_localised_description_hv_historical_skill_ability_fire_01	坚定之心，锐利宝刃，足矣！	true
character_skills_localised_name_hv_historical_skill_ability_fire_01	背水	true
effects_description_hv_effects_unlock_historical_ability_fire_01	技能：背水	true
special_ability_phases_onscreen_name_hv_historical_ability_fire_01	背水	true
unit_abilities_onscreen_name_hv_historical_ability_fire_01	背水	true
unit_abilities_tooltip_text_hv_historical_ability_fire_01	坚定之心，锐利宝刃，足矣！	true
unit_ability_types_localised_description_hv_historical_ability_fire_01	背水	true
unit_ability_types_onscreen_name_hv_historical_ability_fire_01	主动增益	true
character_skills_localised_description_hv_historical_skill_ability_fire_02	凤怒炎涛，摧枯拉朽！	true
character_skills_localised_name_hv_historical_skill_ability_fire_02	炎凤	true
effects_description_hv_effects_unlock_historical_ability_fire_02	技能：炎凤	true
special_ability_phases_onscreen_name_hv_historical_ability_fire_02	炎凤	true
unit_abilities_onscreen_name_hv_historical_ability_fire_02	炎凤	true
unit_abilities_tooltip_text_hv_historical_ability_fire_02	凤怒炎涛，摧枯拉朽！	true
unit_ability_types_localised_description_hv_historical_ability_fire_02	炎凤	true
unit_ability_types_onscreen_name_hv_historical_ability_fire_02	主动增益	true
character_skills_localised_description_hv_historical_skill_ability_fire_03	很少有人能逃过这位勇士的追杀。	true
character_skills_localised_name_hv_historical_skill_ability_fire_03	追踪	true
effects_description_hv_effects_unlock_historical_ability_fire_03	技能：追踪	true
