key	text	tooltip
#Loc;1;text/_hvo/hv_TEXT_skills_skill_skill_name_desc.loc		
----skill name----		false
character_skills_localised_name_hv_skill_ability_flower_of_battlefield_authority	玉骨	true
character_skills_localised_name_hv_skill_ability_imperious_presence_authority	跋扈	true
character_skills_localised_name_hv_skill_ability_inspiring_words_authority	鼓舞	true
character_skills_localised_name_hv_skill_ability_royal_blood_authority	龙脉	true
character_skills_localised_name_hv_skill_ability_distant_courage_authority	坚毅	true
character_skills_localised_name_hv_skill_ability_order_of_tyrant_authority	捣穴	true
character_skills_localised_name_hv_skill_ability_cruel_lord_authority	强令	true
character_skills_localised_name_hv_skill_ability_defence_mastery_authority	泰山	true
character_skills_localised_name_hv_skill_ability_show_of_force_authority	耀武	true
character_skills_localised_name_hv_skill_ability_nature_s_ally_authority	天侣	true
character_skills_localised_name_hv_skill_ability_the_weight_on_the_shoulders_authority	砥柱	true
character_skills_localised_name_hv_skill_ability_stone_bulwark_authority	磐石	true
character_skills_localised_name_hv_skill_ability_unyielding_earth_authority	坚土	true
character_skills_localised_name_hv_skill_ability_storm_of_swords_authority	舞爪	true
character_skills_localised_name_hv_skill_ability_mark_target_authority	丛矢	true
character_skills_localised_name_hv_skill_ability_flames_of_the_phoenix_authority	炎凤	true
character_skills_localised_name_hv_skill_ability_fire_bomb_authority	火焰弹	true
character_skills_localised_name_hv_skill_ability_brawl_authority	熊罴	true
character_skills_localised_name_hv_skill_ability_mortal_strike_authority	浴血	true
character_skills_localised_name_hv_skill_ability_impetuous_charge_authority	横冲	true
character_skills_localised_name_hv_skill_ability_fleet_footed_authority	疾行	true
character_skills_localised_name_hv_skill_ability_resolve_of_the_righteous_authority	贞义	true
character_skills_localised_name_hv_skill_ability_assemble_authority	齐心	true
character_skills_localised_name_hv_skill_ability_exemplar_authority	楷模	true
character_skills_localised_name_hv_skill_ability_calm_down_authority	将才	true
character_skills_localised_name_hv_skill_ability_heavenly_grace_authority	天人之姿	true
character_skills_localised_name_hv_skill_ability_wisdom_of_the_river_authority	水圣	true
character_skills_localised_name_hv_skill_ability_wisdom_of_the_waterfall_authority	远瞩	true
character_skills_localised_name_hv_skill_ability_fire_control_authority	穿杨	true
character_skills_localised_name_hv_skill_ability_restore_authority	回春	true
character_skills_localised_name_hv_skill_ability_anti_cavalry_authority	反制	true
character_skills_localised_name_hv_skill_ability_inspection_authority	鹰视	true
character_skills_localised_name_hv_skill_ability_blazing_roar_instinct	怒吼	true
character_skills_localised_name_hv_skill_ability_rage_of_lu_bu_instinct	人中吕布	true
character_skills_localised_name_hv_skill_ability_smouldering_fury_instinct	愤懑	true
character_skills_localised_name_hv_skill_ability_blood_fury_instinct	血怒	true
character_skills_localised_name_hv_skill_ability_the_dragon_s_gaze_instinct	龙视	true
character_skills_localised_name_hv_skill_ability_reign_of_terror_instinct	怖惧	true
character_skills_localised_name_hv_skill_ability_dong_command_instinct	相令	true
character_skills_localised_name_hv_skill_ability_blade_breaker_instinct	断刃	true
character_skills_localised_name_hv_skill_ability_devastating_roar_instinct	狂号	true
character_skills_localised_name_hv_skill_ability_roar_of_the_beast_instinct	虎啸	true
character_skills_localised_name_hv_skill_ability_heart_seeker_instinct	觅心	true
character_skills_localised_name_hv_skill_ability_sundering_strike_instinct	裂斩	true
character_skills_localised_name_hv_skill_ability_internal_blaze_instinct	心火	true
character_skills_localised_name_hv_skill_ability_blazing_saddles_instinct	绝尘	true
character_skills_localised_name_hv_skill_ability_wildfire_instinct	烈火	true
character_skills_localised_name_hv_skill_ability_burning_instinct	热血	true
character_skills_localised_name_hv_skill_ability_flames_of_the_phoenix_instinct	炎凤	true
character_skills_localised_name_hv_skill_ability_fire_bomb_instinct	火焰弹	true
character_skills_localised_name_hv_skill_ability_aggressive_anger_instinct	愈战愈怒	true
character_skills_localised_name_hv_skill_ability_scattering_blows_instinct	诛荡	true
character_skills_localised_name_hv_skill_ability_undying_vow_instinct	守誓	true
character_skills_localised_name_hv_skill_ability_brawl_instinct	熊罴	true
character_skills_localised_name_hv_skill_ability_mortal_strike_instinct	浴血	true
