key	text	tooltip
#Loc;1;text/_hvo/hv_TEXT_unit_abilities.loc		
unit_abilities_onscreen_name_hv_ability_enlightenment	保佑	true
unit_ability_types_localised_description_hv_ability_enlightenment	保佑	true
unit_ability_types_onscreen_name_hv_ability_enlightenment	被动增益	true
unit_abilities_tooltip_text_hv_ability_enlightenment	老天保佑！	true
special_ability_phases_onscreen_name_hv_ability_enlightenment_1	保佑	true
special_ability_phases_onscreen_name_hv_ability_enlightenment_2	保佑	true
special_ability_phases_onscreen_name_hv_ability_enlightenment_3	保佑	true
unit_abilities_onscreen_name_hv_ability_furious_charge	豨勇	true
unit_ability_types_localised_description_hv_ability_furious_charge	豨勇	true
unit_ability_types_onscreen_name_hv_ability_furious_charge	增益	true
unit_abilities_tooltip_text_hv_ability_furious_charge	登锋履刃，先登陷锐。	true
special_ability_phases_onscreen_name_hv_ability_furious_charge_1	豨勇	true
special_ability_phases_onscreen_name_hv_ability_furious_charge_2	豨勇	true
unit_abilities_onscreen_name_hv_ability_grenade	爆弹	true
unit_ability_types_localised_description_hv_ability_grenade	爆弹	true
unit_ability_types_onscreen_name_hv_ability_grenade	主动技能	true
unit_abilities_tooltip_text_hv_ability_grenade	由学士研制的奇物。	true
unit_abilities_onscreen_name_hv_ability_sniper_position	狙击	true
unit_ability_types_localised_description_hv_ability_sniper_position	狙击	true
unit_ability_types_onscreen_name_hv_ability_sniper_position	被动增益	true
unit_abilities_tooltip_text_hv_ability_sniper_position	匿影潜形，寻找机会行致命一击。	true
special_ability_phases_onscreen_name_hv_ability_sniper_position	狙击	true
unit_abilities_onscreen_name_hv_ability_overfight	先登	true
unit_ability_types_localised_description_hv_ability_overfight	先登	true
unit_ability_types_onscreen_name_hv_ability_overfight	被动增益	true
unit_abilities_tooltip_text_hv_ability_overfight	敢死先登，无往不利。	true
special_ability_phases_onscreen_name_hv_ability_overfight	先登	true
unit_abilities_onscreen_name_hv_ability_beihai_accuracy	精瞄	true
unit_ability_types_localised_description_hv_ability_beihai_accuracy	精瞄	true
unit_ability_types_onscreen_name_hv_ability_beihai_accuracy	被动增益	true
unit_abilities_tooltip_text_hv_ability_beihai_accuracy	下一击将更为精准且更有杀伤力。	true
special_ability_phases_onscreen_name_hv_ability_beihai_accuracy_1	精瞄	true
special_ability_phases_onscreen_name_hv_ability_beihai_accuracy_2	精瞄	true
special_ability_phases_onscreen_name_hv_ability_beihai_accuracy_3	精瞄	true
unit_abilities_onscreen_name_hv_ability_pulverize	碎骨	true
unit_ability_types_localised_description_hv_ability_pulverize	碎骨	true
unit_ability_types_onscreen_name_hv_ability_pulverize	主动增益	true
unit_abilities_tooltip_text_hv_ability_pulverize	他们将粉碎阻挡他们的一切！	true
special_ability_phases_onscreen_name_hv_ability_pulverize	碎骨	true
unit_abilities_onscreen_name_hv_ability_guardian	金鼓	true
unit_ability_types_localised_description_hv_ability_guardian	金鼓	true
unit_ability_types_onscreen_name_hv_ability_guardian	被动增益	true
unit_abilities_tooltip_text_hv_ability_guardian	击鼓鸣金，为将军扬威！	true
special_ability_phases_onscreen_name_hv_ability_guardian	金鼓	true
unit_abilities_onscreen_name_hv_ability_desperate_savior	争强	true
unit_ability_types_localised_description_hv_ability_desperate_savior	争强	true
unit_ability_types_onscreen_name_hv_ability_desperate_savior	被动增益	true
unit_abilities_tooltip_text_hv_ability_desperate_savior	一颗好胜之心可使人愈战愈勇。	true
special_ability_phases_onscreen_name_hv_ability_desperate_savior	争强	true
unit_abilities_onscreen_name_hv_ability_hero_slayer	诛将	true
unit_ability_types_localised_description_hv_ability_hero_slayer	诛将	true
unit_ability_types_onscreen_name_hv_ability_hero_slayer	被动增益	true
unit_abilities_tooltip_text_hv_ability_hero_slayer	遇强则强，狭路相逢勇者胜。	true
special_ability_phases_onscreen_name_hv_ability_hero_slayer	诛将	true
unit_abilities_onscreen_name_hv_abillity_danyang_tradition	不挠	true
unit_ability_types_localised_description_hv_abillity_danyang_tradition	不挠	true
unit_ability_types_onscreen_name_hv_abillity_danyang_tradition	被动增益	true
unit_abilities_tooltip_text_hv_abillity_danyang_tradition	百折不屈，克服万难。	true
special_ability_phases_onscreen_name_hv_abillity_danyang_tradition	不挠	true
unit_abilities_onscreen_name_hv_ability_barded_missile_resistance	重马铠	true
unit_ability_types_localised_description_hv_ability_barded_missile_resistance	重马铠	true
unit_ability_types_onscreen_name_hv_ability_barded_missile_resistance	被动增益	true
unit_abilities_tooltip_text_hv_ability_barded_missile_resistance	保护马匹免于箭矢兵器的伤害。	true
special_ability_phases_onscreen_name_hv_ability_barded_missile_resistance	重马铠	true
unit_abilities_onscreen_name_hv_ability_half_barded_missile_resistance	轻马铠	true
unit_ability_types_localised_description_hv_ability_half_barded_missile_resistance	轻马铠	true
unit_ability_types_onscreen_name_hv_ability_half_barded_missile_resistance	被动增益	true
unit_abilities_tooltip_text_hv_ability_half_barded_missile_resistance	保护马匹免于箭矢兵器的伤害。	true
special_ability_phases_onscreen_name_hv_ability_half_barded_missile_resistance	轻马铠	true
unit_abilities_onscreen_name_hv_ability_wind_of_north	能苦	true
unit_ability_types_localised_description_hv_ability_wind_of_north	能苦	true
unit_ability_types_onscreen_name_hv_ability_wind_of_north	被动技能	true
unit_abilities_tooltip_text_hv_ability_wind_of_north	常年在北风的怒号中作战使这些战士不惧恶战。	true
special_ability_phases_onscreen_name_hv_ability_wind_of_north	能苦	true
unit_abilities_onscreen_name_hv_ability_jing_missile_resistance	精甲	true
unit_ability_types_localised_description_hv_ability_jing_missile_resistance	精甲	true
unit_ability_types_onscreen_name_hv_ability_jing_missile_resistance	被动增益	true
unit_abilities_tooltip_text_hv_ability_jing_missile_resistance	被甲执锐，牢不可破。	true
special_ability_phases_onscreen_name_hv_ability_jing_missile_resistance_1	精甲	true
special_ability_phases_onscreen_name_hv_ability_jing_missile_resistance_2	精甲	true
special_ability_phases_onscreen_name_hv_ability_jing_missile_resistance_3	精甲	true
special_ability_phases_onscreen_name_hv_ability_jing_missile_resistance_4	精甲	true
special_ability_phases_onscreen_name_hv_ability_jing_missile_resistance_5	精甲	true
unit_abilities_onscreen_name_hv_ability_brotherhood	共济	true
unit_ability_types_localised_description_hv_ability_brotherhood	共济	true
unit_ability_types_onscreen_name_hv_ability_brotherhood	被动增益	true
unit_abilities_tooltip_text_hv_ability_brotherhood	同甘共苦，患难与共。	true
special_ability_phases_onscreen_name_hv_ability_brotherhood	共济	true
unit_abilities_onscreen_name_hv_ability_black_mountain_brotherhood	手足	true
unit_ability_types_localised_description_hv_ability_black_mountain_brotherhood	手足	true
unit_ability_types_onscreen_name_hv_ability_black_mountain_brotherhood	被动增益	true
unit_abilities_tooltip_text_hv_ability_black_mountain_brotherhood	黑山盗匪们有非常深的兄弟情谊。当他们聚在一起时，勇气倍增。	true
special_ability_phases_onscreen_name_hv_ability_black_mountain_brotherhood	手足	true
unit_abilities_onscreen_name_hv_ability_dead_or_alive	孤注	true
unit_ability_types_localised_description_hv_ability_dead_or_alive	孤注	true
unit_ability_types_onscreen_name_hv_ability_dead_or_alive	被动增益	true
unit_abilities_tooltip_text_hv_ability_dead_or_alive	生死存亡，转瞬即逝。	true
special_ability_phases_onscreen_name_hv_ability_dead_or_alive	孤注	true
unit_abilities_onscreen_name_hv_ability_gas_bomb	毒气弹	true
unit_ability_types_localised_description_hv_ability_gas_bomb	毒气弹	true
unit_ability_types_onscreen_name_hv_ability_gas_bomb	主动技能	true
unit_abilities_tooltip_text_hv_ability_gas_bomb	泰山匪徒发现某些植物燃烧时所冒的烟雾对人体有害。	true
special_ability_phases_onscreen_name_hv_ability_gas_bomb_inside	毒气	true
unit_abilities_onscreen_name_hv_ability_tiger_skin	虎皮	true
unit_ability_types_localised_description_hv_ability_tiger_skin	虎皮	true
unit_ability_types_onscreen_name_hv_ability_tiger_skin	被动技能	true
unit_abilities_tooltip_text_hv_ability_tiger_skin	虎皮厚重，是抵御箭矢的良策。	true
special_ability_phases_onscreen_name_hv_ability_tiger_skin	虎皮	true
unit_abilities_onscreen_name_hv_ability_double_blades_ecstasy	好战	true
unit_ability_types_localised_description_hv_ability_double_blades_ecstasy	好战	true
unit_ability_types_onscreen_name_hv_ability_double_blades_ecstasy	被动增益	true
unit_abilities_tooltip_text_hv_ability_double_blades_ecstasy	黩武穷兵，赶尽杀绝。	true
special_ability_phases_onscreen_name_hv_ability_double_blades_ecstasy_1	好战	true
special_ability_phases_onscreen_name_hv_ability_double_blades_ecstasy_2	好战	true
special_ability_phases_onscreen_name_hv_ability_double_blades_ecstasy_3	好战	true
unit_abilities_onscreen_name_hv_ability_dragon_rising	御林	true
unit_ability_types_localised_description_hv_ability_dragon_rising	御林	true
unit_ability_types_onscreen_name_hv_ability_dragon_rising	被动增益	true
unit_abilities_tooltip_text_hv_ability_dragon_rising	羽林精锐，内卫京师，外备征战。	true
special_ability_phases_onscreen_name_hv_ability_dragon_rising	御林	true
unit_abilities_onscreen_name_hv_ability_stubborn	有素	true
unit_ability_types_localised_description_hv_ability_stubborn	有素	true
unit_ability_types_onscreen_name_hv_ability_stubborn	被动增益	true
unit_abilities_tooltip_text_hv_ability_stubborn	军纪严明，死战不退。	true
special_ability_phases_onscreen_name_hv_ability_stubborn	有素	true
unit_abilities_onscreen_name_hv_ability_defense_mastery_melee	覆盂	true
unit_ability_types_localised_description_hv_ability_defense_mastery_melee	覆盂	true
unit_ability_types_onscreen_name_hv_ability_defense_mastery_melee	被动增益	true
unit_abilities_tooltip_text_hv_ability_defense_mastery_melee	在有援兵可倚之时，本方将士必当更加胸有成竹。	true
special_ability_phases_onscreen_name_hv_ability_defense_mastery_melee	覆盂	true
unit_abilities_onscreen_name_hv_ability_defense_mastery_ranged	覆盂	true
unit_ability_types_localised_description_hv_ability_defense_mastery_ranged	覆盂	true
unit_ability_types_onscreen_name_hv_ability_defense_mastery_ranged	被动增益	true
unit_abilities_tooltip_text_hv_ability_defense_mastery_ranged	在有援兵可倚之时，本方将士必当更加胸有成竹。	true
special_ability_phases_onscreen_name_hv_ability_defense_mastery_ranged	覆盂	true
unit_abilities_onscreen_name_hv_ability_tactical_move	健步	true
unit_ability_types_localised_description_hv_ability_tactical_move	健步	true
unit_ability_types_onscreen_name_hv_ability_tactical_move	被动增益	true
unit_abilities_tooltip_text_hv_ability_tactical_move	快步流星，兵贵神速。	true
unit_abilities_onscreen_name_hv_ability_tactical_move	健步	true
special_ability_phases_onscreen_hv_ability_tactical_move	健步	true
unit_abilities_onscreen_name_hv_ability_qiang_fatigue	抖擞	true
unit_ability_types_localised_description_hv_ability_qiang_fatigue	抖擞	true
unit_ability_types_onscreen_name_hv_ability_qiang_fatigue	被动增益	true
unit_abilities_tooltip_text_hv_ability_qiang_fatigue	生龙活虎，跋山涉水犹如股掌之上。	true
special_ability_phases_onscreen_name_hv_ability_qiang_fatigue	抖擞	true
unit_abilities_onscreen_name_hv_ability_wuhuan_riding	善骑	true
unit_ability_types_localised_description_hv_ability_wuhuan_riding	善骑	true
unit_ability_types_onscreen_name_hv_ability_wuhuan_riding	被动增益	true
unit_abilities_tooltip_text_hv_ability_wuhuan_riding	乌桓马术天下无双。	true
special_ability_phases_onscreen_name_hv_ability_wuhuan_riding	善骑	true
unit_abilities_onscreen_name_hv_ability_captain_active	军令	true
unit_ability_types_localised_description_hv_ability_captain_active	军令	true
unit_ability_types_onscreen_name_hv_ability_captain_active	主动增益	true
unit_abilities_tooltip_text_hv_ability_captain_active	军令如山，凡不听约束者斩无赦。	true
special_ability_phases_onscreen_name_hv_ability_captain_active	军令	true
unit_abilities_onscreen_name_hv_ability_captain_passive	密计	true
unit_ability_types_localised_description_hv_ability_captain_passive	密计	true
unit_ability_types_onscreen_name_hv_ability_captain_passive	被动增益	true
unit_abilities_tooltip_text_hv_ability_captain_passive	有锦囊密计，我方无忧！	true
special_ability_phases_onscreen_name_hv_ability_captain_passive	密计	true
unit_abilities_onscreen_name_hv_ability_mercenary_passive	猛攻	true
unit_ability_types_localised_description_hv_ability_mercenary_passive	猛攻	true
unit_ability_types_onscreen_name_hv_ability_mercenary_passive	被动增益	true
