key	text	tooltip
#Loc;1;text/_hvo/hv_TEXT_unit_abilities_hit_effects.loc		
unit_abilities_onscreen_name_hv_hit_effect_trident	格档	true
unit_ability_types_localised_description_hv_hit_effect_trident	格档	true
unit_ability_types_onscreen_name_hv_hit_effect_trident	近战减益	true
unit_abilities_tooltip_text_hv_hit_effect_trident	如枪与戟这样的长柄武器可以格挡对方的攻击。	true
special_ability_phases_onscreen_name_hv_hit_effect_trident	格档	true
unit_abilities_onscreen_name_hv_hit_effect_rosin_fire	松脂	true
unit_ability_types_localised_description_hv_hit_effect_rosin_fire	松脂	true
unit_ability_types_onscreen_name_hv_hit_effect_rosin_fire	远程减益	true
unit_abilities_tooltip_text_hv_hit_effect_rosin_fire	将易燃的树脂黏着着于敌人的铠甲之上。	true
special_ability_phases_onscreen_name_hv_hit_effect_rosin_fire	松脂	true
unit_abilities_onscreen_name_hv_hit_effect_special_crossbow	强弩	true
unit_ability_types_localised_description_hv_hit_effect_special_crossbow	强弩	true
unit_ability_types_onscreen_name_hv_hit_effect_special_crossbow	远程减益	true
unit_abilities_tooltip_text_hv_hit_effect_special_crossbow	陈国特制的弓弩，威力强大。	true
special_ability_phases_onscreen_name_hv_hit_effect_special_crossbow	强弩	true
unit_abilities_onscreen_name_hv_hit_effect_whistle	搅乱	true
unit_ability_types_localised_description_hv_hit_effect_whistle	搅乱	true
unit_ability_types_onscreen_name_hv_hit_effect_whistle	远程减益	true
unit_abilities_tooltip_text_hv_hit_effect_whistle	游击骚扰，引发恐慌。	true
special_ability_phases_onscreen_name_hv_hit_effect_whistle	搅乱	true
unit_abilities_onscreen_name_hv_hit_effect_firelance	惧火	true
unit_ability_types_localised_description_hv_hit_effect_firelance	惧火	true
unit_ability_types_onscreen_name_hv_hit_effect_firelance	远程减益	true
unit_abilities_tooltip_text_hv_hit_effect_firelance	震天动地，烈火燎原，人岂能不惧？	true
special_ability_phases_onscreen_name_hv_hit_effect_firelance	惧火	true
unit_abilities_onscreen_name_hv_hit_effect_taishan_poison_pot	剧毒	true
unit_ability_types_localised_description_hv_hit_effect_taishan_poison_pot	剧毒	true
unit_ability_types_onscreen_name_hv_hit_effect_taishan_poison_pot	远程减益	true
unit_abilities_tooltip_text_hv_hit_effect_taishan_poison_pot	强大的毒素将散布全身导致瘫痪。	true
special_ability_phases_onscreen_name_hv_hit_effect_taishan_poison_pot	剧毒	true
unit_abilities_onscreen_name_hv_hit_effect_white_horse	白马	true
unit_ability_types_localised_description_hv_hit_effect_white_horse	白马	true
unit_ability_types_onscreen_name_hv_hit_effect_white_horse	远程减益	true
unit_abilities_tooltip_text_hv_hit_effect_white_horse	「号‘白马义从’，以实禁卫也。」	true
special_ability_phases_onscreen_name_hv_hit_effect_white_horse	白马	true
unit_abilities_onscreen_name_hv_hit_effect_overwhelmed	压倒	true
unit_ability_types_localised_description_hv_hit_effect_overwhelmed	压倒	true
unit_ability_types_onscreen_name_hv_hit_effect_overwhelmed	近战减益	true
unit_abilities_tooltip_text_hv_hit_effect_overwhelmed	压倒性的优势之于敌方，令其动弹不得。	true
special_ability_phases_onscreen_name_hv_hit_effect_overwhelmed	压倒	true
unit_abilities_onscreen_name_hv_hit_effect_shield_broken	破盾	true
unit_ability_types_localised_description_hv_hit_effect_shield_broken	破盾	true
unit_ability_types_onscreen_name_hv_hit_effect_shield_broken	近战减益	true
unit_abilities_tooltip_text_hv_hit_effect_shield_broken	不管是用钩还是砍，斧头都是对付盾牌的利器。	true
special_ability_phases_onscreen_name_hv_hit_effect_shield_broken	破盾	true
unit_abilities_onscreen_name_hv_hit_effect_venom	投毒	true
unit_ability_types_localised_description_hv_hit_effect_venom	投毒	true
unit_ability_types_onscreen_name_hv_hit_effect_venom	远程减益	true
unit_abilities_tooltip_text_hv_hit_effect_venom	无毒不丈夫。	true
special_ability_phases_onscreen_name_hv_hit_effect_venom	投毒	true
unit_abilities_onscreen_name_hv_hit_effect_armour_broken	破甲	true
unit_ability_types_localised_description_hv_hit_effect_armour_broken	破甲	true
unit_ability_types_onscreen_name_hv_hit_effect_armour_broken	近战减益	true
unit_abilities_tooltip_text_hv_hit_effect_armour_broken	再坚韧的铠甲也能被击破。	true
special_ability_phases_onscreen_name_hv_hit_effect_armour_broken	破甲	true
unit_abilities_onscreen_name_hv_hit_effect_sniper_shot	阻击	true
unit_ability_types_localised_description_hv_hit_effect_sniper_shot	阻击	true
unit_ability_types_onscreen_name_hv_hit_effect_sniper_shot	远程减益	true
unit_abilities_tooltip_text_hv_hit_effect_sniper_shot	天降箭雨，无路可逃。	true
special_ability_phases_onscreen_name_hv_hit_effect_sniper_shot	阻击	true
