key	text	tooltip
#Loc;1;text/_hvo/hv_TEXT_unit_long_desc.loc		
unit_description_historical_texts_text_hv_unit_militia_sabre_infantry	未完成\\n\\n（请于MTU的Discord里TROM频道提出建议）	true
unit_description_historical_texts_text_hv_unit_militia_ji_infantry	未完成\\n\\n（请于MTU的Discord里TROM频道提出建议）	true
unit_description_historical_texts_text_hv_unit_militia_archers	未完成\\n\\n（请于MTU的Discord里TROM频道提出建议）	true
unit_description_historical_texts_text_hv_unit_buqu_sabre_infantry	未完成\\n\\n（请于MTU的Discord里TROM频道提出建议）	true
unit_description_historical_texts_text_hv_unit_buqu_axemen	未完成\\n\\n（请于MTU的Discord里TROM频道提出建议）	true
unit_description_historical_texts_text_hv_unit_buqu_2h_axemen	未完成\\n\\n（请于MTU的Discord里TROM频道提出建议）	true
unit_description_historical_texts_text_hv_unit_buqu_spearmen	未完成\\n\\n（请于MTU的Discord里TROM频道提出建议）	true
unit_description_historical_texts_text_hv_unit_buqu_ji_infantry	未完成\\n\\n（请于MTU的Discord里TROM频道提出建议）	true
unit_description_historical_texts_text_hv_unit_buqu_archers	未完成\\n\\n（请于MTU的Discord里TROM频道提出建议）	true
unit_description_historical_texts_text_hv_unit_buqu_crossbowmen	未完成\\n\\n（请于MTU的Discord里TROM频道提出建议）	true
unit_description_historical_texts_text_hv_unit_buqu_rep_crossbowmen	未完成\\n\\n（请于MTU的Discord里TROM频道提出建议）	true
unit_description_historical_texts_text_hv_unit_buqu_2h_spear_cavalry	未完成\\n\\n（请于MTU的Discord里TROM频道提出建议）	true
unit_description_historical_texts_text_hv_unit_buqu_sabre_cavalry	未完成\\n\\n（请于MTU的Discord里TROM频道提出建议）	true
unit_description_historical_texts_text_hv_unit_buqu_raid_cavalry	未完成\\n\\n（请于MTU的Discord里TROM频道提出建议）	true
unit_description_historical_texts_text_hv_unit_buqu_archer_cavalry	未完成\\n\\n（请于MTU的Discord里TROM频道提出建议）	true
unit_description_historical_texts_text_hv_unit_elite_swordsmen	尚未翻译	true
unit_description_historical_texts_text_hv_unit_elite_2h_axemen	未完成\\n\\n（请于MTU的Discord里TROM频道提出建议）	true
unit_description_historical_texts_text_hv_unit_elite_2h_swordsmen	未完成\\n\\n（请于MTU的Discord里TROM频道提出建议）	true
unit_description_historical_texts_text_hv_unit_elite_spearmen	未完成\\n\\n（请于MTU的Discord里TROM频道提出建议）	true
unit_description_historical_texts_text_hv_unit_elite_2h_spearmen	未完成\\n\\n（请于MTU的Discord里TROM频道提出建议）	true
unit_description_historical_texts_text_hv_unit_elite_ji_infantry	未完成\\n\\n（请于MTU的Discord里TROM频道提出建议）	true
unit_description_historical_texts_text_hv_unit_elite_heavy_bow_archers	尚未翻译	true
unit_description_historical_texts_text_hv_unit_elite_crossbowmen	未完成\\n\\n（请于MTU的Discord里TROM频道提出建议）	true
unit_description_historical_texts_text_hv_unit_elite_rep_crossbowmen	未完成\\n\\n（请于MTU的Discord里TROM频道提出建议）	true
unit_description_historical_texts_text_hv_unit_elite_sword_cavalry	未完成\\n\\n（请于MTU的Discord里TROM频道提出建议）	true
unit_description_historical_texts_text_hv_unit_elite_2h_spear_cavalry	未完成\\n\\n（请于MTU的Discord里TROM频道提出建议）	true
unit_description_historical_texts_text_hv_unit_elite_barded_2h_spear_cavalry	未完成\\n\\n（请于MTU的Discord里TROM频道提出建议）	true
unit_description_historical_texts_text_hv_unit_xiliang_buqu_hand_ji_infantry	尚未翻译	true
unit_description_historical_texts_text_hv_unit_xiliang_buqu_spearmen	尚未翻译	true
unit_description_historical_texts_text_hv_unit_xiliang_buqu_ji_infantry	尚未翻译	true
unit_description_historical_texts_text_hv_unit_xiliang_buqu_crossbowmen	尚未翻译	true
unit_description_historical_texts_text_hv_unit_xiliang_buqu_spear_cavalry	尚未翻译	true
unit_description_historical_texts_text_hv_unit_xiliang_buqu_sabre_cavalry	尚未翻译	true
unit_description_historical_texts_text_hv_unit_xiliang_buqu_archer_cavalry	尚未翻译	true
unit_description_historical_texts_text_hv_unit_xiliang_elite_2h_swordsmen	尚未翻译	true
unit_description_historical_texts_text_hv_unit_xiliang_elite_spearmen	尚未翻译	true
unit_description_historical_texts_text_hv_unit_xiliang_elite_enforcers	尚未翻译	true
unit_description_historical_texts_text_hv_unit_enforcer_archer_cavalry	尚未翻译	true
unit_description_historical_texts_text_hv_unit_xiliang_elite_barded_2h_spear_cavalry	尚未翻译	true
unit_description_historical_texts_text_hv_unit_xiliang_elite_crossbowmen	尚未翻译	true
unit_description_historical_texts_text_hv_unit_jingchou_buqu_caltrop_infantry	尚未翻译	true
unit_description_historical_texts_text_hv_unit_jingchou_buqu_2h_axemen	尚未翻译	true
unit_description_historical_texts_text_hv_unit_jingchou_buqu_2h_spearmen	尚未翻译	true
unit_description_historical_texts_text_hv_unit_jingchou_buqu_archers	尚未翻译	true
unit_description_historical_texts_text_hv_unit_northern_mace_cavalry	尚未翻译	true
unit_description_historical_texts_text_hv_unit_northern_spear_cavalry	这些骑兵身披重甲，训练有素，如一把利刃在敌阵中左冲右突。他们由一位身经百战的伯长指挥，是战场上的领军者。他们的致命冲锋足以使久战兵钝的友军士气为之一振。 \\n\\n即便在主将缺阵的情况下，同袍们仍可放心，今日我军并无败北之虞。因为这些北军显然已经做好准备，在这支勇猛的长戟骑兵和他们所信赖的伯长的指挥下，与敌人一决生死。	true
unit_description_historical_texts_text_hv_unit_chen_peacekeepers_halberd_infantry	尽管陈王刘宠没有继承皇位的可能，他却仍然是汉王朝忠诚的宗王。因此，他获得了一支由精兵组成的部曲，以保护他自身和他的封国。\\n\\n他们拥有锐利的长戟，能够组成坚固的防御阵型。为了他们所效忠的宗王与汉室，这些将士们将会奋勇杀敌，诛尽天下贼徒。	true
unit_description_historical_texts_text_hv_unit_chen_peacekeepers_crossbowmen	尽管陈王刘宠没有继承皇位的可能，他却仍然是汉王朝忠诚的宗王。因此，他获得了一支由精兵组成的部曲，以保护他自身和他的封国。\\n\\n他们装备了弩箭，能够对敌人造成远程杀伤。为了他们所效忠的宗王与汉室，这些将士们将会奋勇杀敌，诛尽天下贼徒。	true
unit_description_historical_texts_text_hv_unit_chen_royal_guard_cavalry	陈王刘宠决意要保卫他的封国不被天下大乱所席卷。因此，他必须建立一支忠勇强大的军队，才能保护他封国的官吏和百姓。\\n\\n羽林军属于骑兵，因此机动性很高。他们拥有坚盾和利剑，使他们既能冲锋，亦可近战。只有最优秀、最强壮、且和他们的封君一样勇武的将士才能保卫陈郡。 	true
unit_description_historical_texts_text_hv_unit_jei_fan_infantry	尚未翻译	true
unit_description_historical_texts_text_hv_unit_blue_turban_infantry	尚未翻译	true
unit_description_historical_texts_text_hv_unit_yuan_sword_infantry	尚未翻译	true
unit_description_historical_texts_text_hv_unit_militia_scout_cavalry	尚未翻译	true
unit_description_historical_texts_text_hv_unit_buqu_of_the_left	尚未翻译	true
unit_description_historical_texts_text_hv_unit_militia_black_mountain_outlaws	尚未翻译	true
unit_description_historical_texts_text_hv_unit_militia_taishan_outlaws	尚未翻译	true
unit_description_historical_texts_text_hv_unit_militia_white_tiger_outlaws	尚未翻译	true
unit_description_historical_texts_text_hv_unit_bandits_axe_infantry	未完成\\n\\n（请于MTU的Discord里TROM频道提出建议）	true
unit_description_historical_texts_text_hv_unit_bandits_2h_spear_infantry	未完成\\n\\n（请于MTU的Discord里TROM频道提出建议）	true
unit_description_historical_texts_text_hv_unit_bandits_archers	未完成\\n\\n（请于MTU的Discord里TROM频道提出建议）	true
unit_description_historical_texts_text_hv_unit_bandits_2h_spear_cavalry	未完成\\n\\n（请于MTU的Discord里TROM频道提出建议）	true
unit_description_historical_texts_text_hv_unit_bandits_sabre_cavalry	尚未翻译	true
unit_description_historical_texts_text_hv_unit_taishan_phantoms	尚未翻译	true
unit_description_historical_texts_text_hv_unit_taishan_poison_wind	尚未翻译	true
unit_description_historical_texts_text_hv_unit_black_mountain_bandits	未完成\\n\\n（请于MTU的Discord里TROM频道提出建议）	true
unit_description_historical_texts_text_hv_unit_white_tiger_bandits	未完成\\n\\n（请于MTU的Discord里TROM频道提出建议）	true
unit_description_historical_texts_text_hv_unit_yue_freemen	尚未翻译	true
unit_description_historical_texts_text_hv_unit_nomad_gang_cavalry	尚未翻译	true
unit_description_historical_texts_text_hv_unit_bandits_elite_iron_walls	尚未翻译	true
unit_description_historical_texts_text_hv_unit_bandits_elite_cunning_monkeys	未完成\\n\\n（请于MTU的Discord里TROM频道提出建议）	true
unit_description_historical_texts_text_hv_unit_bandits_elite_two_blades	未完成\\n\\n（请于MTU的Discord里TROM频道提出建议）	true
