key	text	tooltip
#Loc;1;text/_hvo/hv_TEXT_unit_text_replacements.loc		
ui_text_replacements_localised_text_hv_tr_fire	[[img:ui/skins/default/character_bust_element_fire.png]][[/img]] 火	true
ui_text_replacements_localised_text_hv_tr_earth	[[img:ui/skins/default/character_bust_element_earth.png]][[/img]] 土	true
ui_text_replacements_localised_text_hv_tr_wood	[[img:ui/skins/default/character_bust_element_wood.png]][[/img]] 木	true
ui_text_replacements_localised_text_hv_tr_metal	[[img:ui/skins/default/character_bust_element_metal.png]][[/img]] 金	true
ui_text_replacements_localised_text_hv_tr_water	[[img:ui/skins/default/character_bust_element_water.png]][[/img]] 水	true
ui_text_replacements_localised_text_hv_unit_militia_sabre_infantry	刀民兵	true
ui_text_replacements_localised_text_hv_unit_militia_ji_infantry	戟民兵	true
ui_text_replacements_localised_text_hv_unit_militia_archers	弓民兵	true
ui_text_replacements_localised_text_hv_unit_buqu_sabre_infantry	刀兵	true
ui_text_replacements_localised_text_hv_unit_buqu_axemen	斧兵	true
ui_text_replacements_localised_text_hv_unit_buqu_2h_axemen	长斧兵	true
ui_text_replacements_localised_text_hv_unit_buqu_spearmen	矛兵	true
ui_text_replacements_localised_text_hv_unit_buqu_ji_infantry	戟兵	true
ui_text_replacements_localised_text_hv_unit_buqu_archers	弓箭手	true
ui_text_replacements_localised_text_hv_unit_buqu_crossbowmen	弩手	true
ui_text_replacements_localised_text_hv_unit_buqu_rep_crossbowmen	连弩手	true
ui_text_replacements_localised_text_hv_unit_buqu_2h_spear_cavalry	枪骑兵	true
ui_text_replacements_localised_text_hv_unit_buqu_sabre_cavalry	刀骑兵	true
ui_text_replacements_localised_text_hv_unit_buqu_raid_cavalry	游骑兵	true
ui_text_replacements_localised_text_hv_unit_buqu_archer_cavalry	弓骑兵	true
ui_text_replacements_localised_text_hv_unit_elite_swordsmen	披甲剑兵	true
ui_text_replacements_localised_text_hv_unit_elite_2h_axemen	披甲长斧兵	true
ui_text_replacements_localised_text_hv_unit_elite_2h_swordsmen	斩马劲卒	true
ui_text_replacements_localised_text_hv_unit_elite_spearmen	披甲矛兵	true
ui_text_replacements_localised_text_hv_unit_elite_2h_spearmen	披甲长矛兵	true
ui_text_replacements_localised_text_hv_unit_elite_ji_infantry	披甲戟兵	true
ui_text_replacements_localised_text_hv_unit_elite_heavy_bow_archers	披甲长弓兵	true
ui_text_replacements_localised_text_hv_unit_elite_crossbowmen	披甲弩兵	true
ui_text_replacements_localised_text_hv_unit_elite_rep_crossbowmen	披甲连弩兵	true
ui_text_replacements_localised_text_hv_unit_elite_sword_cavalry	披甲剑骑兵	true
ui_text_replacements_localised_text_hv_unit_elite_2h_spear_cavalry	披甲枪骑兵	true
ui_text_replacements_localised_text_hv_unit_elite_barded_2h_spear_cavalry	持枪铁骑	true
ui_text_replacements_localised_text_hv_unit_xiliang_buqu_hand_ji_infantry	西涼手戟兵	true
ui_text_replacements_localised_text_hv_unit_xiliang_buqu_spearmen	西涼矛兵	true
ui_text_replacements_localised_text_hv_unit_xiliang_buqu_ji_infantry	西涼戟兵	true
ui_text_replacements_localised_text_hv_unit_xiliang_buqu_crossbowmen	西涼弩手	true
ui_text_replacements_localised_text_hv_unit_xiliang_buqu_rep_crossbowmen	西涼连弩手	true
ui_text_replacements_localised_text_hv_unit_xiliang_buqu_spear_cavalry	西涼戟骑兵	true
ui_text_replacements_localised_text_hv_unit_xiliang_buqu_sabre_cavalry	西涼刀骑兵	true
ui_text_replacements_localised_text_hv_unit_xiliang_buqu_archer_cavalry	西涼弓骑兵	true
ui_text_replacements_localised_text_hv_unit_xiliang_elite_2h_swordsmen	西凉斩马劲卒	true
ui_text_replacements_localised_text_hv_unit_xiliang_elite_spearmen	西凉披甲矛兵	true
ui_text_replacements_localised_text_hv_unit_xiliang_elite_enforcers	捕掾弓手	true
ui_text_replacements_localised_text_hv_unit_xiliang_elite_mace_cavalry	西凉突骑	true
ui_text_replacements_localised_text_hv_unit_xiliang_elite_barded_2h_spear_cavalry	西凉持枪铁骑	true
ui_text_replacements_localised_text_hv_unit_xiliang_elite_crossbowmen	西凉披甲弩兵	true
ui_text_replacements_localised_text_hv_unit_xiliang_elite_ji_cavalry	西凉披甲戟骑兵	true
ui_text_replacements_localised_text_hv_unit_jingchou_buqu_caltrop_infantry	荆楚钩镰手	true
ui_text_replacements_localised_text_hv_unit_jingchou_buqu_axemen	荆楚斧兵	true
ui_text_replacements_localised_text_hv_unit_jingchou_buqu_2h_axemen	荆楚长斧兵	true
ui_text_replacements_localised_text_hv_unit_jingchou_buqu_2h_spearmen	荆楚矛兵	true
ui_text_replacements_localised_text_hv_unit_jingchou_buqu_archers	荆楚弓手	true
ui_text_replacements_localised_text_hv_unit_jingchou_buqu_2h_spear_cavalry	荆楚戟骑兵	true
ui_text_replacements_localised_text_hv_unit_jingchou_buqu_sabre_cavalry	荆楚刀骑兵	true
ui_text_replacements_localised_text_hv_unit_northern_mace_cavalry	北疆突骑	true
ui_text_replacements_localised_text_hv_unit_northern_spear_cavalry	北疆戟骑兵	true
ui_text_replacements_localised_text_hv_unit_ironfist_barded_2h_spear_cavalry	铁拳骑兵	true
ui_text_replacements_localised_text_hv_unit_chen_peacekeepers_halberd_infantry	陈国泰平戟卫	true
ui_text_replacements_localised_text_hv_unit_chen_peacekeepers_crossbowmen	陈国泰平弩卫	true
ui_text_replacements_localised_text_hv_unit_chen_royal_guard_cavalry	陈国羽林骑	true
ui_text_replacements_localised_text_hv_unit_jei_fan_infantry	解烦兵	true
ui_text_replacements_localised_text_hv_unit_blue_turban_infantry	车下虎士	true
ui_text_replacements_localised_text_hv_unit_yuan_sword_infantry	袁氏剑卫	true
ui_text_replacements_localised_text_hv_unit_yuan_ji_guards	袁氏戟卫	true
ui_text_replacements_localised_text_hv_unit_militia_scout_cavalry	老练民骑	true
ui_text_replacements_localised_text_hv_unit_buqu_of_the_left	左将军护卫	true
ui_text_replacements_localised_text_hv_unit_militia_black_mountain_outlaws	黑山匪徒	true
ui_text_replacements_localised_text_hv_unit_militia_taishan_outlaws	泰山连击兵	true
ui_text_replacements_localised_text_hv_unit_militia_white_tiger_outlaws	白虎流浪者	true
ui_text_replacements_localised_text_hv_unit_bandits_axe_infantry	山贼勇士	true
ui_text_replacements_localised_text_hv_unit_bandits_2h_spear_infantry	山贼矛兵团	true
ui_text_replacements_localised_text_hv_unit_bandits_archers	山贼猎手	true
ui_text_replacements_localised_text_hv_unit_bandits_2h_spear_cavalry	山贼持枪劫匪	true
ui_text_replacements_localised_text_hv_unit_bandits_sabre_cavalry	山贼持刀劫匪	true
ui_text_replacements_localised_text_hv_unit_taishan_phantoms	泰山魅影	true
ui_text_replacements_localised_text_hv_unit_taishan_poison_wind	泰山毒风	true
ui_text_replacements_localised_text_hv_unit_black_mountain_bandits	黑山恶斧团	true
ui_text_replacements_localised_text_hv_unit_white_tiger_bandits	白虎山贼	true
ui_text_replacements_localised_text_hv_unit_yue_freemen	越族漫游者	true
ui_text_replacements_localised_text_hv_unit_nomad_gang_cavalry	游牧劫匪	true
ui_text_replacements_localised_text_hv_unit_bandits_elite_iron_walls	铁卫	true
ui_text_replacements_localised_text_hv_unit_bandits_elite_cunning_monkeys	狡猴兵	true
ui_text_replacements_localised_text_hv_unit_bandits_elite_two_blades	双刃战狂	true
ui_text_replacements_localised_text_hv_unit_bandits_elite_jia_long	雏龙	true
ui_text_replacements_localised_text_hv_unit_bandits_elite_blood_seekers	血兽	true
ui_text_replacements_localised_text_hv_unit_bandits_elite_ren_xia	任侠	true
ui_text_replacements_localised_text_hv_unit_bandits_elite_you_shi_cavalry	游师	true
ui_text_replacements_localised_text_hv_unit_swallow_cavalry	飞燕兵	true
ui_text_replacements_localised_text_hv_unit_iron_fists_of_the_bandit_queen	魁首前军	true
ui_text_replacements_localised_text_hv_unit_white_tiger_guardsmen	白虎卫士	true
ui_text_replacements_localised_text_hv_unit_tiger_and_leopard_cavalry	豹骑	true
ui_text_replacements_localised_text_hv_unit_tiger_and_leopard_barded_cavalry	虎骑	true
ui_text_replacements_localised_text_hv_unit_white_feathers	白毦兵	true
ui_text_replacements_localised_text_hv_unit_porcupine_crossbowmen	豪彘弩兵	true
ui_text_replacements_localised_text_hv_unit_zhong_royal_guard	仲氏羽林骑	true
ui_text_replacements_localised_text_hv_unit_jianan_hand_ji_infantry	建安巡守手戟兵	true
ui_text_replacements_localised_text_hv_unit_jianan_archers	建安巡守弓手	true
ui_text_replacements_localised_text_hv_unit_stray_artisans	游方艺匠	true
ui_text_replacements_localised_text_hv_unit_fellows_of_the_oath	结义弟兄	true
ui_text_replacements_localised_text_hv_unit_handmaid_guard	烈女侍骑	true
ui_text_replacements_localised_text_hv_unit_xian_chen_ying	陷阵死士	true
ui_text_replacements_localised_text_hv_unit_han_volunteer_spearmen	州属矛兵	true
ui_text_replacements_localised_text_hv_unit_han_volunteer_rep_crossbowmen	州属连弩手	true
ui_text_replacements_localised_text_hv_unit_hidden_assault_infantry	隐袭兵	true
ui_text_replacements_localised_text_hv_unit_qingzhou_hand_ji_infantry	青州手戟兵	true
ui_text_replacements_localised_text_hv_unit_qingzhou_2h_axe_infantry	青州长斧兵	true
ui_text_replacements_localised_text_hv_unit_white_horse_fellows	白马义从	true
ui_text_replacements_localised_text_hv_unit_yuan_rong_crossbowmen	元戎弩兵	true
ui_text_replacements_localised_text_hv_unit_dan_yang_infantry	丹阳宿卫	true
ui_text_replacements_localised_text_hv_unit_ytr_peasant_warriors	农人勇士	true
ui_text_replacements_localised_text_hv_unit_ytr_peasant_spearmen	农人矛兵	true
ui_text_replacements_localised_text_hv_unit_ytr_peasant_archers	农人弓手	true
ui_text_replacements_localised_text_hv_unit_ytr_militia_of_virtue	贞义兵	true
ui_text_replacements_localised_text_hv_unit_ytr_yellow_sky_heralds	黄天使团	true
ui_text_replacements_localised_text_hv_unit_ytr_chanters	诵经团	true
ui_text_replacements_localised_text_hv_unit_ytr_yellow_turban_warriors	黄巾军勇士	true
ui_text_replacements_localised_text_hv_unit_ytr_yellow_turban_spearmen	黄巾军矛兵	true
ui_text_replacements_localised_text_hv_unit_ytr_yellow_turban_archers	黄巾军弓手	true
ui_text_replacements_localised_text_hv_unit_ytr_yellow_turban_horsemen	黄巾军骑兵	true
ui_text_replacements_localised_text_hv_unit_ytr_gallants_of_the_people	人统雄豪	true
ui_text_replacements_localised_text_hv_unit_ytr_peoples_warband	黎首军	true
ui_text_replacements_localised_text_hv_unit_ytr_bringers_of_righteousness	布义军	true
ui_text_replacements_localised_text_hv_unit_ytr_men_of_the_forest	深林军	true
ui_text_replacements_localised_text_hv_unit_ytr_venerable_wu	神巫	true
ui_text_replacements_localised_text_hv_unit_ytr_huanglao_s_paragons	黄老贤圣	true
ui_text_replacements_localised_text_hv_unit_ytr_zealots_of_the_way	崇道狂士	true
ui_text_replacements_localised_text_hv_unit_ytr_reclaimers	敛拾队	true
ui_text_replacements_localised_text_hv_unit_ytr_horseback_huntsmen	猎骑兵	true
ui_text_replacements_localised_text_hv_unit_ytr_poachers	偷猎者	true
