key	text	tooltip
#Loc;1;text/_hvo/hv_TEXT_unit_ui_group_VM.loc		
ui_unit_groupings_tooltip_3k_dlc06_hero_nanman	暴烈如火是南蛮人的特征，正如同其伴随的毁灭	true
ui_unit_groupings_tooltip_3k_ytr_hero_healer	擅长鼓舞士气及远程作战，但不善于近战	true
ui_unit_groupings_tooltip_3k_ytr_hero_scholar	擅长对付敌军将领及高技能对手，但易受到数量压制	true
ui_unit_groupings_tooltip_3k_ytr_hero_veteran	擅长与众多敌军交战，但易受破甲杀伤	true
ui_unit_groupings_tooltip_3k_main_hero_earth	擅长激励友军部队，但近战能力欠佳。最好配合近战骑兵部曲	true
ui_unit_groupings_tooltip_3k_main_hero_fire	最善突破敌军部队，但对付其他将领能力欠佳。最好配合冲击骑兵和持戟骑兵部曲	true
ui_unit_groupings_tooltip_3k_main_hero_metal	擅长困住敌军将领，或坚守战略要点。最好配合大刀步兵和近战步兵部曲	true
ui_unit_groupings_tooltip_3k_main_hero_strategist_water	可以有效削弱敌军部队或将领的作战效能，也可以为友军布阵，但自身十分脆弱，最好配合远程步兵部曲	true
ui_unit_groupings_tooltip_3k_main_hero_wood	最善对抗敌军将领，但对抗部队能力欠佳。最好配合持矛步兵或大刀步兵部曲	true
		false
ui_unit_group_parents_onscreen_name_hv_parent_group_melee_black	普通近战步兵	true
ui_unit_group_parents_onscreen_name_hv_parent_group_spear_black	普通长柄步兵	true
ui_unit_group_parents_onscreen_name_hv_parent_group_range_black	普通远程步兵	true
ui_unit_group_parents_onscreen_name_hv_parent_group_cavalry_black	普通骑兵	true
		false
ui_unit_groupings_onscreen_3k_main_unit_axe_infantry_metal	持斧步兵（伯长）	false
ui_unit_groupings_onscreen_3k_main_unit_polearm_cavalry_fire	持戟骑兵（伯长）	false
ui_unit_groupings_onscreen_3k_main_unit_polearm_infantry_wood	持戟步兵（伯长）	false
ui_unit_groupings_onscreen_3k_main_unit_ranged_infantry_water	持弓步兵（伯长）	false
ui_unit_groupings_onscreen_3k_main_unit_spear_infantry_wood	持矛步兵（伯长）	false
ui_unit_groupings_onscreen_3k_main_unit_sword_cavalry_earth	持剑骑兵（伯长）	false
ui_unit_groupings_onscreen_3k_main_unit_sword_infantry_metal	持剑步兵（伯长）	false
ui_unit_groupings_tooltip_3k_main_unit_axe_infantry_metal	命中率一般，穿甲伤害高	true
ui_unit_groupings_tooltip_3k_main_unit_polearm_cavalry_fire	反骑兵，穿甲伤害一般	true
ui_unit_groupings_tooltip_3k_main_unit_polearm_infantry_wood	反骑兵，穿甲伤害一般	true
ui_unit_groupings_tooltip_3k_main_unit_ranged_infantry_water	远距离，穿甲伤害低，射击速率快	true
ui_unit_groupings_tooltip_3k_main_unit_spear_infantry_wood	反骑兵，穿甲伤害低	true
ui_unit_groupings_tooltip_3k_main_unit_sword_cavalry_earth	包抄，冲锋，追击	true
ui_unit_groupings_tooltip_3k_main_unit_sword_infantry_metal	命中率一般，穿甲伤害一般	true
