key	text	tooltip
#Loc;1;text/_hvo/hv_TEXT_unit_ui_group_ytr.loc		
ui_unit_groupings_onscreen_hv_unit_ui_grouping_2h_staff_firewoodt1ytr	持杖步兵（民兵）	false
ui_unit_groupings_onscreen_hv_unit_ui_grouping_axe_infantry_metaleartht1ytr	持斧步兵（民兵）	false
ui_unit_groupings_onscreen_hv_unit_ui_grouping_2h_blunt_firewoodt2ytr	持斧步兵（部曲）	false
ui_unit_groupings_onscreen_hv_unit_ui_grouping_dw_sword_firewoodt2ytr	双剑步兵（部曲）	false
ui_unit_groupings_onscreen_hv_unit_ui_grouping_combined_glaive_firewoodt2ytr	复合武器步兵（部曲）	false
ui_unit_groupings_onscreen_hv_unit_ui_grouping_combined_blunt_firewoodt2ytr	持斧步兵（部曲）	false
ui_unit_groupings_onscreen_hv_unit_ui_grouping_sword_infantry_metaleartht2ytr	持剑步兵（部曲）	false
ui_unit_groupings_onscreen_hv_unit_ui_grouping_glaive_infantry_metaleartht2ytr	大刀步兵（部曲）	false
ui_unit_groupings_onscreen_hv_unit_ui_grouping_crossbow_repeating_infantry_woodwatert2ytr	持弩步兵（部曲）	false
ui_unit_groupings_onscreen_hv_unit_ui_grouping_ranged_cavalry_woodwatert2ytr	持弓骑兵（部曲）	false
ui_unit_groupings_onscreen_hv_unit_ui_grouping_combined_long_woodwatert2ytr	复合武器步兵（部曲）	false
ui_unit_groupings_onscreen_hv_unit_ui_grouping_sword_infantry_firewoodt3ytr	持剑步兵（精锐）	false
ui_unit_groupings_onscreen_hv_unit_ui_grouping_spear_cavalry_firewoodt3ytr	持矛骑兵（精锐）	false
ui_unit_groupings_onscreen_hv_unit_ui_grouping_ranged_infantry_firewoodt3ytr	持弓步兵（精锐）	false
ui_unit_groupings_onscreen_hv_unit_ui_grouping_ranged_infantry_metaleartht3ytr	持弓步兵（精锐）	false
ui_unit_groupings_onscreen_hv_unit_ui_grouping_sword_cavalry_metaleartht3ytr	持剑骑兵（精锐）	false
ui_unit_groupings_onscreen_hv_unit_ui_grouping_axe_infantry_woodwatert3ytr	持斧步兵（禁军）	false
ui_unit_groupings_onscreen_hv_unit_ui_grouping_polearm_infantry_woodwatert3ytr	持戟步兵（精锐）	false
ui_unit_groupings_onscreen_hv_unit_ui_grouping_crossbow_infantry_woodwatert3ytr	持弩步兵（精锐）	false
ui_unit_groupings_onscreen_hv_unit_ui_grouping_axe_infantry_firewoodt4ytr	持斧步兵（禁军）	false
ui_unit_groupings_onscreen_hv_unit_ui_grouping_dw_sword_metaleartht4ytr	双剑步兵（禁军）	false
ui_unit_groupings_onscreen_hv_unit_ui_grouping_spear_cavalry_woodwatert4ytr	持矛骑兵（禁军）	false
ui_unit_groupings_onscreen_hv_unit_ui_grouping_dw_hand_ji_firewoodt4ytr	双戟步兵（禁军）	false
ui_unit_groupings_onscreen_hv_unit_ui_grouping_dw_sword_cavalry_metaleartht4ytr	双剑骑兵（禁军）	false
		false
ui_unit_groupings_tooltip_hv_unit_ui_grouping_2h_staff_firewoodt1ytr	命中率非常高，伤害非常低	true
ui_unit_groupings_tooltip_hv_unit_ui_grouping_axe_infantry_metaleartht1ytr	命中率一般，穿甲伤害高	true
ui_unit_groupings_tooltip_hv_unit_ui_grouping_2h_blunt_firewoodt2ytr	命中率低，穿甲伤害高，破盾	true
ui_unit_groupings_tooltip_hv_unit_ui_grouping_dw_sword_firewoodt2ytr	命中率高，穿甲伤害一般	true
ui_unit_groupings_tooltip_hv_unit_ui_grouping_combined_glaive_firewoodt2ytr	使用多种武器，多重定位	true
ui_unit_groupings_tooltip_hv_unit_ui_grouping_combined_blunt_firewoodt2ytr	命中率低，穿甲伤害高，破盾	true
ui_unit_groupings_tooltip_hv_unit_ui_grouping_sword_infantry_metaleartht2ytr	命中率一般，穿甲伤害一般	true
ui_unit_groupings_tooltip_hv_unit_ui_grouping_glaive_infantry_metaleartht2ytr	命中率一般，多重定位	true
ui_unit_groupings_tooltip_hv_unit_ui_grouping_crossbow_repeating_infantry_woodwatert2ytr	近距离，穿甲伤害低，压制，射击速率慢	true
ui_unit_groupings_tooltip_hv_unit_ui_grouping_ranged_cavalry_woodwatert2ytr	游击，追击	true
ui_unit_groupings_tooltip_hv_unit_ui_grouping_combined_long_woodwatert2ytr	使用多种武器，多重定位	true
ui_unit_groupings_tooltip_hv_unit_ui_grouping_sword_infantry_firewoodt3ytr	命中率一般，穿甲伤害一般	true
ui_unit_groupings_tooltip_hv_unit_ui_grouping_spear_cavalry_firewoodt3ytr	包抄，冲锋，追击	true
ui_unit_groupings_tooltip_hv_unit_ui_grouping_ranged_infantry_firewoodt3ytr	远距离，穿甲伤害低，射击速率快	true
ui_unit_groupings_tooltip_hv_unit_ui_grouping_ranged_infantry_metaleartht3ytr	远距离，穿甲伤害低，射击速率快	true
ui_unit_groupings_tooltip_hv_unit_ui_grouping_sword_cavalry_metaleartht3ytr	包抄，冲锋，追击	true
ui_unit_groupings_tooltip_hv_unit_ui_grouping_axe_infantry_woodwatert3ytr	命中率一般，穿甲伤害高	true
ui_unit_groupings_tooltip_hv_unit_ui_grouping_polearm_infantry_woodwatert3ytr	反骑兵，穿甲伤害一般	true
ui_unit_groupings_tooltip_hv_unit_ui_grouping_crossbow_infantry_woodwatert3ytr	远距离，穿甲伤害高，射击速率慢	true
ui_unit_groupings_tooltip_hv_unit_ui_grouping_axe_infantry_firewoodt4ytr	命中率一般，穿甲伤害高	true
