key	text	tooltip
#Loc;1;text/_hvo/hv_TEXT_events.loc		
incidents_localised_title_hv_event_cao_cao_qingzhou	Qingzhou Troops	true
incidents_localised_description_hv_event_cao_cao_qingzhou	The yellow turban warband is crushed. Hailing from Qingzhou, the survivors offer their servitude. Cao Cao gathers them under his banner and dubs them Qingzhou Troops.	true
campaign_payload_ui_details_description_hv_event_cao_cao_qingzhou	You may now recruit {{tr:hv_unit_qingzhou_hand_ji_infantry}}, {{tr:hv_unit_qingzhou_2h_axe_infantry}}, {{tr:hv_unit_qingzhou_raider_cavalry}}.	true
campaign_payload_ui_details_description_dummy_hv_cao_cao_qingzhoubing	Perhaps you can bring them into your fold...	true
missions_localised_description_hv_mission_cao_cao_gains_qingzhoubing	A yellow turban warband has invaded your territory. You must defeat them.	true
missions_localised_title_hv_mission_cao_cao_gains_qingzhoubing	Yellow Turban Warband	true
incidents_localised_title_hv_event_zhuge_liang_yuanrong	Yuan Rong Crossbow	true
incidents_localised_description_hv_event_zhuge_liang_yuanrong	Zhuge Liang has brilliantly engineered a new weapon. It is a crossbow that fires several bolts simultaneously to overwhelm the enemy.	true
campaign_payload_ui_details_description_hv_event_zhuge_liang_yuanrong	You may now recruit {{tr:hv_unit_yuan_rong_crossbowmen}}.	true
incidents_localised_title_hv_event_qiang_penalty	Social Turmoil	true
incidents_localised_title_hv_event_wuhuan_penalty	Social Turmoil	true
incidents_localised_title_hv_event_xiongnu_penalty	Social Turmoil	true
incidents_localised_title_hv_event_shanyue_penalty	Social Turmoil	true
incidents_localised_description_hv_event_qiang_penalty	Cultural friction has caused inter-ethnic conflict between Qiang barbarians and Han settlers. The turmoil is pushing many to leave the region.	true
incidents_localised_description_hv_event_wuhuan_penalty	Cultural friction has caused inter-ethnic conflict between Wuhuan barbarians and Han settlers. The turmoil is pushing many to leave the region.	true
incidents_localised_description_hv_event_xiongnu_penalty	Cultural friction has caused inter-ethnic conflict between Xiongnu barbarians and Han settlers. The turmoil is pushing many to leave the region.	true
incidents_localised_description_hv_event_shanyue_penalty	Cultural friction has caused inter-ethnic conflict between Shanyue barbarians and Han settlers. The turmoil is pushing many to leave the region.	true
effect_bundles_localised_title_hv_script_effect_bundle_qiang_penalty	Social Turmoil	true
effect_bundles_localised_title_hv_script_effect_bundle_wuhuan_penalty	Social Turmoil	true
effect_bundles_localised_title_hv_script_effect_bundle_xiongnu_penalty	Social Turmoil	true
effect_bundles_localised_title_hv_script_effect_bundle_shanyue_penalty	Social Turmoil	true
effect_bundles_localised_description_hv_script_effect_bundle_qiang_penalty	Cultural friction has caused inter-ethnic conflict between Qiang barbarians and Han settlers. The turmoil is pushing many to leave the region.	true
effect_bundles_localised_description_hv_script_effect_bundle_wuhuan_penalty	Cultural friction has caused inter-ethnic conflict between Wuhuan barbarians and Han settlers. The turmoil is pushing many to leave the region.	true
effect_bundles_localised_description_hv_script_effect_bundle_xiongnu_penalty	Cultural friction has caused inter-ethnic conflict between Xiongnu barbarians and Han settlers. The turmoil is pushing many to leave the region.	true
effect_bundles_localised_description_hv_script_effect_bundle_shanyue_penalty	Cultural friction has caused inter-ethnic conflict between Shanyue barbarians and Han settlers. The turmoil is pushing many to leave the region.	true
cdir_events_dilemma_choice_details_localised_choice_label_hv_dilemma_white_tiger_01FIRST	Investigate	false
cdir_events_dilemma_choice_details_localised_choice_label_hv_dilemma_white_tiger_01SECOND	Ignore	false
cdir_events_dilemma_choice_details_localised_choice_title_hv_dilemma_white_tiger_01FIRST	It's hard to believe, but it might be worth investigating personally.	false
cdir_events_dilemma_choice_details_localised_choice_title_hv_dilemma_white_tiger_01SECOND	It must be bullshit.	false
dilemmas_localised_description_hv_dilemma_white_tiger_01	There's a rumor about a nearby village. Each night, a huge monster terrorises the peasants. The villagers seek a hero to comb the mountains and drive out the beast.	false
dilemmas_localised_title_hv_dilemma_white_tiger_01	Rumors about a monster	false
cdir_events_dilemma_choice_details_localised_choice_label_hv_dilemma_white_tiger_02FIRST	Confront the large white tiger	false
cdir_events_dilemma_choice_details_localised_choice_label_hv_dilemma_white_tiger_02SECOND	Turn back	false
cdir_events_dilemma_choice_details_localised_choice_title_hv_dilemma_white_tiger_02FIRST	You can't go back empty-handed.	false
cdir_events_dilemma_choice_details_localised_choice_title_hv_dilemma_white_tiger_02SECOND	You agree with your men and prepare to descend.	false
dilemmas_localised_description_hv_dilemma_white_tiger_02	A few days after you and your men began searching the mountains, you come across an incredible sight. The den of a large white tiger and its family. The men are intimidated by its size and implore you to go back. You feel as if the massive tiger is staring at you.	false
dilemmas_localised_title_hv_dilemma_white_tiger_02	Encounter white tigers	false
campaign_payload_ui_details_description_hv_event_tiger_hunt_white_tiger_unlock	You may now recruit {{tr:hv_unit_white_tiger_warriors}}	false
campaign_payload_ui_details_description_hv_event_tiger_hunt_white_tiger_cap	{{tr:hv_unit_white_tiger_warriors}} for recruitment: +1	false
campaign_payload_ui_details_description_hv_event_tiger_tracking	Looking for the monster...	false
incidents_localised_title_hv_event_white_tiger_1	A successful hunt	false
incidents_localised_title_hv_event_white_tiger_2	A careful decision	false
incidents_localised_description_hv_event_white_tiger_1	After an epic struggle, you slay the enormous white tiger. Then, unexpectedly, the other tigers prostrate themselves as if submitting to your might! These white tigers don't seem to be ordinary beasts.	false
incidents_localised_description_hv_event_white_tiger_2	You give up the hunt and return. However, for reasons unknown, the monster attacks stopped.	false
cdir_events_dilemma_choice_details_localised_choice_label_hv_dilemma_buddaFIRST	Support them	false
cdir_events_dilemma_choice_details_localised_choice_label_hv_dilemma_buddaSECOND	Ignore them	false
cdir_events_dilemma_choice_details_localised_choice_title_hv_dilemma_buddaFIRST	These Buddhists are welcome here.	false
cdir_events_dilemma_choice_details_localised_choice_title_hv_dilemma_buddaSECOND	It's best to ignore these annoying preachers.	false
dilemmas_localised_description_hv_dilemma_budda	A group of unusual men sporting shaved heads disembark from a ship.  They claim to have journeyed from distant lands to spread the teachings of Buddha. Perhaps it will be worth supporting them?	false
dilemmas_localised_title_hv_dilemma_budda	The arrival of Buddhism	false
campaign_payload_ui_details_description_hv_event_budda_unlock	You may now recruit {{tr:hv_unit_warrior_monks}}	false
incidents_localised_title_hv_event_follower_officer	Commission	false
incidents_localised_description_hv_event_follower_officer	This age of strife breeds men with a talent for warfare. A follower who has recently joined the faction can assume the role of managing an exclusive unit.	false
		false
incidents_localised_title_hv_incident_sogd	Sogidan Merchants Approach	false
incidents_localised_description_hv_incident_sogd	Sogdians from the west has been spotted entering our borders. We will be able to purchase fine goods or hire Sogd mercenaries soon.	false
dilemmas_localised_title_hv_dilemma_sogd	Sogdian Merchants	false
dilemmas_localised_description_hv_dilemma_sogd	Indeed, the goods brought by the western merchants are diverse, with many rare and valuable items. Furthermore, the mercenaries escorting them look like natural warriors.	false
cdir_events_dilemma_choice_details_localised_choice_title_hv_dilemma_sogdTHIRD	You decide not to avail yourself of their wares.	false
cdir_events_dilemma_choice_details_localised_choice_title_hv_dilemma_sogdFOURTH	You are rather taken with a peculiar sword.	false
cdir_events_dilemma_choice_details_localised_choice_title_hv_dilemma_sogdSECOND	You are rather taken with a fine steed.	false
cdir_events_dilemma_choice_details_localised_choice_title_hv_dilemma_sogdFIRST	You hire a Sogdian mercenary group.	false
cdir_events_dilemma_choice_details_localised_choice_label_hv_dilemma_sogdTHIRD	Buy nothing	false
cdir_events_dilemma_choice_details_localised_choice_label_hv_dilemma_sogdFOURTH	Purchase a western sword	false
cdir_events_dilemma_choice_details_localised_choice_label_hv_dilemma_sogdSECOND	Purchase a horse	false
cdir_events_dilemma_choice_details_localised_choice_label_hv_dilemma_sogdFIRST	Hire the Sogdian mercenaries	false
incidents_localised_title_hv_incident_cai_yan	The Kidnapped Girl	false
incidents_localised_description_hv_incident_cai_yan	Your messengers report a remarkable story. A trader spotted a Han woman living amongst the Xiongnu and identified her as Cai Yan, the daughter of the grand scholar Cai Yong. It seems she was forced to marry a chieftain of the Xiongnu. Perhaps someone could convince this chieftain to free Cai Yan. One of your scouts has already left to investigate...	false
dilemmas_localised_title_hv_dilemma_cai_yan	Prisoner Negotiation	false
