key	text	tooltip
#Loc;1;text/_hvo/hv_TEXT_skills_skill_enable_effect.loc		
effects_description_hv_effect_unlock_flower_of_battlefield	Ability: Flower of the Battlefield	true
effects_description_hv_effect_unlock_imperious_presence	Ability: Imperious_presence	true
effects_description_hv_effect_unlock_inspiring_words	Ability: Inspiring Words	true
effects_description_hv_effect_unlock_royal_blood	Ability: Royal Blood	true
effects_description_hv_effect_unlock_distant_courage	Ability: Distant Courage	true
effects_description_hv_effect_unlock_order_of_tyrant	Ability: Mettlesome Advance	true
effects_description_hv_effect_unlock_cruel_lord	Ability: Cruel Command	true
effects_description_hv_effect_unlock_defence_mastery	Ability: Mountains	true
effects_description_hv_effect_unlock_show_of_force	Ability: Show of Force	true
effects_description_hv_effect_unlock_nature_s_ally	Ability: Nature's Ally	true
effects_description_hv_effect_unlock_the_weight_on_the_shoulders	Ability: The weight on the shoulders	true
effects_description_hv_effect_unlock_stone_bulwark	Ability: Stone Bulwark	true
effects_description_hv_effect_unlock_unyielding_earth	Ability: Unyielding Earth	true
effects_description_hv_effect_unlock_storm_of_swords	Ability: A Storm of Swords	true
effects_description_hv_effect_unlock_mark_target	Ability: Mark Target	true
effects_description_hv_effect_unlock_flames_of_the_phoenix	Ability: Flames of the Phoenix	true
effects_description_hv_effect_unlock_brawl	Ability: Brawl	true
effects_description_hv_effect_unlock_mortal_strike	Ability: Mortal Strike	true
effects_description_hv_effect_unlock_impetuous_charge	Ability: Impetuous Charge	true
effects_description_hv_effect_unlock_fleet_footed	Ability: Fleet-footed	true
effects_description_hv_effect_unlock_of_the_righteous	Ability: Resolve of the Righteous	true
effects_description_hv_effect_unlock_assemble	Ability: Assemble	true
effects_description_hv_effect_unlock_exemplar	Ability: Exemplar	true
effects_description_hv_effect_unlock_calm_down	Ability: Make Calm Down	true
effects_description_hv_effect_unlock_heavenly_grace	Ability: Heavenly Grace	true
effects_description_hv_effect_unlock_wisdom_of_the_river	Ability: Wisdom of the River	true
effects_description_hv_effect_unlock_wisdom_of_the_waterfall	Ability: Wisdom of the Waterfall	true
effects_description_hv_effect_unlock_fire_control	Ability: Fire Control	true
effects_description_hv_effect_unlock_restore	Ability: Restore	true
effects_description_hv_effect_unlock_anti_cavalry	Ability: Anti-Cavalry Tactics	true
effects_description_hv_effect_unlock_inspection	Ability: Frontline Observation	true
effects_description_hv_effect_unlock_blazing_roar	Ability: Blazing Roar	true
effects_description_hv_effect_unlock_rage_of_lu_bu	Ability: Rage of Lü Bu	true
effects_description_hv_effect_unlock_smouldering_fury	Ability: Smouldering Fury	true
effects_description_hv_effect_unlock_blood_fury	Ability: Bloody Fury	true
effects_description_hv_effect_unlock_the_dragon_s_gaze	Ability: The Dragon's Gaze	true
effects_description_hv_effect_unlock_reign_of_terror	Ability: Reign of Terror	true
effects_description_hv_effect_unlock_dong_command	Ability: Dong Zhuo's Command	true
effects_description_hv_effect_unlock_blade_breaker	Ability: Blade Breaker	true
effects_description_hv_effect_unlock_devastating_roar	Ability: Devastating Roar	true
effects_description_hv_effect_unlock_roar_of_the_beast	Ability: Roar of the Beast	true
effects_description_hv_effect_unlock_heart_seeker	Ability: Heart Seeker	true
effects_description_hv_effect_unlock_sundering_strike	Ability: Sundering Strike	true
effects_description_hv_effect_unlock_internal_blaze	Ability: Internal Blaze	true
effects_description_hv_effect_unlock_blazing_saddles	Ability: Blazing Saddles	true
effects_description_hv_effect_unlock_wildfire	Ability: Wildfire Raider	true
effects_description_hv_effect_unlock_burning	Ability: Burning Soul	true
effects_description_hv_effect_unlock_aggressive_anger	Ability: Brute Power	true
