key	text	tooltip
#Loc;1;text/_hvo/hv_TEXT_skills_skill_skill_name_desc.loc		
----skill name----		false
character_skills_localised_name_hv_skill_ability_flower_of_battlefield_authority	Flower of the Battlefield	true
character_skills_localised_name_hv_skill_ability_imperious_presence_authority	Imperious Presence	true
character_skills_localised_name_hv_skill_ability_inspiring_words_authority	Inspiring Words	true
character_skills_localised_name_hv_skill_ability_royal_blood_authority	Royal Blood	true
character_skills_localised_name_hv_skill_ability_distant_courage_authority	Distant Courage	true
character_skills_localised_name_hv_skill_ability_order_of_tyrant_authority	Mettlesome Advance	true
character_skills_localised_name_hv_skill_ability_cruel_lord_authority	Cruel Command	true
character_skills_localised_name_hv_skill_ability_defence_mastery_authority	Mountains	true
character_skills_localised_name_hv_skill_ability_show_of_force_authority	Show of Force	true
character_skills_localised_name_hv_skill_ability_nature_s_ally_authority	Nature's Ally	true
character_skills_localised_name_hv_skill_ability_the_weight_on_the_shoulders_authority	The weight on the shoulders	true
character_skills_localised_name_hv_skill_ability_stone_bulwark_authority	Stone Bulwark	true
character_skills_localised_name_hv_skill_ability_unyielding_earth_authority	Unyielding Earth	true
character_skills_localised_name_hv_skill_ability_storm_of_swords_authority	A Storm of Swords	true
character_skills_localised_name_hv_skill_ability_mark_target_authority	Mark Target	true
character_skills_localised_name_hv_skill_ability_flames_of_the_phoenix_authority	Flames of the Phoenix	true
character_skills_localised_name_hv_skill_ability_fire_bomb_authority	Fire Bomb	true
character_skills_localised_name_hv_skill_ability_brawl_authority	Brawl	true
character_skills_localised_name_hv_skill_ability_mortal_strike_authority	Mortal Strike	true
character_skills_localised_name_hv_skill_ability_impetuous_charge_authority	Impetuous Charge	true
character_skills_localised_name_hv_skill_ability_fleet_footed_authority	Fleet-footed	true
character_skills_localised_name_hv_skill_ability_resolve_of_the_righteous_authority	Resolve of the Righteous	true
character_skills_localised_name_hv_skill_ability_assemble_authority	Assemble	true
character_skills_localised_name_hv_skill_ability_exemplar_authority	Exemplar	true
character_skills_localised_name_hv_skill_ability_calm_down_authority	Make Calm Down	true
character_skills_localised_name_hv_skill_ability_heavenly_grace_authority	Heavenly Grace	true
character_skills_localised_name_hv_skill_ability_wisdom_of_the_river_authority	Wisdom of the River	true
character_skills_localised_name_hv_skill_ability_wisdom_of_the_waterfall_authority	Wisdom of the Waterfall	true
character_skills_localised_name_hv_skill_ability_fire_control_authority	Fire Control	true
character_skills_localised_name_hv_skill_ability_restore_authority	Restore	true
character_skills_localised_name_hv_skill_ability_anti_cavalry_authority	Anti-Cavalry Tactics	true
character_skills_localised_name_hv_skill_ability_inspection_authority	Frontline Observation	true
character_skills_localised_name_hv_skill_ability_blazing_roar_instinct	Blazing Roar	true
character_skills_localised_name_hv_skill_ability_rage_of_lu_bu_instinct	Rage of Lü Bu	true
character_skills_localised_name_hv_skill_ability_smouldering_fury_instinct	Smouldering Fury	true
character_skills_localised_name_hv_skill_ability_blood_fury_instinct	Bloody Fury	true
character_skills_localised_name_hv_skill_ability_the_dragon_s_gaze_instinct	The Dragon's Gaze	true
character_skills_localised_name_hv_skill_ability_reign_of_terror_instinct	Reign of Terror	true
character_skills_localised_name_hv_skill_ability_dong_command_instinct	Dong Zhuo's Command	true
character_skills_localised_name_hv_skill_ability_blade_breaker_instinct	Blade Breaker	true
character_skills_localised_name_hv_skill_ability_devastating_roar_instinct	Devastating Roar	true
character_skills_localised_name_hv_skill_ability_roar_of_the_beast_instinct	Roar of the Beast	true
character_skills_localised_name_hv_skill_ability_heart_seeker_instinct	Heart Seeker	true
character_skills_localised_name_hv_skill_ability_sundering_strike_instinct	Sundering Strike	true
character_skills_localised_name_hv_skill_ability_internal_blaze_instinct	Internal Blaze	true
character_skills_localised_name_hv_skill_ability_blazing_saddles_instinct	Blazing Saddles	true
character_skills_localised_name_hv_skill_ability_wildfire_instinct	Wildfire Raider	true
character_skills_localised_name_hv_skill_ability_burning_instinct	Burning Soul	true
character_skills_localised_name_hv_skill_ability_flames_of_the_phoenix_instinct	Flames of the Phoenix	true
