key	text	tooltip
#Loc;1;text/_hvo/hv_TEXT_unit_abilities.loc		
unit_abilities_onscreen_name_hv_ability_enlightenment	Enlightenment	true
unit_ability_types_localised_description_hv_ability_enlightenment	Enlightenment	true
unit_ability_types_onscreen_name_hv_ability_enlightenment	Passive Buff Self	true
unit_abilities_tooltip_text_hv_ability_enlightenment	"The Force will be with you... always."	true
special_ability_phases_onscreen_name_hv_ability_enlightenment_1	Enlightenment	true
special_ability_phases_onscreen_name_hv_ability_enlightenment_2	Enlightenment	true
special_ability_phases_onscreen_name_hv_ability_enlightenment_3	Enlightenment	true
unit_abilities_onscreen_name_hv_ability_furious_charge	Bulldoze	true
unit_ability_types_localised_description_hv_ability_furious_charge	Bulldoze	true
unit_ability_types_onscreen_name_hv_ability_furious_charge	Passive Buff Self	true
unit_abilities_tooltip_text_hv_ability_furious_charge	Charge like unstoppable bulls.	true
special_ability_phases_onscreen_name_hv_ability_furious_charge_1	Bulldoze	true
special_ability_phases_onscreen_name_hv_ability_furious_charge_2	Bulldoze	true
unit_abilities_onscreen_name_hv_ability_grenade	Grenade!	true
unit_ability_types_localised_description_hv_ability_grenade	Grenade!	true
unit_ability_types_onscreen_name_hv_ability_grenade	Missile Attack	true
unit_abilities_tooltip_text_hv_ability_grenade	Throw an "unstable concoction".	true
unit_abilities_onscreen_name_hv_ability_sniper_position	Sniper Position	true
unit_ability_types_localised_description_hv_ability_sniper_position	Sniper Position	true
unit_ability_types_onscreen_name_hv_ability_sniper_position	Active Buff Self	true
unit_abilities_tooltip_text_hv_ability_sniper_position	This unit can fire at the enemy whilst remaining hidden.	true
special_ability_phases_onscreen_name_hv_ability_sniper_position	Sniper Position	true
unit_abilities_onscreen_name_hv_ability_overfight	Overfight	true
unit_ability_types_localised_description_hv_ability_overfight	Overfight	true
unit_ability_types_onscreen_name_hv_ability_overfight	Active Buff Self (Auto)	true
unit_abilities_tooltip_text_hv_ability_overfight	They push the limits of the human body.	true
special_ability_phases_onscreen_name_hv_ability_overfight	Overfight	true
unit_abilities_onscreen_name_hv_ability_beihai_accuracy	Aiming Fire	true
unit_ability_types_localised_description_hv_ability_beihai_accuracy	Aiming Fire	true
unit_ability_types_onscreen_name_hv_ability_beihai_accuracy	Passive Buff Self	true
unit_abilities_tooltip_text_hv_ability_beihai_accuracy	With each volley their shots become ever more powerful and accurate.	true
special_ability_phases_onscreen_name_hv_ability_beihai_accuracy_1	Aiming Fire	true
special_ability_phases_onscreen_name_hv_ability_beihai_accuracy_2	Aiming Fire	true
special_ability_phases_onscreen_name_hv_ability_beihai_accuracy_3	Aiming Fire	true
unit_abilities_onscreen_name_hv_ability_pulverize	Pulverize	true
unit_ability_types_localised_description_hv_ability_pulverize	Pulverize	true
unit_ability_types_onscreen_name_hv_ability_pulverize	Active Buff Self	true
unit_abilities_tooltip_text_hv_ability_pulverize	They'll smash anything in their way. Or die.	true
special_ability_phases_onscreen_name_hv_ability_pulverize	Pulverize	true
unit_abilities_onscreen_name_hv_ability_guardian	Guardian	true
unit_ability_types_localised_description_hv_ability_guardian	Guardian	true
unit_ability_types_onscreen_name_hv_ability_guardian	Passive Buff Ally	true
unit_abilities_tooltip_text_hv_ability_guardian	In the midst of a bloodbath, it's nice to know that someone has your back.	true
special_ability_phases_onscreen_name_hv_ability_guardian	Guardian	true
unit_abilities_onscreen_name_hv_ability_desperate_savior	Second Wind	true
unit_ability_types_localised_description_hv_ability_desperate_savior	Second Wind	true
unit_ability_types_onscreen_name_hv_ability_desperate_savior	Passive Buff Self	true
unit_abilities_tooltip_text_hv_ability_desperate_savior	The flame of hope shines bright in the darkest hour.	true
special_ability_phases_onscreen_name_hv_ability_desperate_savior	Second Wind	true
unit_abilities_onscreen_name_hv_ability_hero_slayer	Slayer of Heroes	true
unit_ability_types_localised_description_hv_ability_hero_slayer	Slayer of Heroes	true
unit_ability_types_onscreen_name_hv_ability_hero_slayer	Passive Buff Self	true
unit_abilities_tooltip_text_hv_ability_hero_slayer	When fighting against or duelling other heroes on the battlefield, they will find their skill and prowess much improved.	true
special_ability_phases_onscreen_name_hv_ability_hero_slayer	Slayer of Heroes	true
unit_abilities_onscreen_name_hv_abillity_danyang_tradition	Against all odds	true
unit_ability_types_localised_description_hv_abillity_danyang_tradition	Against all odds	true
unit_ability_types_onscreen_name_hv_abillity_danyang_tradition	Passive Buff Self	true
unit_abilities_tooltip_text_hv_abillity_danyang_tradition	They will fight hard to uphold the honour of their homeland.	true
special_ability_phases_onscreen_name_hv_abillity_danyang_tradition	Against all odds	true
unit_abilities_onscreen_name_hv_ability_barded_missile_resistance	Barded	true
unit_ability_types_localised_description_hv_ability_barded_missile_resistance	Barded	true
unit_ability_types_onscreen_name_hv_ability_barded_missile_resistance	Passive Buff Self	true
unit_abilities_tooltip_text_hv_ability_barded_missile_resistance	Armour protects precious warhorses from enemy projectiles.	true
special_ability_phases_onscreen_name_hv_ability_barded_missile_resistance	Barded	true
unit_abilities_onscreen_name_hv_ability_half_barded_missile_resistance	Half Barded	true
unit_ability_types_localised_description_hv_ability_half_barded_missile_resistance	Half Barded	true
unit_ability_types_onscreen_name_hv_ability_half_barded_missile_resistance	Passive Buff Self	true
unit_abilities_tooltip_text_hv_ability_half_barded_missile_resistance	Armour protects precious warhorses from enemy projectiles.	true
special_ability_phases_onscreen_name_hv_ability_half_barded_missile_resistance	Half Barded	true
unit_abilities_onscreen_name_hv_ability_wind_of_north	Wind of the North	true
unit_ability_types_localised_description_hv_ability_wind_of_north	Wind of the North	true
unit_ability_types_onscreen_name_hv_ability_wind_of_north	Active Buff Self (Auto)	true
unit_abilities_tooltip_text_hv_ability_wind_of_north	A fierce wind blows.	true
special_ability_phases_onscreen_name_hv_ability_wind_of_north	Wind of the North	true
unit_abilities_onscreen_name_hv_ability_jing_missile_resistance	Wall of Steel	true
unit_ability_types_localised_description_hv_ability_jing_missile_resistance	Wall of Steel	true
unit_ability_types_onscreen_name_hv_ability_jing_missile_resistance	Passive Buff Self	true
unit_abilities_tooltip_text_hv_ability_jing_missile_resistance	This unit maneuvers carefully to guard against missile attacks.	true
special_ability_phases_onscreen_name_hv_ability_jing_missile_resistance_1	Wall of Steel	true
special_ability_phases_onscreen_name_hv_ability_jing_missile_resistance_2	Wall of Steel	true
special_ability_phases_onscreen_name_hv_ability_jing_missile_resistance_3	Wall of Steel	true
special_ability_phases_onscreen_name_hv_ability_jing_missile_resistance_4	Wall of Steel	true
special_ability_phases_onscreen_name_hv_ability_jing_missile_resistance_5	Wall of Steel	true
unit_abilities_onscreen_name_hv_ability_brotherhood	Solidarity	true
unit_ability_types_localised_description_hv_ability_brotherhood	Solidarity	true
unit_ability_types_onscreen_name_hv_ability_brotherhood	Passive Buff Self	true
