key	text	tooltip
#Loc;1;text/_hvo/hv_TEXT_unit_ui_group_t1.loc		
ui_unit_groupings_onscreen_hv_unit_ui_grouping_2h_blunt_blackt1	Hafted Weapon Infantry (Militia)	true
ui_unit_groupings_onscreen_hv_unit_ui_grouping_2h_blunt_firet1	Hafted Weapon Infantry (Militia)	true
ui_unit_groupings_onscreen_hv_unit_ui_grouping_2h_blunt_firewoodt1	Hafted Weapon Infantry (Militia)	true
ui_unit_groupings_onscreen_hv_unit_ui_grouping_2h_blunt_metalt1	Hafted Weapon Infantry (Militia)	true
ui_unit_groupings_onscreen_hv_unit_ui_grouping_2h_blunt_woodwatert1	Hafted Weapon Infantry (Militia)	true
ui_unit_groupings_onscreen_hv_unit_ui_grouping_2h_halberd_firewoodt1	Halberd Infantry (Militia)	true
ui_unit_groupings_onscreen_hv_unit_ui_grouping_2h_spear_blackt1	Long Spear Infantry (Militia)	true
ui_unit_groupings_onscreen_hv_unit_ui_grouping_2h_spear_woodt1	Long Spear Infantry (Militia)	true
ui_unit_groupings_onscreen_hv_unit_ui_grouping_2h_staff_blackt1	Staff Infantry (Militia)	true
ui_unit_groupings_onscreen_hv_unit_ui_grouping_2h_staff_firewoodt1	Staff Infantry (Militia)	true
ui_unit_groupings_onscreen_hv_unit_ui_grouping_2h_staff_woodt1	Staff Infantry (Militia)	true
ui_unit_groupings_onscreen_hv_unit_ui_grouping_2h_sword_blackt1	Long Sword Infantry (Militia)	true
ui_unit_groupings_onscreen_hv_unit_ui_grouping_2h_sword_firewoodt1	Long Sword Infantry (Militia)	true
ui_unit_groupings_onscreen_hv_unit_ui_grouping_2h_sword_metalt1	Long Sword Infantry (Militia)	true
ui_unit_groupings_onscreen_hv_unit_ui_grouping_animal_handlers_firet1	Animal Handlers (Militia)	true
ui_unit_groupings_onscreen_hv_unit_ui_grouping_animal_handlers_firewatert1	Animal Handlers (Militia)	true
ui_unit_groupings_onscreen_hv_unit_ui_grouping_axe_cavalry_blackt1	Hafted Weapon Cavalry (Militia)	true
ui_unit_groupings_onscreen_hv_unit_ui_grouping_axe_cavalry_firewoodt1	Hafted Weapon Cavalry (Militia)	true
ui_unit_groupings_onscreen_hv_unit_ui_grouping_axe_cavalry_metaleartht1	Hafted Weapon Cavalry (Militia)	true
ui_unit_groupings_onscreen_hv_unit_ui_grouping_axe_cavalry_woodwatert1	Hafted Weapon Cavalry (Militia)	true
ui_unit_groupings_onscreen_hv_unit_ui_grouping_axe_infantry_blackt1	Hafted Weapon Infantry (Militia)	true
ui_unit_groupings_onscreen_hv_unit_ui_grouping_axe_infantry_eartht1	Hafted Weapon Infantry (Militia)	true
ui_unit_groupings_onscreen_hv_unit_ui_grouping_axe_infantry_firet1	Hafted Weapon Infantry (Militia)	true
ui_unit_groupings_onscreen_hv_unit_ui_grouping_axe_infantry_firewoodt1	Hafted Weapon Infantry (Militia)	true
ui_unit_groupings_onscreen_hv_unit_ui_grouping_axe_infantry_metaleartht1	Hafted Weapon Infantry (Militia)	true
ui_unit_groupings_onscreen_hv_unit_ui_grouping_axe_infantry_metalwatert1	Hafted Weapon Infantry (Militia)	true
ui_unit_groupings_onscreen_hv_unit_ui_grouping_axe_infantry_woodwatert1	Hafted Weapon Infantry (Militia)	true
ui_unit_groupings_onscreen_hv_unit_ui_grouping_combined_blunt_blackt1	Combined Weapons Infantry (Militia)	true
ui_unit_groupings_onscreen_hv_unit_ui_grouping_combined_blunt_firewoodt1	Combined Weapons Infantry (Militia)	true
ui_unit_groupings_onscreen_hv_unit_ui_grouping_combined_blunt_metalt1	Combined Weapons Infantry (Militia)	true
ui_unit_groupings_onscreen_hv_unit_ui_grouping_combined_glaive_firewoodt1	Combined Weapons Infantry (Militia)	true
ui_unit_groupings_onscreen_hv_unit_ui_grouping_combined_long_woodt1	Combined Weapons Infantry (Militia)	true
ui_unit_groupings_onscreen_hv_unit_ui_grouping_combined_long_woodwatert1	Combined Weapons Infantry (Militia)	true
ui_unit_groupings_onscreen_hv_unit_ui_grouping_crossbow_cavalry_firewoodt1	Crossbow Cavalry (Militia)	true
ui_unit_groupings_onscreen_hv_unit_ui_grouping_crossbow_cavalry_metaleartht1	Crossbow Cavalry (Militia)	true
ui_unit_groupings_onscreen_hv_unit_ui_grouping_crossbow_cavalry_woodwatert1	Crossbow Cavalry (Militia)	true
ui_unit_groupings_onscreen_hv_unit_ui_grouping_crossbow_infantry_blackt1	Crossbow Infantry (Militia)	true
ui_unit_groupings_onscreen_hv_unit_ui_grouping_crossbow_infantry_firewoodt1	Crossbow Infantry (Militia)	true
ui_unit_groupings_onscreen_hv_unit_ui_grouping_crossbow_infantry_metaleartht1	Crossbow Infantry (Militia)	true
ui_unit_groupings_onscreen_hv_unit_ui_grouping_crossbow_infantry_woodwatert1	Crossbow Infantry (Militia)	true
ui_unit_groupings_onscreen_hv_unit_ui_grouping_crossbow_repeating_infantry_blackt1	Crossbow Infantry (Militia)	true
ui_unit_groupings_onscreen_hv_unit_ui_grouping_crossbow_repeating_infantry_firewoodt1	Crossbow Infantry (Militia)	true
ui_unit_groupings_onscreen_hv_unit_ui_grouping_crossbow_repeating_infantry_metaleartht1	Crossbow Infantry (Militia)	true
ui_unit_groupings_onscreen_hv_unit_ui_grouping_crossbow_repeating_infantry_woodwatert1	Crossbow Infantry (Militia)	true
ui_unit_groupings_onscreen_hv_unit_ui_grouping_dw_blunt_blackt1	Dual Wield Hafted Weapon Infantry (Militia)	true
ui_unit_groupings_onscreen_hv_unit_ui_grouping_dw_blunt_cavalry_firemetalt1	Dual Wield Hafted Weapon Cavalry (Militia)	true
ui_unit_groupings_onscreen_hv_unit_ui_grouping_dw_blunt_metalt1	Dual Wield Hafted Weapon Infantry (Militia)	true
ui_unit_groupings_onscreen_hv_unit_ui_grouping_dw_hand_ji_blackt1	Dual Wield Hand-Ji Infantry (Militia)	true
ui_unit_groupings_onscreen_hv_unit_ui_grouping_dw_hand_ji_firewoodt1	Dual Wield Hand-Ji Infantry (Militia)	true
ui_unit_groupings_onscreen_hv_unit_ui_grouping_dw_hand_ji_metalt1	Dual Wield Hand-Ji Infantry (Militia)	true
ui_unit_groupings_onscreen_hv_unit_ui_grouping_dw_sword_blackt1	Dual Wield Sword Infantry (Militia)	true
ui_unit_groupings_onscreen_hv_unit_ui_grouping_dw_sword_cavalry_metaleartht1	Dual Wield Sword Cavalry (Militia)	true
