key	text	tooltip
#Loc;1;text/_hvo/hv_TEXT_unit_ui_group_t1_VM.loc		
ui_unit_groupings_onscreen_3k_main_unit_glaive_infantry_metalt1	Glaive Infantry (Militia)	false
ui_unit_groupings_onscreen_3k_main_unit_axe_cavalry_eartht1	Hafted Weapon Cavalry (Militia)	false
ui_unit_groupings_onscreen_3k_main_unit_crossbow_infantry_watert1	Crossbow Infantry (Militia)	false
ui_unit_groupings_onscreen_3k_main_unit_polearm_cavalry_firet1	Ji Cavalry (Militia)	false
ui_unit_groupings_onscreen_3k_dlc06_unit_juggernaut_blackt1	Juggernaut (Militia)	false
ui_unit_groupings_onscreen_3k_main_unit_polearm_infantry_metalt1	Ji Infantry (Militia)	false
ui_unit_groupings_onscreen_3k_main_unit_glaive_infantry_woodt1	Glaive Infantry (Militia)	false
ui_unit_groupings_onscreen_3k_dlc06_unit_elephant_watert1	Elephants (Militia)	false
ui_unit_groupings_onscreen_3k_main_unit_crossbow_repeating_infantry_watert1	Crossbow Infantry (Militia)	false
ui_unit_groupings_onscreen_3k_main_unit_axe_infantry_metalt1	Hafted Weapon Infantry (Militia)	false
ui_unit_groupings_onscreen_3k_dlc06_unit_javelin_throwers_watert1	Javelin Throwers (Militia)	false
ui_unit_groupings_onscreen_3k_dlc06_unit_slingers_watert1	Slingers (Militia)	false
ui_unit_groupings_onscreen_3k_main_unit_artillery_watert1	Artillery (Militia)	false
ui_unit_groupings_onscreen_3k_dlc06_unit_blowpipes_watert1	Blowpipes (Militia)	false
ui_unit_groupings_onscreen_3k_dlc06_unit_animal_handlers_metalt1	Animal Handlers (Militia)	false
ui_unit_groupings_onscreen_3k_main_unit_sword_cavalry_eartht1	Sword Cavalry (Militia)	false
ui_unit_groupings_onscreen_3k_main_unit_sword_infantry_metalt1	Sword Infantry (Militia)	false
ui_unit_groupings_onscreen_3k_main_unit_spear_infantry_woodt1	Spear Infantry (Militia)	false
ui_unit_groupings_onscreen_3k_main_unit_crossbow_cavalry_watert1	Crossbow Cavalry (Militia)	false
ui_unit_groupings_onscreen_3k_dlc04_unit_machine_crossbow_watert1	Crossbow Artillery (Militia)	false
ui_unit_groupings_onscreen_3k_main_unit_glavie_bow_infantry_woodt1	Combined Weapons Infantry (Militia)	false
ui_unit_groupings_onscreen_3k_main_unit_ranged_infantry_watert1	Bow Infantry (Militia)	false
ui_unit_groupings_onscreen_3k_main_unit_polearm_infantry_woodt1	Ji Infantry (Militia)	false
ui_unit_groupings_onscreen_3k_main_unit_spear_cavalry_firet1	Spear Cavalry (Militia)	false
ui_unit_groupings_onscreen_3k_main_unit_ranged_cavalry_watert1	Bow Cavalry (Militia)	false
ui_unit_groupings_onscreen_3k_dlc06_unit_elephant_firet1	Elephants (Militia)	false
ui_unit_groupings_onscreen_3k_dlc06_unit_animal_handlers_watert1	Animal Handlers (Militia)	false
		false
ui_unit_groupings_tooltip_3k_dlc04_unit_machine_crossbow_watert1	Very Long Range, High Armour-Piercing Damage, Very Slow Reload	true
ui_unit_groupings_tooltip_3k_dlc06_unit_animal_handlers_metalt1	Using Furious Beast	true
ui_unit_groupings_tooltip_3k_dlc06_unit_animal_handlers_watert1	Using Furious Beast	true
ui_unit_groupings_tooltip_3k_dlc06_unit_blowpipes_watert1	Short Range, Low Armour-Piercing Damage, Fast Reload	true
ui_unit_groupings_tooltip_3k_dlc06_unit_elephant_firet1	Powerful Charge	true
ui_unit_groupings_tooltip_3k_dlc06_unit_elephant_watert1	Powerful Charge	true
ui_unit_groupings_tooltip_3k_dlc06_unit_javelin_throwers_watert1	Short Range, High Armour-Piercing Damage, Average Reload	true
ui_unit_groupings_tooltip_3k_dlc06_unit_juggernaut_blackt1	Short Range, Powerful Flame Damage, Average Reload	true
ui_unit_groupings_tooltip_3k_dlc06_unit_slingers_watert1	Average Range, Low Armour-Piercing Damage, Fast Reload	true
ui_unit_groupings_tooltip_3k_main_unit_artillery_watert1	Very Long Range, High Armour-Piercing Damage, Very Slow Reload	true
ui_unit_groupings_tooltip_3k_main_unit_axe_cavalry_eartht1	Flank, Charge, Chase	true
ui_unit_groupings_tooltip_3k_main_unit_axe_infantry_metalt1	Average Hit Rate, High Armour-Piercing Damage	true
ui_unit_groupings_tooltip_3k_main_unit_crossbow_cavalry_watert1	Skirmish, Chase	true
ui_unit_groupings_tooltip_3k_main_unit_crossbow_infantry_watert1	Long Range, High Armour-Piercing Damage, Slow Reload	true
ui_unit_groupings_tooltip_3k_main_unit_crossbow_repeating_infantry_watert1	Short Range, Low Armour-Piercing Damage, Supress, Slow Reload	true
ui_unit_groupings_tooltip_3k_main_unit_glaive_infantry_metalt1	Average Hit Rate, Multi-Role	true
ui_unit_groupings_tooltip_3k_main_unit_glaive_infantry_woodt1	Average Hit Rate, Multi-Role	true
ui_unit_groupings_tooltip_3k_main_unit_glavie_bow_infantry_woodt1	Average Hit Rate, Multi-Role	true
ui_unit_groupings_tooltip_3k_main_unit_polearm_cavalry_firet1	Anti-Cavalry, Average Armour-Piercing Damage	true
