key	text	tooltip
#Loc;1;text/_hvo/z_dummy_hv_TEXT_non_deployable.loc		
ceo_nodes_title_hv_ancillary_liu_limin_huilans_armour_unique	Lady Liu's Robes	true
ceo_nodes_description_hv_ancillary_liu_limin_huilans_armour_unique	Luxurious robes, fit for those who do not tread the battlefield.	true
ceo_nodes_title_hv_ceo_node_career_non_deployable_liu_limin	Devoted Mother	true
ceo_nodes_description_hv_ceo_node_career_non_deployable_liu_limin	Lady Liu always cares about her family.	true
ceo_nodes_title_hv_ceo_node_career_non_deployable_type_1	Hostess	true
ceo_nodes_description_hv_ceo_node_career_non_deployable_type_1	A quiet but enthusiastic supporter.	true
ceo_nodes_title_hv_ceo_node_career_non_deployable_type_2	Confucianist	true
ceo_nodes_description_hv_ceo_node_career_non_deployable_type_2	Argumentative and annoying scholars.	true
ceo_nodes_title_hv_ceo_node_career_non_deployable_type_3	Landlord	true
ceo_nodes_description_hv_ceo_node_career_non_deployable_type_3	For farmers, they are higher than the emperor.	true
ceo_nodes_title_hv_ceo_node_career_non_deployable_type_4	Council Proctor	true
ceo_nodes_description_hv_ceo_node_career_non_deployable_type_4	Those who intervene instead of the lord.	true
ceo_nodes_title_hv_ceo_node_career_non_deployable_type_5	Local Celebrity	true
ceo_nodes_description_hv_ceo_node_career_non_deployable_type_5	Always surrounded by people.	true
ceo_nodes_title_hv_ceo_node_career_non_deployable_type_6	Scribe	true
ceo_nodes_description_hv_ceo_node_career_non_deployable_type_6	They get everything down to a note.	true
ui_character_assignments_localised_title_hv_ui_info_assignment_replenishment_garrison	Army Reinforcement	true
ui_character_assignments_localised_description_hv_ui_info_assignment_replenishment_garrison	Your attendant will replenish the regional army.	true
effects_description_hv_effect_assignment_replenishment_garrison	Unlocks assignment: Army Reinforcement	true
ui_character_assignments_localised_title_hv_ui_info_assignment_military_disturbance	Military Support	true
ui_character_assignments_localised_description_hv_ui_info_assignment_military_disturbance	Your attendant will support your army in enemy territory.	true
effects_description_hv_effect_assignment_military_disturbance	Unlocks assignment: Military Support	true
ui_character_assignments_localised_title_hv_ui_info_assignment_more_build_slot	City Expansion	true
ui_character_assignments_localised_description_hv_ui_info_assignment_more_build_slot	Your attendant will help to expand the settlement. 	true
effects_description_hv_effect_assignment_more_build_slot	Unlocks assignment: City Expansion	true
character_skills_localised_name_hv_skill_non_deployable_01	Stylism	true
character_skills_localised_name_hv_skill_non_deployable_02	Herald	true
character_skills_localised_name_hv_skill_non_deployable_03	Agronomy	true
character_skills_localised_name_hv_skill_non_deployable_04	Prevention	true
character_skills_localised_name_hv_skill_non_deployable_05	Inspection	true
character_skills_localised_name_hv_skill_non_deployable_06	City Recovery	true
character_skills_localised_description_hv_skill_non_deployable_01	An excellent writing skill.	true
character_skills_localised_description_hv_skill_non_deployable_02	A noble messenger.	true
character_skills_localised_description_hv_skill_non_deployable_03	Those who toil the land require more utilitarian approaches.	true
character_skills_localised_description_hv_skill_non_deployable_04	Prevention is better than cure.	true
character_skills_localised_description_hv_skill_non_deployable_05	This is the basic way to correct corruption.	true
character_skills_localised_description_hv_skill_non_deployable_06	All must take up their tools and participate in the enormous effort of rebuilding society.	true
character_skills_localised_name_hv_skill_non_deployable_metal_1	Expertise	true
character_skills_localised_name_hv_skill_non_deployable_wood_1	Resolve	true
character_skills_localised_name_hv_skill_non_deployable_water_1	Cunning	true
character_skills_localised_name_hv_skill_non_deployable_fire_1	Instinct	true
character_skills_localised_name_hv_skill_non_deployable_earth_1	Authority	true
character_skills_localised_name_hv_skill_non_deployable_metal_2	Expertise	true
character_skills_localised_name_hv_skill_non_deployable_wood_2	Resolve	true
character_skills_localised_name_hv_skill_non_deployable_water_2	Cunning	true
character_skills_localised_name_hv_skill_non_deployable_fire_2	Instinct	true
character_skills_localised_name_hv_skill_non_deployable_earth_2	Authority	true
character_skills_localised_description_hv_skill_non_deployable_metal_1	Martial expertise from hard work. Practice. Preparation. Endless repetition.	true
character_skills_localised_description_hv_skill_non_deployable_wood_1	A hero's resolve is not to seem the bravest, but to be it.	true
character_skills_localised_description_hv_skill_non_deployable_water_1	Be cunning and full of tricks and your people shall never be destroyed.	true
character_skills_localised_description_hv_skill_non_deployable_fire_1	Concentrate on the moment: fight, don't think. Use your instincts.	true
character_skills_localised_description_hv_skill_non_deployable_earth_1	The responsibility that comes with authority should not be taken lightly.	true
character_skills_localised_description_hv_skill_non_deployable_metal_2	Martial expertise from hard work. Practice. Preparation. Endless repetition.	true
character_skills_localised_description_hv_skill_non_deployable_wood_2	A hero's resolve is not to seem the bravest, but to be it.	true
character_skills_localised_description_hv_skill_non_deployable_water_2	Be cunning and full of tricks and your people shall never be destroyed.	true
character_skills_localised_description_hv_skill_non_deployable_fire_2	Concentrate on the moment: fight, don't think. Use your instincts.	true
character_skills_localised_description_hv_skill_non_deployable_earth_2	The responsibility that comes with authority should not be taken lightly.	true
